timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
35,[-0.25540936  0.32757354],[-1.01894705  1.3937706 ],-0.0516703576917,-0.0516703576917,"[[-0.13836899 -1.38243797  0.12615694 -0.17058717]
 [-0.92608472  3.08859084  0.          0.        ]]","[ 1.00784164  0.846869   -0.34292017 -1.75076331  1.08339758 -1.46365262
  0.00810605  0.72760957 -0.51304804  0.51719386  0.        ]",[-0.27900162 -0.14690769]
36,[ 0.16462898 -0.0828017 ],[ 1.73425606 -3.1338038 ],-0.0452315782719,-0.0452315782719,"[[-0.19641936 -1.28154296  0.12615694 -0.17058717]
 [-4.86579786  6.98794227  0.          0.        ]]","[ 0.99384725  0.97829414 -0.43035125 -1.68712429  1.08339571 -1.46364895
 -0.37024206  1.25255881 -0.48277382  0.46799339  0.        ]",[-0.27900162 -0.14690769]
37,[-0.13284758  0.1182535 ],[-1.01061333  0.66595297],-0.0393393269511,-0.0393393269511,"[[-0.25305693 -1.18290933  0.12615694 -0.17058717]
 [-0.81149461  2.88905511  0.          0.        ]]","[ 0.97558525  1.10302133 -0.51468864 -1.59977006  1.08339383 -1.46364528
  0.01911125  0.70074384 -0.45580388  0.42231636  0.        ]",[-0.27900162 -0.14690769]
38,[ 0.40905014 -0.10875073],[ 1.42358793 -0.74220875],-0.0342383808665,-0.0342383808665,"[[-0.30883317 -1.09923479  0.12615694 -0.17058717]
 [-4.75296849  5.46981948  0.          0.        ]]","[ 0.95321015  1.2050119  -0.59654592 -1.50680548  1.08339195 -1.46364161
 -0.35940654  1.04817855 -0.44372291  0.37754503  0.        ]",[-0.27900162 -0.14690769]
39,[ 0.03715891  0.00340056],[ 0.79809063 -0.55885442],-0.0296134434527,-0.0296134434527,"[[-0.36324078 -1.02042203  0.12615694 -0.17058717]
 [-0.70131694  2.4215945   0.          0.        ]]","[ 0.92725268  1.29718912 -0.67500501 -1.40402321  1.08339007 -1.46363794
  0.02969269  0.63780933 -0.43685171  0.33485775  0.        ]",[-0.27900162 -0.14690769]
40,[-0.38860738  0.07486844],[-1.3499556  -0.53772016],-0.0304345880584,-0.0304345880584,"[[-0.34543848 -0.99468238  0.12615694 -0.17058717]
 [ 2.47097765  0.15991278  0.          0.        ]]","[ 0.93618874  1.32637519 -0.64949761 -1.36736213  1.08338819 -1.46363427
  0.33434308  0.33332909 -0.39385822  0.35919045  0.        ]",[-0.27900162 -0.14690769]
41,[ 0.47377497  0.51179105],[ 0.6441089  -0.42919835],-0.0312213996875,-0.0312213996875,"[[-0.3362016  -1.01286662  0.12615694 -0.17058717]
 [-1.53396498 -1.97124321  0.          0.        ]]","[ 0.94065478  1.30580035 -0.63619741 -1.39341162  1.08338631 -1.4636306
 -0.05027103  0.04642099 -0.39909698  0.36515983  0.        ]",[-0.27900162 -0.14690769]
42,[ 0.2200844   0.69796163],[-0.57958449  2.00865144],-0.0319423204129,-0.0319423204129,"[[-0.34100166 -1.06895836  0.12615694 -0.17058717]
 [ 1.04537592 -3.63238808  0.          0.        ]]","[ 0.93834633  1.24089176 -0.64311337 -1.46902093  1.08338443 -1.46362693
  0.19743568 -0.1772116  -0.45372733  0.34935944  0.        ]",[-0.27900162 -0.14690769]
43,[ 0.31633514  0.38229769],[ 2.20807144  0.67921295],-0.0331942131874,-0.0331942131874,"[[-0.34332216 -1.10115039  0.12615694 -0.17058717]
 [-1.26970917  0.39974232  0.          0.        ]]","[ 0.93721835  1.20270876 -0.64645217 -1.50910468  1.08338256 -1.46362327
 -0.02489355  0.36561672 -0.48481583  0.34241613  0.        ]",[-0.27900162 -0.14690769]
44,[-0.65827888 -0.1690436 ],[-0.54746222  0.18148951],-0.0324090965327,-0.0324090965327,"[[-0.32877192 -1.0662621   0.12615694 -0.17058717]
 [ 2.71144822  3.08015648  0.          0.        ]]","[ 0.94415938  1.24405491 -0.62546655 -1.46554521  1.08338068 -1.4636196
  0.35743697  0.72646891 -0.43736739  0.36241554  0.        ]",[-0.27900162 -0.14690769]
45,[-0.46773821 -0.30719039],[ 1.18729369  0.13529808],-0.0355057177641,-0.0355057177641,"[[-0.29681765 -0.99805421  0.12615694 -0.17058717]
 [ 0.49138609  3.73843669  0.          0.        ]]","[ 0.95838499  1.32256541 -0.57901999 -1.3722317   1.0833788  -1.46361593
  0.14423282  0.8150894  -0.34233811  0.41275594  0.        ]",[-0.27900162 -0.14690769]
46,[-1.38589334 -0.70044285],[-1.94487853 -0.22095884],-0.0471462085169,-0.0471462085169,"[[-0.24739186 -0.91866448  0.12615694 -0.17058717]
 [ 4.43801028  4.19900746  0.          0.        ]]","[ 0.97760217  1.4096655  -0.50629703 -1.25052535  1.08337692 -1.46361226
  0.52324729  0.87709294 -0.22338076  0.49940363  0.        ]",[-0.27900162 -0.14690769]
47,[-0.82178116 -0.58806396],[-2.06827952 -0.6194593 ],-0.0620335781373,-0.0620335781373,"[[-0.19920783 -0.84428378  0.12615694 -0.17058717]
 [ 0.39390269  3.24224467  0.          0.        ]]","[ 0.99303839  1.48662698 -0.43452018 -1.12436493  1.08337504 -1.46360859
  0.13487011  0.74828688 -0.117106    0.59769555  0.        ]",[-0.27900162 -0.14690769]
48,[ 0.08322135 -0.16766298],[-0.54055475 -1.73380774],-0.0596561445939,-0.0596561445939,"[[-0.23109606 -0.80467996  0.12615694 -0.17058717]
 [-3.56950987  0.72652799  0.          0.        ]]","[ 0.98318648  1.52561886 -0.48211034 -1.05264528  1.08337316 -1.46360492
 -0.24575748  0.40960558 -0.11668737  0.5731628   0.        ]",[-0.27900162 -0.14690769]
49,[ 0.97239554  0.46073985],[ 1.41506962  0.35642367],-0.0405145993548,-0.0405145993548,"[[-0.32322294 -0.83001429  0.12615694 -0.17058717]
 [-5.63633266 -3.24671278  0.          0.        ]]","[ 0.94672317  1.50083378 -0.61743344 -1.09887543  1.08337129 -1.46360126
 -0.44424529 -0.12529627 -0.2301592   0.43812149  0.        ]",[-0.27900162 -0.14690769]
