timestep,rewards,actions,original_rewards,obs,human_obs,logstd_action_dist,avg_action_dist
0,-0.213655350834,[-5.61458563 -0.98569436],-0.213655350834,"[ 1.06751843  1.465832    0.03610649  1.14113001  1.11512099 -1.63409484
  0.0426686   0.28961267  0.40834452  2.64020737  0.        ]","[[ 0.08144169 -0.07667832  0.12949757 -0.18938486]
 [ 0.00044024 -0.00308809  0.          0.        ]]",[-0.78626955 -0.66648048],[-5.01001024 -1.12200844]
1,-0.201988747157,[-3.06434479 -0.31397861],-0.201988747157,"[ 1.0710219   1.46081573 -0.02309451  1.0410848   1.11512013 -1.63409279
 -0.4718247  -0.32425021  0.4077774   2.47892963  0.        ]","[[ 0.04177501 -0.11588355  0.12949757 -0.18938486]
 [-3.95395189 -3.90443737  0.          0.        ]]",[-0.78626955 -0.66648048],[-3.45322108 -0.0452217 ]
2,-0.169150517588,[-1.1863872   0.35397844],-0.169150517588,"[ 1.06810845  1.44169875 -0.19939438  0.81396755  1.11511928 -1.63409074
 -0.97628714 -0.50746518  0.36504458  2.04141504  0.        ]","[[-0.07620593 -0.20565518  0.12949757 -0.18938486]
 [-7.83124945 -5.06884409  0.          0.        ]]",[-0.78626955 -0.66648048],[-1.3517921   0.58931804]
3,-0.119936138755,[ 1.10809138  0.13139319],-0.119936138755,"[ 1.01991203  1.41343178 -0.48582026  0.59960689  1.11511842 -1.63408869
 -1.47091477 -0.27089231  0.2039246   1.43755152  0.        ]","[[ -0.27097457  -0.29194691   0.12949757  -0.18938486]
 [-11.63296392  -3.56532864   0.           0.        ]]",[-0.78626955 -0.66648048],[ 0.98503947  0.48302424]
4,-0.0734524584863,[ 0.41311826  0.69582328],-0.0734524584863,"[ 0.92206855  1.38568032 -0.75161783  0.440735    1.11511757 -1.63408664
 -0.92632029 -0.17815233 -0.04517151  0.93380062  0.        ]","[[-0.46163718 -0.35733979  0.12949757 -0.18938486]
 [-7.44721991 -2.97592925  0.          0.        ]]",[-0.78626955 -0.66648048],[ 1.04401553  0.5874579 ]
5,-0.0445422727678,[ 1.13711786 -0.28905472],-0.0445422727678,"[ 0.82750736  1.37050777 -0.92089993  0.36603115  1.11511671 -1.63408459
 -0.69466268  0.26454134 -0.25239776  0.64750931  0.        ]","[[-0.59271733 -0.38862963  0.12949757 -0.18938486]
 [-5.66670428 -0.16243357  0.          0.        ]]",[-0.78626955 -0.66648048],[ 1.20940304  0.31020194]
6,-0.0313145228821,[ 0.96488736  0.67394062],-0.0313145228821,"[ 0.76630461  1.36295409 -1.00856524  0.33122412  1.11511586 -1.63408254
 -0.16532129  0.08472439 -0.3779766   0.50898006  0.        ]","[[-0.66523081 -0.40334444  0.12949757 -0.18938486]
 [-1.59819221 -1.30524159  0.          0.        ]]",[-0.78626955 -0.66648048],[ 0.40402895  0.52298045]
7,-0.0323330830727,[-1.58316644 -1.62585695],-0.0323330830727,"[ 0.77216165  1.36342977 -1.00073027  0.3333805   1.115115   -1.63408049
  0.33529409  0.50845015 -0.36655249  0.52081095  0.        ]","[[-0.65858932 -0.40243012  0.12949757 -0.18938486]
 [ 2.24953217  1.38770445  0.          0.        ]]",[-0.78626955 -0.66648048],[-1.57737803 -0.4008894 ]
8,-0.0322934530229,[ 0.45111434  0.17915666],-0.0322934530229,"[ 0.77642204  1.35696099 -0.99496265  0.30459478  1.11511415 -1.63407845
 -0.18500893 -0.11866702 -0.37062325  0.52079323  0.        ]","[[-0.65372216 -0.41466456  0.12949757 -0.18938486]
 [-1.74950946 -2.59787223  0.          0.        ]]",[-0.78626955 -0.66648048],[ 0.52761698  0.79915547]
9,-0.0280985650667,[-0.71627526 -0.01060879],-0.0280985650667,"[  7.61654206e-01   1.33200578e+00  -1.01470580e+00   2.01618540e-01
   1.11511329e+00  -1.63407640e+00   5.16474389e-02   9.40478038e-04
  -4.41331198e-01   4.64860111e-01   0.00000000e+00]","[[-0.67046249 -0.45899518  0.12949757 -0.18938486]
 [ 0.06942731 -1.83771975  0.          0.        ]]",[-0.78626955 -0.66648048],[ 0.0143365   0.71427858]
