timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 2.72960281  0.15147234],[ 3.38864161 -0.26618485],-0.269210839456,-0.269210839456,"[[-0.00131337 -0.07452092 -0.01825346  0.13477976]
 [-0.00188949 -0.00266191  0.          0.        ]]","[ 1.08510729  1.45683932 -0.07733821  1.16652209 -0.16234648  1.15963335
  0.02776681  0.28879234  1.93212904 -1.76168969  0.        ]",[-0.8286373  -0.69951588]
1,[ 2.18305063  0.09638001],[ 2.20530409  0.16288882],-0.265581741851,-0.265581741851,"[[ 0.03834388 -0.08516399 -0.01825346  0.13477976]
 [ 3.95444018 -1.05812138  0.          0.        ]]","[ 1.0840596   1.45570069 -0.01813824  1.13939704 -0.16234643  1.15963247
  0.55012521  0.12052451  1.93336476 -1.66905405  0.        ]",[-0.8286373  -0.69951588]
2,[ 1.78940916 -0.34877896],[ 1.89625585 -0.5490542 ],-0.253435254362,-0.253435254362,"[[ 0.15633592 -0.09966001 -0.01825346  0.13477976]
 [ 7.83185527 -0.39368556  0.          0.        ]]","[ 1.067716    1.4539072   0.15710526  1.10249293 -0.16234637  1.1596316
  1.06206405  0.22645288  1.92117875 -1.36946304  0.        ]",[-0.8286373  -0.69951588]
3,[ 1.74017859 -0.6796785 ],[ 2.1128463  -0.40905994],-0.232305323866,-0.232305323866,"[[  0.35111788  -0.12928266  -0.01825346   0.13477976]
 [ 11.63368487  -2.56134197   0.           0.        ]]","[ 0.99810381  1.44937317  0.4381865   1.02725477 -0.16234632  1.15963073
  1.56402222 -0.11912831  1.846156   -0.89254053  0.        ]",[-0.8286373  -0.69951588]
4,[ 1.45062232 -1.23596811],[ 1.62983416 -0.68299349],-0.202219078726,-0.202219078726,"[[  0.62118007  -0.19626515  -0.01825346   0.13477976]
 [ 15.3601373   -4.13164667   0.           0.        ]]","[ 0.81871616  1.4348327   0.79362573  0.85829621 -0.16234627  1.15962986
  2.05602631 -0.36947597  1.64679205 -0.30996407  0.        ]",[-0.8286373  -0.69951588]
5,[-0.62502408 -1.44363499],[-0.41222803 -1.74828533],-0.162784317097,-0.162784317097,"[[  9.65036976e-01  -3.05222542e-01  -1.82534634e-02   1.34779759e-01]
 [  1.90134204e+01  -6.75529496e+00   0.00000000e+00   0.00000000e+00]]","[ 0.47104646  1.39863187  1.15209158  0.58857069 -0.16234621  1.15962899
  2.53836667 -0.78775409  1.2647339   0.28737512  0.        ]",[-0.8286373  -0.69951588]
6,[-1.4248904  -0.92945445],[-1.60217421 -1.40428153],-0.123770814988,-0.123770814988,"[[  1.3251879   -0.47870178  -0.01825346   0.13477976]
 [ 17.00836231 -10.5798718    0.           0.        ]]","[ 0.00582481  1.3099642   1.37295586  0.17918884 -0.16234616  1.15962811
  2.27363292 -1.39749095  0.79179095  0.67300453  0.        ]",[-0.8286373  -0.69951588]
7,[-0.57274544  0.17855288],[-0.43128377  0.52553866],-0.0964632061193,-0.0964632061193,"[[  1.62230498  -0.72790463  -0.01825346   0.13477976]
 [ 12.71756007 -14.32796781   0.           0.        ]]","[-0.41432414  1.1210415   1.41578411 -0.34411307 -0.16234611  1.15962724
  1.70711385 -1.99503272  0.45223269  0.75420493  0.        ]",[-0.8286373  -0.69951588]
8,[-0.8508358   0.72043544],[-0.04793726  1.29896039],-0.075993412385,-0.075993412385,"[[  1.8570087   -0.9907285   -0.01825346   0.13477976]
 [ 10.75931719 -11.96232688   0.           0.        ]]","[-0.74349692  0.85513514  1.35702217 -0.78161033 -0.16234605  1.15962637
  1.44856471 -1.6178859   0.24243505  0.67763379  0.        ]",[-0.8286373  -0.69951588]
9,[-1.87941337  0.51889032],[-1.92479643  0.95316334],-0.0555494263572,-0.0555494263572,"[[  2.06814886  -1.18786561  -0.01825346   0.13477976]
 [ 10.35606492  -7.76537261   0.           0.        ]]","[-1.02125449  0.62144652  1.23686584 -1.01464724 -0.162346    1.1596255
  1.39532183 -0.94878156  0.03302364  0.58614885  0.        ]",[-0.8286373  -0.69951588]
10,[-1.23999774  0.02763961],[-1.82264002  0.37391966],-0.0392994058944,-0.0392994058944,"[[ 2.23350581 -1.30374993 -0.01825346  0.13477976]
 [ 6.19343439 -3.8362202   0.          0.        ]]","[-1.21826357  0.4744108   1.10170467 -1.10919525 -0.16234595  1.15962462
  0.84572772 -0.32237225 -0.15044259  0.51239066  0.        ]",[-0.8286373  -0.69951588]
11,[ 0.01833159 -0.06628673],[-0.80957463 -0.19691072],-0.0316514214747,-0.0316514214747,"[[ 2.31643882 -1.36484709 -0.01825346  0.13477976]
 [ 2.11342334 -2.27872216  0.          0.        ]]","[-1.30837052  0.39485262  1.02155806 -1.14578781 -0.16234589  1.15962375
  0.3070422  -0.07406642 -0.23418258  0.46117263  0.        ]",[-0.8286373  -0.69951588]
12,[ 1.49857414  0.39838541],[ 1.25311665 -0.33740219],-0.0302329552692,-0.0302329552692,"[[ 2.32614548 -1.41778473 -0.01825346  0.13477976]
 [-1.13197663 -3.01260667  0.          0.        ]]","[-1.31849253  0.325082    1.0116729  -1.16994569 -0.16234584  1.15962288
 -0.12144928 -0.19106672 -0.20274009  0.41575637  0.        ]",[-0.8286373  -0.69951588]
