timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 3.39191318  0.83052105],[ 3.00818076  0.84259317],-0.251845837225,-0.251845837225,"[[-0.09824705 -0.05874968  0.05210515  0.17065788]
 [ 0.00100272 -0.00355992  0.          0.        ]]","[ 1.03458891  1.63534376 -0.24875254  1.0296848   0.44481126  1.47079277
  0.05185864  0.29281128  1.06055544 -2.1152125   0.        ]",[-0.55255401 -0.4211196 ]
1,[ 2.7096417   0.21415645],[ 1.99564791  0.19395034],-0.243416748182,-0.243416748182,"[[-0.05854969 -0.02536119  0.05210515  0.17065788]
 [ 3.95556939  3.33129992  0.          0.        ]]","[ 1.03907886  1.63720253 -0.18899342  1.11369269  0.44481101  1.4707906
  0.51273525  0.77811061  1.07243405 -1.98181891  0.        ]",[-0.55255401 -0.4211196 ]
2,[ 2.19310093 -0.28723633],[ 2.37199267  0.1064641 ],-0.219200964994,-0.219200964994,"[[ 0.05946447  0.04829317  0.05210515  0.17065788]
 [ 7.83294136  4.03180393  0.          0.        ]]","[ 1.03899992  1.63608    -0.01088327  1.29913188  0.44481077  1.47078844
  0.96461495  0.88004958  1.0700531  -1.61462298  0.        ]",[-0.55255401 -0.4211196 ]
3,[ 1.33892608 -1.3235693 ],[ 1.04848917 -1.69951685],-0.179731990935,-0.179731990935,"[[  0.25425837   0.13234285   0.05210515   0.17065788]
 [ 11.63380412   4.37202619   0.           0.        ]]","[ 0.99510899  1.6260264   0.27920491  1.50987977  0.44481052  1.47078627
  1.40757696  0.92955907  0.97215513 -1.06846001  0.        ]",[-0.55255401 -0.4211196 ]
4,[-0.38889432 -1.68829536],[-0.83466213 -1.2034768 ],-0.128256079851,-0.128256079851,"[[  0.52433263   0.1791715    0.05210515   0.17065788]
 [ 15.3611961    0.32431634   0.           0.        ]]","[ 0.84748336  1.61639043  0.65538316  1.62637425  0.44481027  1.4707841
  1.84197446  0.34052246  0.70951625 -0.45810666  0.        ]",[-0.55255401 -0.4211196 ]
5,[-0.39365351 -1.3030858 ],[-1.41296841 -0.05932334],-0.083297426301,-0.083297426301,"[[  0.79539484   0.145878     0.05210515   0.17065788]
 [ 11.75701385  -3.64044084   0.           0.        ]]","[ 0.60817944  1.6235319   0.9777967   1.54363266  0.44481002  1.47078193
  1.42193089 -0.23644254  0.37732112 -0.02087767  0.        ]",[-0.55255401 -0.4211196 ]
6,[-0.0667738  -1.24371743],[-0.09549891 -0.39859869],-0.0573471293983,-0.0573471293983,"[[ 0.98851157  0.07145123  0.05210515  0.17065788]
 [ 7.56861249 -3.80169133  0.          0.        ]]","[ 0.3913912   1.63423127  1.1606213   1.35733964  0.44480977  1.47077977
  0.93380219 -0.25990815  0.1354112   0.19319446  0.        ]",[-0.55255401 -0.4211196 ]
7,[-0.4632796 -1.0023098],[-0.68638768 -1.37960499],-0.0428837397715,-0.0428837397715,"[[ 1.13459718 -0.01966095  0.05210515  0.17065788]
 [ 7.04170438 -5.3045145   0.          0.        ]]","[ 0.20729859  1.63735602  1.26807231  1.12803372  0.44480952  1.4707776
  0.87239414 -0.47860407 -0.03301265  0.30413977  0.        ]",[-0.55255401 -0.4211196 ]
8,[ 0.34176412 -0.14089692],[ 0.07965192 -1.1768525 ],-0.0378821178926,-0.0378821178926,"[[ 1.24680582 -0.16441418  0.05210515  0.17065788]
 [ 4.18864835 -9.15796938  0.          0.        ]]","[ 0.05685109  1.61972502  1.33090381  0.76533999  0.44480928  1.47077543
  0.53989072 -1.03937178 -0.10030031  0.33246985  0.        ]",[-0.55255401 -0.4211196 ]
9,[ 0.60693681  0.8300311 ],[-0.42460529  0.76987714],-0.0390295060903,-0.0390295060903,"[[  1.33292327  -0.38548298   0.05210515   0.17065788]
 [  4.42229384 -12.93631505   0.           0.        ]]","[-0.0626393   1.54028666  1.36694631  0.2305927   0.44480903  1.47077327
  0.56712007 -1.5892077  -0.05998806  0.27163746  0.        ]",[-0.55255401 -0.4211196 ]
