timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[ 2.26161957 -0.79192889],[ 1.33370168 -1.42585713],-0.373171878628,-0.373171878628,"[[-0.03703918 -0.00123849 -0.10531593  0.19190523]
 [ 0.00068264 -0.00401437  0.          0.        ]]","[ 1.02040845  1.76255822 -0.17642169  1.05742703 -0.91958137  1.65454444
  0.06550481  0.29990672  2.40190884 -1.97250784  0.        ]",[-0.3885006  -0.27590001]
1,[ 1.91958666 -0.62090993],[ 1.45168285 -0.7172831 ],-0.371125130647,-0.371125130647,"[[  2.68028258e-03  -4.10612687e-02  -1.05315929e-01   1.91905230e-01]
 [  3.95808264e+00  -3.96505637e+00   0.00000000e+00   0.00000000e+00]]","[ 1.02140041  1.7614339  -0.11605966  0.95628711 -0.91958041  1.65454094
  0.4954257  -0.25474097  2.40250028 -1.9316043   0.        ]",[-0.3885006  -0.27590001]
2,[ 1.60949564 -0.6056428 ],[ 1.753348   -0.97274785],-0.363840466154,-0.363840466154,"[[ 0.12075785 -0.14808591 -0.10531593  0.19190523]
 [ 7.83676333 -6.72818617  0.          0.        ]]","[ 1.01080399  1.74799223  0.06297626  0.68573883 -0.91957945  1.65453743
  0.9167943  -0.64164996  2.39639755 -1.79734424  0.        ]",[-0.3885006  -0.27590001]
3,[ 1.25235438 -0.63552964],[ 2.87821358 -1.19564023],-0.3498046434,-0.3498046434,"[[  0.3156438   -0.31997224  -0.10531593   0.19190523]
 [ 11.63919631 -10.44801582   0.           0.        ]]","[ 0.94949018  1.69503082  0.3517276   0.26149443 -0.91957848  1.65453392
  1.32987847 -1.16252078  2.35942736 -1.57491104  0.        ]",[-0.3885006  -0.27590001]
4,[ 0.89711189 -0.70203161],[ 1.15218007 -1.65578299],-0.327514884306,-0.327514884306,"[[  0.58582649  -0.56659608  -0.10531593   0.19190523]
 [ 15.36673151 -14.20177729   0.           0.        ]]","[ 0.77868302  1.55467464  0.72027403 -0.30305453 -0.91957752  1.65453041
  1.7348239  -1.68814068  2.25528814 -1.29760128  0.        ]",[-0.3885006  -0.27590001]
5,[ 0.49967062 -0.64474183],[ 0.659564   -0.95288193],-0.295136185943,-0.295136185943,"[[  0.92982556  -0.88754349  -0.10531593   0.19190523]
 [ 19.02114148 -17.88055887   0.           0.        ]]","[ 0.43619784  1.27211555  1.09819487 -0.90961502 -0.91957656  1.6545269
  2.131822   -2.20325728  2.04613703 -1.01450633  0.        ]",[-0.3885006  -0.27590001]
6,[-0.10718387 -0.23161182],[ 0.79648093 -0.23345545],-0.254753330058,-0.254753330058,"[[  1.3326808   -1.27945084  -0.10531593   0.19190523]
 [ 21.2570594  -21.29864305   0.           0.        ]]","[-0.09089195  0.81441597  1.35700674 -1.37282839 -0.91957559  1.65452339
  2.37471638 -2.68186336  1.72480214 -0.82612856  0.        ]",[-0.3885006  -0.27590001]
7,[-1.48458457  0.2182498 ],[-1.65890952  1.20032867],-0.211949686974,-0.211949686974,"[[  1.78524839  -1.71045216  -0.10531593   0.19190523]
 [ 23.99076778 -21.7996739    0.           0.        ]]","[-0.74401326  0.2471523   1.36507431 -1.45515129 -0.91957463  1.65451988
  2.67168504 -2.75200676  1.32592965 -0.79619188  0.        ]",[-0.3885006  -0.27590001]
8,[-1.36825991  0.73773277],[-1.25930967 -0.17217584],-0.183280525343,-0.183280525343,"[[  2.22060366  -2.10236135  -0.10531593   0.19190523]
 [ 19.55928827 -17.40612496   0.           0.        ]]","[-1.31494372 -0.24194386  1.09011001 -1.12933788 -0.91957367  1.65451637
  2.1902583  -2.1367961   0.97432219 -0.93396069  0.        ]",[-0.3885006  -0.27590001]
9,[-1.30071807  1.02467787],[-0.58066738  1.04312846],-0.180845498343,-0.180845498343,"[[  2.56819852  -2.45385326  -0.10531593   0.19190523]
 [ 15.2144537  -17.7421227    0.           0.        ]]","[-1.65706137 -0.59551605  0.70445593 -0.55208686 -0.91957271  1.65451286
  1.71824872 -2.18383672  0.76652914 -1.20049838  0.        ]",[-0.3885006  -0.27590001]
10,[-1.44081283  1.26577449],[-0.88830638  2.20060599],-0.194727442524,-0.194727442524,"[[  2.84640572  -2.76543894  -0.10531593   0.19190523]
 [ 12.61486191 -13.43089238   0.           0.        ]]","[-1.82690542 -0.80489403  0.32206439  0.12735012 -0.91957174  1.65450935
  1.43583711 -1.5801588   0.66632874 -1.49821656  0.        ]",[-0.3885006  -0.27590001]
11,[-1.32918072  1.53639257],[-1.75061267  1.80945584],-0.210644553132,-0.210644553132,"[[ 3.06091328 -2.99166074 -0.10531593  0.19190523]
 [ 8.84840453 -9.20541069  0.          0.        ]]","[-1.88512513 -0.88297291  0.00236047  0.68110712 -0.91957078  1.65450585
  1.02666351 -0.98849025  0.63174712 -1.72881553  0.        ]",[-0.3885006  -0.27590001]
12,[-1.07725334  1.86292398],[-0.21605232  1.65439801],-0.216721620765,-0.216721620765,"[[ 3.19640393 -3.06934296 -0.10531593  0.19190523]
 [ 4.71436332 -0.01247988  0.          0.        ]]","[-1.88766913 -0.89442504 -0.2034152   0.87718933 -0.91956982  1.65450234
  0.57755788  0.29873746  0.62520253 -1.80819671  0.        ]",[-0.3885006  -0.27590001]
13,[-1.07680678  1.83292496],[-0.69609155  1.39067555],-0.211143032249,-0.211143032249,"[[ 3.28117387 -3.0298626  -0.10531593  0.19190523]
 [ 3.76578781  3.94731874  0.          0.        ]]","[-1.87569336 -0.88960017 -0.33162177  0.77732073 -0.91956885  1.65449883
  0.47450818  0.85320244  0.60920708 -1.75184416  0.        ]",[-0.3885006  -0.27590001]
14,[-0.84733588  1.6445719 ],[ 0.37064918  1.92234548],-0.197844891174,-0.197844891174,"[[ 3.32809087 -2.91197366 -0.10531593  0.19190523]
 [ 0.93533562  7.82864109  0.          0.        ]]","[-1.86460431 -0.86297958 -0.40198483  0.48235003 -0.91956789  1.65449532
  0.16701918  1.39667746  0.56340179 -1.62288552  0.        ]",[-0.3885006  -0.27590001]
15,[-1.25873971  1.01485789],[-1.45476099  1.03733249],-0.175942728578,-0.175942728578,"[[  3.36133555  -2.71722752  -0.10531593   0.19190523]
 [  2.38424494  11.63329119   0.           0.        ]]","[-1.85483815 -0.77990267 -0.45147653  0.01455928 -0.91956693  1.65449181
  0.32442273  1.92941343  0.45724444 -1.43343857  0.        ]",[-0.3885006  -0.27590001]
16,[-0.63858271  0.40502456],[-0.46527336 -0.62062378],-0.14701156344,-0.14701156344,"[[  3.36882073  -2.44714537  -0.10531593   0.19190523]
 [ -1.62238404  15.3625161    0.           0.        ]]","[-1.85241871 -0.58982302 -0.46257098 -0.56522208 -0.91956596  1.6544883
 -0.11084167  2.45158269  0.26851437 -1.21805907  0.        ]",[-0.3885006  -0.27590001]
17,[-0.28266913  0.38321343],[ 0.08097003  0.12212027],-0.120697282195,-0.120697282195,"[[  3.31821079  -2.16760217  -0.10531593   0.19190523]
 [ -3.43248684  12.60102672   0.           0.        ]]","[-1.86718698 -0.31525921 -0.3872127  -1.04073088 -0.919565    1.65448479
 -0.30748407  2.06490429  0.06794403 -1.03451769  0.        ]",[-0.3885006  -0.27590001]
18,[-0.38128805 -0.116346  ],[-1.94396425 -0.32853468],-0.100886000292,-0.100886000292,"[[  3.25345543  -1.91323296  -0.10531593   0.19190523]
 [ -3.0443665   12.83511013   0.           0.        ]]","[-1.88072868 -0.01433586 -0.28982102 -1.33238556 -0.91956404  1.65448128
 -0.26531999  2.09767488 -0.11512016 -0.89952262  0.        ]",[-0.3885006  -0.27590001]
