timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-2.29945469 -1.3912884 ],[-1.66970331 -0.57354828],-0.220849680786,-0.220849680786,"[[ 0.07021109  0.02364263  0.08121923 -0.16261397]
 [-0.00489489  0.00120497  0.          0.        ]]","[ 1.02332053  1.95085009 -0.0252404   0.91327972  0.69159926 -1.39736893
  0.10071485  0.31241656  0.70127768  1.71233101  0.        ]",[-0.26886836 -0.13904735]
1,[-1.5799973  -1.05592775],[-1.00949852 -1.3964202 ],-0.212498842375,-0.212498842375,"[[  3.04325173e-02   8.96096792e-04   8.12192303e-02  -1.62613966e-01]
 [ -3.95979661e+00  -2.26829987e+00   0.00000000e+00   0.00000000e+00]]","[ 1.02620773  1.95121698 -0.08586262  0.85231777  0.69159841 -1.3973655
 -0.27367849  0.00783107  0.70633694  1.61453003  0.        ]",[-0.26886836 -0.13904735]
2,[-0.33614025 -0.49721044],[ 0.21099111 -0.39214897],-0.185278247277,-0.185278247277,"[[-0.08765289 -0.083732    0.08121923 -0.16261397]
 [-7.83585256 -6.18147009  0.          0.        ]]","[ 1.02133125  1.94650595 -0.26588554  0.62575381  0.69159756 -1.39736207
 -0.64060761 -0.51734718  0.69112297  1.30752023  0.        ]",[-0.26886836 -0.13904735]
3,[ 0.31156281 -0.22590598],[-1.48989903 -1.54977592],-0.146447421877,-0.146447421877,"[[-0.23443577 -0.22171629  0.08121923 -0.16261397]
 [-6.84575119 -7.61218496  0.          0.        ]]","[ 0.98737505  1.91833714 -0.48678304  0.26051415  0.69159671 -1.39735864
 -0.54687825 -0.7093598   0.59484751  0.90865749  0.        ]",[-0.26886836 -0.13904735]
4,[ 1.5539099   0.32956788],[ 0.89015542  1.22512064],-0.0952733750255,-0.0952733750255,"[[ -0.40967165  -0.41216034   0.08121923  -0.16261397]
 [-10.66523087 -11.41951839   0.           0.        ]]","[ 0.90738873  1.83876223 -0.74012424 -0.22377047  0.69159586 -1.39735521
 -0.90845129 -1.22033245  0.3587956   0.46888598  0.        ]",[-0.26886836 -0.13904735]
5,[ 1.677984    0.32342663],[ 2.12934623 -0.41266368],-0.0439418479958,-0.0439418479958,"[[-0.58554819 -0.59856637  0.08121923 -0.16261397]
 [-6.93475405 -7.23502774  0.          0.        ]]","[ 0.78632504  1.71776998 -0.97566258 -0.66030196  0.69159501 -1.39735178
 -0.55530175 -0.65873915  0.02305131  0.13701157  0.        ]",[-0.26886836 -0.13904735]
6,[ 1.57045364  0.58677554],[ 1.32853708  0.67603958],-0.0142441420353,-0.0142441420353,"[[-0.68317157 -0.75823734  0.08121923 -0.16261397]
 [-2.84119278 -8.7270926   0.          0.        ]]","[  7.02814844e-01   1.58337744e+00  -1.09560601e+00  -9.93146874e-01
   6.91594163e-01  -1.39734835e+00  -1.67780727e-01  -8.58985184e-01
  -2.42548368e-01   1.02345982e-03   0.00000000e+00]",[-0.26886836 -0.13904735]
7,[ 0.92565048  0.48358706],[ 1.03526401  0.27586349],-0.0144088463111,-0.0144088463111,"[[-0.69974747 -0.90420089  0.08121923 -0.16261397]
 [ 1.17034157 -5.87873915  0.          0.        ]]","[ 0.68755207  1.43872804 -1.11508909 -1.25658388  0.69159331 -1.39734492
  0.21197512 -0.47671235 -0.3943189  -0.01825888  0.        ]",[-0.26886836 -0.13904735]
8,[ 0.17428371  0.32033715],[-0.34023895 -0.02882284],-0.0112479713489,-0.0112479713489,"[[-0.63687909 -1.00966004  0.08121923 -0.16261397]
 [ 5.10345636 -4.67116895  0.          0.        ]]","[ 0.74379343  1.32303952 -1.03980024 -1.41932524  0.69159246 -1.39734149
  0.58430712 -0.31464615 -0.40059656  0.0285886   0.        ]",[-0.26886836 -0.13904735]
9,[ 0.27593118  0.43363687],[ 0.97565957  0.50646713],-0.00498188263413,-0.00498188263413,"[[-0.54932927 -1.10329572  0.08121923 -0.16261397]
 [ 3.6563284  -4.69234144  0.          0.        ]]","[ 0.81442845  1.21362579 -0.92904879 -1.54273758  0.69159161 -1.39733806
  0.44731263 -0.31748738 -0.36663375  0.09460657  0.        ]",[-0.26886836 -0.13904735]
10,[-0.64615989  0.10415709],[-0.26485727  0.35358011],-0.0112453808227,-0.0112453808227,"[[-0.4381991  -1.17609868  0.08121923 -0.16261397]
 [ 7.44411237 -2.59490345  0.          0.        ]]","[ 0.89043918  1.1248411  -0.77979307 -1.62425396  0.69159076 -1.39733462
  0.80588672 -0.0359934  -0.29060019  0.18051681  0.        ]",[-0.26886836 -0.13904735]
11,[-0.80360651 -0.00975272],[-1.60380295 -1.8996968 ],-0.0308511089609,-0.0308511089609,"[[-0.3013124  -1.2134293   0.08121923 -0.16261397]
 [ 6.2485268  -1.14300992  0.          0.        ]]","[ 0.96181208  1.07822377 -0.58516916 -1.66099036  0.69158991 -1.39733119
  0.69270426  0.15886304 -0.16296249  0.29630664  0.        ]",[-0.26886836 -0.13904735]
12,[-0.05735421  0.51427948],[ 0.93713302  1.46942071],-0.0401155409021,-0.0401155409021,"[[-0.2172739  -1.27577925  0.08121923 -0.16261397]
 [ 2.16886992 -5.07890341  0.          0.        ]]","[ 0.99291408  0.99893812 -0.46124688 -1.71452568  0.69158906 -1.39732776
  0.30649801 -0.36936774 -0.12651348  0.37108102  0.        ]",[-0.26886836 -0.13904735]
13,[-1.0352385   0.02956414],[-1.5494344   1.18038894],-0.0486731656128,-0.0486731656128,"[[-0.13712887 -1.33662853  0.08121923 -0.16261397]
 [ 5.83346585 -1.01952173  0.          0.        ]]","[ 1.01330624  0.92009581 -0.34089008 -1.75716409  0.69158821 -1.39732433
  0.65341119  0.17543682 -0.09825178  0.44393077  0.        ]",[-0.26886836 -0.13904735]
14,[-0.89103878 -0.32634881],[-1.30996201 -1.07159558],-0.0626414548155,-0.0626414548155,"[[-0.06133029 -1.31707864  0.08121923 -0.16261397]
 [ 1.75994372  2.96122103  0.          0.        ]]","[ 1.02414458  0.94556446 -0.22581532 -1.74450259  0.69158736 -1.3973209
  0.26778526  0.70968703 -0.00887022  0.52570058  0.        ]",[-0.26886836 -0.13904735]
