timestep,avg_action_dist,actions,original_rewards,rewards,human_obs,obs,logstd_action_dist
0,[-4.63740587 -1.39790905],[-4.2132024  -0.40646786],-0.332114579917,-0.332114579917,"[[ 0.0943311  -0.02347691 -0.06106683 -0.17570016]
 [ 0.00472689 -0.00275653  0.          0.        ]]","[ 1.07725932  1.46697488  0.06480831  1.29104781 -0.53302368 -1.51250318
  0.02970481  0.28893496  2.35167439  2.57922446  0.        ]",[-0.816589   -0.68824112]
1,[-4.05826235 -1.26137424],[-3.58342599 -0.75622129],-0.326829431134,-0.326829431134,"[[ 0.05474047 -0.03966414 -0.06106683 -0.17570016]
 [-3.95062314 -1.61061247  0.          0.        ]]","[ 1.08146524  1.46628925  0.00585359  1.24971919 -0.53302346 -1.51250156
 -0.48980155  0.03360051  2.35730801  2.44949419  0.        ]",[-0.816589   -0.68824112]
2,[-3.28919554 -1.05053759],[-2.61278386 -0.10973065],-0.308985583961,-0.308985583961,"[[-0.06316706 -0.10158429 -0.06106683 -0.17570016]
 [-7.82723388 -4.57153702  0.          0.        ]]","[ 1.080756    1.46043834 -0.17012024  1.09196917 -0.53302324 -1.51249993
 -0.99896575 -0.43660703  2.34188846  2.0440348   0.        ]",[-0.816589   -0.68824112]
3,[-2.34066987 -1.13969254],[-1.89812087 -1.2801625 ],-0.276108776666,-0.276108776666,"[[ -0.25784834  -0.19645105  -0.06106683  -0.17570016]
 [-11.62825609  -4.91398914   0.           0.        ]]","[ 1.03642703  1.44158573 -0.45665787  0.85241672 -0.53302301 -1.51249831
 -1.498201   -0.49098973  2.2128432   1.40756526  0.        ]",[-0.816589   -0.68824112]
4,[-0.43145368 -0.15572247],[ 0.01118766  0.45002361],-0.223094555871,-0.223094555871,"[[ -0.52778403  -0.33346652  -0.06106683  -0.17570016]
 [-15.35299249  -8.77466434   0.           0.        ]]","[ 0.88942679  1.39358098 -0.82793407  0.51490215 -0.53302279 -1.51249669
 -1.98741484 -1.10408128  1.83423684  0.63429241  0.        ]",[-0.816589   -0.68824112]
5,[ 1.27030122  0.45590869],[ 1.3261024   0.32349446],-0.155749889509,-0.155749889509,"[[ -0.83136532  -0.48933583  -0.06106683  -0.17570016]
 [-15.00628533  -6.81876283   0.           0.        ]]","[ 0.6182211   1.31020728 -1.17921746  0.1503403  -0.53302257 -1.51249507
 -1.9418744  -0.79347504  1.1932696   0.03346377  0.        ]",[-0.816589   -0.68824112]
6,[ 2.08792853  0.80214775],[ 2.32686311  1.26189816],-0.0957626063603,-0.0957626063603,"[[ -1.08882969  -0.61151613  -0.06106683  -0.17570016]
 [-10.75426005  -5.40399648   0.           0.        ]]","[ 0.31806618  1.22469337 -1.39908683 -0.11549534 -0.53302234 -1.51249345
 -1.38340151 -0.56880362  0.56217112 -0.18835881  0.        ]",[-0.816589   -0.68824112]
7,[ 1.92284071  0.19840035],[ 1.65218939 -0.50753783],-0.0561921390214,-0.0561921390214,"[[-1.26210312 -0.67880696 -0.06106683 -0.17570016]
 [-6.58688466 -1.33865277  0.          0.        ]]","[ 0.09016725  1.17052455 -1.49861171 -0.25280809 -0.53302212 -1.51249182
 -0.83604777  0.07679114  0.14242701 -0.1901176   0.        ]",[-0.816589   -0.68824112]
8,[ 0.92840052  0.59470999],[ 1.5327218   0.39848894],-0.0343605367617,-0.0343605367617,"[[-1.35283298 -0.72549062 -0.06106683 -0.17570016]
 [-2.49971052 -3.32310753  0.          0.        ]]","[-0.03479534  1.13015725 -1.53386579 -0.34384093 -0.5330219  -1.5124902
 -0.29922816 -0.23834918 -0.08413174 -0.13788747  0.        ]",[-0.816589   -0.68824112]
9,[-0.78182352 -0.038506  ],[-1.02512101  0.30345295],-0.027088582867,-0.027088582867,"[[-1.36264189 -0.77547483 -0.06106683 -0.17570016]
 [ 1.50551    -1.68077914  0.          0.        ]]","[-0.04847577  1.08451877 -1.53696146 -0.43721087 -0.53302167 -1.51248858
  0.22682743  0.02246008 -0.15089804 -0.09718925  0.        ]",[-0.816589   -0.68824112]
10,[ 0.67705333  0.06020957],[ 0.29730927 -0.39485736],-0.0229855706005,-0.0229855706005,"[[-1.37253009 -0.79668796 -0.06106683 -0.17570016]
 [-2.48105952 -0.44465834  0.          0.        ]]","[-0.0622955   1.06442084 -1.53993986 -0.47549969 -0.53302145 -1.51248696
 -0.29677863  0.21876171 -0.1894686  -0.0755269   0.        ]",[-0.816589   -0.68824112]
11,[ 0.56626725  0.46610335],[ 1.35844197  0.31911324],-0.0138029162914,-0.0138029162914,"[[-1.40985205 -0.82118346 -0.06106683 -0.17570016]
 [-1.25522286 -1.99970968  0.          0.        ]]","[-0.11469294  1.04068986 -1.54989408 -0.51868948 -0.53302123 -1.51248534
 -0.13577404 -0.02818771 -0.28211738 -0.03257161  0.        ]",[-0.816589   -0.68824112]
12,[-1.24645436 -0.17217395],[-1.05769093 -0.23078889],-0.013363871652,-0.013363871652,"[[-1.39501548 -0.84811543 -0.06106683 -0.17570016]
 [ 2.72563771 -0.69781593  0.          0.        ]]","[-0.09382115  1.01396737 -1.54617973 -0.56487948 -0.533021   -1.51248371
  0.38708248  0.17855911 -0.27793919 -0.01876109  0.        ]",[-0.816589   -0.68824112]
13,[ 0.50965977  0.4359937 ],[ 0.77639545  0.48254186],-0.0133425770749,-0.0133425770749,"[[-1.38073726 -0.87108914 -0.06106683 -0.17570016]
 [-1.28447288 -1.59656879  0.          0.        ]]","[-0.07378664  0.9906639  -1.54229949 -0.60318377 -0.53302078 -1.51248209
 -0.13961605  0.03583285 -0.27121937 -0.00773212  0.        ]",[-0.816589   -0.68824112]
14,[-1.01251459 -0.32691836],[-1.25968188 -0.11601133],-0.0129280696325,-0.0129280696325,"[[-1.37535752 -0.88354265 -0.06106683 -0.17570016]
 [ 1.8121417   0.34475223  0.          0.        ]]","[ -6.62520802e-02   9.77840351e-01  -1.54075886e+00  -6.23517722e-01
  -5.33020558e-01  -1.51248047e+00   2.67101567e-01   3.44123885e-01
  -2.72040047e-01  -3.81989113e-05   0.00000000e+00]",[-0.816589   -0.68824112]
15,[ 0.67545879  0.10163334],[ 0.29199259 -0.00779278],-0.0124980046577,-0.0124980046577,"[[-1.37916972 -0.88131252 -0.06106683 -0.17570016]
 [-2.18006603 -0.12019213  0.          0.        ]]","[ -7.15903777e-02   9.80145754e-01  -1.54185206e+00  -6.19898471e-01
  -5.33020335e-01  -1.51247885e+00  -2.57245838e-01   2.70288359e-01
  -2.77112775e-01   4.13848224e-04   0.00000000e+00]",[-0.816589   -0.68824112]
16,[ 0.31216565  0.07791188],[ 0.78025521  0.36019078],-0.00683244111352,-0.00683244111352,"[[-1.41074709 -0.88400569 -0.06106683 -0.17570016]
 [-0.98166191 -0.1490301   0.          0.        ]]","[-0.11595363  0.97735977 -1.55009914 -0.62426733 -0.53302011 -1.51247723
 -0.09984408  0.26570865 -0.337518    0.0248441   0.        ]",[-0.816589   -0.68824112]
17,[-1.23621714 -0.61412847],[-2.22856714 -1.01621085],-0.00995122067387,-0.00995122067387,"[[-1.39921632 -0.87265673 -0.06106683 -0.17570016]
 [ 2.12439036  1.27917092  0.          0.        ]]","[-0.09972531  0.98905461 -1.54725528 -0.60575897 -0.53301989 -1.51247561
  0.30811348  0.49251388 -0.30681055  0.00611685  0.        ]",[-0.816589   -0.68824112]
18,[ 0.99432421  0.84545183],[ 1.25879485 -0.34120634],-0.00878230136632,-0.00878230136632,"[[-1.39683443 -0.88704269 -0.06106683 -0.17570016]
 [-1.8729048  -2.70449626  0.          0.        ]]","[-0.09637699  0.97421019 -1.54664208 -0.62917651 -0.53301967 -1.51247398
 -0.21690262 -0.14011239 -0.31450757  0.01764971  0.        ]",[-0.816589   -0.68824112]
19,[-0.22658619  0.92729354],[ 0.32099768  0.99731148],-0.00184583452772,-0.00184583452772,"[[-1.39422012 -0.95416299 -0.06106683 -0.17570016]
 [ 2.1210575  -4.00319341  0.          0.        ]]","[-0.09270357  0.90269019 -1.5459596  -0.73294386 -0.53301944 -1.51247236
  0.30767586 -0.34635195 -0.36464318  0.08023877  0.        ]",[-0.816589   -0.68824112]
