timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.250277791067,[-1.38120357  0.88208649],-1.16996,"[[ 0.08309528 -0.00973994  0.08283194 -0.19957762]
 [-0.00136    -0.00033253  0.          0.        ]]","[ 1.14993925  1.84051021  0.2202122  -0.60835974  0.72306974 -1.70912912
  0.9537112  -0.33304674  0.6256481   1.78220537  0.        ]",[-2.73733544  0.17146707],[-0.06956543 -0.20913611]
1,-0.246573662946,[-2.21608239  0.39765364],-1.0495,"[[ 0.04336423  0.02531231  0.08283194 -0.19957762]
 [-3.95856531  3.49390703  0.          0.        ]]","[ 1.15339228  1.84014942  0.16061964 -0.51312566  0.72306786 -1.70911769
  0.80062626  0.15372504  0.62763655  1.74588253  0.        ]",[-2.72460389  0.15867823],[-0.06956543 -0.20913611]
2,-0.233475535395,[-1.07996895  0.70785146],-1.15791,"[[-0.07471795  0.1103094   0.08283194 -0.19957762]
 [-7.83674291  5.00076965  0.          0.        ]]","[ 1.15083962  1.83281452 -0.01673251 -0.28277874  0.72306598 -1.70910626
  0.65059904  0.36364121  0.62766834  1.62068427  0.        ]",[-2.6323278   0.19624841],[-0.06956543 -0.20913611]
3,-0.20964798233,[-3.04159823 -0.18675887],-0.75578,"[[ -0.26959924   0.23746704   0.08283194  -0.19957762]
 [-11.63874381   7.70595294   0.           0.        ]]","[ 1.10492557  1.80484541 -0.30485191  0.05728357  0.72306411 -1.70909484
  0.50351905  0.74049142  0.60468486  1.40476013  0.        ]",[-2.4750998   0.25534657],[-0.06956543 -0.20913611]
4,-0.172073593465,[-2.23944692  0.80497564],-0.688711,"[[ -0.53975384   0.38264799   0.08283194  -0.19957762]
 [-15.36434941   6.81505927   0.           0.        ]]","[ 0.9588656   1.74855595 -0.67696275  0.43261682  0.72306223 -1.70908341
  0.35939457  0.61638175  0.5222972   1.09300365  0.        ]",[-2.17153859  0.39114708],[-0.06956543 -0.20913611]
5,-0.120718306522,[-2.05769208 -1.51154905],-0.483215,"[[ -0.88369867   0.54958383   0.08283194  -0.19957762]
 [-19.01803715   9.86826104   0.           0.        ]]","[ 0.65097405  1.65325697 -1.06648508  0.83734116  0.72306035 -1.70907199
  0.21805231  1.04171256  0.33482542  0.72976184  0.        ]",[-1.79365039  0.53129518],[-0.06956543 -0.20913611]
6,-0.0543873179772,[-2.66851839  1.12786776],-0.289512,"[[ -1.29997061   0.70526334   0.08283194  -0.19957762]
 [-22.59728119   5.71341736   0.           0.        ]]","[ 0.14580683  1.53715209 -1.35274051  1.17942778  0.72305847 -1.70906056
  0.07958991  0.46290998 -0.00767616  0.36798275  0.        ]",[-1.21091461  0.85903001],[-0.06956543 -0.20913611]
7,-0.0408495264033,[-0.40877472  1.58587141],-0.601764,"[[ -1.78714757   0.85811946   0.08283194  -0.19957762]
 [-26.10884756   9.55922591   0.           0.        ]]","[-0.51834086  1.40035021 -1.37247852  1.47390141  0.7230566  -1.70904914
 -0.05625439  0.99865795 -0.51639153  0.14246239  0.        ]",[-0.87856418  1.00112557],[-0.06956543 -0.20913611]
8,-0.116747778643,[-0.3999647   1.71594339],-0.822428,"[[ -2.32039683   1.08711193   0.08283194  -0.19957762]
 [-27.21251733  13.32735176   0.           0.        ]]","[-1.16111563  1.16025132 -1.0046523   1.82350831  0.72305472 -1.70903771
 -0.09894959  1.5235789  -1.04312712  0.2137834   0.        ]",[-0.90628523  1.02170169],[-0.06956543 -0.20913611]
9,-0.181357102315,[-0.68388026  1.39688072],-0.93395,"[[ -2.87515753   1.39071163   0.08283194  -0.19957762]
 [-28.2601736   17.02020288   0.           0.        ]]","[-1.55140443  0.79666826 -0.30024613  2.09123558  0.72305284 -1.70902629
 -0.1394779   2.03800304 -1.42576103  0.54693013  0.        ]",[-1.15757895  0.97913104],[-0.06956543 -0.20913611]
