timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.223859377186,[-0.75589314  1.65363771],-1.24636,"[[ 0.01038992  0.04189986 -0.01388156 -0.00094356]
 [ 0.00411281 -0.00238283  0.          0.        ]]","[ 0.99710943  1.35182676  0.10885863 -0.02760368 -0.11277824 -0.00481107
  0.80644502 -0.30157583  1.30689109  0.21137808  0.        ]",[-1.72737789 -0.11305526],[-0.20698418 -0.3876797 ]
1,-0.223726312246,[-1.99716008  0.6753563 ],-1.21416,"[[ -1.95458701e-02   8.15921863e-02  -1.38815600e-02  -9.43563624e-04]
 [ -2.98772576e+00   3.95841017e+00   0.00000000e+00   0.00000000e+00]]","[ 0.99691255  1.34906565  0.06243844  0.06872469 -0.11277819 -0.00481107
  0.71487085  0.2874044   1.3062888   0.19269661  0.        ]",[-1.72105765  0.10671023],[-0.20698418 -0.3876797 ]
2,-0.222949339,[-2.22625151  0.18188263],-1.26049,"[[ -1.18408264e-01   1.86819599e-01  -1.38815600e-02  -9.43563624e-04]
 [ -6.88554051e+00   6.55566240e+00   0.00000000e+00   0.00000000e+00]]","[ 0.98717091  1.3332078  -0.0904438   0.3221852  -0.11277814 -0.00481107
  0.59556682  0.67362238  1.30046511  0.10363822  0.        ]",[-1.37113571  0.53995675],[-0.20698418 -0.3876797 ]
3,-0.220931324713,[-0.23124478  0.51340642],-1.39041,"[[ -2.94446506e-01   3.23870434e-01  -1.38815600e-02  -9.43563624e-04]
 [ -1.07055895e+01   7.14741916e+00   0.00000000e+00   0.00000000e+00]]","[ 0.93563501  1.29423516 -0.35729139  0.64438963 -0.11277809 -0.00481107
  0.4786431   0.76161768  1.27327343 -0.10533241  0.        ]",[-0.84979719  1.00041759],[-0.20698418 -0.3876797 ]
4,-0.217064616092,[-0.29993144  1.04070813],-1.48645,"[[ -5.15621021e-01   4.85796317e-01  -1.38815600e-02  -9.43563624e-04]
 [ -1.14095333e+01   9.03884527e+00   0.00000000e+00   0.00000000e+00]]","[ 0.81124619  1.22245559 -0.67188056  1.00591666 -0.11277803 -0.00481106
  0.45709664  1.04287699  1.20357107 -0.36599494  0.        ]",[-0.53686893  1.32213879],[-0.20698418 -0.3876797 ]
5,-0.209743045288,[-0.50530639  2.52608697],-1.56938,"[[ -7.53469097e-01   7.04505886e-01  -1.38815600e-02  -9.43563624e-04]
 [ -1.23720864e+01   1.28194783e+01   0.00000000e+00   0.00000000e+00]]","[ 0.61007243  1.08458003 -0.96822149  1.44542681 -0.11277798 -0.00481106
  0.42763472  1.60506497  1.09019942 -0.5722796   0.        ]",[-0.46377113  1.53095329],[-0.20698418 -0.3876797 ]
6,-0.196369590489,[ 0.07439344  2.05835108],-1.62345,"[[ -1.01853093e+00   9.98077302e-01  -1.38815600e-02  -9.43563624e-04]
 [ -1.41282895e+01   1.65252468e+01   0.00000000e+00   0.00000000e+00]]","[ 0.31731872  0.83669455 -1.22744903  1.91418395 -0.11277793 -0.00481106
  0.37388088  2.15611709  0.92705927 -0.70435009  0.        ]",[-0.53358352  1.656937  ],[-0.20698418 -0.3876797 ]
7,-0.174423632504,[-1.07619468  1.95455878],-1.55661,"[[ -1.29535547e+00   1.36501843e+00  -1.38815600e-02  -9.43563624e-04]
 [ -1.35559903e+01   2.01567617e+01   0.00000000e+00   0.00000000e+00]]","[-0.04400074  0.45633594 -1.39952768  2.25089528 -0.11277788 -0.00481106
  0.39139755  2.69612206  0.72267163 -0.71593763  0.        ]",[-0.93690383  1.56295943],[-0.20698418 -0.3876797 ]
8,-0.141305621404,[ 0.07291944  1.49624481],-1.30179,"[[ -1.60350484e+00   1.80387498e+00  -1.38815600e-02  -9.43563624e-04]
 [ -1.72467934e+01   2.37168867e+01   0.00000000e+00   0.00000000e+00]]","[-0.4797274  -0.03411354 -1.45715047  2.23643927 -0.11277783 -0.00481105
  0.27842968  3.22550316  0.46307388 -0.61361392  0.        ]",[-1.02278161  1.52313793],[-0.20698418 -0.3876797 ]
9,-0.0956989816725,[-0.621397    2.59620966],-0.816207,"[[ -1.94213223e+00   2.31321733e+00  -1.38815600e-02  -9.43563624e-04]
 [ -1.66178684e+01   2.72057933e+01   0.00000000e+00   0.00000000e+00]]","[-0.95189946 -0.53560112 -1.35228559  1.66225826 -0.11277778 -0.00481105
  0.29767962  3.74428298  0.15617497 -0.37288692  0.        ]",[-1.38015199  1.1069417 ],[-0.20698418 -0.3876797 ]
10,-0.0404859439232,[-2.72317508  0.46276314],-0.397704,"[[ -2.29587649e+00   2.89164921e+00  -1.38815600e-02  -9.43563624e-04]
 [ -1.87494141e+01   3.06260581e+01   0.00000000e+00   0.00000000e+00]]","[-1.38141929 -0.86555367 -1.06788473  0.47199813 -0.11277773 -0.00481105
  0.23243732  4.25284145 -0.17631334  0.01780035  0.        ]",[-1.73483348  0.39778271],[-0.20698418 -0.3876797 ]
11,-0.0228468578582,[-2.62603927  1.66973274],-0.4067,"[[ -2.70688114e+00   3.18219030e+00  -1.38815600e-02  -9.43563624e-04]
 [ -2.23388948e+01   1.93399643e+00   0.00000000e+00   0.00000000e+00]]","[-1.73007926 -0.89963479 -0.5603338  -0.22816321 -0.11277767 -0.00481105
  0.12257066 -0.01364923 -0.32304229  0.23815512  0.        ]",[-2.28795791  1.26450002],[-0.20698418 -0.3876797 ]
12,-0.0239768502148,[-1.99209116  2.31385199],-0.474051,"[[ -3.18895028e+00   3.14911266e+00  -1.38815600e-02  -9.43563624e-04]
 [ -2.58562114e+01  -3.26208478e+00   0.00000000e+00   0.00000000e+00]]","[-1.86148723 -0.90053055  0.16616662 -0.1477565  -0.11277762 -0.00481105
  0.0149128  -0.78630286 -0.29402821  0.15225193  0.        ]",[-2.3254807   1.84091663],[-0.20698418 -0.3876797 ]
13,-0.0209365953255,[-1.95241136  1.62404728],-0.514413,"[[ -3.74066357e+00   3.08672288e+00  -1.38815600e-02  -9.43563624e-04]
 [ -2.93036069e+01  -2.66392797e+00   0.00000000e+00   0.00000000e+00]]","[-1.6140434  -0.89886605  0.96717436  0.00388723 -0.11277757 -0.00481104
 -0.09060492 -0.69735682 -0.33633887  0.04347724  0.        ]",[-2.14023185  1.71362853],[-0.20698418 -0.3876797 ]
14,-0.0136712484367,[-1.13526537  1.73081076],-0.637348,"[[ -4.36063928e+00   3.04526153e+00  -1.38815600e-02  -9.43563624e-04]
 [ -3.26827038e+01  -1.51983742e+00   0.00000000e+00   0.00000000e+00]]","[-0.92569005 -0.89533734  1.54853537  0.10441201 -0.11277752 -0.00481104
 -0.19403215 -0.52723086 -0.42786201  0.02328765  0.        ]",[-1.93379545  1.55330539],[-0.20698418 -0.3876797 ]
