timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.24550407 -0.40596673],"[ 1.22203936  2.4998538  -0.01889432  1.24906599  0.42280091 -0.10367171
  0.19707629  0.39370833  1.03998889  0.15678494  0.        ]",[-0.02708895 -2.29804897],-0.821535,-0.160932885902,"[[-0.04841686  0.09195199  0.04948754 -0.01441118]
 [ 0.00225747  0.00201044  0.          0.        ]]",[ 0.00854643 -1.90316987]
1,[-0.24550407 -0.40596673],"[ 1.22196847  2.50414379 -0.02039051  1.09437867  0.4228005  -0.10367162
  0.19464055 -0.15632937  1.0407351   0.11751612  0.        ]",[ 0.44221172 -1.86407127],-0.917369,-0.16068797636,"[[-0.04943191  0.05226438  0.04948754 -0.01441118]
 [-0.10341471 -3.95757579  0.          0.        ]]",[ 0.11058258 -1.7639327 ]
2,[-0.24550407 -0.40596673],"[  1.22285644e+00   2.50292285e+00   2.49204925e-03   6.33123720e-01
   4.22800089e-01  -1.03671534e-01   2.35041473e-01  -6.95577241e-01
   1.03708774e+00   3.41174943e-02   0.00000000e+00]",[-0.05223793 -1.09655061],-0.976698,-0.15990826425,"[[-0.03391293 -0.06583569  0.04948754 -0.01441118]
 [ 1.6494696  -7.83949079  0.          0.        ]]",[ 0.04510908 -1.71049798]
3,[-0.24550407 -0.40596673],"[ 1.22363834  2.45525596  0.04764608 -0.11744676  0.42279968 -0.10367145
  0.22955896 -1.22404033  1.01278854 -0.09204655  0.        ]",[-0.67916563 -1.48410557],-0.908569,-0.157380063119,"[[ -3.30979557e-03  -2.60795173e-01   4.94875389e-02  -1.44111829e-02]
 [  1.41160869e+00  -1.16437793e+01   0.00000000e+00   0.00000000e+00]]",[-0.11207972 -1.67818308]
4,[-0.24550407 -0.40596673],"[ 1.22363971  2.29876976  0.04913153 -1.08901757  0.42279927 -0.10367136
  0.16701363 -1.74191035  0.92600865 -0.32474188  0.        ]",[ 0.40822439 -2.39031682],-0.76888,-0.151114302099,"[[ -2.30321746e-03  -5.31075439e-01   4.94875389e-02  -1.44111829e-02]
 [ -1.30203633e+00  -1.53718361e+01   0.00000000e+00   0.00000000e+00]]",[-0.1291948  -1.56100619]
5,[-0.24550407 -0.40596673],"[ 1.2235437   1.96538402  0.03500357 -2.10979685  0.42279886 -0.10367127
  0.20483971 -2.24973774  0.73493625 -0.58485992  0.        ]",[ 0.92952195 -1.59951076],-0.744013,-0.139962044001,"[[ -1.18766419e-02  -8.75192223e-01   4.94875389e-02  -1.44111829e-02]
 [  3.39128092e-01  -1.90276439e+01   0.00000000e+00   0.00000000e+00]]",[-0.05845345 -1.36706352]
6,[-0.24550407 -0.40596673],"[ 1.22294472  1.41525801  0.09935977 -2.86651208  0.42279844 -0.10367119
  0.28944786 -2.74756059  0.46329588 -0.71441647  0.        ]",[ 1.02582171 -0.84230368],-0.726664,-0.121112165495,"[[  3.17370158e-02  -1.29170376e+00   4.94875389e-02  -1.44111829e-02]
 [  4.01002273e+00  -2.26115021e+01   0.00000000e+00   0.00000000e+00]]",[ 0.08009672 -1.023592  ]
7,[-0.24550407 -0.40596673],"[ 1.20799631  0.69821663  0.27429475 -2.93815402  0.42279803 -0.1036711
  0.3788166  -3.14871673  0.15774214 -0.65667827  0.        ]",[ 1.3967118  -0.95715366],-0.611353,-0.0915440219491,"[[  1.50839686e-01  -1.77291164e+00   4.94875389e-02  -1.44111829e-02]
 [  7.88746609e+00  -2.54995578e+01   0.00000000e+00   0.00000000e+00]]",[-0.39058071 -0.76312888]
8,[-0.24550407 -0.40596673],"[ 1.14166519 -0.02041056  0.55404054 -1.98226005  0.42279762 -0.10367102
  0.4664397  -3.60499835 -0.15900041 -0.42130529  0.        ]",[-1.20788414  0.02697847],-0.432939,-0.0530293861457,"[[  3.46731043e-01  -2.31586339e+00   4.94875389e-02  -1.44111829e-02]
 [  1.16891731e+01  -2.87845717e+01   0.00000000e+00   0.00000000e+00]]",[-1.21521354 -0.51687485]
9,[-0.24550407 -0.40596673],"[ 1.02873085 -0.45581997  0.80934313 -0.10244745  0.42279721 -0.10367093
  0.36984393 -3.51093672 -0.48100647 -0.07677652  0.        ]",[-1.62165032 -1.161931  ],-0.340421,-0.0426298917372,"[[  5.38465872e-01  -2.88476253e+00   4.94875389e-02  -1.44111829e-02]
 [  7.49820843e+00  -2.81077051e+01   0.00000000e+00   0.00000000e+00]]",[-1.58169341 -0.39730471]
