timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.31020376 -0.4578464 ],"[[ 0.05029167  0.0253804   0.0898849  -0.04614308]
 [ 0.00227525 -0.00420779  0.          0.        ]]",[ 0.18949403 -0.98611648],"[ 1.25688437  2.3171598   0.0825866   1.00799868  0.76784903 -0.39403453
  0.31484565  0.3936328   0.72720049  0.52222769  0.        ]",-1.32087,-0.133642930546,[-1.1204257  -2.21874857]
1,[-0.31020376 -0.4578464 ],"[[ 0.05787307 -0.01388213  0.0898849  -0.04614308]
 [ 0.75335848 -3.90903008  0.          0.        ]]",[-0.22615342 -1.81532532],"[ 1.25631173  2.31747706  0.09356119  0.86291093  0.7678485  -0.39403433
  0.3312516  -0.15952451  0.72849655  0.49795439  0.        ]",-1.26448,-0.132605679694,[-0.5483219  -1.67921209]
2,[-0.31020376 -0.4578464 ],"[[ 0.06382966 -0.13101054  0.0898849  -0.04614308]
 [-0.15468871 -7.79087501  0.          0.        ]]",[-0.04246285 -0.88225328],"[ 1.2558054   2.30531838  0.1021804   0.43143241  0.76784796 -0.39403414
  0.31141673 -0.70942669  0.72711875  0.39422107  0.        ]",-1.31918,-0.12789431242,[ 0.13973863 -1.11891723]
3,[-0.31020376 -0.4578464 ],"[[  0.05909337  -0.32032985   0.0898849   -0.04614308]
 [ -0.3184279  -11.12992803   0.           0.        ]]",[-0.11799125 -1.59168454],"[ 1.25620948  2.24464777  0.09532715 -0.24945934  0.76784743 -0.39403394
  0.30783998 -1.18243622  0.70035303  0.2023867   0.        ]",-1.20638,-0.118589006587,[ 0.25991917 -0.88696331]
4,[-0.31020376 -0.4578464 ],"[[  0.04811577  -0.58044369   0.0898849   -0.04614308]
 [ -0.77789331 -14.86899682   0.           0.        ]]",[-0.5089399  -1.11615221],"[ 1.25702788  2.08270515  0.07943584 -1.11243973  0.7678469  -0.39403374
  0.29780361 -1.71211026  0.61180167 -0.05204475  0.        ]",-1.06518,-0.104892738811,[ 0.15585813 -0.637613  ]
5,[-0.31020376 -0.4578464 ],"[[  1.25141431e-02  -9.14591021e-01   8.98848997e-02  -4.61430803e-02]
 [ -2.77584372e+00  -1.85335380e+01   0.00000000e+00   0.00000000e+00]]",[ 1.44408336 -0.39464924],"[ 1.25853048  1.75842484  0.02785061 -2.01386117  0.76784636 -0.39403354
  0.25416167 -2.23122339  0.40670479 -0.35573799  0.        ]",-0.989274,-0.087441915748,[-0.10175703 -0.38346598]
6,[-0.31020376 -0.4578464 ],"[[ -2.76466120e-03  -1.29727007e+00   8.98848997e-02  -4.61430803e-02]
 [  1.23470912e+00  -1.97303287e+01   0.00000000e+00   0.00000000e+00]]",[-1.50016134 -1.04463291],"[ 1.25863287  1.27081876  0.0057014  -2.6439938   0.76784583 -0.39403334
  0.34176522 -2.40075338  0.10630833 -0.54504938  0.        ]",-0.839558,-0.0719607148595,[-0.69081897 -0.39406186]
7,[-0.31020376 -0.4578464 ],"[[ -1.80328884e-02  -1.72767719e+00   8.98848997e-02  -4.61430803e-02]
 [ -2.74869189e+00  -2.32985510e+01   0.00000000e+00   0.00000000e+00]]",[-1.38025259 -1.59983854],"[ 1.25841015  0.65932864 -0.01643154 -2.73598574  0.7678453  -0.39403314
  0.25475444 -2.90621387 -0.27003373 -0.57942684  0.        ]",-0.688262,-0.0646161942843,[-1.48877382 -0.15915927]
8,[-0.31020376 -0.4578464 ],"[[ -0.11220299  -2.22874325   0.0898849   -0.04614308]
 [ -6.65563333 -26.79644354   0.           0.        ]]",[-2.67936227 -0.19364983],"[ 1.24987064  0.00640636 -0.15261031 -2.00990974  0.76784476 -0.39403294
  0.16941379 -3.40170318 -0.71984282 -0.40126253  0.        ]",-0.602632,-0.0802451003503,[-2.47955132 -0.1394242 ]
9,[-0.31020376 -0.4578464 ],"[[ -0.28374722  -2.76704036   0.0898849   -0.04614308]
 [-10.48584432 -27.03252032   0.           0.        ]]",[-2.71814314  0.0930733 ],"[ 1.20289844 -0.45135486 -0.39614157 -0.43783463  0.76784423 -0.39403274
  0.0857492  -3.43512621 -1.00132922  0.06437337  0.        ]",-0.819557,-0.103752129898,[-3.17912531 -0.3146123 ]
10,[-0.31020376 -0.4578464 ],"[[ -0.53111091  -3.16519295   0.0898849   -0.04614308]
 [-14.23734187  -6.1866967    0.           0.        ]]",[-1.97505989  0.64765325],"[ 1.06662341 -0.55038537 -0.72455164  1.0014229   0.7678437  -0.39403254
  0.00380397 -0.48215478 -0.94393836  0.48432006  0.        ]",-0.612556,-0.110776645615,[-2.63673067 -0.19402   ]
11,[-0.31020376 -0.4578464 ],"[[ -0.8527492   -3.16604461   0.0898849   -0.04614308]
 [-17.91437721   3.12313587   0.           0.        ]]",[-2.85334549 -0.15746898],"[ 0.78181826 -0.55035572 -1.08204796  1.00456848  0.76784316 -0.39403235
 -0.07651476  0.8366544  -0.92828317  0.48900226  0.        ]",-0.498124,-0.10929668123,[-2.31786132 -0.61044037]
12,[-0.31020376 -0.4578464 ],"[[ -1.2472033   -3.09904846   0.0898849   -0.04614308]
 [-21.51903458   3.13192652   0.           0.        ]]",[-1.75014552 -0.52305532],"[ 0.30799313 -0.54948638 -1.36474848  0.75703478  0.76784263 -0.39403215
 -0.15525251  0.83789904 -0.95489675  0.47376144  0.        ]",-0.625557,-0.111426263552,[-2.2013731  -0.53511882]
13,[-0.31020376 -0.4578464 ],"[[ -1.71303509  -3.05038285   0.0898849   -0.04614308]
 [-25.05236381   1.78133766   0.           0.        ]]",[-2.29618476 -0.67603927],"[-0.33280757 -0.54482228 -1.42534712  0.57760648  0.7678421  -0.39403195
 -0.2324322   0.64657723 -0.96277596  0.5001341   0.        ]",-0.588338,-0.113768725084,[-2.17232394 -0.46251324]
14,[-0.31020376 -0.4578464 ],"[[ -2.24883138  -3.02468337   0.0898849   -0.04614308]
 [-28.51572132   0.87635812   0.           0.        ]]",[-1.84441591 -0.26684539],"[-1.00952666 -0.54099357 -1.11932226  0.48314805  0.76784156 -0.39403175
 -0.30808347  0.51837952 -0.9289433   0.53932004  0.        ]",-0.562039,-0.1123502536,[-2.30249262 -0.50199562]
15,[-0.31020376 -0.4578464 ],"[[ -2.85320676  -3.0119977    0.0898849   -0.04614308]
 [-31.91050279   0.43406873   0.           0.        ]]",[-2.94278163 -0.46408246],"[-1.47150249 -0.53875654 -0.40258745  0.43662281  0.76784103 -0.39403155
 -0.3822368   0.45572552 -0.8603032   0.54786337  0.        ]",-0.541135,-0.105605209784,[-2.30147314 -0.5075987 ]
16,[-0.31020376 -0.4578464 ],"[[ -3.52480347  -3.00612679   0.0898849   -0.04614308]
 [-35.23807828   0.18650074   0.           0.        ]]",[-2.38700978 -0.47061303],"[-1.42796332 -0.5376436   0.5517588   0.41511647  0.7678405  -0.39403135
 -0.45492209  0.42065534 -0.78872358  0.49615963  0.        ]",-0.57892,-0.0947306439926,[-2.37794042 -0.75262022]
17,[-0.31020376 -0.4578464 ],"[[ -4.26229073  -3.00363411   0.0898849   -0.04614308]
 [-38.49977854   0.07807345   0.           0.        ]]",[-0.89447239 -1.30139848],"[-0.74161118 -0.53715607  1.31503127  0.40599029  0.76783996 -0.39403115
 -0.52616842  0.40529554 -0.76065393  0.3899647   0.        ]",-0.570097,-0.0850390887842,[-2.15935349 -1.00566888]
18,[-0.31020376 -0.4578464 ],"[[ -5.06017212e+00  -3.00315851e+00   8.98848997e-02  -4.61430803e-02]
 [ -4.12790973e+01  -6.55662491e-03   0.00000000e+00   0.00000000e+00]]",[-1.49376198 -0.54160646],"[ 0.33983181 -0.53706181  1.37262068  0.40424923  0.76783943 -0.39403095
 -0.58687787  0.39330682 -0.80941319  0.28194764  0.        ]",-0.546186,-0.0851311660616,[-2.18992591 -1.21509683]
19,[-0.31020376 -0.4578464 ],"[[ -5.91727985e+00  -3.00294313e+00   8.98848997e-02  -4.61430803e-02]
 [ -4.44212056e+01   1.81935127e-02   0.00000000e+00   0.00000000e+00]]",[-2.52815729 -1.37042997],"[ 1.16636312 -0.53701885  0.52840779  0.40346071  0.76783889 -0.39403075
 -0.65551183  0.39681267 -0.91895401  0.24796118  0.        ]",-0.491943,-0.0971493370244,[-2.38869262 -0.98007107]
20,[-0.31020376 -0.4578464 ],"[[ -6.83660570e+00  -3.00308956e+00   8.98848997e-02  -4.61430803e-02]
 [ -4.75011149e+01  -1.93031409e-02   0.00000000e+00   0.00000000e+00]]",[-2.39839579 -0.17614262],"[ 1.05057732 -0.53704756 -0.75225095  0.40399647  0.76783836 -0.39403055
 -0.72278709  0.39150077 -1.01719872  0.32982797  0.        ]",-0.598512,-0.112089259253,[-2.36413193 -0.59217358]
21,[-0.31020376 -0.4578464 ],"[[ -7.81691792e+00  -3.00259822e+00   8.98848997e-02  -4.61430803e-02]
 [ -5.05200468e+01   4.36985392e-02   0.00000000e+00   0.00000000e+00]]",[-3.36829561 -1.50052445],"[-0.08356465 -0.53694979 -1.43899176  0.40219789  0.76783783 -0.39403036
 -0.78873034  0.40042527 -1.01690775  0.47784438  0.        ]",-0.612495,-0.118699137553,[-2.33143902 -0.44957754]
22,[-0.31020376 -0.4578464 ],"[[ -8.85700922e+00  -3.00264908e+00   8.98848997e-02  -4.61430803e-02]
 [ -5.34792218e+01  -2.55773902e-02   0.00000000e+00   0.00000000e+00]]",[-2.75768683 -0.08174361],"[-1.31037101 -0.53695959 -0.76986568  0.40238385  0.76783729 -0.39403016
 -0.85336822  0.39061157 -0.90147759  0.56070173  0.        ]",-0.512444,-0.110762031293,[-1.81036258 -0.12082019]
