timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.15385771 -0.39724788],"[[ 0.08815286 -0.06768986  0.00112979  0.17361671]
 [-0.00272669  0.00316149  0.          0.        ]]",[ 0.46155671 -1.790406  ],"[ 1.18836663  2.39513964  0.18252907  0.62151942  0.02893152  1.49980384
  0.10523063  0.38942653  1.36331379 -1.30826227  0.        ]",-1.10964,-0.264351149474,[ 2.02439308 -1.32669425]
1,[-0.15385771 -0.39724788],"[[  1.06433727e-01  -1.07362218e-01   1.12979439e-03   1.73616711e-01]
 [  1.82472345e+00  -3.95719544e+00   0.00000000e+00   0.00000000e+00]]",[ 0.92497575 -3.23678381],"[ 1.18591507  2.39003429  0.20951812  0.47613214  0.02893148  1.49979714
  0.15267457 -0.16476697  1.36214588 -1.31276422  0.        ]",-1.05766,-0.264557739832,[ 2.05706882 -1.24390912]
2,[-0.15385771 -0.39724788],"[[  1.79294076e-01  -2.25461914e-01   1.12979439e-03   1.73616711e-01]
 [  5.44924437e+00  -7.83982267e+00   0.00000000e+00   0.00000000e+00]]",[ 2.135226   -0.52971066],"[ 1.17161586  2.36135312  0.31647462  0.0478937   0.02893144  1.49979043
  0.24677393 -0.70808284  1.35345701 -1.29387824  0.        ]",-1.1742,-0.262273837416,[ 2.02216172 -1.18805099]
3,[-0.15385771 -0.39724788],"[[  3.26896666e-01  -4.01759443e-01   1.12979439e-03   1.73616711e-01]
 [  9.29822814e+00  -9.78342066e+00   0.00000000e+00   0.00000000e+00]]",[ 2.35539524 -2.46284443],"[ 1.12071521  2.28171261  0.52826121 -0.56827243  0.0289314   1.49978373
  0.34670074 -0.98005871  1.32423351 -1.19984849  0.        ]",-1.06515,-0.252464308564,[ 1.91547978 -1.15922034]
4,[-0.15385771 -0.39724788],"[[  5.50724334e-01  -6.35223877e-01   1.12979439e-03   1.73616711e-01]
 [  1.30720329e+01  -1.35503990e+01   0.00000000e+00   0.00000000e+00]]",[ 1.54745514 -0.82684818],"[ 0.98991126  2.11248415  0.82820394 -1.31260391  0.02893136  1.49977702
  0.44467568 -1.50718626  1.25219583 -1.03788088  0.        ]",-1.037,-0.233593521824,[ 1.77200174 -1.05146384]
5,[-0.15385771 -0.39724788],"[[  8.49281495e-01  -9.36395469e-01   1.12979439e-03   1.73616711e-01]
 [  1.67714859e+01  -1.65566173e+01   0.00000000e+00   0.00000000e+00]]",[ 1.1740372  -0.91915354],"[ 0.72578828  1.80135492  1.16567885 -2.09279359  0.02893132  1.49977031
  0.54072017 -1.92784994  1.10783193 -0.8480302   0.        ]",-0.894247,-0.205279847332,[ 1.5363456  -0.91532052]
6,[-0.15385771 -0.39724788],"[[  1.22110287e+00  -1.30075290e+00   1.12979439e-03   1.73616711e-01]
 [  2.03987430e+01  -1.98679162e+01   0.00000000e+00   0.00000000e+00]]",[ 0.29784826 -0.88274456],"[ 0.28759558  1.32359727  1.44555085 -2.67526752  0.02893128  1.49976361
  0.63489014 -2.39119386  0.86914834 -0.68165461  0.        ]",-0.696164,-0.167945342305,[ 1.32611454 -0.66608131]
7,[-0.15385771 -0.39724788],"[[  1.63687874e+00  -1.72921747e+00   1.12979439e-03   1.73616711e-01]
 [  2.11762570e+01  -2.29681642e+01   0.00000000e+00   0.00000000e+00]]",[ 0.98484723 -0.6896357 ],"[-0.2756555   0.70129508  1.53208533 -2.7624934   0.02893124  1.4997569
  0.65507476 -2.82498879  0.56077364 -0.64408637  0.        ]",-0.634477,-0.131966052183,[ 1.17259026 -0.39206475]
8,[-0.15385771 -0.39724788],"[[  2.09533307e+00  -2.21139930e+00   1.12979439e-03   1.73616711e-01]
 [  2.46576885e+01  -2.52423486e+01   0.00000000e+00   0.00000000e+00]]",[ 2.22445536 -1.04564909],"[-0.87492667  0.05643869  1.33588273 -2.07914606  0.0289312   1.4997502
  0.74545856 -3.14317421  0.23160883 -0.77780963  0.        ]",-0.628689,-0.115454594457,[ 1.1183449  -0.19441777]
9,[-0.15385771 -0.39724788],"[[  2.62333008e+00  -2.75094093e+00   1.12979439e-03   1.73616711e-01]
 [  2.81303479e+01  -2.87003826e+01   0.00000000e+00   0.00000000e+00]]",[ 0.29046454 -0.79408669],"[-1.38197141 -0.42286807  0.78674707 -0.53052716  0.02893116  1.49974349
  0.83561432 -3.62698923 -0.04634167 -1.10130793  0.        ]",-0.754868,-0.139681575441,[ 1.34644437 -0.0715417 ]
