timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.25546458 -0.42483625],"[ 1.24343761  2.48955781 -0.05343752  0.98621546  0.37722175 -1.04738829
  0.27135438  0.39802233  1.08788001  0.98609458  0.        ]",[-3.19768715 -3.4889626 ],-0.943268,-0.198894669688,"[[-0.06879106  0.02089208  0.04472033 -0.12332273]
 [ 0.00086429  0.00246836  0.          0.        ]]",[-2.36066318 -2.89775991]
1,[-0.25546458 -0.42483625],"[ 1.23859044  2.48961141 -0.11136813  0.83004528  0.37722152 -1.04738714
  0.18561602 -0.15535853  1.07937484  0.87612462  0.        ]",[-2.23444116 -2.46382589],-1.07082,-0.191163203811,"[[-0.108449   -0.01877144  0.04472033 -0.12332273]
 [-3.9534975  -3.95563417  0.          0.        ]]",[-1.77525508 -2.46197295]
2,[-0.25546458 -0.42483625],"[ 1.2114643   2.47586308 -0.2818527   0.36692491  0.37722129 -1.04738598
  0.10157185 -0.69778617  1.01633646  0.55625538  0.        ]",[-0.82316375 -1.39875371],-1.17235,-0.167378499138,"[[-0.22641    -0.13681102  0.04472033 -0.12332273]
 [-7.8297216  -7.83539421  0.          0.        ]]",[-1.28679144 -2.2259028 ]
3,[-0.25546458 -0.42483625],"[ 1.13000093  2.40817954 -0.54275487 -0.37825003  0.37722107 -1.04738483
  0.03435029 -1.2295073   0.80302487  0.0918994   0.        ]",[-0.28548976 -1.49064629],-1.02066,-0.127909992307,"[[ -0.41411014  -0.33167767   0.04472033  -0.12332273]
 [-10.93006467 -11.63858177   0.           0.        ]]",[-0.55242312 -1.92956471]
4,[-0.25546458 -0.42483625],"[ 0.9719241   2.22652218 -0.83067552 -1.32542962  0.37722084 -1.04738367
  0.01455854 -1.75079577  0.3682443  -0.33600865  0.        ]",[-0.36735753 -2.42460208],-0.680932,-0.0816018896218,"[[ -0.64186819  -0.60185964   0.04472033  -0.12332273]
 [-11.84288445 -15.36716509   0.           0.        ]]",[ 0.2274733  -1.56495178]
5,[-0.25546458 -0.42483625],"[ 0.73401935  1.86798315 -1.09317678 -2.28946893  0.37722061 -1.04738252
 -0.01189637 -2.26172021 -0.25431506 -0.50888082  0.        ]",[ 0.73252906 -0.76534072],-0.619623,-0.0615259113049,"[[ -0.89096467  -0.94586988   0.04472033  -0.12332273]
 [-13.06301776 -19.02164811   0.           0.        ]]",[-0.0858322  -1.50664735]
6,[-0.25546458 -0.42483625],"[ 0.46686982  1.3151584  -1.27308881 -2.94055903  0.37722039 -1.04738136
  0.05649334 -2.6327839  -0.84091899 -0.28501636  0.        ]",[-0.28749121 -1.54079186],-0.532946,-0.0942394872101,"[[ -1.12057694  -1.35293293   0.04472033  -0.12332273]
 [ -9.90880103 -21.67579739   0.           0.        ]]",[-1.15351355 -1.44727385]
7,[-0.25546458 -0.42483625],"[ 0.19768207  0.61893542 -1.37629921 -2.91017008  0.37722016 -1.04738021
  0.03599162 -3.12626737 -1.17049538  0.25497884  0.        ]",[-1.32583788 -1.10696525],-0.691519,-0.133494380584,"[[ -1.32823716  -1.82186477   0.04472033  -0.12332273]
 [-10.85436361 -25.20562572   0.           0.        ]]",[-2.18007565 -1.09483039]
8,[-0.25546458 -0.42483625],"[-0.15068277 -0.07317503 -1.4191218  -1.86778476  0.37721993 -1.04737905
 -0.04528543 -3.60993811 -1.1071996   0.90958942  0.        ]",[-2.01293429 -0.64941432],-0.887457,-0.159589925563,"[[ -1.58293317  -2.36068944   0.04472033  -0.12332273]
 [-14.60295613 -28.66534709   0.           0.        ]]",[-2.68912601 -0.56777793]
9,[-0.25546458 -0.42483625],"[-0.59572632 -0.48108704 -1.3347521   0.16999587  0.37721971 -1.0473779
 -0.12493826 -3.89000092 -0.64066516  1.21767178  0.        ]",[-1.0215744   0.41142048],-0.848758,-0.150826679326,"[[ -1.9118563   -2.95409657   0.04472033  -0.12332273]
 [-18.27663748 -30.66878905   0.           0.        ]]",[-2.40146375  0.06051686]
10,[-0.25546458 -0.42483625],"[-1.0675888  -0.50183867 -1.03301229  1.2413777   0.37721948 -1.04737674
 -0.2029139   0.29618345 -0.40290718  1.08755605  0.        ]",[-2.1047443  -0.68136893],-0.393662,-0.126502523394,"[[ -2.31347215  -3.22739052   0.04472033  -0.12332273]
 [-21.87296563  -0.72603563   0.           0.        ]]",[-2.20397115 -0.67223871]
11,[-0.25546458 -0.42483625],"[-1.4283251  -0.5066053  -0.4627865   1.02813685  0.37721925 -1.04737559
 -0.27936704  0.97305755 -0.4323251   1.09054047  0.        ]",[-2.60428758 -1.27730339],-0.373968,-0.127807931004,"[[ -2.78630908  -3.17313544   0.04472033  -0.12332273]
 [-25.39907449   4.11548397   0.           0.        ]]",[-2.70684457 -1.31982732]
12,[-0.25546458 -0.42483625],"[-1.49037901 -0.5059346   0.32058828  0.73283423  0.37721903 -1.04737443
 -0.3543116   0.83184043 -0.43264401  1.1161088   0.        ]",[-2.59181277 -1.47811156],-0.523026,-0.130652554729,"[[ -3.32897105  -3.09812062   0.04472033  -0.12332273]
 [-28.85560655   3.10539824   0.           0.        ]]",[-2.92901754 -1.53879356]
13,[-0.25546458 -0.42483625],"[-1.09731035 -0.50112332  1.09791313  0.5453788   0.3772188  -1.04737327
 -0.42777199  0.6394594  -0.40794123  1.0931497   0.        ]",[-2.85857792 -1.80743576],-0.589241,-0.127285376783,"[[ -3.94007696  -3.05040126   0.04472033  -0.12332273]
 [-32.24368865   1.72934814   0.           0.        ]]",[-2.97197247 -1.62080646]
14,[-0.25546458 -0.42483625],"[-0.26366983 -0.49724876  1.50749797  0.44754937  0.37721857 -1.04737212
 -0.49977758  0.51692324 -0.40994554  1.02198366  0.        ]",[-2.41333599  0.12278859],-0.75916,-0.119438163214,"[[ -4.6182713   -3.02542147   0.04472033  -0.12332273]
 [-35.56467501   0.8528803    0.           0.        ]]",[-2.86167312 -1.55145466]
