timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.2722863  -0.44019589],"[ 1.24236007  2.45629971  0.17983846  0.98767814 -0.44477809  0.21703174
  0.28145653  0.39759084  1.80977094  0.0049089   0.        ]",[-1.74767293 -3.34904866],-1.45338,-0.25904052189,"[[ 0.09498474  0.02111737 -0.0502308   0.02296173]
 [-0.0025818   0.0034251   0.          0.        ]]",[-1.82419741 -2.37792325]
1,[-0.2722863  -0.44019589],"[ 1.24648111  2.45636719  0.12186362  0.83319626 -0.44477782  0.21703163
  0.195705   -0.1570707   1.81715815 -0.10564545  0.        ]",[-1.89222179 -2.49806957],-1.53507,-0.260348495033,"[[ 0.05525856 -0.01852721 -0.0502308   0.02296173]
 [-3.95687541 -3.9546964   0.          0.        ]]",[-1.7225821 -2.169168 ]
2,[-0.2722863  -0.44019589],"[ 1.24586692  2.44278446 -0.05077862  0.37492644 -0.44477755  0.21703151
  0.11164792 -0.70075368  1.8006983  -0.43415556  0.        ]",[-0.57529883 -2.41293804],-1.6309,-0.262853834798,"[[-0.06276932 -0.13654822 -0.0502308   0.02296173]
 [-7.83303253 -7.83447505  0.          0.        ]]",[-1.40815747 -1.92324352]
3,[-0.2722863  -0.44019589],"[ 1.20872421  2.37576628 -0.30785928 -0.36253844 -0.44477728  0.2170314
  0.06568011 -1.23375936  1.66254781 -0.91746475  0.        ]",[-0.63831776 -0.80862853],-1.64542,-0.262356151093,"[[ -0.240697    -0.33140051  -0.0502308    0.02296173]
 [ -9.95276301 -11.63806598   0.           0.        ]]",[-0.77163285 -1.59789586]
4,[-0.2722863  -0.44019589],"[ 1.10292939  2.2021455  -0.61280109 -1.27551854 -0.44477701  0.21703128
  0.01519195 -1.6499969   1.30935557 -1.41599818  0.        ]",[ 1.02098376 -1.48791283],-1.55561,-0.253480505232,"[[ -0.46310975  -0.59396441  -0.0502308    0.02296173]
 [-12.28094195 -14.60840004   0.           0.        ]]",[-0.14136574 -1.34827805]
5,[-0.2722863  -0.44019589],"[ 0.95255885  1.86745946 -0.8639305  -2.2019886  -0.44477673  0.21703116
  0.10624372 -2.16447995  0.79579662 -1.68970886  0.        ]",[ 0.77296312 -1.2474685 ],-1.4931,-0.232389562465,"[[ -0.66660074  -0.92296942  -0.0502308    0.02296173]
 [ -8.08223711 -18.27984929   0.           0.        ]]",[ 0.29296893 -1.18736672]
6,[-0.2722863  -0.44019589],"[ 0.83316945  1.33290506 -1.00476199 -2.87406109 -0.44477646  0.21703105
  0.17600187 -2.66871725  0.30485257 -1.63231164  0.        ]",[ 1.03915462 -1.31826411],-1.32197,-0.198375789867,"[[ -0.7959696   -1.32467032  -0.0502308    0.02296173]
 [ -4.86545258 -21.87822459   0.           0.        ]]",[ 0.38588595 -0.96836066]
7,[-0.2722863  -0.44019589],"[ 0.77566062  0.63681624 -1.06106649 -2.89166563 -0.44477619  0.21703093
  0.26386115 -3.16295987 -0.02984955 -1.30008558  0.        ]",[-0.10534325  0.16840233],-1.15596,-0.151365367541,"[[ -8.52629576e-01  -1.79762402e+00  -5.02307962e-02   2.29617317e-02]
 [ -8.13963965e-01  -2.54053353e+01   0.00000000e+00   0.00000000e+00]]",[-0.04409011 -0.78483176]
8,[-0.2722863  -0.44019589],"[ 0.75430472 -0.01226764 -1.08041418 -2.01606694 -0.44477592  0.21703082
  0.25511075 -2.99901776 -0.14114886 -0.83400989  0.        ]",[-0.91953045 -0.36375849],-0.899583,-0.0969009557046,"[[ -8.72958748e-01  -2.29399358e+00  -5.02307962e-02   2.29617317e-02]
 [ -1.21746714e+00  -2.42355250e+01   0.00000000e+00   0.00000000e+00]]",[-0.52359343 -0.65467328]
9,[-0.2722863  -0.44019589],"[ 0.68844441 -0.42300651 -1.13535542 -0.44273151 -0.44477565  0.2170307
  0.17664882 -3.1335985  -0.03987202 -0.36440889  0.        ]",[-0.61319757 -0.21879666],-0.704475,-0.0465362751918,"[[ -9.33610452e-01  -2.78834096e+00  -5.02307962e-02   2.29617317e-02]
 [ -4.83559867e+00  -2.51960434e+01   0.00000000e+00   0.00000000e+00]]",[-1.02367854 -0.33926374]
