timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.09702632 -0.35987765],"[ 1.14988382  2.17614533  0.20028115  1.06193456 -1.57755158 -0.75824686
  0.03105937  0.37633004  2.64910123  1.02558615  0.        ]",[-0.96426447 -2.43514953],-1.68652,-0.407506272291,"[[ 0.0994825   0.07805407 -0.18253782 -0.08775707]
 [-0.00348932 -0.00284759  0.          0.        ]]",[-2.38837457 -2.33225036]
1,[-0.09702632 -0.35987765],"[ 1.15411737  2.17932693  0.14314653  0.93440791 -1.57753671 -0.75824363
 -0.10733426 -0.18687645  2.65997078  0.92540316  0.        ]",[-1.82383157 -1.69981471],-1.6859,-0.405579380549,"[[ 0.06115666  0.03828471 -0.18253782 -0.08775707]
 [-3.81640098 -3.96090266  0.          0.        ]]",[-2.26322174 -2.24517393]
2,[-0.09702632 -0.35987765],"[ 1.15467145  2.17587976 -0.02912661  0.5552087  -1.57752184 -0.7582404
 -0.24812307 -0.73892692  2.65698301  0.6235136   0.        ]",[-3.09258692 -1.88972197],-1.61607,-0.397212677562,"[[-0.05408936 -0.07985924 -0.18253782 -0.08775707]
 [-7.69530384 -7.84056435  0.          0.        ]]",[-2.06141257 -2.16649127]
3,[-0.09702632 -0.35987765],"[ 1.11511069  2.12808732 -0.31271198 -0.06026158 -1.57750697 -0.75823717
 -0.38613723 -1.28003856  2.53632804  0.14363248  0.        ]",[-3.49842451 -1.93050085],-1.5079,-0.375032452554,"[[ -0.2461458   -0.27482564  -0.18253782  -0.08775707]
 [-11.49776598 -11.64338915   0.           0.        ]]",[-1.68095803 -1.99118435]
4,[-0.09702632 -0.35987765],"[ 0.97879769  1.97870048 -0.68298617 -0.85404761 -1.5774921  -0.75823395
 -0.5214547  -1.81040193  2.16016979 -0.39212164  0.        ]",[-1.16805225 -2.26185831],-1.34757,-0.32858024894,"[[ -0.51350465  -0.54509186  -0.18253782  -0.08775707]
 [-15.22593907 -15.37076788   0.           0.        ]]",[-1.12107873 -1.67292857]
5,[-0.09702632 -0.35987765],"[ 0.68283464  1.6657358  -1.07655877 -1.68292966 -1.57747723 -0.75823072
 -0.65416719 -2.33019015  1.46973215 -0.70751464  0.        ]",[-2.25280542 -2.5312616 ],-0.955172,-0.248547077233,"[[ -0.85470496  -0.88916197  -0.18253782  -0.08775707]
 [-18.88235579 -19.0239876    0.           0.        ]]",[-0.51122355 -1.17391467]
6,[-0.09702632 -0.35987765],"[ 0.18828627  1.15402163 -1.37602698 -2.288349   -1.57746236 -0.75822749
 -0.78436868 -2.83957195  0.66693231 -0.47020982  0.        ]",[ 1.08118691  0.19056789],-0.663734,-0.136999553772,"[[ -1.26833796  -1.30556541  -0.18253782  -0.08775707]
 [-22.46961113 -22.60432085   0.           0.        ]]",[-0.00258647 -0.51630592]
7,[-0.09702632 -0.35987765],"[-0.36411191  0.54760627 -1.43600721 -2.35168982 -1.57744749 -0.75822427
 -0.62480608 -2.66833084  0.27821659  0.22323818  0.        ]",[-0.17790562 -1.30422549],-0.485312,-0.0689919956696,"[[ -1.67362713  -1.74558061  -0.18253782  -0.08775707]
 [-18.07359575 -21.40125733   0.           0.        ]]",[ 0.05631254 -0.2143051 ]
8,[-0.09702632 -0.35987765],"[-0.84449036 -0.03917773 -1.28318773 -1.76823044 -1.57743262 -0.75822104
 -0.63756695 -3.17115352  0.43679176  0.86070977  0.        ]",[-0.76413889  0.24289507],-0.634166,-0.130946090737,"[[ -2.03862627  -2.20906854  -0.18253782  -0.08775707]
 [-18.42523448 -24.93579728   0.           0.        ]]",[ 0.12843166 -0.11397216]
9,[-0.09702632 -0.35987765],"[-1.2705133  -0.46381206 -0.92056823 -0.58109922 -1.57741775 -0.75821781
 -0.73428141 -2.96383887  0.89597522  1.07688239  0.        ]",[ 0.85741439 -0.34434876],-0.882432,-0.194923294198,"[[ -2.43386987  -2.69316999  -0.18253782  -0.08775707]
 [-21.08987232 -23.47929005   0.           0.        ]]",[ 0.16291642 -0.10548997]
10,[-0.09702632 -0.35987765],"[-1.52989526 -0.60048898 -0.42461303  0.70092222 -1.57740288 -0.75821459
 -0.59593292 -0.94684359  1.16812284  0.89514204  0.        ]",[-0.50563937 -0.07448097],-0.857945,-0.213487182836,"[[ -2.81743421  -3.10716529  -0.18253782  -0.08775707]
 [-17.27833573  -9.30309085   0.           0.        ]]",[-0.02937438 -0.26694834]
11,[-0.09702632 -0.35987765],"[-1.60071175 -0.60129048  0.10868009  0.8288862  -1.57738801 -0.75821136
 -0.6561623   0.65338519  1.20057086  0.77409831  0.        ]",[-0.31357132 -0.53814288],-0.783245,-0.210893748751,"[[ -3.17964902  -3.14701141  -0.18253782  -0.08775707]
 [-18.9377639    1.94395875   0.           0.        ]]",[-0.37295938 -0.60084456]
12,[-0.09702632 -0.35987765],"[-1.47871387 -0.59975696  0.66915806  0.65978641 -1.57737314 -0.75820813
 -0.68761375  0.75486998  1.20901354  0.79125888  0.        ]",[-0.51749416 -0.99343288],-0.80154,-0.212814977589,"[[ -3.56709873  -3.09435001  -0.18253782  -0.08775707]
 [-19.80434572   2.6572548    0.           0.        ]]",[-0.47992042 -0.67260319]
13,[-0.09702632 -0.35987765],"[-1.14488437 -0.59559175  1.16372582  0.52058744 -1.57735828 -0.75820491
 -0.74775013  0.61298547  1.22869984  0.7832643   0.        ]",[-0.27884846 -1.60626243],-0.858037,-0.214864397299,"[[ -3.97980964  -3.05090817  -0.18253782  -0.08775707]
 [-21.46122356   1.66005384   0.           0.        ]]",[-0.54187375 -0.70035887]
14,[-0.09702632 -0.35987765],"[-0.62550827 -0.59207145  1.48214409  0.4419686  -1.57734341 -0.75820168
 -0.77239965  0.49944441  1.23625116  0.74487186  0.        ]",[-0.28825906  0.07834746],-0.976377,-0.213941682141,"[[ -4.41584875  -3.02630187  -0.18253782  -0.08775707]
 [-22.14042269   0.86205839   0.           0.        ]]",[-0.6300844  -0.73302436]
15,[-0.09702632 -0.35987765],"[-0.01185386 -0.58855872  1.52986621  0.3776414  -1.57732854 -0.75819845
 -0.79791155  0.54118767  1.22519475  0.69615277  0.        ]",[-0.10134648 -0.02203134],-1.01216,-0.210294601361,"[[ -4.86571028  -3.00611704  -0.18253782  -0.08775707]
 [-22.84338562   1.1554577    0.           0.        ]]",[-0.76756471 -0.80636084]
16,[-0.09702632 -0.35987765],"[ 0.56724729 -0.58408927  1.27793262  0.30770764 -1.57731368 -0.75819523
 -0.79605747  0.5255664   1.19508297  0.6489487   0.        ]",[-0.58692537 -0.54380223],-0.993543,-0.204387711953,"[[ -5.32206646  -2.98410941  -0.18253782  -0.08775707]
 [-22.79240157   1.04567896   0.           0.        ]]",[-0.87471849 -0.86050922]
