timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[ 0.01075484 -0.07142821],"[ 1.08126438  1.23962536  0.03681561  0.166504   -0.60049129  0.83128827
  0.25069494  0.14982742  1.51278325 -0.65416235  0.        ]",[-0.50903934  0.13166607],-0.852535,-0.298989400529,"[[ 0.02528797 -0.08394205 -0.06952257  0.10278253]
 [-0.00061323 -0.00360494  0.          0.        ]]",[-0.07489005 -0.29653868]
1,[ 0.01075484 -0.07142821],"[ 1.08163197  1.24006494  0.00621389  0.17560586 -0.60046999  0.83125162
  0.06683705  0.2219341   1.51215321 -0.6792098   0.        ]",[ 1.26360242  1.21484388],-0.808588,-0.300246198904,"[[ 0.00506974 -0.07877477 -0.06952257  0.10278253]
 [-2.01450329  0.51858983  0.          0.        ]]",[-0.07522343 -0.29500979]
2,[ 0.01075484 -0.07142821],"[ 1.08157227  1.24331957  0.00588807  0.26384065 -0.60044869  0.83121498
  0.43147951  0.76708559  1.51372067 -0.64204809  0.        ]",[ 0.64680481 -1.19908957],-0.944496,-0.298539766339,"[[ 0.00485461 -0.02879372 -0.06952257  0.10278253]
 [ 1.97969369  4.46636302  0.          0.        ]]",[-0.074919   -0.29230267]
3,[ 0.01075484 -0.07142821],"[ 1.07813117  1.24350574  0.10403115  0.34994127 -0.60042739  0.83117834
  0.66162625  0.20791271  1.50944811 -0.51249684  0.        ]",[-1.40317578 -0.35281503],-0.882152,-0.291788557391,"[[ 0.06974339  0.01990867 -0.06952257  0.10278253]
 [ 4.500786    0.41737278  0.          0.        ]]",[-0.07485304 -0.29662263]
4,[ 0.01075484 -0.07142821],"[ 1.0715565   1.2435446   0.17852759  0.33978926 -0.6004061   0.8311417
  0.29236948  0.01405634  1.50295585 -0.44622757  0.        ]",[ 1.40576567 -0.24398387],-0.873567,-0.288112688128,"[[ 0.1191809   0.01417242 -0.06952257  0.10278253]
 [ 0.45642878 -0.9863245   0.          0.        ]]",[-0.07538028 -0.29659793]
5,[ 0.01075484 -0.07142821],"[ 1.06175805  1.24344584  0.25153119  0.28807753 -0.6003848   0.83110507
  0.65273349 -0.11687734  1.49646396 -0.3988393   0.        ]",[-1.17913814 -0.26756615],-0.86655,-0.285382501209,"[[ 0.16791309 -0.01506651 -0.06952257  0.10278253]
 [ 4.40364636 -1.93440345  0.          0.        ]]",[-0.07477656 -0.29945639]
6,[ 0.01075484 -0.07142821],"[ 1.04905554  1.24096299  0.32212986  0.20164097 -0.60036351  0.83106844
  0.28362444 -0.25768628  1.49072984 -0.36797588  0.        ]",[ 0.74955057 -0.14485567],-0.853858,-0.283459302565,"[[ 0.21542558 -0.06398437 -0.06952257  0.10278253]
 [ 0.3610609  -2.9539898   0.          0.        ]]",[-0.07504248 -0.29958996]
7,[ 0.01075484 -0.07142821],"[ 1.03705119  1.23322389  0.37646336  0.08854232 -0.60034223  0.83103182
  0.55370484 -0.3289753   1.48780503 -0.3638507   0.        ]",[ 1.06872241  0.03701399],-0.849368,-0.282892909602,"[[ 0.25232723 -0.12824371 -0.06952257  0.10278253]
 [ 3.31925657 -3.47021791  0.          0.        ]]",[-0.07438253 -0.3020269 ]
8,[ 0.01075484 -0.07142821],"[ 0.99278544  1.21968362  0.5286105  -0.02882881 -0.60032094  0.83099521
  0.90886272 -0.29943904  1.46377889 -0.26684586  0.        ]",[ 1.91667337 -1.13160231],-0.901741,-0.276309673197,"[[ 0.35774364 -0.1955032  -0.06952257  0.10278253]
 [ 7.20943926 -3.25643083  0.          0.        ]]",[-0.07339302 -0.30251518]
9,[ 0.01075484 -0.07142821],"[ 0.88224234  1.18789665  0.77711434 -0.20744546 -0.60029966  0.83095859
  1.2571059  -0.83758732  1.40249247 -0.09714865  0.        ]",[ 0.7677777   0.05149226],-0.809944,-0.263322264376,"[[  0.54020816  -0.29972676  -0.06952257   0.10278253]
 [ 11.02432664  -7.1529128    0.           0.        ]]",[-0.07260073 -0.30513409]
