timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.3615905  -0.53757936],"[ 1.26989508  2.19985439 -0.11130681  1.09802342  1.13004248  1.65047939
  0.36329638  0.39195537  0.39698022 -1.84144863  0.        ]",[ 3.53783733  2.11755564],-2.03119,-0.210676575679,"[[-0.05805519  0.04942833  0.13196155  0.18900764]
 [ 0.004574    0.00170788  0.          0.        ]]",[ 3.46522379  1.10816181]
1,[-0.3615905  -0.53757936],"[ 1.27202828  2.19600972 -0.05425541  1.23645222  1.1300415   1.65047703
  0.45079028  0.95985863  0.39603015 -1.72552778  0.        ]",[ 3.0218339   0.36080129],-1.93631,-0.19887695569,"[[-0.0182895   0.08917456  0.13196155  0.18900764]
 [ 3.95883805  3.95972782  0.          0.        ]]",[ 3.13882351  0.23027599]
2,[-0.3615905  -0.53757936],"[ 1.26526501  2.17852969  0.11504364  1.557117    1.13004051  1.65047468
  0.53657715  1.15337319  0.36015013 -1.41010415  0.        ]",[ 2.73667096 -0.89126192],-1.70022,-0.165538683831,"[[ 0.09978735  0.18190118  0.13196155  0.18900764]
 [ 7.83595484  5.30843924  0.          0.        ]]",[ 2.55138755 -0.4608646 ]
3,[-0.3615905  -0.53757936],"[ 1.21163962  2.15761864  0.38898532  1.79469566  1.13003953  1.65047233
  0.62071056  0.63171976  0.23775475 -0.99372176  0.        ]",[ 1.65988039 -0.09274595],-1.30451,-0.117918229599,"[[  0.29465707   0.25159215   0.13196155   0.18900764]
 [ 11.63834619   1.67276547   0.           0.        ]]",[ 1.61710131 -0.57255101]
4,[-0.3615905  -0.53757936],"[ 1.05380524  2.14681127  0.74053567  1.89379414  1.13003854  1.65046998
  0.70315222  0.57404255 -0.01731309 -0.54058331  0.        ]",[-0.26955371 -0.9123361 ],-0.845717,-0.0589280932382,"[[  0.56480739   0.28101443   0.13196155   0.18900764]
 [ 15.36428219   1.27078487   0.           0.        ]]",[ 0.42602813 -1.23806119]
5,[-0.3615905  -0.53757936],"[ 0.78513008  2.15101128  1.05859674  1.85656671  1.13003756  1.65046762
  0.67286328  0.05214527 -0.37258223 -0.18279402  0.        ]",[-0.19964264 -1.08824627],-0.656067,-0.023955954126,"[[  0.8583589    0.26993509   0.13196155   0.18900764]
 [ 13.99540287  -2.36658887   0.           0.        ]]",[-0.6319856  -1.15387154]
6,[-0.3615905  -0.53757936],"[ 0.46888254  2.17814435  1.2690969   1.56207275  1.13003657  1.65046527
  0.64929381 -0.5092289  -0.69919384  0.01388437  0.        ]",[-2.60992552  0.129485  ],-0.526738,-0.0612921585107,"[[  1.12757958   0.18334767   0.13196155   0.18900764]
 [ 12.93020664  -6.27909797   0.           0.        ]]",[-1.8419677  -0.76221246]
7,[-0.3615905  -0.53757936],"[ 0.1820557   2.198653    1.37103618  1.14940576  1.13003559  1.65046292
  0.55609776 -0.41760398 -0.94295615  0.09908468  0.        ]",[-2.2068736  -1.25478884],-0.703513,-0.0932128477453,"[[ 1.34392387  0.06417264  0.13196155  0.18900764]
 [ 8.71826405 -5.64051792  0.          0.        ]]",[-2.39620543 -0.71254909]
8,[-0.3615905  -0.53757936],"[-0.00242753  2.19621529  1.40150115  0.62133489  1.1300346   1.65046057
  0.46478489 -0.96948092 -1.03084283  0.11527567  0.        ]",[-3.33128665 -1.30234195],-0.709055,-0.104469436524,"[[ 1.47688341 -0.08722909  0.13196155  0.18900764]
 [ 4.59142908 -9.48683685  0.          0.        ]]",[-2.62923551  0.26985395]
9,[-0.3615905  -0.53757936],"[-0.07432656  2.13295524  1.40651959 -0.15551662  1.13003362  1.65045821
  0.37527475 -1.51043671 -0.92365164  0.07145854  0.        ]",[-0.69780877  0.91158431],-0.838185,-0.0902955236253,"[[  1.52812427  -0.31479346   0.13196155   0.18900764]
 [  0.5460667  -13.25704886   0.           0.        ]]",[-2.13620996  1.50156331]
10,[-0.3615905  -0.53757936],"[-0.05058461  2.00221324  1.40527793 -0.87279141  1.13003263  1.65045586
  0.31391661 -0.95473305 -0.72309742 -0.04154035  0.        ]",[-0.0965592   1.20630989],-0.842421,-0.0638579894795,"[[ 1.51122293 -0.54107544  0.13196155  0.18900764]
 [-2.22697984 -9.38406759  0.          0.        ]]",[-0.97627252  1.71441197]
