timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.23960465 -0.41216707],"[  1.23131461e+00   2.53046897e+00  -3.31795620e-03   1.12815887e+00
  -3.04018627e-01   1.78429064e-03   2.20291441e-01   3.94239377e-01
   1.68000568e+00   3.46306478e-02   0.00000000e+00]",[-1.59955603 -4.90418568],-1.05255,-0.244366770408,"[[-0.03904688  0.0584907  -0.03446372 -0.00195098]
 [ 0.00255197 -0.0042769   0.          0.        ]]",[-1.70873976 -2.58327341]
1,[-0.23960465 -0.41216707],"[  1.22810168e+00   2.53278298e+00  -6.16004802e-02   9.70145270e-01
  -3.04018394e-01   1.78428939e-03   1.31885188e-01  -1.54852739e-01
   1.67689677e+00  -7.47158712e-02   0.00000000e+00]",[-2.09442909 -1.84031022],-1.24656,-0.24427681461,"[[ -7.86714203e-02   1.86936024e-02  -3.44637157e-02  -1.95098317e-03]
 [ -3.95184323e+00  -3.96224757e+00   0.00000000e+00   0.00000000e+00]]",[-1.54768419 -2.4096303 ]
2,[-0.23960465 -0.41216707],"[  1.20582376e+00   2.52554158e+00  -2.33626576e-01   5.01230169e-01
  -3.04018162e-01   1.78428814e-03   4.52263324e-02  -6.93076812e-01
   1.62988249e+00  -3.95244301e-01   0.00000000e+00]",[-0.54412914 -3.07598382],-1.22162,-0.24288591253,"[[ -1.96599490e-01  -9.94769679e-02  -3.44637157e-02  -1.95098317e-03]
 [ -7.82807767e+00  -7.84188087e+00   0.00000000e+00   0.00000000e+00]]",[-1.20001197 -2.23586226]
3,[-0.23960465 -0.41216707],"[  1.13753914e+00   2.46777881e+00  -4.83024717e-01  -2.57446207e-01
  -3.04017929e-01   1.78428689e-03   5.92390703e-04  -1.22073787e+00
   1.44962426e+00  -8.51690409e-01   0.00000000e+00]",[-0.53367851 -2.51113351],-1.15153,-0.237295174951,"[[ -3.73191405e-01  -2.94476469e-01  -3.44637157e-02  -1.95098317e-03]
 [ -9.82454488e+00  -1.16453826e+01   0.00000000e+00   0.00000000e+00]]",[-0.56372094 -1.97125888]
4,[-0.23960465 -0.41216707],"[  1.00030392e+00   2.29762945e+00  -7.64266866e-01  -1.23099123e+00
  -3.04017697e-01   1.78428564e-03  -4.22518734e-02  -1.73793770e+00
   1.05730775e+00  -1.29614992e+00   0.00000000e+00]",[ 0.80600669 -1.63085587],-1.16839,-0.223761916136,"[[ -5.88908358e-01  -5.64789764e-01  -3.44637157e-02  -1.95098317e-03]
 [ -1.17409602e+01  -1.53734989e+01   0.00000000e+00   0.00000000e+00]]",[ 0.11442742 -1.63122964]
5,[-0.23960465 -0.41216707],"[  8.24964826e-01   1.94883536e+00  -9.91899243e-01  -2.23876849e+00
  -3.04017464e-01   1.78428440e-03   3.42171165e-02  -2.24513757e+00
   5.17183984e-01  -1.50296880e+00   0.00000000e+00]",[ 0.18673447  0.44433293],-1.11935,-0.199999000706,"[[ -7.89407919e-01  -9.08942501e-01  -3.44637157e-02  -1.95098317e-03]
 [ -8.32052136e+00  -1.90295718e+01   0.00000000e+00   0.00000000e+00]]",[ 0.60438859 -1.30934906]
6,[-0.23960465 -0.41216707],"[  6.59699822e-01   1.46914296e+00  -1.14161251e+00  -2.89711515e+00
  -3.04017232e-01   1.78428315e-03   5.43513750e-02  -1.94878739e+00
   3.18459433e-02  -1.40824142e+00   0.00000000e+00]",[ 0.93105951 -0.82364109],-0.916827,-0.16930469897,"[[ -9.46782998e-01  -1.26810170e+00  -3.44637157e-02  -1.95098317e-03]
 [ -7.41992021e+00  -1.68934578e+01   0.00000000e+00   0.00000000e+00]]",[ 0.6905185  -1.21202493]
7,[-0.23960465 -0.41216707],"[  5.32138776e-01   9.19567863e-01  -1.22888087e+00  -3.06947271e+00
  -3.04017000e-01   1.78428190e-03   1.39969019e-01  -2.35490133e+00
  -2.88513845e-01  -1.11300912e+00   0.00000000e+00]",[ 0.75369304 -2.12621156],-0.70585,-0.133815802541,"[[ -1.05675774e+00  -1.63534314e+00  -3.44637157e-02  -1.95098317e-03]
 [ -3.59026647e+00  -1.98209051e+01   0.00000000e+00   0.00000000e+00]]",[ 0.55641478 -0.93206441]
8,[-0.23960465 -0.41216707],"[  4.82180016e-01   2.94996149e-01  -1.25761914e+00  -2.59744911e+00
  -3.04016767e-01   1.78428065e-03   2.08208097e-01  -2.84980046e+00
  -3.98537740e-01  -6.95068794e-01   0.00000000e+00]",[ 0.93596325  0.80287676],-0.655824,-0.0896059598639,"[[ -1.09793881e+00  -2.06755549e+00  -3.44637157e-02  -1.95098317e-03]
 [ -5.37950075e-01  -2.33884028e+01   0.00000000e+00   0.00000000e+00]]",[-0.0375725  -0.62650985]
9,[-0.23960465 -0.41216707],"[  5.14460966e-01  -1.95830942e-01  -1.23937119e+00  -1.48609057e+00
  -3.04016535e-01   1.78427940e-03   2.91248805e-01  -2.34453920e+00
  -3.05616534e-01  -3.12852205e-01   0.00000000e+00]",[-0.88824761 -0.43922216],-0.438722,-0.0438480629391,"[[ -1.07143399e+00  -2.49878265e+00  -3.44637157e-02  -1.95098317e-03]
 [  3.17643856e+00  -1.97464020e+01   0.00000000e+00   0.00000000e+00]]",[-0.563797   -0.55348015]
