timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.206805158468,"[[ 0.04267606 -0.09136506  0.11928252 -0.18704121]
 [-0.00366055 -0.00458252  0.          0.        ]]",[-2.23657179  0.49606568],-1.40572,"[ 1.16450057  2.36943524  0.09798666 -1.15484818  1.03576929 -1.62175086
 -0.42332547 -0.36913492  0.45718524  1.55340375  0.        ]",[-0.20601232 -0.08499682],[-1.14468349  2.2023743 ]
1,-0.203266158254,"[[  2.89761182e-03  -5.17125396e-02   1.19282524e-01  -1.87041215e-01]
 [ -3.96100211e+00   3.95662926e+00   0.00000000e+00   0.00000000e+00]]",[-2.09048128  0.44276643],-1.34115,"[ 1.16574693  2.37354635  0.03862749 -1.01091511  1.03576773 -1.62174658
 -0.56955974  0.15534196  0.45785762  1.51930981  0.        ]",[-0.20601232 -0.08499682],[-2.07335972  0.35503407]
2,-0.189907312377,"[[-0.11523203  0.040754    0.11928252 -0.18704121]
 [-7.83904953  5.28558797  0.          0.        ]]",[-1.86053634  0.40247938],-1.30345,"[ 1.15661578  2.37427162 -0.13732771 -0.67451958  1.03576617 -1.62174231
 -0.71286371  0.33130016  0.4516013   1.39449299  0.        ]",[-0.20601232 -0.08499682],[-2.72750374  0.4503591 ]
3,-0.164028106856,"[[ -0.3101547    0.16332213   0.11928252  -0.18704121]
 [-11.6405721    6.9656056    0.           0.        ]]",[-1.48550129  0.3360756 ],-1.1777,"[ 1.10002655  2.35611097 -0.42128788 -0.23104659  1.03576461 -1.62173803
 -0.85333963  0.55373959  0.41430358  1.16431502  0.        ]",[-0.20601232 -0.08499682],[-2.25236348  0.54776565]
4,-0.125947456386,"[[ -0.58035604   0.32302493   0.11928252  -0.18704121]
 [-15.36719082   8.99785348   0.           0.        ]]",[-0.92950672  0.22316903],-0.946703,"[ 0.94021681  2.30022435 -0.78419378  0.33247155  1.03576305 -1.62173375
 -0.99104731  0.82281515  0.30929097  0.85481103  0.        ]",[-0.20601232 -0.08499682],[ 0.3660614   0.61241617]
5,-0.0881280674121,"[[ -0.87013201   0.52551454   0.11928252  -0.18704121]
 [-13.61623684  11.24361649   0.           0.        ]]",[-0.4580611   0.04170913],-0.839056,"[ 0.67637969  2.179172   -1.10676015  1.00292175  1.03576149 -1.62172947
 -0.92634335  1.12016008  0.14472523  0.59174121  0.        ]",[-0.20601232 -0.08499682],[-0.40252553  1.59362921]
6,-0.060775177829,"[[ -1.15575      0.78788102   0.11928252  -0.18704121]
 [-14.94118967  14.98052073   0.           0.        ]]",[ 0.03244037 -0.1757648 ],-0.72903,"[ 0.34373796  1.94684012 -1.3316878   1.75700237  1.03575993 -1.6217252
 -0.97530274  1.61493476 -0.04256471  0.44248234  0.        ]",[-0.20601232 -0.08499682],[-0.31130028  1.13182381]
7,-0.0511886410058,"[[ -1.463985     1.12423856   0.11928252  -0.18704121]
 [-15.87920985  18.64296694   0.           0.        ]]",[ 0.36641324 -0.33032519],-0.636808,"[-0.06484262  1.54902365 -1.44991404  2.45967462  1.03575837 -1.62172092
 -1.00996376  2.09984635 -0.25641273  0.39958733  0.        ]",[-0.20601232 -0.08499682],[ 1.15778391  0.24169148]
8,-0.0691476599766,"[[ -1.73872381   1.50297768   0.11928252  -0.18704121]
 [-11.60866767  19.22911986   0.           0.        ]]",[ 0.40204251 -0.41781515],-0.741846,"[-0.44191252  1.01940681 -1.43741996  2.80816907  1.03575681 -1.62171664
 -0.85215405  2.17744564 -0.43690973  0.50044451  0.        ]",[-0.20601232 -0.08499682],[ 0.08835634  0.23800916]
9,-0.0991897875826,"[[ -1.96508756   1.89318946   0.11928252  -0.18704121]
 [-11.02958735  19.79021023   0.           0.        ]]",[ 0.45598632 -0.42600781],-0.855094,"[-0.74083581  0.45996127 -1.3438765   2.62902107  1.03575525 -1.62171237
 -0.83075436  2.25172552 -0.57858169  0.70606236  0.        ]",[-0.20601232 -0.08499682],[-0.94623478 -2.59774861]
10,-0.130407709012,"[[ -2.22106975   2.24533167   0.11928252  -0.18704121]
 [-14.55709601  15.43843665   0.           0.        ]]",[ 0.58514506 -0.3613562 ],-1.06925,"[-1.0455927   0.01238453 -1.15377439  2.01949035  1.03575369 -1.62170809
 -0.96110452  1.67553654 -0.7421746   0.90527285  0.        ]",[-0.20601232 -0.08499682],[ 0.74931219 -0.55936564]
11,-0.157962943746,"[[ -2.47956327   2.52880498   0.11928252  -0.18704121]
 [-11.30300402  12.9173871    0.           0.        ]]",[ 0.59367353 -0.29120797],-1.28477,"[-1.29813292 -0.2691003  -0.8832916   1.27034588  1.03575213 -1.62170381
 -0.84085549  1.34174177 -0.88007618  1.08358718  0.        ]",[-0.20601232 -0.08499682],[ 0.21950766 -0.13324909]
12,-0.182801689466,"[[ -2.6946617    2.77929067   0.11928252  -0.18704121]
 [-10.21044649  12.13382432   0.           0.        ]]",[ 0.58588982 -0.23778158],-1.4273,"[-1.45382339 -0.43934022 -0.61083995  0.46706777  1.03575057 -1.62169953
 -0.80048141  1.23799426 -0.96656088  1.27276562  0.        ]",[-0.20601232 -0.08499682],[ 1.33570143  0.82370791]
13,-0.209844497183,"[[ -2.85711794   3.0522816    0.11928252  -0.18704121]
 [ -6.04912484  12.17475314   0.           0.        ]]",[ 0.45289308 -0.19818622],-1.53642,"[-1.53375426 -0.52797023 -0.38462149 -0.49820644  1.03574901 -1.62169526
 -0.64670796  1.24341102 -1.02263704  1.50511742  0.        ]",[-0.20601232 -0.08499682],[-0.03664621  1.83498944]
14,-0.21737597928,"[[-2.97836228  3.12871048  0.11928252 -0.18704121]
 [-6.07505661 -0.86611022  0.          0.        ]]",[ 0.24423973 -0.06037903],-1.46619,"[-1.57080093 -0.53364648 -0.20825999 -0.77592371  1.03574745 -1.62169098
 -0.64766555 -0.48322277 -1.03715292  1.57003831  0.        ]",[-0.20601232 -0.08499682],[-0.84003694 -1.51488325]
