timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.106356797113,"[[ 0.03856323 -0.03986504  0.10423129 -0.0081407 ]
 [-0.00189508  0.00455761  0.          0.        ]]",[ 0.7248472  -2.06822348],-2.16423,"[ 1.03408384  1.37119846 -0.08786822  1.14753955  0.89590728 -0.06648142
  0.23005679  0.31823788  0.52749642  0.03176645  0.        ]",[-0.7439512  -0.57367855],[ 0.52817411 -0.78279113]
1,-0.106361943668,"[[ 0.05950129 -0.07088155  0.10423129 -0.0081407 ]
 [ 2.08873667 -3.09587234  0.          0.        ]]",[ 0.62313336 -1.62888205],-2.20526,"[ 1.03255056  1.36894362 -0.05662521  1.07099632  0.89590681 -0.0664814
  0.35824365 -0.21890718  0.52634452  0.04428825  0.        ]",[-0.7439512  -0.57367855],[ 1.66526294 -1.24715463]
2,-0.106385023005,"[[ 0.14056732 -0.17192706  0.10423129 -0.0081407 ]
 [ 6.00482725 -6.99567068  0.          0.        ]]",[-0.07102883 -1.03385639],-2.14032,"[ 1.02046197  1.35288275  0.06384781  0.82318673  0.89590634 -0.06648139
  0.59835835 -0.89454149  0.51734709  0.11906199  0.        ]",[-0.7439512  -0.57367855],[ 0.32556266 -1.73462984]
3,-0.105143303303,"[[  2.72409114e-01  -3.50182795e-01   1.04231294e-01  -8.14069558e-03]
 [  7.17545280e+00  -1.08171551e+01   0.00000000e+00   0.00000000e+00]]",[-0.09262297 -0.1281569 ],-2.14484,"[ 0.98011987  1.29255694  0.25649375  0.39808542  0.89590587 -0.06648137
  0.67013495 -1.55660698  0.48603514  0.2184935   0.        ]",[-0.7439512  -0.57367855],[-0.41716246  0.11032961]
4,-0.100818385372,"[[  3.97934158e-01  -5.59986618e-01   1.04231294e-01  -8.14069558e-03]
 [  5.38300366e+00  -1.01654092e+01   0.00000000e+00   0.00000000e+00]]",[ 0.42838386  0.32711866],-2.19495,"[ 0.91849399  1.17170433  0.43347464 -0.06685239  0.8959054  -0.06648135
  0.56023074 -1.44369162  0.43101754  0.25221637  0.        ]",[-0.7439512  -0.57367855],[ 0.68913745  0.60058964]
5,-0.0967478513367,"[[ 0.53187208 -0.73742356  0.10423129 -0.0081407 ]
 [ 8.00212968 -7.58684503  0.          0.        ]]",[-0.41034588  0.08828941],-2.11791,"[ 0.82887625  1.03114356  0.61220449 -0.41587503  0.89590493 -0.06648133
  0.72082212 -0.99695859  0.35877263  0.34470321  0.        ]",[-0.7439512  -0.57367855],[ 0.2717793 -0.0182103]
6,-0.0957231184825,"[[  7.01116719e-01  -8.88377728e-01   1.04231294e-01  -8.14069558e-03]
 [  8.91930058e+00  -7.50881377e+00   0.00000000e+00   0.00000000e+00]]",[-0.99972463  0.3279995 ],-1.97363,"[ 0.68290456  0.88733648  0.81826037 -0.67210642  0.89590445 -0.06648131
  0.7770581  -0.98343923  0.26018876  0.54571849  0.        ]",[-0.7439512  -0.57367855],[-1.12314129  0.16343685]
7,-0.093605087313,"[[ 0.83803441 -1.030555    0.10423129 -0.0081407 ]
 [ 4.78616977 -6.71162277  0.          0.        ]]",[-0.37327144  0.73248029],-2.00309,"[ 0.5407261   0.73460517  0.96505654 -0.87363507  0.89590398 -0.06648129
  0.52363494 -0.84532664  0.1589872   0.66378007  0.        ]",[-0.7439512  -0.57367855],[ 0.85257107  0.41713106]
8,-0.0932564621916,"[[ 0.96665077 -1.14689027  0.10423129 -0.0081407 ]
 [ 8.06460519 -4.92780467  0.          0.        ]]",[-1.87823534  0.14961717],-1.82533,"[ 0.39008095  0.59934871  1.08406399 -1.00687011  0.89590351 -0.06648127
  0.72465197 -0.53628255  0.05563633  0.78218027  0.        ]",[-0.7439512  -0.57367855],[-1.53998084  0.42772268]
9,-0.0960155541501,"[[ 1.08663789 -1.22746264  0.10423129 -0.0081407 ]
 [ 3.94777559 -3.13545337  0.          0.        ]]",[-1.32713699  0.17876384],-1.77035,"[ 0.23685308  0.50127852  1.17680873 -1.08138706  0.89590304 -0.06648125
  0.47222826 -0.22576016 -0.04491976  0.91593934  0.        ]",[-0.7439512  -0.57367855],[-1.64401665  0.94444724]
