timestep,original_rewards,human_obs,avg_action_dist,rewards,obs,logstd_action_dist,actions
0,-0.205904806183,"[[-0.05066604 -0.0096327   0.0050425  -0.03457683]
 [-0.00095787  0.00176258  0.          0.        ]]",[-0.36807543 -2.63448334],-2.13301,"[ 1.01958821  1.52802914 -0.22977436  1.02624983  0.05386682 -0.30736603
  0.32196103  0.33398923  1.37857162  0.21378651  0.        ]",[-0.48830354 -0.32405671],[ 1.01348387 -3.3144306 ]
1,-0.206503865599,"[[-0.01097906 -0.04934108  0.0050425  -0.03457683]
 [ 3.95647494 -3.95939347  0.          0.        ]]",[-0.70209813 -2.39354444],-2.12527,"[ 1.02140453  1.52655137 -0.16991383  0.9253168   0.05386679 -0.30736588
  0.52274196 -0.29422818  1.37970965  0.25629553  0.        ]",[-0.48830354 -0.32405671],[ 0.47761042 -2.12318024]
2,-0.20708104346,"[[  8.63370797e-02  -1.67477279e-01   5.04250365e-03  -3.45768326e-02]
 [  5.76910116e+00  -7.84128240e+00   0.00000000e+00   0.00000000e+00]]",[-0.90013623 -1.93662   ],-2.12891,"[ 1.01595835  1.51044866 -0.02321317  0.62682045  0.05386677 -0.30736572
  0.61470559 -0.9098739   1.37477879  0.33609116  0.        ]",[-0.48830354 -0.32405671],[-0.74061862 -2.87937627]
3,-0.203816341167,"[[  1.71192931e-01  -3.62461260e-01   5.04250365e-03  -3.45768326e-02]
 [  2.72657001e+00  -1.16444524e+01   0.00000000e+00   0.00000000e+00]]",[-0.23649311 -1.09919536],-2.10964,"[ 0.99977092  1.4461921   0.10374716  0.14901779  0.05386674 -0.30736556
  0.46034173 -1.51303372  1.34926914  0.29769767  0.        ]",[-0.48830354 -0.32405671],[-0.71869074 -0.5960934 ]
4,-0.193689915665,"[[  1.96662535e-01  -6.16708016e-01   5.04250365e-03  -3.45768326e-02]
 [ -1.70064496e-01  -1.37731468e+01   0.00000000e+00   0.00000000e+00]]",[ 0.50084239 -0.41736478],-2.07978,"[ 0.99284833  1.29590633  0.14153475 -0.42006951  0.05386672 -0.30736541
  0.31338002 -1.85062909  1.27440155  0.06765339  0.        ]",[-0.48830354 -0.32405671],[ 1.19604711 -0.63531691]
5,-0.178052401076,"[[  2.32992297e-01  -9.14688109e-01   5.04250365e-03  -3.45768326e-02]
 [  3.78989779e+00  -1.60173411e+01   0.00000000e+00   0.00000000e+00]]",[-0.16718739 -0.15739748],-1.95471,"[ 0.98133976  1.03658987  0.19509787 -0.96434459  0.05386669 -0.30736525
  0.51428958 -2.20653949  1.12696557 -0.15666542  0.        ]",[-0.48830354 -0.32405671],[-0.95891071  0.3504005 ]
6,-0.158021351489,"[[  2.69959611e-01  -1.21792127e+00   5.04250365e-03  -3.45768326e-02]
 [ -8.03976476e-02  -1.43117084e+01   0.00000000e+00   0.00000000e+00]]",[ 0.189679   -0.13519558],-1.8217,"[ 0.96767082  0.70330217  0.24912852 -1.33566428  0.05386667 -0.30736509
  0.31792876 -1.93603205  0.92007847 -0.33311886  0.        ]",[-0.48830354 -0.32405671],[ 1.11231668 -0.3719424 ]
7,-0.134736978003,"[[  3.08066208e-01  -1.51609793e+00   5.04250365e-03  -3.45768326e-02]
 [  3.87799792e+00  -1.55019355e+01   0.00000000e+00   0.00000000e+00]]",[-0.76522082 -0.04418695],-1.56064,"[ 0.9515326   0.33663385  0.3042479  -1.48855756  0.05386664 -0.30736494
  0.51875898 -2.12478924  0.6753727  -0.43876288  0.        ]",[-0.48830354 -0.32405671],[-0.7875243   1.25745076]
8,-0.111540257218,"[[  3.53572748e-01  -1.78332393e+00   5.04250365e-03  -3.45768326e-02]
 [  6.83288390e-01  -1.12349282e+01   0.00000000e+00   0.00000000e+00]]",[-0.34700844 -0.06882557],-1.3524,"[ 0.92956932  0.00188211  0.36919378 -1.43514123  0.05386662 -0.30736478
  0.35667408 -1.4480673   0.44159057 -0.45764143  0.        ]",[-0.48830354 -0.32405671],[-0.89794787 -0.57604769]
9,-0.0865253152355,"[[  3.31438746e-01  -2.02867196e+00   5.04250365e-03  -3.45768326e-02]
 [ -2.88496641e+00  -1.32930421e+01   0.00000000e+00   0.00000000e+00]]",[-0.11558637  0.06585118],-1.13232,"[ 0.94061434 -0.28939998  0.33773123 -1.23040095  0.05386659 -0.30736462
  0.17563726 -1.7744673   0.17478068 -0.48230615  0.        ]",[-0.48830354 -0.32405671],[-0.15653147  0.00335309]
10,-0.0574738833589,"[[  2.68085784e-01  -2.29175839e+00   5.04250365e-03  -3.45768326e-02]
 [ -3.44843525e+00  -1.30165258e+01   0.00000000e+00   0.00000000e+00]]",[-0.1575124  0.087771 ],-1.00365,"[ 0.96840754 -0.56423672  0.24640162 -0.85955768  0.05386657 -0.30736446
  0.14704938 -1.73061043 -0.12752386 -0.43769879  0.        ]",[-0.48830354 -0.32405671],[-0.39418476 -0.13001305]
11,-0.0277822195978,"[[  1.84136660e-01  -2.55466776e+00   5.04250365e-03  -3.45768326e-02]
 [ -4.94150468e+00  -1.32735608e+01   0.00000000e+00   0.00000000e+00]]",[ 0.02749931  0.17446581],-0.94848,"[ 0.99636476 -0.78169696  0.12297194 -0.35762963  0.05386654 -0.30736431
  0.07129784 -1.77137101 -0.39701988 -0.2867211   0.        ]",[-0.48830354 -0.32405671],[ 0.63555836 -1.0960492 ]
12,-0.00787364311344,"[[  1.11526846e-01  -2.85722930e+00   5.04250365e-03  -3.45768326e-02]
 [ -2.32812897e+00  -1.69702694e+01   0.00000000e+00   0.00000000e+00]]",[-0.39997941  0.14637706],-0.917176,"[ 1.01225254 -0.94200371  0.01461273  0.33729201  0.05386652 -0.30736415
  0.20388851 -2.35763594 -0.59799278  0.00354665  0.        ]",[-0.48830354 -0.32405671],[ 0.25813114 -0.25199666]
13,-0.0352660981617,"[[ 0.07568206 -3.11214229  0.0050425  -0.03457683]
 [-1.25961418 -3.9221766   0.          0.        ]]",[ 0.3321968   0.30521247],-0.91629,"[ 1.01722975 -0.99207138 -0.03924229  0.97586703  0.05386649 -0.30736399
  0.25809998 -0.28830389 -0.66988967  0.31140487  0.        ]",[-0.48830354 -0.32405671],[ 0.1380511   1.49570962]
