timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.27715576 -0.18744342],"[ 1.21801534  2.37602962  0.1106845  -0.47145085  0.53132323  1.53129183
  1.44091368 -0.35033958  0.85488915 -1.38100065  0.        ]",[ 1.51119384  2.00879942],-2.3623,-0.223759597855,"[[ 0.00589649  0.08769202  0.06041202  0.1777109 ]
 [-0.00176022  0.00200177  0.          0.        ]]",[ 1.49103844  3.30368328]
1,[-0.27715576 -0.18744342],"[ 1.21661126  2.3697797   0.16954579 -0.33523235  0.53132258  1.53128698
  1.55251346  0.1648494   0.84567284 -1.27397347  0.        ]",[ 0.78373147  3.34963196],-2.35055,-0.21364650634,"[[ 0.04553684  0.12744408  0.06041202  0.1777109 ]
 [ 3.95263976  3.96001765  0.          0.        ]]",[ 1.1542002   2.91492677]
2,[-0.27715576 -0.18744342],"[ 1.20157392  2.3377803   0.33110278  0.06464826  0.53132193  1.53128212
  1.637763    0.66988343  0.78610202 -0.97839836  0.        ]",[ 0.34584847  2.75275698],-2.18289,-0.183766391625,"[[ 0.15489766  0.24557376  0.06041202  0.1777109 ]
 [ 6.97342253  7.84001892  0.          0.        ]]",[ 0.67726254  2.56223989]
3,[-0.27715576 -0.18744342],"[ 1.15387844  2.24210463  0.55040806  0.69650406  0.53132129  1.53127727
  1.67244766  1.16500078  0.61025201 -0.58258137  0.        ]",[ 1.31800199  2.61561932],-1.95,-0.136607731264,"[[  0.30669783   0.44053925   0.06041202   0.1777109 ]
 [  8.20259193  11.6438448    0.           0.        ]]",[ 0.05249357  2.16796994]
4,[-0.27715576 -0.18744342],"[ 1.0438797   2.0277741   0.82555666  1.47557245  0.53132064  1.53127241
  1.77950887  1.6501768   0.23878392 -0.18326565  0.        ]",[-1.03425582  0.50531889],-1.33871,-0.0696817101206,"[[  0.50881026   0.71081536   0.06041202   0.1777109 ]
 [ 11.99626937  15.37132107   0.           0.        ]]",[-0.72144705  1.59267807]
5,[-0.27715576 -0.18744342],"[ 0.88880756  1.66610705  1.06645128  2.19095364  0.53132     1.53126756
  1.66118148  1.87112297 -0.25693023 -0.00227167  0.        ]",[ 0.00950607  0.44773879],-1.44557,-0.00536897861849,"[[  0.70667186   1.03527361   0.06041202   0.1777109 ]
 [  7.8038551   17.06883456   0.           0.        ]]",[-1.39284182  1.03943729]
6,[-0.27715576 -0.18744342],"[ 0.73854379  1.1817669   1.22922274  2.61794937  0.53131935  1.5312627
  1.65793713  2.0578603  -0.70631151 -0.10437367  0.        ]",[-0.76859539  0.88912057],-1.68065,-0.0666668867629,"[[  0.86159651   1.39104537   0.06041202   0.1777109 ]
 [  7.6891086   18.50355403   0.           0.        ]]",[-1.90672588  0.44582117]
7,[-0.27715576 -0.18744342],"[ 0.6051985   0.59891001  1.33837008  2.58889828  0.5313187   1.53125785
  1.56785359  2.46845381 -1.02123338 -0.43318939  0.        ]",[-3.40859394  0.36125484],-1.57791,-0.121026683063,"[[  0.98335554   1.79276769   0.06041202   0.1777109 ]
 [  4.49740357  21.65814499   0.           0.        ]]",[-2.1442275  -0.14723331]
8,[-0.27715576 -0.18744342],"[ 0.54780355  0.01880622  1.37748597  1.93860266  0.53131806  1.53125299
  1.45368678  2.59884724 -1.09831515 -0.86283384  0.        ]",[-0.30664198  0.68197458],-1.96101,-0.158683033436,"[[  1.03272082   2.23598368   0.06041202   0.1777109 ]
 [  0.45233211  22.66006913   0.           0.        ]]",[-2.33723235 -0.5613808 ]
9,[-0.27715576 -0.18744342],"[ 0.55158542 -0.40757275  1.37503403  0.66295182  0.53131741  1.53124814
  1.41921026  2.89190838 -0.96256897 -1.27276319  0.        ]",[-0.97541904 -0.74877327],-1.76811,-0.183527579341,"[[  1.02951358   2.71177743   0.06041202   0.1777109 ]
 [ -0.76911723  24.91178795   0.           0.        ]]",[-2.49534369 -0.96591276]
10,[-0.27715576 -0.18744342],"[ 0.61411863 -0.54010811  1.33188526 -0.69738683  0.53131677  1.53124328
  1.31063329  0.76618317 -0.76713502 -1.50028506  0.        ]",[-1.57580601 -1.59453149],-1.68336,-0.195050101739,"[[ 0.97553807  3.11955677  0.06041202  0.1777109 ]
 [-4.61616665  8.58022293  0.          0.        ]]",[-2.2615633  -0.45961732]
