timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.28956103 -0.22343566],"[ 1.21035163  2.44140691  0.21918666 -0.84620955  1.03868798  1.51149082
  1.47978716 -0.35806831  0.4360566  -1.33835709  0.        ]",[ 0.87014012  3.70321928],-2.2712,-0.18360283048,"[[  8.41332964e-02  -1.06725409e-02   1.18165662e-01   1.75836437e-01]
 [  7.23066646e-05   1.32663489e-03   0.00000000e+00   0.00000000e+00]]",[ 1.34954476  2.94570804]
1,[-0.28956103 -0.22343566],"[ 1.20554748  2.44085147  0.2702093  -0.70452435  1.03868634  1.51148702
  1.57442608  0.16053525  0.42687173 -1.239096    0.        ]",[ 1.51312662  2.19157496],-2.22584,-0.173022412672,"[[ 0.11865558  0.02906813  0.11816566  0.17583644]
 [ 3.44070624  3.95955309  0.          0.        ]]",[ 0.95451128  2.44939065]
2,[-0.28956103 -0.22343566],"[ 1.18011914  2.42541825  0.42791981 -0.28524256  1.03868469  1.51148323
  1.68132526  0.66884745  0.36632632 -0.94186678  0.        ]",[-0.90359844  3.1126826 ],-1.95699,-0.139629020382,"[[ 0.22646256  0.14718528  0.11816566  0.17583644]
 [ 7.32707766  7.83923286  0.          0.        ]]",[ 0.43301129  1.9426291 ]
3,[-0.28956103 -0.22343566],"[ 1.13850809  2.3554211   0.58372545  0.38817011  1.03868304  1.51147944
  1.57897317  1.1674758   0.22117328 -0.60383202  0.        ]",[-0.27536646  2.48314722],-1.75619,-0.0964325292594,"[[  0.33567248   0.34215463   0.11816566   0.17583644]
 [  3.60633698  11.64500977   0.           0.        ]]",[-0.17678064  1.42248535]
4,[-0.28956103 -0.22343566],"[ 1.10877662  2.17166113  0.66760592  1.24168906  1.03868139  1.51147565
  1.54701852  1.65610043  0.00655757 -0.34823184  0.        ]",[-1.33296801  0.23291121],-1.37747,-0.0549791181361,"[[  0.39614436   0.61247362   0.11816566   0.17583644]
 [  2.44480613  15.37445482   0.           0.        ]]",[-0.94524032  0.8556869 ]
5,[-0.28956103 -0.22343566],"[ 1.10410162  1.84909323  0.67953755  2.04192707  1.03867974  1.51147186
  1.43687139  1.7372159  -0.23482642 -0.22282671  0.        ]",[-1.95110138  0.99856548],-1.41004,-0.0295916677642,"[[  0.40486622   0.92617523   0.11816566   0.17583644]
 [ -1.55935423  15.99360713   0.           0.        ]]",[-1.42384434  0.56562054]
6,[-0.28956103 -0.22343566],"[ 1.1391284   1.37915989  0.58177888  2.61032937  1.03867809  1.51146807
  1.32886896  2.21388817 -0.44519359 -0.25334813  0.        ]",[-2.06867972 -0.03368686],-1.3404,-0.04388390136,"[[  0.33428669   1.282552     0.11816566   0.17583644]
 [ -5.48556982  19.63187668   0.           0.        ]]",[-1.90582049 -0.09142083]
7,[-0.28956103 -0.22343566],"[ 1.19150365  0.81032028  0.36902927  2.73989621  1.03867644  1.51146427
  1.2230072   2.14554461 -0.60732414 -0.41362696  0.        ]",[-1.98639918 -1.51007582],-1.31305,-0.0725662421256,"[[  0.18596526   1.66995752   0.11816566   0.17583644]
 [ -9.33398314  19.11031411   0.           0.        ]]",[-2.07005525 -0.26469499]
8,[-0.28956103 -0.22343566],"[ 1.21417369  0.32797854  0.03704656  2.42105197  1.03867479  1.51146048
  1.1192145   1.57717912 -0.68206441 -0.64192296  0.        ]",[-1.29859158 -0.87787754],-1.48471,-0.0992954010004,"[[ -0.03856961   2.00863986   0.11816566   0.17583644]
 [-13.10719406  14.77228084   0.           0.        ]]",[-2.10844493  0.03486392]
9,[-0.28956103 -0.22343566],"[ 1.13751514  0.00626548 -0.39808283  1.92929204  1.03867314  1.51145669
  1.01744509  1.0833565  -0.69177771 -0.87914696  0.        ]",[-1.6011558   0.16069785],-1.60984,-0.122915449139,"[[ -0.3378323    2.26626955   0.11816566   0.17583644]
 [-16.80686344  11.00317544   0.           0.        ]]",[-2.08860397  0.31094629]
10,[-0.28956103 -0.22343566],"[ 0.8828004  -0.2233175  -0.87448616  1.3526954   1.03867149  1.5114529
  0.91767423  1.13805169 -0.71299286 -1.11560996  0.        ]",[-1.29384569  0.18895483],-1.71711,-0.148531339156,"[[ -0.71036018   2.49052223   0.11816566   0.17583644]
 [-20.43388792  11.42065375   0.           0.        ]]",[-2.15979815  0.04755056]
11,[-0.28956103 -0.22343566],"[ 0.39639568 -0.39948684 -1.26458037  0.63735551  1.03866984  1.51144911
  0.81987389  1.20630278 -0.80397386 -1.32067555  0.        ]",[-3.38366878 -0.9813152 ],-1.6736,-0.175402783655,"[[ -1.15471031   2.72416214   0.11816566   0.17583644]
 [-23.9892847   11.94160016   0.           0.        ]]",[-2.22412205 -0.33667272]
