timestep,logstd_action_dist,human_obs,actions,obs,rewards,original_rewards,avg_action_dist
0,[-0.25537491 -0.16913185],"[[-0.02195639  0.06110228 -0.18224234 -0.14926747]
 [-0.00476964 -0.0023745   0.          0.        ]]",[-2.27330186  4.43255357],"[ 1.21774608  2.35745126  0.07166818 -0.55604432 -1.57413493 -1.26316269
  1.42855765 -0.3497448   2.61066111  1.28415184  0.        ]",-3.15639,-0.420337992741,[-2.91752291  3.47722912]
1,[-0.25537491 -0.16913185],"[[-0.06175681  0.10079852 -0.18224234 -0.14926747]
 [-3.96209249  3.95879031  0.          0.        ]]",[-3.53624129  2.9255496 ],"[ 1.21545395  2.3527743   0.01257907 -0.42049239 -1.5741294  -1.26315938
  1.31586665  0.1658999   2.60943954  1.25061404  0.        ]",-3.13436,-0.418763614394,[-2.98656893  3.29901099]
2,[-0.25537491 -0.16913185],"[[-0.17991827  0.21893068 -0.18224234 -0.14926747]
 [-7.8411434   7.84146993  0.          0.        ]]",[-3.05262313  1.1862371 ],"[ 1.19588358  2.32546515 -0.16163115 -0.02114541 -1.57412388 -1.26315607
  1.20540522  0.67132746  2.59912121  1.15195821  0.        ]",-3.17483,-0.413436871583,[-2.98780298  3.12716269]
3,[-0.25537491 -0.16913185],"[[ -0.37489173   0.41394379  -0.18224234  -0.14926747]
 [-11.64357559  11.64711425   0.           0.        ]]",[-3.49456124  2.40087551],"[ 1.12260136  2.23745995 -0.43985047  0.61282214 -1.57411835 -1.26315276
  1.09712614  1.16672542  2.56052852  0.99448371  0.        ]",-3.04163,-0.402574356734,[-2.91249847  2.96660495]
4,[-0.25537491 -0.16913185],"[[ -0.6451621    0.68431037  -0.18224234  -0.14926747]
 [-15.37113284  15.37702105   0.           0.        ]]",[-3.66628876  1.51662764],"[ 0.94178214  2.03313397 -0.78930037  1.40054798 -1.57411282 -1.26314945
  0.99097966  1.65226061  2.46532958  0.79673524  0.        ]",-2.93717,-0.38361347692,[-2.76453161  2.78805327]
5,[-0.25537491 -0.16913185],"[[ -0.98925005   1.02852743  -0.18224234  -0.14926747]
 [-19.02564035  19.03234644   0.           0.        ]]",[-1.61630159  1.85482013],"[ 0.59857156  1.65731729 -1.13745637  2.16937114 -1.57410729 -1.26314614
  0.8869137   2.12808065  2.28465166  0.59974799  0.        ]",-2.80693,-0.354083944656,[-2.57525253  2.51925945]
6,[-0.25537491 -0.16913185],"[[ -1.40571267   1.44511457  -0.18224234  -0.14926747]
 [-22.60887969  22.61423137   0.           0.        ]]",[-3.17871069  1.48078953],"[ 0.0693876   1.08987097 -1.36153278  2.63384218 -1.57410177 -1.26314283
  0.78487743  2.59433056  2.00608362  0.47299934  0.        ]",-2.48459,-0.313447914985,[-2.46174097  2.12105393]
7,[-0.25537491 -0.16913185],"[[ -1.89313998   1.93261633  -0.18224234  -0.14926747]
 [-26.12230519  26.12408658   0.           0.        ]]",[-2.19198889  1.31565509],"[-0.59195183  0.39375793 -1.30519497  2.43902095 -1.57409624 -1.26313952
  0.68482939  3.05118988  1.65795514  0.50495421  0.        ]",-2.22294,-0.267024120983,[-2.3661871   1.61534786]
8,[-0.25537491 -0.16913185],"[[ -2.45014466   2.48961136  -0.18224234  -0.14926747]
 [-29.5666652   29.56397229   0.           0.        ]]",[-1.97925845  2.47414006],"[-1.21536217 -0.24655602 -0.84327049  1.31356693 -1.57409071 -1.26313621
  0.5867482   3.49892223  1.32979402  0.76644747  0.        ]",-1.97985,-0.233131560384,[-2.28498578  1.14617562]
9,[-0.25537491 -0.16913185],"[[ -3.07534527   3.11472801  -0.18224234  -0.14926747]
 [-32.94209396  26.70490062   0.           0.        ]]",[-4.29639425  1.00499548],"[-1.52804827 -0.54391627  0.00593177 -0.67323887 -1.57408519 -1.2631329
  0.49062999  3.12671943  1.16519248  1.24712341  0.        ]",-2.00468,-0.242097116592,[-2.46022701  1.10268688]
10,[-0.25537491 -0.16913185],"[[ -3.76738412   3.28109319  -0.18224234  -0.14926747]
 [-36.25041915  -1.9881472    0.           0.        ]]",[-3.19998168  1.78018106],"[-1.27057912 -0.53033163  0.97473461 -1.24166223 -1.57407966 -1.26312959
  0.39642267 -0.60825506  1.21380365  1.33726199  0.        ]",-1.96605,-0.253979752667,[-2.80952597  1.59065318]
11,[-0.25537491 -0.16913185],"[[ -4.52492077   3.19304225  -0.18224234  -0.14926747]
 [-39.49236603  -5.08028097   0.           0.        ]]",[-2.14695427  1.74051054],"[-0.41267303 -0.54251721  1.56430054 -0.94145883 -1.57407413 -1.26312629
  0.30410558 -1.01075645  1.14758855  1.19443716  0.        ]",-1.83085,-0.236388797892,[-2.79400063  1.74876523]
12,[-0.25537491 -0.16913185],"[[ -5.34664863   3.10567723  -0.18224234  -0.14926747]
 [-42.66979829  -3.47163339   0.           0.        ]]",[-3.12170927  1.03845865],"[ 0.65805083 -0.54350165  1.30131522 -0.64223965 -1.57406861 -1.26312298
  0.21362561 -0.80135726  1.02649851  1.21857221  0.        ]",-1.68612,-0.22498424017,[-2.71629524  1.90941095]
13,[-0.25537491 -0.16913185],"[[ -6.2312929    3.05326964  -0.18224234  -0.14926747]
 [-45.78425085  -1.86837997   0.           0.        ]]",[-2.91862992  2.47777353],"[ 1.2162227  -0.53877662  0.18137712 -0.46305143 -1.57406308 -1.26311967
  0.12493904 -0.59266068  1.01905857  1.34382677  0.        ]",-1.79375,-0.234008898483,[-2.72639513  2.09403658]
14,[-0.25537491 -0.16913185],"[[ -7.17760788   3.02651001  -0.18224234  -0.14926747]
 [-48.83708137  -0.90566502   0.           0.        ]]",[-1.56248898  2.36350444],"[ 0.70394097 -0.53483044 -1.05458251 -0.3718458  -1.57405755 -1.26311636
  0.03800722 -0.46734325  1.12122041  1.39379302  0.        ]",-2.08396,-0.248474862209,[-2.77213001  2.09049392]
