timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.33410183 -0.31926978],"[ 1.20863845  2.5029101  -0.02215321 -0.66263003 -0.81687715  0.52179707
  1.52517059 -0.36809447  2.02672215 -0.59255449  0.        ]",[ 0.54178155  4.65185142],-3.4526,-0.311982951013,"[[-0.06979953  0.05337226 -0.09432627  0.06104755]
 [ 0.00412484 -0.00062643  0.          0.        ]]",[ 0.7660948   4.75535059]
1,[-0.33410183 -0.31926978],"[ 1.21038561  2.49851056  0.00980943 -0.51752131 -0.81687638  0.52179669
  1.58259074  0.15796786  2.02694971 -0.51508532  0.        ]",[ 0.88065815  4.22803572],-3.45606,-0.310145498088,"[[-0.04822967  0.09307934 -0.09432627  0.06104755]
 [ 2.14573873  3.95814323  0.          0.        ]]",[ 0.54160774  4.37090015]
2,[-0.33410183 -0.31926978],"[ 1.21139649  2.47147547  0.12471234 -0.09001905 -0.81687561  0.52179632
  1.67482182  0.6735477   2.004902   -0.26237275  0.        ]",[-1.48463935  4.98801461],-3.3123,-0.302811862497,"[[ 0.02919848  0.21117036 -0.09432627  0.06104755]
 [ 5.58565401  7.83803044  0.          0.        ]]",[-0.02023494  3.83745384]
3,[-0.33410183 -0.31926978],"[ 1.20509942  2.38212621  0.22971783  0.58953526 -0.81687484  0.52179594
  1.56575226  1.17929893  1.92278168  0.03596808  0.        ]",[-1.59108216  2.38521701],-3.23486,-0.290038841255,"[[  0.10009923   0.40611721  -0.09432627   0.06104755]
 [  1.51798773  11.64396128   0.           0.        ]]",[-0.82321978  3.27737045]
4,[-0.33410183 -0.31926978],"[ 1.20635899  2.17231585  0.21546654  1.43591048 -0.81687407  0.52179557
  1.45884325  1.6750218   1.79763737  0.22799866  0.        ]",[-2.60303638  2.3675145 ],-3.05194,-0.274206084876,"[[  0.09045505   0.67642584  -0.09432627   0.06104755]
 [ -2.46912162  15.37444184   0.           0.        ]]",[-1.43279672  2.79450178]
5,[-0.33410183 -0.31926978],"[ 1.21197503  1.78403229  0.0841355   2.26559876 -0.8168733   0.52179519
  1.35404765  2.16089195  1.63876328  0.30380779  0.        ]",[-1.34350239  2.93399534],-2.9446,-0.253821562815,"[[  1.85974383e-03   1.02060081e+00  -9.43262732e-02   6.10475471e-02]
 [ -6.37742819e+00   1.90308066e+01   0.00000000e+00   0.00000000e+00]]",[-1.62153435  2.44572639]
6,[-0.33410183 -0.31926978],"[ 1.19350134  1.19528848 -0.16117188  2.7737201  -0.81687254  0.52179482
  1.25131557  2.63706904  1.44323469  0.2581462   0.        ]",[-1.57617394  1.40294803],-2.79778,-0.226959483826,"[[ -0.16412911   1.43717211  -0.09432627   0.06104755]
 [-10.20879     22.61427292   0.           0.        ]]",[-1.75496864  2.06161761]
7,[-0.33410183 -0.31926978],"[ 1.10022774  0.47031619 -0.50487272  2.57928297 -0.81687177  0.52179444
  1.15059768  3.10371475  1.19650761  0.09722575  0.        ]",[-2.61568824  0.07638386],-2.60622,-0.192151414398,"[[ -0.40599121   1.92469391  -0.09432627   0.06104755]
 [-13.96504433  26.12607565   0.           0.        ]]",[-1.80400324  1.53694761]
8,[-0.33410183 -0.31926978],"[ 0.868751   -0.16509306 -0.89993543  1.49289267 -0.816871    0.52179407
  1.0518539   3.0750621   0.90612491 -0.14449832  0.        ]",[-2.25854252  0.88130736],-2.3289,-0.153807762626,"[[ -0.7222392    2.4450541   -0.09432627   0.06104755]
 [-17.64768432  25.9105907    0.           0.        ]]",[-1.98974013  0.86638033]
9,[-0.33410183 -0.31926978],"[ 0.44681064 -0.50043993 -1.24916394 -0.31605696 -0.81687023  0.52179369
  0.95505137  3.4704845   0.55310824 -0.38446282  0.        ]",[-1.67148099 -1.93927369],-2.23667,-0.114629099435,"[[ -1.11141603   2.99312347  -0.09432627   0.06104755]
 [-21.25793273  28.88649559   0.           0.        ]]",[-2.28572369 -0.255     ]
