timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.33588028 -0.37431091],"[ 1.20534419  2.53126741  0.20624954 -1.05119546 -1.55807766  1.55452467
  1.54569259 -0.37225052  2.66796709 -1.45020366  0.        ]",[ 2.93249755  5.95658191],-4.3988,-0.42292622612,"[[ 0.08876543 -0.04564632 -0.17913646  0.18041524]
 [ 0.00474023  0.00343582  0.          0.        ]]",[ 2.14104414  4.98924494]
1,[-0.33588028 -0.37431091],"[ 1.19941246  2.5328188   0.26489221 -0.90396888 -1.55807508  1.55452211
  1.65071274  0.1577474   2.65937681 -1.33922408  0.        ]",[ 2.85330405  5.28471925],-4.39199,-0.417019278429,"[[ 0.12853436 -0.00586588 -0.17913646  0.18041524]
 [ 3.95899078  3.96142249  0.          0.        ]]",[ 1.84033906  4.47860336]
2,[-0.33588028 -0.37431091],"[ 1.16914995  2.52324303  0.4368685  -0.46738395 -1.55807251  1.55451955
  1.75365669  0.67725517  2.59710066 -1.01705084  0.        ]",[ 1.91460145  4.45391888],-4.22979,-0.396858240475,"[[ 0.24660401  0.11228834 -0.17913646  0.18041524]
 [ 7.83509117  7.84107058  0.          0.        ]]",[ 1.37381542  4.04930782]
3,[-0.33588028 -0.37431091],"[ 1.0789244   2.46148533  0.70851408  0.2375593  -1.55806994  1.55451699
  1.85457229  1.18647248  2.38189212 -0.5390753   0.        ]",[ 0.81594724  2.34703057],-3.9284,-0.355728347716,"[[  0.44142894   0.30726469  -0.17913646   0.18041524]
 [ 11.63484504  11.64387609   0.           0.        ]]",[ 0.73024714  3.54543638]
4,[-0.33588028 -0.37431091],"[ 0.8836205   2.28575979  1.03515152  1.1391553  -1.55806736  1.55451443
  1.93417798  1.68562267  1.91066371 -0.07835349  0.        ]",[ 0.9339618   3.23115482],-3.40254,-0.286891234747,"[[  0.70419765   0.57754322  -0.17913646   0.18041524]
 [ 14.63227345  15.37151485   0.           0.        ]]",[-0.03433859  2.86398077]
5,[-0.33588028 -0.37431091],"[ 0.5422938   1.93040758  1.34726741  2.06705565 -1.55806479  1.55451188
  2.02465993  2.17482126  1.18881289  0.07658473  0.        ]",[-2.34593161  0.75775865],-2.67775,-0.189690338171,"[[  1.03102188   0.92162945  -0.17913646   0.18041524]
 [ 18.0392333   19.0248607    0.           0.        ]]",[-1.1464622   1.87389863]
6,[-0.33588028 -0.37431091],"[ 0.13861079  1.37511492  1.52169029  2.7119732  -1.55806222  1.55450932
  1.9101757   2.52617093  0.54463257 -0.28295457  0.        ]",[-3.09272498  1.64315438],-2.08518,-0.108181345579,"[[  1.34855894   1.32845343  -0.17913646   0.18041524]
 [ 13.72889575  21.64878731   0.           0.        ]]",[-1.88263845  0.88097107]
7,[-0.33588028 -0.37431091],"[-0.17819769  0.66814884  1.55809675  2.72595072 -1.55805964  1.55450676
  1.79795432  2.99899467  0.30953475 -0.91864207  0.        ]",[-1.61530037  0.47274414],-2.36656,-0.127804126803,"[[  1.58074488   1.79685828  -0.17913646   0.18041524]
 [  9.50372974  25.17992536   0.           0.        ]]",[-2.26278448 -0.1863414 ]
8,[-0.33588028 -0.37431091],"[-0.38153467 -0.02139761  1.53958169  1.84324694 -1.55805707  1.5545042
  1.68792728  3.1828877   0.48748875 -1.46033216  0.        ]",[-3.66758788 -1.17548057],-2.77572,-0.193039988955,"[[  1.7292595    2.31423716  -0.17913646   0.18041524]
 [  5.36115905  26.55336443   0.           0.        ]]",[-2.40933156 -0.70478022]
9,[-0.33588028 -0.37431091],"[-0.47124363 -0.42581602  1.5207996   0.35695432 -1.5580545   1.55450164
  1.58000497  2.58226993  0.85093192 -1.67259236  0.        ]",[-2.16552556 -0.63641379],-3.05735,-0.240191155814,"[[  1.79571903   2.80030164  -0.17913646   0.18041524]
 [  1.29781347  22.06800744   0.           0.        ]]",[-2.39038086 -0.66362464]
10,[-0.33588028 -0.37431091],"[-0.45240811 -0.51320124  1.52529574 -0.79028168 -1.55805192  1.55449908
  1.47415163  0.3014098   1.11910971 -1.65704387  0.        ]",[-1.99124815  0.81099721],-3.02794,-0.262139094726,"[[ 1.78169153  3.11674892 -0.17913646  0.18041524]
 [-2.68765021  5.03444244  0.          0.        ]]",[-2.38681173  1.07999945]
11,[-0.33588028 -0.37431091],"[-0.32634786 -0.51342301  1.54785384 -0.81545011 -1.55804935  1.55449652
  1.37039802 -0.65018468  1.10856451 -1.65794947  0.        ]",[-3.80796376  2.34070859],-2.70637,-0.261241314993,"[[ 1.68874309  3.12354853 -0.17913646  0.18041524]
 [-6.59407121 -2.07210819  0.          0.        ]]",[-2.18183374  2.15166783]
12,[-0.33588028 -0.37431091],"[-0.09255181 -0.51046056  1.5561254  -0.64201282 -1.55804678  1.55449396
  1.26870734 -0.6664649   1.05532422 -1.65168618  0.        ]",[-2.20475377  2.61979434],-2.71286,-0.255860917094,"[[  1.51844624   3.0766595   -0.17913646   0.18041524]
 [-10.42283262  -2.19369298   0.           0.        ]]",[-2.23309374  2.31043911]
13,[-0.33588028 -0.37431091],"[ 0.23988388 -0.50601795  1.49257327 -0.5115996  -1.55804421  1.5544914
  1.16903154 -0.55144477  1.01268452 -1.62016504  0.        ]",[-2.37670624  1.19241291],-2.75995,-0.249350471559,"[[  1.27233541   3.0413133   -0.17913646   0.18041524]
 [-14.17574166  -1.33472091   0.           0.        ]]",[-2.25990725  2.37425661]
14,[-0.33588028 -0.37431091],"[ 0.63331847 -0.50272372  1.28301675 -0.43918766 -1.55804163  1.55448884
  1.071329   -0.46454534  0.99209653 -1.56817418  0.        ]",[-1.61438726  2.74035108],-2.63532,-0.243083731707,"[[  0.9519118    3.02163579  -0.17913646   0.18041524]
 [-17.85436315  -0.68575497   0.           0.        ]]",[-2.2481916   2.50505304]
15,[-0.33588028 -0.37431091],"[ 1.00168007 -0.50088353  0.86100019 -0.40354251 -1.55803906  1.55448629
  0.9755604  -0.41613288  0.99827962 -1.5058332   0.        ]",[-2.10864703  2.66962433],-2.62871,-0.238426597247,"[[  0.55864627   3.01193278  -0.17913646   0.18041524]
 [-21.46017614  -0.32421089   0.           0.        ]]",[-2.23527098  2.69516563]
16,[-0.33588028 -0.37431091],"[ 1.20468803 -0.49998571  0.21393489 -0.38709906 -1.55803649  1.55448373
  0.88168752 -0.39225215  1.03457244 -1.44844892  0.        ]",[-2.29497933  2.41994236],-2.73452,-0.237165127131,"[[  0.09398056   3.00745264  -0.17913646   0.18041524]
 [-24.99461791  -0.14587052   0.           0.        ]]",[-2.26781034  2.87651634]
17,[-0.33588028 -0.37431091],"[ 1.07936931 -0.49957805 -0.55802466 -0.37981647 -1.55803391  1.55448117
  0.78967294 -0.38122348  1.09843528 -1.41751423  0.        ]",[-2.9811321  3.0559675],-2.79145,-0.240954589331,"[[ -0.44067203   3.00546761  -0.17913646   0.18041524]
 [-28.45909666  -0.06350969   0.           0.        ]]",[-2.40178108  2.98588991]
18,[-0.33588028 -0.37431091],"[ 0.52701092 -0.49940045 -1.2075235  -0.37668009 -1.55803134  1.55447861
  0.69947992 -0.37633636  1.17443661 -1.43527936  0.        ]",[-4.00398569  2.72615941],-2.92056,-0.2499171589,"[[ -1.04392611e+00   3.00461259e+00  -1.79136460e-01   1.80415235e-01]
 [ -3.18549943e+01  -2.70141367e-02   0.00000000e+00   0.00000000e+00]]",[-2.62932062  2.90598631]
19,[-0.33588028 -0.37431091],"[-0.36136774 -0.499325   -1.393422   -0.37535646 -1.55802877  1.55447605
  0.61107242 -0.37423117  1.23174582 -1.51054176  0.        ]",[-2.31630789  3.26870625],-3.07494,-0.261386782458,"[[ -1.71442365e+00   3.00425175e+00  -1.79136460e-01   1.80415235e-01]
 [ -3.51836668e+01  -1.12940359e-02   0.00000000e+00   0.00000000e+00]]",[-2.72948289  2.65465975]
20,[-0.33588028 -0.37431091],"[-1.22452852 -0.49929341 -0.87039366 -0.37480624 -1.55802619  1.55447349
  0.52441511 -0.37334276  1.23415787 -1.62117226  0.        ]",[-2.77337014  2.51277529],-3.07904,-0.27017775611,"[[ -2.45083349e+00   3.00410178e+00  -1.79136460e-01   1.80415235e-01]
 [ -3.84464442e+01  -4.66091548e-03   0.00000000e+00   0.00000000e+00]]",[-2.67364645  2.2866292 ]
21,[-0.33588028 -0.37431091],"[-1.5314396  -0.49928024  0.23795917 -0.37458004 -1.55802362  1.55447093
  0.43947333 -0.37297361  1.16531738 -1.7093751   0.        ]",[-3.73709273  2.78464692],-2.88965,-0.270756250478,"[[ -3.25185081e+00   3.00404016e+00  -1.79136460e-01   1.80415235e-01]
 [ -4.16446305e+01  -1.90560035e-03   0.00000000e+00   0.00000000e+00]]",[-2.73240137  1.86479425]
22,[-0.33588028 -0.37431091],"[-0.93672618 -0.49927469  1.3022343  -0.37448767 -1.55802105  1.55446837
  0.35621311 -0.37282203  1.05611648 -1.70856556  0.        ]",[-2.31602762  1.79278514],-2.87006,-0.260786561385,"[[ -4.11619663e+00   3.00401503e+00  -1.79136460e-01   1.80415235e-01]
 [ -4.47795042e+01  -7.75150456e-04   0.00000000e+00   0.00000000e+00]]",[-2.68375945  1.87803018]
23,[-0.33588028 -0.37431091],"[ 0.28142965 -0.49927225  1.4780014  -0.37444997 -1.55801847  1.55446581
  0.27460116 -0.37276035  0.98386274 -1.60078401  0.        ]",[-2.01427224  1.11844946],-2.76215,-0.245125820853,"[[ -5.04261726e+00   3.00400481e+00  -1.79136460e-01   1.80415235e-01]
 [ -4.78523186e+01  -3.16032022e-04   0.00000000e+00   0.00000000e+00]]",[-2.44093513  2.29412794]
