timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.22623117 -0.11341766],"[ 1.21225059  2.2280177   0.00524477 -0.62528438  0.7513006   0.86541643
  1.34067424 -0.33206999  0.65537089 -0.88966692  0.        ]",[  2.42227485e-03   3.10177709e+00],-1.68817,-0.168342366998,"[[-0.07164808  0.02475358  0.08560785  0.10152469]
 [ 0.00230639  0.00354456  0.          0.        ]]",[-0.03516138  2.95340872]
1,[-0.22623117 -0.11341766],"[ 1.21225863  2.22550138  0.00543215 -0.50027436  0.75129888  0.86541421
  1.34091569  0.17992076  0.65623096 -0.85336948  0.        ]",[-0.36946667  2.38145375],-1.66763,-0.165487650609,"[[-0.07152171  0.06455157  0.08560785  0.10152469]
 [ 0.01031055  3.96305861  0.          0.        ]]",[-0.11563909  2.77375293]
2,[-0.22623117 -0.11341766],"[ 1.21068745  2.20500107 -0.01602033 -0.13163114  0.75129715  0.86541198
  1.29576418  0.68184808  0.65170644 -0.77128285  0.        ]",[ 0.3272355   2.33609645],-1.67446,-0.158593658478,"[[-0.08599689  0.18275905  0.08560785  0.10152469]
 [-1.45294647  7.84475028  0.          0.        ]]",[-0.23664182  2.60270905]
3,[-0.22623117 -0.11341766],"[ 1.20864561  2.12925851 -0.03939982  0.45685123  0.75129543  0.86540976
  1.33654451  1.17369803  0.62425224 -0.6246632   0.        ]",[ 0.06277249  2.94748111],-1.55192,-0.144939207365,"[[ -0.10179303   0.37781854   0.08560785   0.10152469]
 [ -0.13102184  11.64852539   0.           0.        ]]",[-0.42751056  2.41985393]
4,[-0.22623117 -0.11341766],"[ 1.20862541  1.94328505 -0.03956727  1.19535239  0.7512937   0.86540754
  1.34425167  1.65585833  0.5385971  -0.40065852  0.        ]",[-1.6913044   3.34577567],-1.27553,-0.120874222807,"[[ -0.10190629   0.64820211   0.08560785   0.10152469]
 [  0.11895775  15.37740595   0.           0.        ]]",[-0.69864225  2.15641475]
5,[-0.22623117 -0.11341766],"[ 1.20244146  1.59115294 -0.09467939  1.92990026  0.75129198  0.86540532
  1.22209234  2.12863622  0.37877118 -0.21903928  0.        ]",[-1.10855505  2.60673473],-1.14792,-0.0917217121528,"[[ -0.13925109   0.99243651   0.08560785   0.10152469]
 [ -3.84026149  19.03379973   0.           0.        ]]",[-1.01415133  1.74654961]
6,[-0.22623117 -0.11341766],"[ 1.17126847  1.04912195 -0.26332476  2.40025222  0.75129025  0.8654031
  1.10234359  2.59198518  0.16132034 -0.16649673  0.        ]",[-0.15907616  0.38606954],-1.09342,-0.0615225262828,"[[ -0.25499608   1.40906873   0.08560785   0.10152469]
 [ -7.72138186  22.61738631   0.           0.        ]]",[-1.37109399  1.1894201 ]
7,[-0.22623117 -0.11341766],"[ 1.09941433  0.40545163 -0.48664567  2.2994605   0.75128853  0.86540088
  1.08764677  2.73169099 -0.10888377 -0.21852216  0.        ]",[-1.49027809  1.36411296],-1.06643,-0.0372763486421,"[[ -0.41420198   1.87225961   0.08560785   0.10152469]
 [ -8.19761504  23.69808783   0.           0.        ]]",[-1.55589747  0.67060506]
8,[-0.22623117 -0.11341766],"[ 0.96269012 -0.19567842 -0.74756711  1.4639053   0.7512868   0.86539866
  0.97052691  3.18294269 -0.42369224 -0.37456785  0.        ]",[-1.05267184  0.55365056],-1.19114,-0.0572477273936,"[[ -0.61623877   2.38124124   0.08560785   0.10152469]
 [-11.99355799  27.18835635   0.           0.        ]]",[-1.69314933  0.03381473]
9,[-0.22623117 -0.11341766],"[ 0.70221828 -0.55476534 -1.04677992 -0.07845407  0.75128508  0.86539644
  0.85570138  3.39668334 -0.77248837 -0.62494163  0.        ]",[-1.03220184 -1.5588777 ],-1.30425,-0.1099103155,"[[ -0.89344883   2.94159868   0.08560785   0.10152469]
 [-15.71515675  28.84187802   0.           0.        ]]",[-1.82311809 -0.21643466]
