timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.07558088 -0.07743698],"[ 1.14587327  1.65412733  0.05030398 -0.27947177 -1.39157748  1.29100687
  1.03399083 -0.24927672  2.24564354 -1.06803468  0.        ]",[-0.20615132  2.63608501],-2.29896,-0.396168738424,"[[-0.04214701  0.09335134 -0.15719695  0.15070526]
 [ 0.00022071  0.00451576  0.          0.        ]]",[-0.69277245  1.89399409]
1,[-0.07558088 -0.07743698],"[ 1.1453404   1.64848818  0.03793781 -0.19094546 -1.39155905  1.29099134
  0.98950325  0.26956359  2.24373849 -1.04804696  0.        ]",[-0.21678705  2.44962174],-2.30037,-0.394925841665,"[[-0.0503403   0.13317177 -0.15719695  0.15070526]
 [-0.81682302  3.96432944  0.          0.        ]]",[-0.69572455  1.85496855]
2,[-0.07558088 -0.07743698],"[  1.14319061e+00   1.62030441e+00   5.51424789e-04   6.85802108e-02
  -1.39154061e+00   1.29097581e+00   9.43608634e-01   7.78130572e-01
   2.23357933e+00  -9.89917643e-01   0.00000000e+00]",[-0.33335148  1.93208934],-2.28443,-0.39074098941,"[[-0.07513399  0.25140198 -0.15719695  0.15070526]
 [-1.65972745  7.84575353  0.          0.        ]]",[-0.70011729  1.81427026]
3,[-0.07558088 -0.07743698],"[ 1.13696247  1.5372395  -0.06877516  0.47815424 -1.39152218  1.29096028
  0.8735254   1.27664015  2.20277153 -0.9049762   0.        ]",[ 1.22692732  1.68852862],-2.28656,-0.3826179064,"[[ -0.12124415   0.44649124  -0.15719695   0.15070526]
 [ -2.94697956  11.65048543   0.           0.        ]]",[-0.70547974  1.76131964]
4,[-0.07558088 -0.07743698],"[ 1.13360692  1.35252627 -0.09674661  0.98216538 -1.39150374  1.29094475
  1.09200635  1.7650129   2.11906042 -0.73167761  0.        ]",[-0.20319134  2.70157942],-2.12475,-0.363791110528,"[[ -0.13991649   0.71690002  -0.15719695   0.15070526]
 [  1.06655598  15.37799825   0.           0.        ]]",[-0.71106547  1.69033194]
5,[-0.07558088 -0.07743698],"[ 1.13598249  1.02088032 -0.07720163  1.46515706 -1.39148531  1.29092922
  1.04708015  2.24390235  1.93760589 -0.50751141  0.        ]",[-2.32569042  1.85941239],-1.88092,-0.330381096194,"[[ -0.12686496   1.06113577  -0.15719695   0.15070526]
 [  0.24147523  19.03338562   0.           0.        ]]",[-0.71769762  1.56016779]
6,[-0.07558088 -0.07743698],"[ 1.12906505  0.52837104 -0.12940315  1.73982659 -1.39146688  1.29091369
  0.83142996  2.71334684  1.67766557 -0.39797864  0.        ]",[-1.439162    1.31454687],-1.75207,-0.289971022703,"[[ -0.16177919   1.47776045  -0.15719695   0.15070526]
 [ -3.71975139  22.61706856   0.           0.        ]]",[-0.72342658  1.38193917]
7,[-0.07558088 -0.07743698],"[ 1.09528391 -0.0667722  -0.29651725  1.57756715 -1.39144844  1.29089816
  0.62002021  3.17335864  1.3828244  -0.46045249  0.        ]",[-1.09456832  0.47084838],-1.62827,-0.249946086981,"[[ -0.27513601   1.96534206  -0.15719695   0.15070526]
 [ -7.60312398  26.12928835   0.           0.        ]]",[-0.7263881   1.15072763]
8,[-0.07558088 -0.07743698],"[ 1.00072658 -0.58750662 -0.56410386  0.84843288 -1.39143001  1.29088263
  0.41274339  3.34963854  1.08911061 -0.67608513  0.        ]",[ 0.03065939  0.54073267],-1.57813,-0.219895535373,"[[ -0.46539776   2.50144258  -0.15719695   0.15070526]
 [-11.41059836  27.47619787   0.           0.        ]]",[-0.72796327  0.92597151]
9,[-0.07558088 -0.07743698],"[ 0.83227477 -0.83091634 -0.84793509 -0.32133092 -1.39141158  1.2908671
  0.43164833  2.87096306  0.80121497 -0.98452035  0.        ]",[-0.41167566  0.95241016],-1.52617,-0.207627025966,"[[ -0.69012238   3.06698849  -0.15719695   0.15070526]
 [-11.06328818  23.82333425   0.           0.        ]]",[-0.72505212  0.80910051]
10,[-0.07558088 -0.07743698],"[ 0.59876483 -0.83005999 -1.09319086 -0.67417005 -1.39139315  1.29085157
  0.35477594 -0.3968845   0.72126192 -1.06832045  0.        ]",[-0.99757719  2.95307144],-1.39066,-0.20690032053,"[[ -0.92555877   3.22484277  -0.15719695   0.15070526]
 [-12.4753306   -1.12130095   0.           0.        ]]",[-0.71594566  1.0707159 ]
11,[-0.07558088 -0.07743698],"[ 0.25431333 -0.83420301 -1.30084064 -0.52495071 -1.39137472  1.29083605
  0.15319142 -0.78032634  0.77941016 -1.01374485  0.        ]",[-1.48516291 -0.39699343],-1.44581,-0.207883507925,"[[ -1.21221842   3.15806143  -0.15719695   0.15070526]
 [-16.17822674  -4.04827825   0.           0.        ]]",[-0.7221452   1.08416975]
12,[-0.07558088 -0.07743698],"[-0.23041881 -0.83043072 -1.39692158 -0.31047338 -1.3913563   1.29082052
 -0.04491844 -0.97577605  0.8761271  -1.00600163  0.        ]",[-1.534085    2.25970293],-1.39179,-0.217798957109,"[[ -1.57229511   3.06212646  -0.15719695   0.15070526]
 [-19.8172976   -5.54027127   0.           0.        ]]",[-0.73074919  1.06568027]
13,[-0.07558088 -0.07743698],"[-0.80623531 -0.82046069 -1.25706504 -0.154939   -1.39133787  1.29080499
 -0.23908957 -0.44273221  0.94289777 -1.07049138  0.        ]",[-0.64946608  2.47523253],-1.44083,-0.230813634888,"[[ -2.00442707   2.99214567  -0.15719695   0.15070526]
 [-23.38401925  -1.47140362   0.           0.        ]]",[-0.73905033  0.94166481]
14,[-0.07558088 -0.07743698],"[-1.32462707 -0.82235095 -0.79835466 -0.17838272 -1.39131944  1.29078947
 -0.3538684  -0.01763865  0.92771304 -1.12938562  0.        ]",[-1.74514327  1.31980102],-1.3914,-0.23430176572,"[[ -2.49326097   3.00273296  -0.15719695   0.15070526]
 [-25.4923986    1.77345255   0.           0.        ]]",[-0.7444284   0.80054963]
15,[-0.07558088 -0.07743698],"[-1.59626699 -0.82453618 -0.04254642 -0.20795738 -1.39130102  1.29077394
 -0.54194212 -0.24657736  0.88815104 -1.17405953  0.        ]",[-1.52418358  0.45533433],-1.3443,-0.234133136566,"[[ -3.03777164e+00   3.01606677e+00  -1.57196947e-01   1.50705256e-01]
 [ -2.89471265e+01   2.58988848e-02   0.00000000e+00   0.00000000e+00]]",[-0.74659973  0.72485435]
16,[-0.07558088 -0.07743698],"[-1.42923795 -0.82396184  0.85045361 -0.19999272 -1.39128259  1.29075842
 -0.72628648 -0.28416177  0.82363415 -1.20499518  0.        ]",[ 0.7179658  -0.47919023],-1.37779,-0.230412837696,"[[ -3.65068956   3.01247875  -0.15719695   0.15070526]
 [-32.33337421  -0.2610014    0.           0.        ]]",[-0.74311268  0.66251516]
17,[-0.07558088 -0.07743698],"[-0.82649764 -0.81970683  1.47456001 -0.14636021 -1.39126417  1.2907429
 -0.53668354 -0.53210702  0.73929859 -1.19271819  0.        ]",[-0.49700837  1.35733964],-1.24603,-0.220867223868,"[[ -4.26241427   2.98826927  -0.15719695   0.15070526]
 [-28.85069033  -2.15363519   0.           0.        ]]",[-0.73675078  0.70454645]
18,[-0.07558088 -0.07743698],"[-0.03495033 -0.81913861  1.60993077 -0.13989561 -1.39124574  1.29072737
 -0.61270538 -0.00787323  0.69278829 -1.12503141  0.        ]",[ 0.11699518  1.04030626],-1.28077,-0.209614926876,"[[ -4.85343914   2.9853456   -0.15719695   0.15070526]
 [-30.24717069   1.84792156   0.           0.        ]]",[-0.72720623  0.72083521]
19,[-0.07558088 -0.07743698],"[ 0.69433322 -0.82654074  1.23450236 -0.23850382 -1.39122732  1.29071185
 -0.55489228 -0.15684483  0.71329101 -1.0702064   0.        ]",[ 0.51761889  0.32065527],-1.35857,-0.206288942655,"[[ -5.44772769   3.02981578  -0.15719695   0.15070526]
 [-29.18529129   0.71079809   0.           0.        ]]",[-0.71879017  0.84632659]
20,[-0.07558088 -0.07743698],"[ 1.09418997 -0.82620321  0.528798   -0.2332624  -1.3912089   1.29069633
 -0.41186645 -0.31831681  0.73236511 -1.0075478   0.        ]",[-0.07651605  0.78314796],-1.3765,-0.202336647878,"[[ -6.005075     3.02745891  -0.15719695   0.15070526]
 [-26.55817051  -0.52174347   0.           0.        ]]",[-0.7147665   0.98241949]
21,[-0.07558088 -0.07743698],"[ 1.10399057 -0.82467242 -0.2610187  -0.21043243 -1.39119047  1.29068081
 -0.3997334  -0.30846417  0.77918196 -0.9618785   0.        ]",[-0.37050719  0.4569734 ],-1.4255,-0.203231755371,"[[ -6.53400275   3.01718384  -0.15719695   0.15070526]
 [-26.33534458  -0.44654931   0.           0.        ]]",[-0.71703321  1.05443001]
22,[-0.07558088 -0.07743698],"[ 0.74261833 -0.82349629 -0.9561198  -0.19412992 -1.39117205  1.29066529
 -0.45120994 -0.28691387  0.84270102 -0.95339188  0.        ]",[-1.8126526   0.46815872],-1.43004,-0.209564176873,"[[ -7.07019697   3.00983868  -0.15719695   0.15070526]
 [-27.2809259   -0.2820661    0.           0.        ]]",[-0.72327781  1.06190538]
23,[-0.07558088 -0.07743698],"[ 0.05010718 -0.82279451 -1.36563604 -0.18485903 -1.39115363  1.29064977
 -0.63735403 -0.26914055  0.90353997 -0.98947972  0.        ]",[ 1.02580745 -0.41515375],-1.56119,-0.219504211949,"[[ -7.65012154   3.00565866  -0.15719695   0.15070526]
 [-30.70013787  -0.14641237   0.           0.        ]]",[-0.73278588  0.99224591]
24,[-0.07558088 -0.07743698],"[-0.71839279 -0.81927867 -1.29773961 -0.14191682 -1.39113521  1.29063425
 -0.38871524 -0.48415779  0.94583606 -1.06311853  0.        ]",[-0.74754928  1.21272377],-1.46653,-0.230527401417,"[[ -8.21830214   2.98626318  -0.15719695   0.15070526]
 [-26.13313242  -1.78765095   0.           0.        ]]",[-0.7394523   0.94902116]
25,[-0.07558088 -0.07743698],"[-1.31542388 -0.82009508 -0.81152391 -0.15147837 -1.3911168   1.29061873
 -0.52167394  0.03914785  0.93262108 -1.13667949  0.        ]",[-1.09229177  1.18351456],-1.41832,-0.235503669518,"[[ -8.76546847   2.990587    -0.15719695   0.15070526]
 [-28.57538757   2.20670756   0.           0.        ]]",[-0.74544752  0.78769553]
26,[-0.07558088 -0.07743698],"[-1.60166614 -0.8248638   0.03285415 -0.2136398  -1.39109838  1.29060321
 -0.7064316  -0.19762145  0.88384738 -1.17505423  0.        ]",[-1.55572694 -0.03936858],-1.33836,-0.233791165248,"[[ -9.3710266    3.01862971  -0.15719695   0.15070526]
 [-31.96911358   0.3994643    0.           0.        ]]",[-0.74695176  0.70218152]
27,[-0.07558088 -0.07743698],"[-1.3484464  -0.82454073  0.99070784 -0.20907697 -1.39107996  1.29058769
 -0.88752442 -0.29545856  0.81318444 -1.20234835  0.        ]",[-2.11793068  0.34126372],-1.24082,-0.229123691255,"[[-10.04378435   3.01657535  -0.15719695   0.15070526]
 [-35.29555966  -0.34732433   0.           0.        ]]",[-0.74272233  0.64716512]
28,[-0.07558088 -0.07743698],"[-0.51924542 -0.82348473  1.59073723 -0.19447402 -1.39106154  1.29057217
 -1.06502667 -0.28653899  0.73345361 -1.16810073  0.        ]",[-0.88271784  1.12273961],-1.22154,-0.217870619404,"[[-10.78240969   3.00999597  -0.15719695   0.15070526]
 [-38.55610775  -0.27925341   0.           0.        ]]",[-0.73557448  0.64678252]
29,[-0.07558088 -0.07743698],"[ 0.53159841 -0.8228752   1.37336334 -0.1864063  -1.39104313  1.29055666
 -1.21373079 -0.2644057   0.69838435 -1.07318644  0.        ]",[-0.9047064   2.58495784],-1.21156,-0.205093857792,"[[-11.58093932   3.00635878  -0.15719695   0.15070526]
 [-41.28775426  -0.11032411   0.           0.        ]]",[-0.72619116  0.7657271 ]
30,[-0.07558088 -0.07743698],"[ 1.13509948 -0.82262652  0.3127615  -0.18322476 -1.39102471  1.29054114
 -1.36422664 -0.25563963  0.74242441 -0.97538668  0.        ]",[-0.22085359  1.32599129],-1.34357,-0.200471352223,"[[ -1.24344329e+01   3.00492419e+00  -1.57196947e-01   1.50705256e-01]
 [ -4.40523918e+01  -4.34240855e-02   0.00000000e+00   0.00000000e+00]]",[-0.72252667  0.91089523]
31,[-0.07558088 -0.07743698],"[ 0.7788366  -0.82252431 -0.91495127 -0.18197399 -1.3910063   1.29052563
 -1.36433642 -0.25218097  0.84152712 -0.94939772  0.        ]",[-0.82427737 -1.06693824],-1.44965,-0.209107240152,"[[ -1.33155042e+01   3.00436035e+00  -1.57196947e-01   1.50705256e-01]
 [ -4.40547316e+01  -1.70342557e-02   0.00000000e+00   0.00000000e+00]]",[-0.7293905   0.97568363]
32,[-0.07558088 -0.07743698],"[-0.34291423 -0.81469111 -1.39165769 -0.09339822 -1.39098789  1.29051011
 -1.49451068 -0.77108558  0.95281039 -1.02846518  0.        ]",[ 1.1920999   1.62174077],-1.51144,-0.228394967918,"[[-14.2205937    2.9642816   -0.15719695   0.15070526]
 [-46.44619696  -3.97772324   0.           0.        ]]",[-0.74423772  0.94570595]
33,[-0.07558088 -0.07743698],"[-1.35764511 -0.8051623  -0.74831896 -0.00770128 -1.39096947  1.2904946
 -1.22887305 -0.24219552  0.94981223 -1.19255371  0.        ]",[ 0.05155985  0.15314271],-1.45105,-0.24240268312,"[[-15.10056396   2.92523008  -0.15719695   0.15070526]
 [-41.56714423   0.05912327   0.           0.        ]]",[-0.75031972  0.77557194]
34,[-0.07558088 -0.07743698],"[-1.57235577 -0.80706234  0.43435914 -0.02353639 -1.39095106  1.29047908
 -1.17294828 -0.16309993  0.83405126 -1.25869314  0.        ]",[-0.41393967  0.82312744],-1.33233,-0.236703870491,"[[-15.92160241   2.93246949  -0.15719695   0.15070526]
 [-40.54013053   0.66282721   0.           0.        ]]",[-0.74950796  0.6703248 ]
35,[-0.07558088 -0.07743698],"[-0.93297986 -0.81763168  1.41151497 -0.12427244 -1.39093265  1.29046357
 -1.21846754  0.26200865  0.74158721 -1.20266538  0.        ]",[-0.73150418 -0.3380483 ],-1.26762,-0.222111758275,"[[-16.74079625   2.97828076  -0.15719695   0.15070526]
 [-41.37649552   3.90753204   0.           0.        ]]",[-0.73821247  0.60090292]
36,[-0.07558088 -0.07743698],"[ 0.19182923 -0.82629714  1.55269379 -0.23629238 -1.39091424  1.29044806
 -1.33154711 -0.17147521  0.71862424 -1.11753401  0.        ]",[-1.01575735  0.26323489],-1.24369,-0.21144536624,"[[-17.58916946   3.02882458  -0.15719695   0.15070526]
 [-43.45389219   0.59891934   0.           0.        ]]",[-0.72981423  0.68747193]
37,[-0.07558088 -0.07743698],"[ 1.05880397 -0.82586791  0.64654207 -0.2296768  -1.39089583  1.29043254
 -1.50024377 -0.31649656  0.72697023 -1.0139017   0.        ]",[-1.26656544  1.30249114],-1.28587,-0.202390109481,"[[-18.48934187   3.02584945  -0.15719695   0.15070526]
 [-46.55299491  -0.50797704   0.           0.        ]]",[-0.72366351  0.86028588]
38,[-0.07558088 -0.07743698],"[ 0.90581052 -0.82443497 -0.74079341 -0.20853119 -1.39087742  1.29041703
 -1.66558921 -0.30250089  0.81799004 -0.95406845  0.        ]",[ 0.12292448  1.22692939],-1.42744,-0.206873531366,"[[-19.45087981   3.01633179  -0.15719695   0.15070526]
 [-49.59067478  -0.40116599   0.           0.        ]]",[-0.72940099  0.94716275]
39,[-0.07558088 -0.07743698],"[-0.23875085 -0.82343728 -1.39687267 -0.19474546 -1.39085901  1.29040152
 -1.58562174 -0.27962896  0.9150815  -1.01098214  0.        ]",[ 0.5067326   0.04424673],-1.51354,-0.222650888625,"[[-20.42795997   3.01012088  -0.15719695   0.15070526]
 [-48.12223671  -0.22660637   0.           0.        ]]",[-0.74275517  0.87793303]
40,[-0.07558088 -0.07743698],"[-1.33924885 -0.82271703 -0.77667024 -0.18521176 -1.3908406   1.29038601
 -1.42451619 -0.27385814  0.92560081 -1.12900472  0.        ]",[-0.24980883  0.26944603],-1.41151,-0.234080392776,"[[-21.36071645   3.0058228   -0.15719695   0.15070526]
 [-45.16327206  -0.18257097   0.           0.        ]]",[-0.75058115  0.73781264]
41,[-0.07558088 -0.07743698],"[-1.55237911 -0.82226836  0.52252475 -0.17945416 -1.3908222   1.2903705
 -1.42966737 -0.26136776  0.84711306 -1.20661532  0.        ]",[ 0.50595174  0.7207144 ],-1.34504,-0.232989971074,"[[-22.26493487   3.00322603  -0.15719695   0.15070526]
 [-45.2582541   -0.08724854   0.           0.        ]]",[-0.74923933  0.64140648]
