timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.20294172 -0.09397363],"[ 1.20507743  2.11171852  0.0512005  -0.3733973  -1.0098776  -0.97092803
  1.27644464 -0.32060473  2.08509809  0.96086286  0.        ]",[-2.4877738   3.01395305],-2.69136,-0.34524090424,"[[-0.04237836  0.09726545 -0.11681195 -0.11023829]
 [ 0.00113325  0.00031879  0.          0.        ]]",[-1.93550086  2.83596921]
1,[-0.20294172 -0.09397363],"[ 1.20167796  2.10534095 -0.00780989 -0.25712487 -1.00987374 -0.97092446
  1.14278956  0.19244903  2.08330813  0.92882287  0.        ]",[-2.43821212  1.30892968],-2.76409,-0.343744398078,"[[-0.08206193  0.13701499 -0.11681195 -0.11023829]
 [-3.95631001  3.96142664  0.          0.        ]]",[-1.94296241  2.7062099 ]
2,[-0.20294172 -0.09397363],"[ 1.17885291  2.07383011 -0.18185176  0.08411528 -1.00986988 -0.97092089
  1.01177889  0.69533574  2.07140185  0.83424197  0.        ]",[-2.82036142  1.3425955 ],-2.71546,-0.338665312695,"[[-0.20010897  0.25519927 -0.11681195 -0.11023829]
 [-7.83548598  7.84404339  0.          0.        ]]",[-1.93146789  2.56643677]
3,[-0.20294172 -0.09397363],"[ 1.10039274  1.98175694 -0.45899997  0.62244605 -1.00986602 -0.97091732
  0.88335632  1.18824008  2.0305283   0.68361669  0.        ]",[-1.15379116  3.2342965 ],-2.62588,-0.328306626003,"[[ -0.39497062   0.45026312  -0.11681195  -0.11023829]
 [-11.63805373  11.64961309   0.           0.        ]]",[-1.90400481  2.38849926]
4,[-0.20294172 -0.09397363],"[ 0.91308168  1.77791325 -0.80524944  1.2842724  -1.00986216 -0.97091375
  0.75746264  1.67132586  1.93298283  0.49543745  0.        ]",[-2.18465254  1.8664041 ],-2.53658,-0.310175594154,"[[ -0.66513202   0.72067882  -0.11681195  -0.11023829]
 [-15.36575961  15.37943099   0.           0.        ]]",[-1.8640449   2.12807178]
5,[-0.20294172 -0.09397363],"[ 0.56338952  1.41286098 -1.14675148  1.91714515 -1.0098583  -0.97091018
  0.63403617  2.14473802  1.75089815  0.30986388  0.        ]",[-0.7399384   1.43626597],-2.42616,-0.281696886357,"[[ -1.00911407   1.06494309  -0.11681195  -0.11023829]
 [-19.0204243   19.03465777   0.           0.        ]]",[-1.73945785  1.84609652]
6,[-0.20294172 -0.09397363],"[ 0.04400571  0.87180052 -1.35765691  2.27429109 -1.00985444 -0.97090661
  0.54777431  2.60860032  1.47997002  0.20452452  0.        ]",[-1.08078182  2.08374129],-2.10826,-0.24279737677,"[[ -1.41514847   1.4815735   -0.11681195  -0.11023829]
 [-21.57463486  22.61629977   0.           0.        ]]",[-1.60418141  1.5051558 ]
7,[-0.20294172 -0.09397363],"[-0.59054197  0.21919623 -1.30404786  2.05539615 -1.00985058 -0.97090305
  0.42843364  3.06315809  1.14835827  0.25200529  0.        ]",[-1.36923473  0.89914733],-1.84479,-0.197307764329,"[[ -1.88209435   1.96911809  -0.11681195  -0.11023829]
 [-25.10832971  26.12631002   0.           0.        ]]",[-1.46849167  1.1137445 ]
8,[-0.20294172 -0.09397363],"[-1.20100992 -0.36411526 -0.87102043  1.05059998 -1.00984672 -0.97089948
  0.31144082  3.45690522  0.82931738  0.50192301  0.        ]",[-0.75865882  1.21969855],-1.61507,-0.161056962992,"[[ -2.41901831   2.52215283  -0.11681195  -0.11023829]
 [-28.57250791  29.16705163   0.           0.        ]]",[-1.40535986  0.92745507]
9,[-0.20294172 -0.09397363],"[-1.53371885 -0.6183194  -0.07385426 -0.65304072 -1.00984286 -0.97089591
  0.22905742  3.082589    0.65417857  0.95457618  0.        ]",[-1.89363984  1.73274398],-1.56076,-0.168664956578,"[[ -3.01494404   3.13941244  -0.11681195  -0.11023829]
 [-31.0118907   26.27740154   0.           0.        ]]",[-1.49108148  0.73181373]
