timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.25414872 -0.15263623],"[ 1.21507378  2.29949047  0.21553761 -0.4389107  -0.67486119  1.11075393
  1.39019605 -0.3416519   1.84031722 -0.82947573  0.        ]",[ 0.44914839  5.48591907],-2.67421,-0.304566314208,"[[ 0.07217099  0.09045632 -0.07775546  0.12961377]
 [ 0.00187193 -0.00071978  0.          0.        ]]",[ 0.00719714  4.15856743]
1,[-0.25414872 -0.15263623],"[ 1.21308155  2.29320981  0.2419669  -0.30906397 -0.67486001  1.11075096
  1.44233186  0.17160138  1.83051373 -0.76263784  0.        ]",[-1.07744525  3.90599897],-2.64097,-0.300638606681,"[[ 0.09001964  0.13016299 -0.07775546  0.12961377]
 [ 1.7770909   3.95819485  0.          0.        ]]",[-0.16170561  4.00621653]
2,[-0.25414872 -0.15263623],"[ 1.21362242  2.26137334  0.23528258  0.07243664 -0.67485883  1.11074798
  1.32506057  0.67498064  1.80597499 -0.66586636  0.        ]",[ 0.31935584  2.84949453],-2.68519,-0.293889488295,"[[ 0.08550325  0.24828393 -0.07775546  0.12961377]
 [-2.21543245  7.8409505   0.          0.        ]]",[-0.42384166  3.76248097]
3,[-0.25414872 -0.15263623],"[ 1.21661653  2.16680898  0.18903413  0.6750756  -0.67485765  1.11074501
  1.36341116  1.16812957  1.75477057 -0.55423234  0.        ]",[-0.6605828   3.76852501],-2.55888,-0.28348544212,"[[  0.05429619   0.44326825  -0.07775546   0.12961377]
 [ -0.9095704   11.64480985   0.           0.        ]]",[-0.73035491  3.4762125 ]
4,[-0.25414872 -0.15263623],"[ 1.2185703   1.95566699  0.12334419  1.41756291 -0.67485648  1.11074203
  1.28714661  1.65169174  1.65242982 -0.42112138  0.        ]",[-1.47608037  4.55121285],-2.40642,-0.266095557799,"[[  1.00540755e-02   7.13588450e-01  -7.77554602e-02   1.29613767e-01]
 [ -3.50597359e+00   1.53747562e+01   0.00000000e+00   0.00000000e+00]]",[-1.07330418  3.09346986]
5,[-0.25414872 -0.15263623],"[ 1.21189149  1.57563423 -0.03854275  2.13060798 -0.6748553   1.11073906
  1.17294894  2.12569734  1.50920723 -0.36842259  0.        ]",[ 0.33086025  3.89121569],-2.34392,-0.24550660566,"[[ -0.09907364   1.05776905  -0.07775546   0.12961377]
 [ -7.39389672  19.03104829   0.           0.        ]]",[-1.41412115  2.60664034]
6,[-0.25414872 -0.15263623],"[ 1.18167201  1.01032108 -0.23369345  2.53887835 -0.67485412  1.11073608
  1.21569078  2.59009651  1.29215569 -0.36056266  0.        ]",[-1.19210361  1.88523126],-2.13598,-0.216112328823,"[[ -0.23235197   1.47433195  -0.07775546   0.12961377]
 [ -5.93856079  22.61333365   0.           0.        ]]",[-1.74323308  1.96816897]
7,[-0.25414872 -0.15263623],"[ 1.11553219  0.32612388 -0.45594491  2.30577923 -0.67485294  1.11073311
  1.1029037   3.04538821  0.99805436 -0.43637853  0.        ]",[-1.22465166  0.83271469],-1.94152,-0.179593966287,"[[ -0.38964893   1.9618384   -0.07775546   0.12961377]
 [ -9.77847617  26.12549816   0.           0.        ]]",[-1.9082377   1.27980494]
8,[-0.25414872 -0.15263623],"[ 0.96023885 -0.28612208 -0.75843087  1.20059641 -0.67485177  1.11073013
  0.99232358  3.40569957  0.66695611 -0.65295115  0.        ]",[-2.82878702  1.21280862],-1.74079,-0.149926833227,"[[ -0.62299017   2.51223848  -0.07775546   0.12961377]
 [-13.54327231  28.90517051   0.           0.        ]]",[-1.9346559   0.58532518]
9,[-0.25414872 -0.15263623],"[ 0.6645027  -0.56045439 -1.08332204 -0.67933172 -0.67485059  1.11072716
  0.8839041   3.04545079  0.29494276 -0.96228215  0.        ]",[-1.67998786  0.30275812],-1.73579,-0.141027503008,"[[ -0.93088775   3.12432336  -0.07775546   0.12961377]
 [-17.23452217  26.12663178   0.           0.        ]]",[-1.91051066  0.05388659]
10,[-0.25414872 -0.15263623],"[ 0.19534313 -0.54633055 -1.32774356 -1.20041247 -0.67484941  1.11072418
  0.77759784 -0.62885951  0.19221703 -1.00471149  0.        ]",[-1.01900993  1.09249745],-1.47459,-0.138791494146,"[[ -1.3118955    3.28316622  -0.07775546   0.12961377]
 [-20.85383638  -2.21595099   0.           0.        ]]",[-1.46250427  1.34815621]
11,[-0.25414872 -0.15263623],"[-0.42162627 -0.55878095 -1.34945198 -0.90487383 -0.67484823  1.11072121
  0.67342511 -1.00515715  0.29852356 -0.94841767  0.        ]",[-1.50346467  2.41936319],-1.44592,-0.139874276745,"[[ -1.764558     3.1928958   -0.07775546   0.12961377]
 [-24.40052038  -5.11861955   0.           0.        ]]",[-1.56620431  1.38904428]
12,[-0.25414872 -0.15263623],"[-1.06024498 -0.55972124 -1.01179084 -0.61671871 -0.67484706  1.11071823
  0.57132305 -0.79130098  0.3962055  -0.99785773  0.        ]",[-1.7590019   1.47146495],-1.52128,-0.152217495793,"[[ -2.2874464    3.1052886   -0.07775546   0.12961377]
 [-27.87671226  -3.46900753   0.           0.        ]]",[-1.68534708  1.23757172]
13,[-0.25414872 -0.15263623],"[-1.48510729 -0.55504521 -0.27699575 -0.44503851 -0.67484588  1.11071526
  0.47124386 -0.58287113  0.41265986 -1.09671817  0.        ]",[-1.95209964  0.34661875],-1.59299,-0.163274360449,"[[ -2.87916742   3.05300338  -0.07775546   0.12961377]
 [-31.28403659  -1.86124856   0.           0.        ]]",[-1.74383283  1.1380291 ]
