timestep,logstd_action_dist,obs,actions,rewards,original_rewards,human_obs,avg_action_dist
0,[-0.11883853 -0.0791634 ],"[ 1.16399954  1.77695659  0.12973853 -0.4541171  -1.55050628  0.05881585
  1.1000552  -0.27261879  2.41397089  0.02811434  0.        ]",[-0.38393383  1.74661416],-2.38938,-0.385208271276,"[[ 0.00906221  0.03344429 -0.1753015   0.0083888 ]
 [-0.00269251 -0.00090611  0.          0.        ]]",[-0.8974703   2.06057382]
1,[-0.11883853 -0.0791634 ],"[ 1.16401912  1.77423945  0.10669727 -0.35886378 -1.55048692  0.05881563
  1.02731425  0.24500094  2.41291136  0.03694289  0.        ]",[-1.04652755  0.68458286],-2.42694,-0.385057023797,"[[-0.00624507  0.07316012 -0.1753015   0.0083888 ]
 [-1.52296859  3.95928822  0.          0.        ]]",[-0.89960796  2.03543568]
2,[-0.11883853 -0.0791634 ],"[  1.16005700e+00   1.75735104e+00   1.65444447e-03  -1.07320725e-01
  -1.55046756e+00   5.88154180e-02   8.39443128e-01   5.89250791e-01
   2.40856286e+00   1.34653294e-02   0.00000000e+00]",[-0.93836621  2.12246618],-2.36694,-0.38446180633,"[[-0.07610307  0.17877165 -0.1753015   0.0083888 ]
 [-5.44975913  6.59307625  0.          0.        ]]",[-0.90045214  2.01527333]
3,[-0.11883853 -0.0791634 ],"[ 1.13050906  1.70091337 -0.21426608  0.287069   -1.5504482   0.0588152
  0.66692852  1.08989649  2.39146197 -0.07562105  0.        ]",[ 0.28777131  2.89729929],-2.3548,-0.382315070077,"[[ -2.21276541e-01   3.49064767e-01  -1.75301500e-01   8.38880386e-03]
 [ -9.05559830e+00   1.04234436e+01   0.00000000e+00   0.00000000e+00]]",[-0.89928323  1.98110676]
4,[-0.11883853 -0.0791634 ],"[ 1.06121798  1.55894153 -0.45504221  0.81222787 -1.55042885  0.05881499
  0.72988961  1.58036691  2.34670494 -0.1333573   0.        ]",[-0.17742442  1.30111963],-2.37624,-0.376253609844,"[[ -3.89184103e-01   5.95184773e-01  -1.75301500e-01   8.38880386e-03]
 [ -7.73949779e+00   1.41760534e+01   0.00000000e+00   0.00000000e+00]]",[-0.89971954  1.93609858]
5,[-0.11883853 -0.0791634 ],"[ 0.96164335  1.28081363 -0.67002212  1.37012773 -1.55040949  0.05881477
  0.70356982  2.0611838   2.26229928 -0.11339571  0.        ]",[ 0.47081028  2.72941529],-2.24627,-0.3639105696,"[[ -5.49493383e-01   9.15617873e-01  -1.75301500e-01   8.38880386e-03]
 [ -8.28955333e+00   1.78549754e+01   0.00000000e+00   0.00000000e+00]]",[-0.90288132  1.84010816]
6,[-0.11883853 -0.0791634 ],"[ 0.84519271  0.8353309  -0.84778229  1.78553474 -1.55039014  0.05881455
  0.80051098  2.53234967  2.11530043 -0.01986975  0.        ]",[-1.33543864  2.01763899],-2.07363,-0.342143172094,"[[ -6.94955592e-01   1.30889064e+00  -1.75301500e-01   8.38880386e-03]
 [ -6.26319273e+00   2.14603258e+01   0.00000000e+00   0.00000000e+00]]",[-0.90786242  1.69473624]
7,[-0.11883853 -0.0791634 ],"[ 0.68758699  0.25008896 -1.02333396  1.81820559 -1.55037078  0.05881434
  0.61710128  2.99428492  1.87832726  0.07340041  0.        ]",[ 0.46075977  1.51718879],-2.02926,-0.307748656546,"[[ -8.58681482e-01   1.77356719e+00  -1.75301500e-01   8.38880386e-03]
 [ -1.00967438e+01   2.49954349e+01   0.00000000e+00   0.00000000e+00]]",[-0.91357088  1.46109676]
8,[-0.11883853 -0.0791634 ],"[ 0.48484346 -0.34876034 -1.18224723  1.2433803  -1.55035143  0.05881412
  0.71394439  3.44689306  1.53954759  0.12914523  0.        ]",[-0.37761324  1.84756177],-1.77693,-0.258914285669,"[[ -1.04030843e+00   2.30823318e+00  -1.75301500e-01   8.38880386e-03]
 [ -8.07245800e+00   2.84596918e+01   0.00000000e+00   0.00000000e+00]]",[-0.90972924  1.15736604]
9,[-0.11883853 -0.0791634 ],"[ 0.2679816  -0.73177623 -1.29491729  0.0133146  -1.55033208  0.0588139
  0.65010324  3.8904905   1.1086451   0.10346697  0.        ]",[-1.05808651 -0.74195827],-1.64827,-0.196472751495,"[[ -1.21514420e+00   2.91149979e+00  -1.75301500e-01   8.38880386e-03]
 [ -9.40678490e+00   3.18556571e+01   0.00000000e+00   0.00000000e+00]]",[-0.8957867   0.82851446]
