timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,-3.31039,[-2.72897346 -1.01352386],[-2.49367356  0.57117665],-0.162056441727,[-0.66090435 -0.55757302],"[[-0.06948464 -0.05879646  0.18661271 -0.18153795]
 [ 0.00048521  0.00058417  0.          0.        ]]","[ 1.06082002  2.04391654  0.11186631 -1.21881545  1.61274604 -1.57228895
 -0.453923   -0.36996252 -0.27064084  1.46787165  0.        ]"
1,-3.10006,[-1.34910891  1.15197669],[-1.90826321  1.41162908],-0.149376080227,[-0.66090435 -0.55757302],"[[-0.10915017 -0.0984973   0.18661271 -0.18153795]
 [-3.95388114 -3.95748143  0.          0.        ]]","[ 1.055678    2.03951454  0.05192534 -1.3252625   1.61274411 -1.57228714
 -0.56231141 -0.95946186 -0.28772661  1.3447727   0.        ]"
2,-2.91715,[-1.87887535  1.35728156],[-1.16807413  1.07495451],-0.12059963271,[-0.66090435 -0.55757302],"[[-0.2271496  -0.13711775  0.18661271 -0.18153795]
 [-7.83313813  0.08197394  0.          0.        ]]","[ 1.02699569  2.03310993 -0.12448848 -1.42841394  1.61274218 -1.57228533
 -0.66864104 -0.35783987 -0.35211989  1.06874741  0.        ]"
3,-2.68634,[ 0.2611129   0.78485247],[-0.08173075  0.64856797],-0.0861457361507,[-0.66090435 -0.55757302],"[[ -0.42196374  -0.09575147   0.18661271  -0.18153795]
 [-11.63560295   4.04145686   0.           0.        ]]","[ 0.93685875  2.03988309 -0.4042063  -1.31790911  1.61274026 -1.57228352
 -0.77286574  0.23187128 -0.47847369  0.73836     0.        ]"
4,-2.61365,[ 0.98378076  0.31187048],[ 0.55283087  0.10047662],-0.0597505156988,[-0.66090435 -0.55757302],"[[ -0.64201453   0.0154508    0.18661271  -0.18153795]
 [-10.37368142   7.06867194   0.           0.        ]]","[ 0.77497778  2.04617117 -0.69136773 -1.01919738  1.61273833 -1.57228171
 -0.73827624  0.68273367 -0.64463162  0.45401263  0.        ]"
5,-2.55769,[ 0.57723532 -0.80613414],[ 0.61025059 -0.33494276],-0.0524576317452,[-0.66090435 -0.55757302],"[[-0.80838714  0.16779389  0.18661271 -0.18153795]
 [-6.27721637  8.16199715  0.          0.        ]]","[ 0.61479722  2.02652986 -0.88006594 -0.61154581  1.61273641 -1.5722799
 -0.6259923   0.84556922 -0.75719424  0.31982427  0.        ]"
6,-2.57609,[ 0.9448406 -0.4109121],[ 0.58726776  0.08233136],-0.0528186650933,[-0.66090435 -0.55757302],"[[-0.90976207  0.29737702  0.18661271 -0.18153795]
 [-3.86829902  4.80750312  0.          0.        ]]","[ 0.50328929  1.98443433 -0.98048615 -0.272622    1.61273448 -1.57227809
 -0.55996389  0.34596245 -0.81237415  0.27959114  0.        ]"
7,-2.55738,[-0.23053561 -0.3668908 ],[ 0.15819632  0.1876938 ],-0.054240051504,[-0.66090435 -0.55757302],"[[-0.94885184  0.37623292  0.18661271 -0.18153795]
 [-0.05337144  3.08384314  0.          0.        ]]","[ 0.45777908  1.94768985 -1.01597444 -0.07248815  1.61273255 -1.57227628
 -0.45539692  0.08924645 -0.81888347  0.29222411  0.        ]"
8,-2.61231,[-0.54133336  0.88999517],[ 0.25138018  0.46024385],-0.0555729852872,[-0.66090435 -0.55757302],"[[-0.95905332  0.42272483  0.18661271 -0.18153795]
 [-0.96375201  1.57039002  0.          0.        ]]","[ 0.44568618  1.92218827 -1.02492762  0.04270699  1.61273063 -1.57227447
 -0.48035018 -0.13616207 -0.806887    0.31975054  0.        ]"
9,-2.58655,[ 1.05062038 -0.1399429 ],[ 0.62581384 -0.22524452],-0.0569605697679,[-0.66090435 -0.55757302],"[[-0.99963671  0.48918607  0.18661271 -0.18153795]
 [-3.08751345  5.06408222  0.          0.        ]]","[ 0.39673139  1.88092309 -1.05925808  0.20317914  1.6127287  -1.57227266
 -0.53856206  0.3841766  -0.82524046  0.32172716  0.        ]"
10,-2.56117,[ 0.52990849 -0.20374335],[ 0.06765307 -0.35177797],-0.0606200932781,[-0.66090435 -0.55757302],"[[-1.02107891  0.58388756  0.18661271 -0.18153795]
 [ 0.92994097  4.40826736  0.          0.        ]]","[ 0.37033854  1.8126788  -1.07655091  0.42202797  1.61272678 -1.57227085
 -0.42844379  0.2865016  -0.80772469  0.3808429   0.        ]"
