timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,-2.13494,[ 0.15428108  2.10184979],[ 0.79421145  1.99729323],-0.123986512844,[-0.50231874 -0.47808325],"[[ 0.01470513 -0.01030043  0.09594334  0.05060108]
 [ 0.00481055 -0.0030752   0.          0.        ]]","[ 1.07420753  2.13947246  0.19836272 -1.01250667  0.83238793  0.43600649
 -0.41385135 -0.37089036  0.61712299 -0.5595657   0.        ]"
1,-2.16773,[-0.82776962  2.04514539],[ 0.44444066  1.60124171],-0.121737433503,[-0.50231874 -0.47808325],"[[ 0.02090843  0.02936414  0.09594334  0.05060108]
 [ 0.61349879  3.95633694  0.          0.        ]]","[ 1.07404792  2.13893017  0.20773402 -0.90094369  0.83238732  0.43600627
 -0.39707748  0.20091531  0.61578774 -0.50678618  0.        ]"
2,-2.11668,[ 0.09423662  1.18358609],[ 0.45377028  1.19935906],-0.117986484907,[-0.50231874 -0.47808325],"[[  1.86972150e-04   1.47445649e-01   9.59433415e-02   5.06010808e-02]
 [ -2.67469048e+00   7.83886847e+00   0.00000000e+00   0.00000000e+00]]","[ 1.07436075  2.12412178  0.17642711 -0.57027467  0.83238671  0.43600604
 -0.48769014  0.76161792  0.60649776 -0.42675048  0.        ]"
3,-2.11987,[-0.57940847  0.57515044],[ 0.10350382  0.57035905],-0.111779289293,[-0.50231874 -0.47808325],"[[ -0.04904999   0.34239206   0.09594334   0.05060108]
 [ -2.25038812  11.64309449   0.           0.        ]]","[ 1.07263272  2.0570643   0.10206205 -0.03910616  0.8323861   0.43600582
 -0.47599734  1.31101097  0.57401307 -0.32697885  0.        ]"
4,-2.02324,[-0.20492527 -0.12719667],[ 0.18018872  0.07741186],-0.101643259646,[-0.50231874 -0.47808325],"[[ -0.11661526   0.59579882   0.09594334   0.05060108]
 [ -4.49865418  13.69073832   0.           0.        ]]","[  1.06460588e+00   1.89473459e+00   3.43450256e-04   5.95015262e-01
   8.32385486e-01   4.36005593e-01  -5.37952753e-01   1.60672279e+00
   5.00026366e-01  -2.13419638e-01   0.00000000e+00]"
5,-1.90891,[-0.44220991 -0.13081739],[ 0.31176525 -0.18961209],-0.0896442117079,[-0.50231874 -0.47808325],"[[ -0.2138258    0.86184266   0.09594334   0.05060108]
 [ -5.22002102  12.91621447   0.           0.        ]]","[ 1.04165537  1.64374185 -0.1444799   1.15162364  0.83238487  0.43600537
 -0.55783122  1.49486645  0.39681338 -0.15658843  0.        ]"
6,-1.76347,[ 0.20893266  0.22684157],[ 0.61619574 -0.41853726],-0.0771420354233,[-0.50231874 -0.47808325],"[[ -0.33474201   1.11240793   0.09594334   0.05060108]
 [ -6.86618038  12.14286076   0.           0.        ]]","[ 0.99465354  1.34746273 -0.32024216  1.53903125  0.83238426  0.43600514
 -0.60319428  1.38317952  0.28386866 -0.16451933  0.        ]"
7,-1.74113,[-0.32826235 -1.55775765],[ 0.61173183 -0.87783456],-0.062641619536,[-0.50231874 -0.47808325],"[[ -0.46240972   1.36186087   0.09594334   0.05060108]
 [ -5.90375162  12.80025687   0.           0.        ]]","[ 0.92355069  1.013466   -0.49790083  1.76824314  0.83238365  0.43600492
 -0.57667218  1.47811641  0.15017561 -0.19071658  0.        ]"
8,-1.70778,[ 1.71073752 -0.99738423],[ 1.00170827 -0.59204447],-0.0502457151443,[-0.50231874 -0.47808325],"[[-0.59233859  1.5755962   0.09594334  0.05060108]
 [-7.08529786  8.58729496  0.          0.        ]]","[ 0.82971969  0.71195696 -0.66742464  1.82938262  0.83238304  0.43600469
 -0.60923185  0.86969426  0.02474009 -0.24471406  0.        ]"
9,-1.68087,[ 0.92530556 -0.48572143],[ 0.77942336 -0.2126624 ],-0.0445515307634,[-0.50231874 -0.47808325],"[[-0.69292388  1.70600438  0.09594334  0.05060108]
 [-2.98683587  4.46730567  0.          0.        ]]","[ 0.74319366  0.52726445 -0.78903604  1.80373876  0.83238243  0.43600447
 -0.49628966  0.27469937 -0.05402108 -0.30321106  0.        ]"
