timestep,rewards,actions,avg_action_dist,original_rewards,logstd_action_dist,human_obs,obs
0,-1.22836,[-1.11589974  0.46270044],[ 0.2233806   0.58891773],-0.0929602321258,[-0.38657811 -0.39659548],"[[-0.04909782  0.0743539   0.19040118  0.08877422]
 [ 0.00329686 -0.00352353  0.          0.        ]]","[ 1.12449701  2.40097937  0.02135268 -0.66286106  1.63085916  0.77226553
 -0.33490957 -0.38147145 -0.09584219 -0.89108199  0.        ]"
1,-1.19723,[-0.56384653 -0.56162493],[ 0.49213344  0.47493523],-0.09907742242,[-0.38657811 -0.39659548],"[[-0.08873023  0.09268163  0.19040118  0.08877422]
 [-3.95336248  1.83017889  0.          0.        ]]","[ 1.12066799  2.39870268 -0.03766866 -0.59949712  1.63085424  0.77226451
 -0.44556487 -0.13035256 -0.0977623  -0.94632458  0.        ]"
2,-1.33738,[ 0.47060608  0.4380935 ],[ 0.91896033  0.62176144],-0.117985771591,[-0.38657811 -0.39659548],"[[-0.18938357  0.10661779  0.19040118  0.08877422]
 [-6.10480988 -0.42903751  0.          0.        ]]","[ 1.10110902  2.39663692 -0.18641678 -0.55138695  1.63084931  0.7722635
 -0.50573384 -0.43974373 -0.11201169 -1.11740578  0.        ]"
3,-1.55058,[ 0.78007656  0.98278549],[ 1.02233946  0.41097164],-0.137475399636,[-0.38657811 -0.39659548],"[[-0.2915964   0.11551892  0.19040118  0.08877422]
 [-4.12306991  1.31334762  0.          0.        ]]","[ 1.0669813   2.39516308 -0.33455041 -0.52069539  1.63084438  0.77226248
 -0.45031007 -0.20112999 -0.14226907 -1.29384685  0.        ]"
4,-1.59484,[ 0.33775772  0.45909404],[ 0.82179934  0.04951161],-0.14060138071,[-0.38657811 -0.39659548],"[[-0.34229286  0.18055658  0.19040118  0.08877422]
 [-0.95710622  5.17754604  0.          0.        ]]","[ 1.04482391  2.38095165 -0.40645565 -0.29756195  1.63083945  0.77226146
 -0.36176717  0.32805863 -0.15285593 -1.32248772  0.        ]"
5,-1.43346,[ 0.68582981 -0.19463608],[ 0.63431853 -0.10997379],-0.128689281509,[-0.38657811 -0.39659548],"[[-0.34784546  0.30131263  0.19040118  0.08877422]
 [ 0.39735221  6.89234717  0.          0.        ]]","[ 1.04218813  2.33831107 -0.41425589  0.10903879  1.63083452  0.77226044
 -0.32388669  0.56289441 -0.14376372 -1.21648764  0.        ]"
6,-1.29897,[-0.51711515 -0.3196853 ],[ 0.32685497 -0.08252579],-0.10758455725,[-0.38657811 -0.39659548],"[[-0.31275133  0.43004777  0.19040118  0.08877422]
 [ 3.10306919  5.98419823  0.          0.        ]]","[ 1.05814717  2.27020127 -0.36469919  0.52585135  1.63082959  0.77225942
 -0.24821553  0.43852588 -0.13972746 -1.02945321  0.        ]"
7,-1.11529,[ 0.10465437  0.1488989 ],[ 0.28284484  0.02462971],-0.0877546166449,[-0.38657811 -0.39659548],"[[-0.27182511  0.53585024  0.19040118  0.08877422]
 [ 0.99654367  4.60065684  0.          0.        ]]","[ 1.07468182  2.19749019 -0.30619691  0.85078647  1.63082466  0.7722584
 -0.30712862  0.24905397 -0.15483536 -0.85604888  0.        ]"
8,-1.10275,[-1.00127832  0.27937358],[ 0.10305845 -0.05698788],-0.0725105584331,[-0.38657811 -0.39659548],"[[-0.24793894  0.63286351  0.19040118  0.08877422]
 [ 1.39076982  5.09900934  0.          0.        ]]","[ 1.08328738  2.11828665 -0.27173599  1.13140193  1.63081973  0.77225739
 -0.29610299  0.31730156 -0.18400321 -0.72524667  0.        ]"
9,-0.995014,[-0.61144297 -1.31870765],[ 0.24947891 -0.15836537],-0.0633207532376,[-0.38657811 -0.39659548],"[[-0.26009644  0.7449434   0.19040118  0.08877422]
 [-2.5932847   6.10560769  0.          0.        ]]","[ 1.07900106  2.01286325 -0.28930278  1.43141055  1.6308148   0.77225637
 -0.40752513  0.45515183 -0.22372904 -0.64808869  0.        ]"
10,-1.00957,[ 0.38541313  0.4539641 ],[ 0.58770674  0.11545023],-0.0699128749205,[-0.38657811 -0.39659548],"[[-0.33570583  0.82612229  0.19040118  0.08877422]
 [-4.95980764  2.025861    0.          0.        ]]","[ 1.04788453  1.92789424 -0.39718012  1.63047435  1.63080987  0.77225535
 -0.47370953 -0.10355792 -0.24390809 -0.70675535  0.        ]"
11,-1.06287,[ 0.10822637  0.01882706],[ 0.61454195 -0.09531569],-0.0800404597236,[-0.38657811 -0.39659548],"[[-0.41862417  0.88426632  0.19040118  0.08877422]
 [-3.33741762  3.78269801  0.          0.        ]]","[ 1.00506986  1.86293854 -0.51223244  1.76279506  1.63080494  0.77225433
 -0.42833548  0.13703605 -0.25838061 -0.79568295  0.        ]"
12,-1.03131,[ 0.84158477 -0.49356457],[ 0.66549945 -0.15754002],-0.0843432326632,[-0.38657811 -0.39659548],"[[-0.48041415  0.95991499  0.19040118  0.08877422]
 [-2.84322153  3.78217353  0.          0.        ]]","[ 0.96742089  1.7737178  -0.59529919  1.92131262  1.63080001  0.77225331
 -0.41451381  0.13696411 -0.28558145 -0.8325916   0.        ]"
13,-1.1416,[-0.76901997  0.58618211],[ 0.501221   -0.06973231],-0.0834129868938,[-0.38657811 -0.39659548],"[[-0.50329896  1.01518885  0.19040118  0.08877422]
 [ 0.5434752   1.75199244  0.          0.        ]]","[ 0.95226335  1.70542548 -0.62541205  2.0269025   1.63079508  0.77225229
 -0.3197971  -0.14106404 -0.30792646 -0.8228016   0.        ]"
