timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
18,"[-1.7788509  -0.57044819  0.39401097  0.77764388 -0.48128602 -0.68617787
  0.27340673 -0.79857571 -0.24612298 -0.02278299  0.        ]",[-1.55889092 -1.20812683],-0.014412558772,-0.014412558772,[-0.41741532 -0.09952205],"[[-3.32761201  2.30178679 -0.05483497 -0.08039717]
 [ 1.40493973 -3.15020215  0.          0.        ]]",[-0.40278366 -0.37828088]
19,"[-1.77557466 -0.4682867   0.41142755  0.94573184 -0.48128573 -0.68617737
 -0.21325066 -1.39389255 -0.34677401 -0.07666459  0.        ]",[ 1.54493292  0.40902123],-0.00274530991793,-0.00274530991793,[ 1.09564126  1.41114771],"[[-3.33950917  2.19968188 -0.05483497 -0.08039717]
 [-2.58129063 -7.04729239  0.          0.        ]]",[-0.40278366 -0.37828088]
20,"[-1.77224906 -0.33451101  0.42806972  1.11915455 -0.48128544 -0.68617687
  0.27626831 -1.12520994 -0.47318784 -0.12414404  0.        ]",[-1.49692808  0.75320954],-0.0115923375915,-0.0115923375915,[-0.15045254  0.92773831],"[[-3.35090391  2.07638326 -0.05483497 -0.08039717]
 [ 1.42837743 -5.28844338  0.          0.        ]]",[-0.40278366 -0.37828088]
21,"[-1.76872818 -0.24861484  0.4447278   1.20754248 -0.48128514 -0.68617638
 -0.21045794 -0.65358064 -0.5561531  -0.13856765  0.        ]",[ 1.23575603  1.09055826],-0.0204971262517,-0.0204971262517,[ 1.18305707  0.85008848],"[[-3.36233725  2.00159113 -0.05483497 -0.08039717]
 [-2.55841321 -2.2010538   0.          0.        ]]",[-0.40278366 -0.37828088]
22,"[-1.76518411 -0.24409653  0.46063951  1.21174495 -0.48128485 -0.68617588
  0.27893294 -0.04210966 -0.56872038 -0.13008053  0.        ]",[-0.32954314 -0.64681413],-0.0216393343731,-0.0216393343731,[-0.40131494 -0.3163158 ],"[[-3.37328576  1.99773169 -0.05483497 -0.08039717]
 [ 1.45020199  1.80177299  0.          0.        ]]",[-0.40278366 -0.37828088]
23,"[-1.77018362 -0.25576577  0.43791066  1.20079775 -0.48128456 -0.68617539
  0.11620325 -0.43877868 -0.54629709 -0.14087463  0.        ]",[-0.1536879  -0.24051084],-0.0195295720185,-0.0195295720185,[ 0.08987539  0.28846946],"[[-3.35765527  2.00771375 -0.05483497 -0.08039717]
 [ 0.11727977 -0.79491222  0.          0.        ]]",[-0.40278366 -0.37828088]
24,"[-1.76900142 -0.22609231  0.44341518  1.22807096 -0.48128427 -0.68617489
  0.04166081 -0.58184352 -0.57461874 -0.14414794  0.        ]",[ 0.11728316 -0.09541525],-0.0225440722237,-0.0225440722237,[ 0.41667852  0.59195292],"[[-3.36143585  1.98241893 -0.05483497 -0.08039717]
 [-0.49329866 -1.73144863  0.          0.        ]]",[-0.40278366 -0.37828088]
25,"[-1.76737292 -0.1808099   0.45084759  1.26622438 -0.48128398 -0.6861744
  0.09953484 -0.63432653 -0.61705484 -0.1476478   0.        ]",[ 0.42046542  0.6657907 ],-0.0270533757372,-0.0270533757372,[ 0.35434121  0.71779901],"[[-3.36654554  1.94434283 -0.05483497 -0.08039717]
 [-0.01925123 -2.07501669  0.          0.        ]]",[-0.40278366 -0.37828088]
26,"[-1.77242882 -0.16321502  0.42708627  1.27995433 -0.48128369 -0.6861739
  0.30273498 -0.22536089 -0.61863801 -0.16556552  0.        ]",[-1.18856744  0.0580555 ],-0.0276117155905,-0.0276117155905,[-0.39973536  0.03224128],"[[-3.35023092  1.9297035  -0.05483497 -0.08039717]
 [ 1.64516483  0.60215979  0.          0.        ]]",[-0.40278366 -0.37828088]
27,"[-1.77025788 -0.18032361  0.43749166  1.26660859 -0.4812834  -0.68617341
 -0.18448026 -0.19200983 -0.61004801 -0.15623144  0.        ]",[-0.04112835  0.55746392],-0.0265023130764,-0.0265023130764,[ 1.04918551  0.35492188],"[[-3.35736835  1.94393725 -0.05483497 -0.08039717]
 [-2.34561977  0.82048229  0.          0.        ]]",[-0.40278366 -0.37828088]
28,"[-1.75379009 -0.22598783  0.5071401   1.22815712 -0.48128311 -0.68617291
 -0.19871397  0.14269837 -0.60924655 -0.10462322  0.        ]",[ 0.56858321  0.23086229],-0.0256253538432,-0.0256253538432,[ 1.04391217 -0.09236845],"[[-3.40545054  1.98233063 -0.05483497 -0.08039717]
 [-2.46220901  3.01155274  0.          0.        ]]",[-0.40278366 -0.37828088]
29,"[-1.74346882 -0.30587766  0.54468698  1.15044062 -0.48128282 -0.68617242
  0.08199846  0.27320265 -0.55967736 -0.06677527  0.        ]",[-0.74064725 -1.37952741],-0.0202061621579,-0.0202061621579,[ 0.14263418 -0.61279774],"[[-3.4316252   2.05113315 -0.05483497 -0.08039717]
 [-0.16289311  3.86586168  0.          0.        ]]",[-0.40278366 -0.37828088]
30,"[-1.72927474 -0.34750219  0.59109343  1.1043045  -0.48128252 -0.68617192
 -0.27550364 -0.34332889 -0.54630315 -0.03016914  0.        ]",[ 1.95271206  0.43899647],-0.0192028351576,-0.0192028351576,[ 1.38339436  0.42874479],"[[-3.46426342  2.08795655 -0.05483497 -0.08039717]
 [-3.09119265 -0.17008039  0.          0.        ]]",[-0.40278366 -0.37828088]
