timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.07879893  1.52645143 -0.01129367 -0.63900199 -1.57237952  1.23691411
 -0.26179662 -0.26068273  2.35202045 -1.11822876  0.        ]",[ 0.48947239  2.11365778],-0.412613565207,-0.412613565207,[ 0.40855592  0.95142835],"[[ 0.01645889 -0.04088933 -0.17835664  0.13847607]
 [ 0.00295771  0.0025908   0.          0.        ]]",[ 0.05792578 -0.05724412]
1,"[ 1.07807747  1.52744417  0.01834357 -0.55153143 -1.57234893  1.23689658
 -0.08478604  0.27461536  2.35137257 -1.05542867  0.        ]",[ 0.83700841  0.42232791],-0.409750580828,-0.409750580828,[ 0.40096509  0.95020199],"[[  3.59294210e-02  -1.11774734e-03  -1.78356640e-01   1.38476071e-01]
 [  1.93765828e+00   3.96137675e+00   0.00000000e+00   0.00000000e+00]]",[ 0.05792578 -0.05724412]
2,"[ 1.07094015  1.5220085   0.12704139 -0.34239456 -1.57231834  1.23687905
  0.21459307  0.48995415  2.33355161 -0.86734793  0.        ]",[ 0.48833562  1.69813311],-0.399784521632,-0.399784521632,[ 0.38648325  0.9428035 ],"[[ 0.1075132   0.09408829 -0.17835664  0.13847607]
 [ 5.20983397  5.55392234  0.          0.        ]]",[ 0.05792578 -0.05724412]
3,"[ 1.04235335  1.49123587  0.31085459 -0.01807412 -1.57228776  1.23686152
  0.38178471  1.01038882  2.25421681 -0.56865171  0.        ]",[ 1.02193674  0.75892074],-0.379300279976,-0.379300279976,[ 0.35997689  0.93100572],"[[ 0.23004421  0.24378404 -0.17835664  0.13847607]
 [ 7.0372267   9.40282255  0.          0.        ]]",[ 0.05792578 -0.05724412]
4,"[ 0.96431687  1.40021044  0.56932211  0.42776898 -1.57225718  1.23684399
  0.73093743  1.3913199   2.03858041 -0.19155979  0.        ]",[ 1.63244141  0.24078926],-0.3414238783,-0.3414238783,[ 0.31667823  0.904827  ],"[[  0.40907664   0.46010755  -0.17835664   0.13847607]
 [ 10.85343557  12.22012477   0.           0.        ]]",[ 0.05792578 -0.05724412]
5,"[ 0.78404498  1.2305952   0.90167714  0.88759505 -1.5722266   1.23682646
  1.07332945  1.48726876  1.623207    0.1477917   0.        ]",[-1.01630008  3.18150768],-0.280220577453,-0.280220577453,[ 0.26085311  0.86185068],"[[  0.66369208   0.7116319   -0.17835664   0.13847607]
 [ 14.59581486  12.92990543   0.           0.        ]]",[ 0.05792578 -0.05724412]
6,"[ 0.53904028  0.95763659  1.16863685  1.31077899 -1.57219602  1.23680893
  0.68498222  1.9881182   1.11448452  0.24410756  0.        ]",[ 0.92121249  1.03258418],-0.206552995591,-0.206552995591,[ 0.21554537  0.82102609],"[[  0.91302158   1.00739779  -0.17835664   0.13847607]
 [ 10.35135881  16.63433367   0.           0.        ]]",[ 0.05792578 -0.05724412]
7,"[ 0.25139799  0.54071691  1.35632767  1.60935402 -1.57216545  1.2367914
  0.99995331  2.47868958  0.62922799  0.03658967  0.        ]",[-0.68648096 -1.41565935],-0.129657884105,-0.129657884105,[ 0.15998426  0.76400107],"[[  1.15458546   1.37649368  -0.17835664   0.13847607]
 [ 13.79400965  20.26313639   0.           0.        ]]",[ 0.05792578 -0.05724412]
8,"[-0.074831    0.10114247  1.46427798  1.62003694 -1.57213487  1.23677388
  0.72677575  1.88899745  0.3416008  -0.37642021  0.        ]",[ 0.4068519   0.21538458],-0.0940402934708,-0.0940402934708,[ 0.13889684  0.72577477],"[[  1.40051354   1.738002    -0.17835664   0.13847607]
 [ 10.8083385   15.90224178   0.           0.        ]]",[ 0.05792578 -0.05724412]
9,"[-0.39343134 -0.27149401  1.48354189  1.39117945 -1.5721043   1.23675635
  0.85476837  1.96159499  0.29729173 -0.79669107  0.        ]",[-0.12122756  1.25753563],-0.124244063378,-0.124244063378,[ 0.11934498  0.69385284],"[[  1.63071655   2.0614379   -0.17835664   0.13847607]
 [ 12.20734185  16.4395613    0.           0.        ]]",[ 0.05792578 -0.05724412]
10,"[-0.71658871 -0.61869528  1.41965026  0.89294208 -1.57207373  1.23673883
  0.78896952  2.45279808  0.46859053 -1.14685893  0.        ]",[-1.67966098  0.7767432 ],-0.177385764158,-0.177385764158,[ 0.10360223  0.6651752 ],"[[  1.86764859   2.42668666  -0.17835664   0.13847607]
 [ 11.48826383  20.07323022   0.           0.        ]]",[ 0.05792578 -0.05724412]
11,"[-0.95742743 -0.86819898  1.310884    0.07266691 -1.57204316  1.23672131
  0.40609259  2.81472042  0.7934107  -1.25422197  0.        ]",[ 0.26344354 -0.03289893],-0.220111773341,-0.220111773341,[ 0.09592578  0.64607537],"[[  2.05543062   2.85501937  -0.17835664   0.13847607]
 [  7.30360261  22.75113678   0.           0.        ]]",[ 0.05792578 -0.05724412]
