timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.257066688358,[ 1.90037341  0.89845147],-0.257066688358,[ 1.43049645  2.01915312],"[[-0.06033405  0.01563207  0.00056606  0.13852997]
 [-0.00363749  0.00119035  0.          0.        ]]","[ 1.12304807  2.11909775  0.01476149 -0.72231188  0.02374276  1.16912421
  0.07432508 -0.36199539  1.27346352 -1.28323487  0.        ]",[ 0.06843471 -0.09793895]
1,-0.250334540544,[ 0.04605118  1.65640608],-0.250334540544,[ 0.91656107  1.78312731],"[[ -2.07294441e-02   5.13337273e-02   5.66059174e-04   1.38529970e-01]
 [  3.95093781e+00   3.55712959e+00   0.00000000e+00   0.00000000e+00]]","[ 1.12528128  2.1174463   0.07418817 -0.61087364  0.02374272  1.16912019
  0.41726927  0.12984268  1.27506383 -1.18129013  0.        ]",[ 0.06843471 -0.09793895]
2,-0.233351664779,[ 1.91177306  2.37409266],-0.233351664779,[ 0.51892376  1.58266151],"[[  5.93181361e-02   1.61497114e-01   5.66059174e-04   1.38529970e-01]
 [  4.05349722e+00   7.44624648e+00   0.00000000e+00   0.00000000e+00]]","[ 1.12312535  2.10143427  0.19435171 -0.26892372  0.02374269  1.16911617
  0.42616261  0.66776363  1.25472343 -0.94187046  0.        ]",[ 0.06843471 -0.09793895]
3,-0.203610967616,[-2.20704469  0.82131104],-0.203610967616,[-0.29794735  1.19111288],"[[  1.79261586e-01   3.48655547e-01   5.66059174e-04   1.38529970e-01]
 [  7.92803298e+00   1.12568950e+01   0.00000000e+00   0.00000000e+00]]","[ 1.10323594  2.03692501  0.37309933  0.29588217  0.02374265  1.16911215
  0.76216544  1.19482886  1.15404986 -0.5817401   0.        ]",[ 0.06843471 -0.09793895]
4,-0.16500364415,[-0.05804026  2.60264808],-0.16500364415,[-0.46663195  1.03673327],"[[  2.96551155e-01   6.04200769e-01   5.66059174e-04   1.38529970e-01]
 [  3.81465618e+00   1.42875143e+01   0.00000000e+00   0.00000000e+00]]","[ 1.06472321  1.87706043  0.54418877  1.00320551  0.02374262  1.16910813
  0.40544736  1.61399994  0.93790856 -0.2300443   0.        ]",[ 0.06843471 -0.09793895]
5,-0.122508780329,[-0.33996241  0.12825397],-0.122508780329,[-0.76941717  0.76682591],"[[  3.69780969e-01   9.26841476e-01   5.66059174e-04   1.38529970e-01]
 [  3.50950249e+00   1.79642986e+01   0.00000000e+00   0.00000000e+00]]","[ 1.0313435   1.57261192  0.64809615  1.72661654  0.02374258  1.16910411
  0.37898337  2.12253551  0.63785771 -0.00846462  0.        ]",[ 0.06843471 -0.09793895]
6,-0.0757674654069,[-0.65217202 -0.40599912],-0.0757674654069,[-0.75666893  0.59221715],"[[  4.25794001e-01   1.28765791e+00   5.66059174e-04   1.38529970e-01]
 [  2.09649649e+00   1.81168231e+01   0.00000000e+00   0.00000000e+00]]","[ 1.00109764  1.13358847  0.72563887  2.22774191  0.02374255  1.1691001
  0.25644495  2.14361433  0.28888781  0.05949288  0.        ]",[ 0.06843471 -0.09793895]
7,-0.0370275763814,[-0.31309338  0.8913617 ],-0.0370275763814,[-0.6037966   0.53540987],"[[  4.41432236e-01   1.63027158e+00   5.66059174e-04   1.38529970e-01]
 [ -5.24140592e-01   1.61510633e+01   0.00000000e+00   0.00000000e+00]]","[ 0.99193585  0.6701977   0.74694958  2.34655428  0.02374252  1.16909608
  0.02917898  1.87171183  0.01140405 -0.03198574  0.        ]",[ 0.06843471 -0.09793895]
8,-0.025686376865,[-1.22099511  0.15139798],-0.025686376865,[-0.62207144  0.42052487],"[[  4.18627289e-01   1.98549810e+00   5.66059174e-04   1.38529970e-01]
 [ -1.75222432e+00   1.93608736e+01   0.00000000e+00   0.00000000e+00]]","[ 1.00518561  0.2004258   0.7158175   2.08732532  0.02374248  1.16909206
 -0.07732249  2.31564751 -0.19127103 -0.23691281  0.        ]",[ 0.06843471 -0.09793895]
9,-0.0600623310932,[ 1.14642022 -1.11887927],-0.0600623310932,[-0.55414069  0.40340787],"[[  3.44223639e-01   2.37488644e+00   5.66059174e-04   1.38529970e-01]
 [ -5.67528207e+00   1.95771791e+01   0.00000000e+00   0.00000000e+00]]","[ 1.0437815  -0.23352048  0.61212783  1.39562413  0.02374245  1.16908804
 -0.41753674  2.34554293 -0.30962633 -0.53496916  0.        ]",[ 0.06843471 -0.09793895]
