timestep,obs,actions,rewards,original_rewards,avg_action_dist,human_obs,logstd_action_dist
0,"[ 1.10726392  2.15375928  0.03932877 -1.08578447  0.80627828 -0.85837463
  0.08572294 -0.36420596  0.60844376  0.58892396  0.        ]",[-0.45089225  0.05637929],-0.136777827412,-0.136777827412,[-1.81998801  0.60392356],"[[-0.06806049 -0.0848423   0.09494406 -0.09982129]
 [ 0.00333855 -0.00344825  0.          0.        ]]",[ 0.05304553 -0.09015817]
1,"[ 1.10532983  2.15399631  0.01259467 -1.07880917  0.80627665 -0.85837281
 -0.07699869 -0.33338342  0.60535111  0.558934    0.        ]",[-1.79595611  0.95276172],-0.134523491022,-0.134523491022,[-1.58887541  0.68197662],"[[-0.08589141 -0.0826638   0.09494406 -0.09982129]
 [-1.78049144  0.22054962  0.          0.        ]]",[ 0.05304553 -0.09015817]
2,"[ 1.09233841  2.15757187 -0.09924844 -0.94342673  0.80627502 -0.85837098
 -0.43477599  0.18532733  0.59347707  0.46423742  0.        ]",[-0.929923   -0.02508129],-0.127527527676,-0.127527527676,[-1.190063    0.77285123],"[[-0.1608531  -0.04043014  0.09494406 -0.09982129]
 [-5.70261188  3.99024963  0.          0.        ]]",[ 0.05304553 -0.09015817]
3,"[ 1.04309236  2.15770951 -0.31812071 -0.69287092  0.80627339 -0.85836915
 -0.76004904  0.1609817   0.553367    0.27245523  0.        ]",[-1.80419893 -0.23878932],-0.113331787342,-0.113331787342,[-0.45135003  1.00231636],"[[-0.31068204  0.03759975  0.09494406 -0.09982129]
 [-9.26841198  3.8133209   0.          0.        ]]",[ 0.05304553 -0.09015817]
4,"[ 0.91451632  2.15125512 -0.62366579 -0.48133858  0.80627176 -0.85836732
 -1.10414723  0.02068654  0.44035009 -0.04274185  0.        ]",[ 0.59008397  1.06811859],-0.0911660749035,-0.0911660749035,[ 0.5873943   1.30397666],"[[ -0.53389766   0.10363651   0.09494406  -0.09982129]
 [-13.04059615   2.79373713   0.           0.        ]]",[ 0.05304553 -0.09015817]
5,"[ 0.71449435  2.13146697 -0.90385091 -0.17969037  0.80627013 -0.8583655
 -0.867821    0.55776735  0.27864298 -0.31986805  0.        ]",[ 1.2267058   0.66804247],-0.0753708103305,-0.0753708103305,[ 0.62713641  1.16792619],"[[ -0.76871644   0.19867326   0.09494406  -0.09982129]
 [-10.44990685   6.69693113   0.           0.        ]]",[ 0.05304553 -0.09015817]
6,"[ 0.53738424  2.07110214 -1.06919828  0.31123784  0.8062685  -0.85836367
 -0.48819517  0.90327072  0.18074574 -0.42120194  0.        ]",[-0.41210114  0.14007069],-0.069681682044,-0.069681682044,[ 0.28712052  0.92263091],"[[-0.93596014  0.35780467  0.09494406 -0.09982129]
 [-6.28829457  9.20785898  0.          0.        ]]",[ 0.05304553 -0.09015817]
7,"[ 0.36989009  1.95787703 -1.1824209   0.85339338  0.80626687 -0.85836184
 -0.62558448  0.95456345  0.11204764 -0.44819402  0.        ]",[ 1.03183969  0.65825261],-0.0645707321857,-0.0645707321857,[ 0.60207719  0.92305458],"[[-1.07683727  0.54570228  0.09494406 -0.09982129]
 [-7.79442511  9.5806402   0.          0.        ]]",[ 0.05304553 -0.09015817]
8,"[ 0.22364376  1.77680148 -1.25529134  1.40268924  0.80626524 -0.85836001
 -0.25070508  1.28689722  0.07273556 -0.40491858  0.        ]",[-1.34482422  0.30797764],-0.0573144361712,-0.0573144361712,[ 0.02434821  0.59037817],"[[ -1.19149419   0.76154751   0.09494406  -0.09982129]
 [ -3.68484762  11.99587422   0.           0.        ]]",[ 0.05304553 -0.09015817]
9,"[ 0.07325776  1.50997458 -1.30903073  1.90852822  0.80626361 -0.85835819
 -0.60499446  1.42216082  0.03267481 -0.31407841  0.        ]",[ 2.1427665   0.22478946],-0.0464220781676,-0.0464220781676,[ 0.38528627  0.58058012],"[[ -1.30415827   1.0113289    0.09494406  -0.09982129]
 [ -7.56871918  12.97892846   0.           0.        ]]",[ 0.05304553 -0.09015817]
10,"[-0.07836784  1.17632013 -1.3437969   2.26080045  0.80626198 -0.85835636
 -0.23038716  1.50910777 -0.02068846 -0.18979943  0.        ]",[-1.33384887  2.16583548],-0.0327445534843,-0.0327445534843,[-0.13525811  0.30620033],"[[ -1.41433161   1.2772471    0.09494406  -0.09982129]
 [ -3.46213216  13.61085236   0.           0.        ]]",[ 0.05304553 -0.09015817]
11,"[-0.22996901  0.75466491 -1.36041534  2.39777658  0.80626035 -0.85835453
 -0.5851713   2.0169469  -0.09529324 -0.00901725  0.        ]",[-0.85187952 -2.77619218],-0.0208479451495,-0.0208479451495,[ 0.33068115  0.42036614],"[[ -1.52259593   1.58649568   0.09494406  -0.09982129]
 [ -7.35141927  17.30162861   0.           0.        ]]",[ 0.05304553 -0.09015817]
12,"[-0.48205673  0.34343403 -1.34923493  2.23655347  0.80625872 -0.85835271
 -0.87942606  1.4249825  -0.24221326  0.11361187  0.        ]",[ 0.7710433  -0.27142771],-0.0211750633345,-0.0211750633345,[ 0.73435557  0.52941388],"[[ -1.70198702   1.88936525   0.09494406  -0.09982129]
 [-10.57716852  12.99959124   0.           0.        ]]",[ 0.05304553 -0.09015817]
13,"[-0.72746998  0.03606737 -1.29046654  1.89867333  0.80625709 -0.85835088
 -0.58193332  1.24160254 -0.38510381  0.21005802  0.        ]",[ 0.46838302  0.80686446],-0.0375272142849,-0.0375272142849,[ 0.69527227  0.49839994],"[[ -1.88081055   2.13598515   0.09494406  -0.09982129]
 [ -7.31595567  11.66691165   0.           0.        ]]",[ 0.05304553 -0.09015817]
14,"[-0.89294501 -0.24201594 -1.22129078  1.35803127  0.80625546 -0.85834905
 -0.39958946  1.64939406 -0.50900018  0.37273912  0.        ]",[ 2.04536062  0.02966436],-0.0623356770877,-0.0623356770877,[ 0.68938339  0.49657688],"[[ -2.00707497   2.39905849   0.09494406  -0.09982129]
 [ -5.31704407  14.63057936   0.           0.        ]]",[ 0.05304553 -0.09015817]
15,"[-0.97528792 -0.46728109 -1.17672837  0.58815244  0.80625383 -0.85834722
 -0.02881776  1.62569246 -0.64246085  0.58510634  0.        ]",[-0.47818339  2.70745032],-0.0927112442843,-0.0927112442843,[ 0.39622641  0.37646016],"[[ -2.07263588   2.68994198   0.09494406  -0.09982129]
 [ -1.2525181   14.45838105   0.           0.        ]]",[ 0.05304553 -0.09015817]
16,"[-1.02868953 -0.59498807 -1.14379246 -0.4111987   0.80625219 -0.8583454
 -0.1992395   1.66654726 -0.83038042  0.79779412  0.        ]",[ 0.39375073  1.61848211],-0.127456264845,-0.127456264845,[ 0.42483598  0.37588432],"[[ -2.11642887   3.01596479   0.09494406  -0.09982129]
 [ -3.12074008  14.75534942   0.           0.        ]]",[ 0.05304553 -0.09015817]
17,"[-1.08346007 -0.60558548 -1.10640849 -0.74729115  0.80625056 -0.85834357
 -0.05145148 -0.39083708 -0.90274556  0.85617018  0.        ]",[ 0.50121755 -1.51095612],-0.138773433332,-0.138773433332,[ 0.04523823  0.2274279 ],"[[-2.16259043  3.12093807  0.09494406 -0.09982129]
 [-1.50064173 -0.19672989  0.          0.        ]]",[ 0.05304553 -0.09015817]
18,"[-1.09488066 -0.6027462  -1.09811969 -0.59749708  0.80624893 -0.85834174
  0.13226851 -0.95600278 -0.86712538  0.82537467  0.        ]",[-0.85260007  0.2189901 ],-0.133006739669,-0.133006739669,[-0.13684303  0.16641185],"[[-2.17239627  3.07424983  0.09494406 -0.09982129]
 [ 0.51335422 -4.30409319  0.          0.        ]]",[ 0.05304553 -0.09015817]
19,"[-1.12217321 -0.5915974  -1.07759655 -0.35313386  0.8062473  -0.85833992
 -0.17659056 -0.82498345 -0.81948272  0.77450554  0.        ]",[ 1.2370275  0.2318241],-0.124435859486,-0.124435859486,[ 0.19124161  0.28334463],"[[-2.19610011  2.99772141  0.09494406 -0.09982129]
 [-2.87245074 -3.35192139  0.          0.        ]]",[ 0.05304553 -0.09015817]
20,"[-1.14163435 -0.57804012 -1.0623165  -0.17229308  0.80624567 -0.85833809
  0.18977425 -0.68952214 -0.78744217  0.73237084  0.        ]",[ 1.20227191 -0.70543679],-0.117955256996,-0.117955256996,[-0.03964145  0.20885274],"[[-2.21325327  2.94056037  0.09494406 -0.09982129]
 [ 1.14374426 -2.36746465  0.          0.        ]]",[ 0.05304553 -0.09015817]
21,"[-1.06970934 -0.5535869  -1.11613292  0.06141511  0.80624404 -0.85833626
  0.54886865 -1.06739669 -0.74235074  0.69256774  0.        ]",[-1.57393426  0.29596628],-0.110631123196,-0.110631123196,[-0.3922227   0.09058726],"[[-2.15088215  2.86565739  0.09494406 -0.09982129]
 [ 5.0802413  -5.11368862  0.          0.        ]]",[ 0.05304553 -0.09015817]
22,"[-0.99661682 -0.51460222 -1.16394043  0.33412812  0.80624241 -0.85833443
  0.17852928 -0.89223245 -0.68822283  0.64435922  0.        ]",[-1.98504512 -0.0834374 ],-0.101848408874,-0.101848408874,[-0.10532008  0.18501672],"[[-2.09001027  2.77615587  0.09494406 -0.09982129]
 [ 1.02048945 -3.84069638  0.          0.        ]]",[ 0.05304553 -0.09015817]
23,"[-1.02034306 -0.47137463 -1.14912693  0.56834177  0.80624078 -0.85833261
 -0.18447417 -0.92724304 -0.65239977  0.57743309  0.        ]",[-1.09769142  1.78019821],-0.0927628058111,-0.0927628058111,[ 0.24900763  0.31303373],"[[-2.10952663  2.69678889  0.09494406 -0.09982129]
 [-2.95884452 -4.09515129  0.          0.        ]]",[ 0.05304553 -0.09015817]
24,"[-1.13550444 -0.4457127  -1.06716605  0.68704658  0.80623915 -0.85833078
 -0.54027806 -0.37127034 -0.6567663   0.50932637  0.        ]",[ 1.43739629  1.77291799],-0.086880838983,-0.086880838983,[ 0.67145395  0.47875664],"[[-2.20783752  2.6554259   0.09494406 -0.09982129]
 [-6.8592573  -0.05462387  0.          0.        ]]",[ 0.05304553 -0.09015817]
25,"[-1.24026278 -0.46975301 -0.97576027  0.57621038  0.80623752 -0.85832895
 -0.16672535  0.17371921 -0.69326657  0.51195148  0.        ]",[-0.2920604   1.24477911],-0.0902835299765,-0.0902835299765,[ 0.56086427  0.43840897],"[[-2.30393662  2.69407235  0.09494406 -0.09982129]
 [-2.76429311  3.90608464  0.          0.        ]]",[ 0.05304553 -0.09015817]
26,"[-1.30755719 -0.53108931 -0.90659157  0.22848421  0.80623589 -0.85832713
 -0.26720586  0.70790632 -0.74596054  0.59569162  0.        ]",[ 1.49127439  1.31599555],-0.102213083354,-0.102213083354,[ 0.66663563  0.49094889],"[[-2.37027415  2.81114551  0.09494406 -0.09982129]
 [-3.86578494  7.7882898   0.          0.        ]]",[ 0.05304553 -0.09015817]
27,"[-1.34300884 -0.59301526 -0.86618717 -0.37658672  0.80623426 -0.8583253
  0.10095812  0.92170729 -0.82907014  0.74819056  0.        ]",[ 0.87323734  0.13040912],-0.122866107285,-0.122866107285,[ 0.38010305  0.3737714 ],"[[-2.40709585  3.0050935   0.09494406 -0.09982129]
 [ 0.17010109  9.34209891  0.          0.        ]]",[ 0.05304553 -0.09015817]
