timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.25811619569,[ 0.74099479  2.13492021],-0.25811619569,[ 1.58049417  3.33272266],"[[-0.05647981 -0.04964037 -0.04191082  0.04233932]
 [-0.00039983  0.00303291  0.          0.        ]]","[ 1.08536922  1.57671656  0.05200551 -1.28957109 -0.35986147  0.36723804
  0.11346075 -0.31602075  1.93672812 -0.72219572  0.        ]",[-0.39850092 -0.3640708 ]
1,-0.25654461735,[ 1.37029932  1.8287545 ],-0.25654461735,[ 1.47501993  3.03172922],"[[-0.02709271 -0.00986391 -0.04191082  0.04233932]
 [ 2.92935932  3.96142468  0.          0.        ]]","[ 1.08713206  1.57823753  0.09585688 -1.18605623 -0.35986127  0.36723783
  0.4669153   0.28764568  1.94288931 -0.60315977  0.        ]",[-0.39850092 -0.3640708 ]
2,-0.250401254432,[ 2.36715378  2.71982204],-0.250401254432,[ 1.04934347  2.82103419],"[[ 0.07058862  0.10829029 -0.04191082  0.04233932]
 [ 6.82582032  7.84106769  0.          0.        ]]","[ 1.08407965  1.57075398  0.24165699 -0.87896821 -0.35986106  0.36723762
  0.93699521  0.87930234  1.92538122 -0.22521446  0.        ]",[-0.39850092 -0.3640708 ]
3,-0.236067764923,[-0.2088273   1.48515509],-0.236067764923,[ 0.20138809  1.74710441],"[[  0.24542823   0.30326664  -0.04191082   0.04233932]
 [ 10.64551307  11.64388294   0.           0.        ]]","[ 1.04459547  1.51952768  0.49920849 -0.38280478 -0.35986086  0.36723742
  1.39781242  1.45924111  1.76678352  0.39771972  0.        ]",[-0.39850092 -0.3640708 ]
4,-0.2118635831,[-1.10116133  0.93350793],-0.2118635831,[-0.02044159  0.97611064],"[[  0.44793029   0.57356135  -0.04191082   0.04233932]
 [  9.6082851   15.3731425    0.           0.        ]]","[ 0.94589086  1.37221182  0.78317705  0.25246652 -0.35986066  0.36723721
  1.27267652  2.02795921  1.36616392  1.02535737  0.        ]",[-0.39850092 -0.3640708 ]
5,-0.180126929412,[-0.83010554  0.72347807],-0.180126929412,[ 0.11809179  0.31572074],"[[  0.5984979    0.91506906  -0.04191082   0.04233932]
 [  5.46235704  18.7663       0.           0.        ]]","[ 0.83788243  1.07571112  0.97778862  0.90333416 -0.35986046  0.36723701
  0.77249902  2.54541565  0.82336568  1.35392279  0.        ]",[-0.39850092 -0.3640708 ]
6,-0.142186910744,[-0.50308008 -1.27656649],-0.142186910744,[ 0.17517418 -0.4432326 ],"[[  0.67372001   1.31541839  -0.04191082   0.04233932]
 [  2.07115381  21.2602885    0.           0.        ]]","[ 0.773682    0.61580694  1.06814096  1.3588849  -0.35986026  0.3672368
  0.36337407  2.92574087  0.31027771  1.31706416  0.        ]",[-0.39850092 -0.3640708 ]
7,-0.103964649998,[ 1.05520002 -0.06520227],-0.103964649998,[ 0.28404406 -0.5385462 ],"[[  0.69478472   1.69667714  -0.04191082   0.04233932]
 [  0.041782    16.88015765   0.           0.        ]]","[ 0.75454845  0.1288142   1.0925185   1.42272449 -0.35986006  0.36723659
  0.1185445   2.25775633 -0.03323663  1.04667084  0.        ]",[-0.39850092 -0.3640708 ]
8,-0.0667824497157,[ 0.16347832 -0.88799784],-0.0667824497157,[-0.82189202 -1.84664679],"[[  0.73533818   2.02833197  -0.04191082   0.04233932]
 [  4.00051125  16.28733796   0.           0.        ]]","[ 0.71634183 -0.27837409  1.13824686  1.17551803 -0.35985986  0.36723639
  0.59613731  2.16734434 -0.25917898  0.69202662  0.        ]",[-0.39850092 -0.3640708 ]
9,-0.0313923705453,[-0.86525987 -2.53769941],-0.0313923705453,[-1.28694749 -2.10209703],"[[  0.82106195   2.31556423  -0.04191082   0.04233932]
 [  4.56983041  12.44868504   0.           0.        ]]","[ 0.62989278 -0.58237453  1.22940009  0.75398167 -0.35985965  0.36723618
  0.66482126  1.58194249 -0.38668112  0.30792609  0.        ]",[-0.39850092 -0.3640708 ]
10,-0.00651422645544,[-0.77578496 -0.37923151],-0.00651422645544,[-0.66461658 -1.35402811],"[[ 0.87718908  2.52233738 -0.04191082  0.04233932]
 [ 1.05443295  8.24264125  0.          0.        ]]","[ 0.5693531  -0.75817093  1.28477201  0.35088562 -0.35985945  0.36723597
  0.24071258  0.94051544 -0.39200903  0.02615604  0.        ]",[-0.39850092 -0.3640708 ]
11,-0.00994998054262,[ 0.15726478 -0.87884007],-0.00994998054262,[-0.13873951 -0.80975485],"[[ 0.86725359  2.67048648 -0.04191082  0.04233932]
 [-2.03772987  6.57780764  0.          0.        ]]","[ 0.58028557 -0.85701621  1.27522688  0.02136952 -0.35985925  0.36723577
 -0.13233573  0.68662602 -0.33980825 -0.14386338  0.        ]",[-0.39850092 -0.3640708 ]
12,-0.0198914750069,[-0.51624695 -1.30132519],-0.0198914750069,[-0.19365618 -0.66604292],"[[ 0.83315007  2.76582172 -0.04191082  0.04233932]
 [-1.3748389   2.96774912  0.          0.        ]]","[ 0.61710745 -0.90744325  1.24161805 -0.20484671 -0.35985905  0.36723556
 -0.05236239  0.13608799 -0.29029142 -0.23870561  0.        ]",[-0.39850092 -0.3640708 ]
13,-0.0214300638811,[-0.02604983  0.94422366],-0.0214300638811,[ 0.48268899  0.08201431],"[[ 0.78541773  2.78485865 -0.04191082  0.04233932]
 [-3.39167386 -1.05066639  0.          0.        ]]","[ 0.66674791 -0.91622183  1.19242931 -0.25112501 -0.35985885  0.36723535
 -0.29567986 -0.47672487 -0.27084742 -0.24370933  0.        ]",[-0.39850092 -0.3640708 ]
14,-0.0227681663431,[ 0.88966846 -1.20124554],-0.0227681663431,[ 0.40566388 -0.31865126],"[[ 0.7172243   2.8015658  -0.04191082  0.04233932]
 [-3.42755438  2.70885203  0.          0.        ]]","[ 0.73362512 -0.92356576  1.11801119 -0.29201171 -0.35985865  0.36723515
 -0.30000845  0.09660634 -0.24833965 -0.24110246  0.        ]",[-0.39850092 -0.3640708 ]
15,-0.0241098331617,[-0.04376148  0.14206183],-0.0241098331617,[-0.26895747 -0.351183  ],"[[ 0.68469381  2.81547806 -0.04191082  0.04233932]
 [ 0.1625462  -1.30424812  0.          0.        ]]","[ 0.76377208 -0.92942249  1.08088098 -0.326244   -0.35985845  0.36723494
  0.13311348 -0.51539642 -0.23572588 -0.24764288  0.        ]",[-0.39850092 -0.3640708 ]
16,-0.022077737555,[-0.93122712 -0.32983391],-0.022077737555,[-0.23730062 -0.37679082],"[[ 0.68617428  2.79529592 -0.04191082  0.04233932]
 [-0.01391161 -0.71592636  0.          0.        ]]","[ 0.76242481 -0.92084732  1.08259158 -0.27663827 -0.35985824  0.36723473
  0.11182494 -0.42567629 -0.24311719 -0.22445303  0.        ]",[-0.39850092 -0.3640708 ]
17,-0.019670678273,[ 0.60829034  0.11927376],-0.019670678273,[ 0.74546993  0.36529416],"[[ 0.64890646  2.7680148  -0.04191082  0.04233932]
 [-3.70057673 -2.00788275  0.          0.        ]]","[ 0.79557491 -0.90847263  1.03887939 -0.21015985 -0.35985804  0.36723453
 -0.33294718 -0.62270108 -0.24166136 -0.18101881  0.        ]",[-0.39850092 -0.3640708 ]
18,-0.0178082535138,[ 1.40539437  0.06954232],-0.0178082535138,[ 0.21868861  0.06259   ],"[[ 0.59979388  2.73299507 -0.04191082  0.04233932]
 [-1.21895791 -1.49579461  0.          0.        ]]","[ 0.83682575 -0.89128148  0.97937044 -0.12586743 -0.35985784  0.36723432
 -0.03355577 -0.54460653 -0.23488065 -0.12422703  0.        ]",[-0.39850092 -0.3640708 ]
19,-0.0159330345359,[-0.03192159  0.42266842],-0.0159330345359,[-0.70825303 -0.45119208],"[[ 0.61538045  2.70614013 -0.04191082  0.04233932]
 [ 2.76433497 -1.19072047  0.          0.        ]]","[ 0.82403856 -0.87711532  0.99848232 -0.06208163 -0.35985764  0.36723411
  0.44700293 -0.49808194 -0.24522826 -0.09595786  0.        ]",[-0.39850092 -0.3640708 ]
