timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.103683748149,[-1.0389107 -0.7139036],-0.103683748149,[-2.03491807  0.32821822],"[[ 0.02668398  0.04347618  0.13049502 -0.05653757]
 [-0.00275797  0.0028933   0.          0.        ]]","[ 1.07155317  2.00452641  0.22782495 -0.75024264  1.13271502 -0.48688236
  0.12862534 -0.34731927  0.3012993   0.56579219  0.        ]",[-0.04493388 -0.09049932]
1,-0.0969373040931,[-2.38849253  2.51129067],-0.0969373040931,[-0.98126245  0.91540909],"[[-0.01305011  0.01518705  0.13049502 -0.05653757]
 [-3.95748686 -2.82239492  0.          0.        ]]","[ 1.07193887  2.00562996  0.16749624 -0.83497284  1.13271276 -0.48688183
 -0.26264658 -0.73912686  0.30367671  0.46121229  0.        ]",[-0.04493388 -0.09049932]
2,-0.0829172835814,[ 0.2776942   1.26256627],-0.0829172835814,[-0.13634412  0.89806205],"[[ -1.31120634e-01  -9.57226157e-04   1.30495021e-01  -5.65375691e-02]
 [ -7.83664437e+00   1.19457471e+00   0.00000000e+00   0.00000000e+00]]","[ 1.05977096  2.00577518 -0.01121772 -0.88334741  1.13271051 -0.48688131
 -0.64644139 -0.18205651  0.28922897  0.21910904  0.        ]",[-0.04493388 -0.09049932]
3,-0.0735105936597,[-0.40526192  1.3351881 ],-0.0735105936597,[-0.1370638   0.58001059],"[[-0.27529187  0.0624199   0.13049502 -0.05653757]
 [-6.58464428  5.1300214   0.          0.        ]]","[ 1.01815583  2.00315592 -0.22544366 -0.69355303  1.13270825 -0.48688078
 -0.52257051  0.36370824  0.25379786  0.01016246  0.        ]",[-0.04493388 -0.09049932]
4,-0.068627934467,[ 0.3278142  -1.02156851],-0.068627934467,[ 0.18372995  0.29300261],"[[-0.42177833  0.20373464  0.13049502 -0.05653757]
 [-8.05909446  8.98858333  0.          0.        ]]","[ 0.94660374  1.97802861 -0.43431422 -0.27418422  1.132706   -0.48688026
 -0.66844881  0.89881001  0.21287859 -0.12059263  0.        ]",[-0.04493388 -0.09049932]
5,-0.0648162952367,[ 1.88643653  0.40546982],-0.0648162952367,[ 0.55208778  0.64516222],"[[-0.56833433  0.34198678  0.13049502 -0.05653757]
 [-6.60136686  4.85042435  0.          0.        ]]","[ 0.84702327  1.92810747 -0.62995839  0.12445587  1.13270375 -0.48687973
 -0.52422352  0.32493206  0.15566615 -0.24646183  0.        ]",[-0.04493388 -0.09049932]
6,-0.062442347618,[-1.60180132  1.24306232],-0.062442347618,[-0.01340614  0.26949194],"[[-0.65936593  0.45412445  0.13049502 -0.05653757]
 [-2.51536813  6.35833774  0.          0.        ]]","[ 0.77198701  1.86985124 -0.74290994  0.43405183  1.13270149 -0.48687921
 -0.11996246  0.53404823  0.1177294  -0.29375483  0.        ]",[-0.04493388 -0.09049932]
7,-0.0578595806307,[ 0.57703741 -2.39849055],-0.0578595806307,[ 0.43693826 -0.04780796],"[[ -0.74888067   0.61976989   0.13049502  -0.05653757]
 [ -6.42311582  10.19339287   0.           0.        ]]","[ 0.68906111  1.75637252 -0.84647221  0.86008277  1.13269924 -0.48687868
 -0.50658737  1.06589036  0.08258277 -0.28059255  0.        ]",[-0.04493388 -0.09049932]
8,-0.0522780809348,[ 1.12829176  1.21648554],-0.0522780809348,[ 0.41737679  0.13019796],"[[-0.85314943  0.781876    0.13049502 -0.05653757]
 [-4.0117865   6.03111145  0.          0.        ]]","[ 0.58193161  1.6163672  -0.9566127   1.23095051  1.13269699 -0.48687816
 -0.26801442  0.48866616  0.02783562 -0.28904808  0.        ]",[-0.04493388 -0.09049932]
9,-0.0450539352196,[ 0.01157696 -0.19211693],-0.0450539352196,[-0.52300382 -0.58315641],"[[-0.8929045   0.9410149   0.13049502 -0.05653757]
 [ 0.02296316  9.87001483  0.          0.        ]]","[ 0.53832599  1.45463556 -0.99539421  1.54122638  1.13269473 -0.48687763
  0.13117685  1.02104242  0.00469901 -0.19250829  0.        ]",[-0.04493388 -0.09049932]
