timestep,rewards,actions,original_rewards,avg_action_dist,human_obs,obs,logstd_action_dist
0,-0.358277094018,[ 2.2877889   2.52670924],-0.358277094018,[ 2.92472029  3.00776529],"[[ 0.06422831  0.06493415 -0.14333922  0.08620574]
 [-0.00178813  0.0036228   0.          0.        ]]","[ 1.08132762  1.59652937  0.23770805 -0.97141892 -1.2397274   0.7462795
  0.11468173 -0.31709105  2.84046833 -0.77850531  0.        ]",[-0.35232949 -0.33542216]
1,-0.354411955603,[ 2.08653059  2.84350105],-0.354411955603,[ 2.61222649  2.59026718],"[[ 0.10386805  0.1047183  -0.14333922  0.08620574]
 [ 3.95260564  3.96160537  0.          0.        ]]","[ 1.07653625  1.59219044  0.29674805 -0.86776572 -1.23972578  0.7462789
  0.58547882  0.28092698  2.82396222 -0.63867975  0.        ]",[-0.35232949 -0.33542216]
2,-0.340612186471,[ 4.51525605  2.02113968],-0.340612186471,[ 2.25716114  2.22464132],"[[ 0.22181191  0.22287608 -0.14333922  0.08620574]
 [ 7.82891222  7.84124206  0.          0.        ]]","[ 1.04902483  1.56741488  0.47061633 -0.56310219 -1.23972416  0.7462783
  1.04697854  0.86710725  2.73026299 -0.2358086   0.        ]",[-0.35232949 -0.33542216]
3,-0.310736288367,[ 2.58690846  1.83089378],-0.310736288367,[ 1.9128325   1.48612571],"[[  0.41651628   0.41785564  -0.14333922   0.08620574]
 [ 11.62899084  11.64402313   0.           0.        ]]","[ 0.96121537  1.48854558  0.74652412 -0.07994905 -1.23972254  0.7462777
  1.49940139  1.44167385  2.44142179  0.35041562  0.        ]",[-0.35232949 -0.33542216]
4,-0.256641282285,[ 0.48719301  0.51112661],-0.256641282285,[ 0.5612843  -0.23937684],"[[  0.68647789   0.68813391  -0.14333922   0.08620574]
 [ 15.3550326   15.37133662   0.           0.        ]]","[ 0.75820609  1.30647054  1.08918926  0.51964568 -1.23972092  0.7462771
  1.94300709  2.0048347   1.83167646  0.89970571  0.        ]",[-0.35232949 -0.33542216]
5,-0.177611472708,[-1.1366833  -1.28819586],-0.177611472708,[-0.96841776 -2.09942865],"[[  1.00988839   1.01280012  -0.14333922   0.08620574]
 [ 16.98086162  17.08950476   0.           0.        ]]","[ 0.41051035  0.99392674  1.40751199  1.07720606 -1.2397193   0.74627651
  2.13656664  2.26442805  0.97368233  1.0374324   0.        ]",[-0.35232949 -0.33542216]
6,-0.098857883967,[-0.51890759 -1.76349505],-0.098857883967,[-1.16302812 -2.44285202],"[[  1.30647466   1.31146977  -0.14333922   0.08620574]
 [ 12.69171966  12.79180271   0.           0.        ]]","[ 0.0208186   0.64264434  1.58463836  1.38640866 -1.23971768  0.74627591
  1.62591388  1.61508044  0.29280903  0.67984137  0.        ]",[-0.35232949 -0.33542216]
7,-0.0433159048388,[-1.12625539 -2.65145531],-0.0433159048388,[-1.6456784  -2.40738201],"[[  1.53721249   1.52503583  -0.14333922   0.08620574]
 [ 10.38950002   8.57885992   0.           0.        ]]","[-0.30693773  0.37160286  1.6357066   1.47110511 -1.23971606  0.74627531
  1.35181821  0.97854174 -0.04770103  0.20238887  0.        ]",[-0.35232949 -0.33542216]
8,-0.0251244973569,[-0.64717015 -0.74646008],-0.0251244973569,[-1.38465357 -1.81973922],"[[ 1.70324702  1.65518467 -0.14333922  0.08620574]
 [ 6.22762598  4.44981365  0.          0.        ]]","[-0.54538931  0.20431876  1.62345391  1.46453464 -1.23971444  0.74627471
  0.85632043  0.35467982 -0.17905154 -0.16742816  0.        ]",[-0.35232949 -0.33542216]
9,-0.0341149834723,[-1.22843027 -2.38752122],-0.0341149834723,[-0.99860787 -1.24112463],"[[ 1.80087085  1.71364454 -0.14333922  0.08620574]
 [ 3.54363259  1.40632834  0.          0.        ]]","[-0.68356771  0.12960699  1.59715491  1.44720341 -1.23971282  0.74627411
  0.53677391 -0.10516356 -0.22132415 -0.36978772  0.        ]",[-0.35232949 -0.33542216]
10,-0.0353390639644,[ 0.60370858 -0.21137365],-0.0353390639644,[-0.04957534 -0.37163007],"[[ 1.8313354   1.70176934 -0.14333922  0.08620574]
 [-0.48375969 -2.58055237  0.          0.        ]]","[-0.72610841  0.14474104  1.58609337  1.45143927 -1.2397112   0.74627351
  0.05728752 -0.70754538 -0.24141578 -0.3991702   0.        ]",[-0.35232949 -0.33542216]
11,-0.0301274183461,[-0.02210884  0.0685476 ],-0.0301274183461,[-0.55133724 -0.30995595],"[[ 1.84573075  1.64226991 -0.14333922  0.08620574]
 [ 1.91528654 -3.36677704  0.          0.        ]]","[-0.74609243  0.22088258  1.580398    1.46715676 -1.23970958  0.74627291
  0.342909   -0.82633627 -0.27052355 -0.35182313  0.        ]",[-0.35232949 -0.33542216]
12,-0.0268698384479,[-0.94719867 -0.90332969],-0.0268698384479,[-0.5830971 -0.2847203],"[[ 1.88277769  1.57832644 -0.14333922  0.08620574]
 [ 1.78982507 -3.02869601  0.          0.        ]]","[-0.79714054  0.30306613  1.56437749  1.47375654 -1.23970796  0.74627232
  0.32797182 -0.77525456 -0.31188675 -0.33262681  0.        ]",[-0.35232949 -0.33542216]
