timestep,original_rewards,logstd_action_dist,avg_action_dist,rewards,obs,human_obs,actions
0,-0.219352749252,[-0.29680729 -0.21539897],[-2.24788141 -0.90695095],-2.37549,"[ 1.14012287  2.15604451  0.20560186 -1.10621296  1.00236059 -1.66973502
  1.15512252 -0.38162828  0.44554976  1.76234205  0.        ]","[[  6.31285278e-02  -8.72803700e-02   1.13716197e-01  -1.93552095e-01]
 [  5.49893940e-05  -1.54030371e-03   0.00000000e+00   0.00000000e+00]]",[-2.58136782 -1.74972171]
1,-0.207854932439,[-0.29680729 -0.21539897],[-1.97598433 -0.43788689],-2.33005,"[ 1.14249109  2.15019988  0.1458574  -1.24139224  1.0023595  -1.66973158
  0.98975521 -0.93872817  0.44260154  1.64981722  0.        ]","[[ 0.02345441 -0.12702329  0.1137162  -0.1935521 ]
 [-3.95431112 -3.95956531  0.          0.        ]]",[-1.50723465 -1.04219136]
2,-0.172532168816,[-0.29680729 -0.21539897],[-1.27600121  0.39202702],-2.21286,"[ 1.13670809  2.12019334 -0.03176579 -1.63828861  1.0023584  -1.66972814
  0.82765314 -1.48479879  0.39583241  1.32078742  0.        ]","[[-0.09452338 -0.24514068  0.1137162  -0.1935521 ]
 [-7.83060363 -7.83924209  0.          0.        ]]",[-1.3482337  1.5307488]
3,-0.120638344975,[-0.29680729 -0.21539897],[-0.57324111  0.61900336],-1.86312,"[ 1.08551626  2.07289813 -0.31951046 -2.01518676  1.00235731 -1.66972469
  0.66862413 -0.90541231  0.24396568  0.88569569  0.        ]","[[ -0.28929027  -0.36062494   0.1137162   -0.1935521 ]
 [-11.6334157   -3.72288873   0.           0.        ]]",[ 0.19582087  1.12061074]
4,-0.0711550559937,[-0.29680729 -0.21539897],[-0.0714432   0.65086436],-1.48194,"[ 0.96595195  2.05567722 -0.62785714 -2.12327621  1.00235621 -1.66972125
  0.71057645 -0.33774164  0.02649537  0.52608423  0.        ]","[[ -0.51189344  -0.39461708   0.1137162   -0.1935521 ]
 [-10.63020559   0.310232     0.           0.        ]]",[-1.38442223  0.8832926 ]
5,-0.0266525227485,[-0.29680729 -0.21539897],[ 0.56771624  0.71089667],-1.29636,"[ 0.76109544  2.07637052 -0.93025041 -1.99190798  1.00235512 -1.66971781
  0.55388325  0.15390297 -0.23576433  0.23984423  0.        ]","[[ -0.76209218  -0.35336641   0.1137162   -0.1935521 ]
 [-14.37716295   3.80321174   0.           0.        ]]",[ 1.03288025  1.65381762]
6,-0.0255826298642,[-0.29680729 -0.21539897],[ 0.718086    0.38185018],-1.29848,"[ 0.50012508  2.12240402 -1.16367106 -1.61569206  1.00235403 -1.66971437
  0.73115214  0.70042795 -0.48156456  0.0540644   0.        ]","[[ -1.0071041   -0.23834354   0.1137162   -0.1935521 ]
 [-10.13816164   7.68610059   0.           0.        ]]",[ 0.09847993  0.47042817]
7,-0.0456717444012,[-0.29680729 -0.21539897],[ 0.92440021  0.19560787],-1.31302,"[ 0.25770805  2.15810439 -1.29658484 -1.0385889   1.00235293 -1.66971092
  0.75580407  0.94116574 -0.63670316 -0.03199683  0.        ]","[[-1.20395247 -0.06746068  0.1137162  -0.1935521 ]
 [-9.54865103  9.39647178  0.          0.        ]]",[ 1.84251442  0.00872467]
8,-0.0563960795733,[-0.29680729 -0.21539897],[ 0.90942335  0.0328787 ],-1.29405,"[ 0.06044523  2.15151882 -1.36137831 -0.40203203  1.00235184 -1.66970748
  0.92913359  0.91961663 -0.71648303 -0.0588696   0.        ]","[[-1.35333938  0.11893273  0.1137162  -0.1935521 ]
 [-5.40384495  9.24337884  0.          0.        ]]",[-0.02860096  0.40505965]
9,-0.0575242897116,[-0.29680729 -0.21539897],[ 0.88982642 -0.24531329],-1.20352,"[-0.0867567   2.09232303 -1.38787928  0.26191553  1.00235074 -1.66970404
  0.92884799  1.1196025  -0.72703223 -0.04137345  0.        ]","[[ -1.46148463   0.31805615   0.1137162   -0.1935521 ]
 [ -5.41065194  10.6642235    0.           0.        ]]",[ 2.0981588   1.37365978]
10,-0.0465842673011,[-0.29680729 -0.21539897],[ 0.59072447 -0.72021246],-1.24427,"[-0.17958186  1.94483463 -1.39555409  1.03515571  1.00234965 -1.6697006
  1.09870794  1.64699064 -0.64467874  0.04282476  0.        ]","[[ -1.52894511   0.56893468   0.1137162   -0.1935521 ]
 [ -1.3488043   14.41116967   0.           0.        ]]",[ 0.97593873 -1.45246256]
11,-0.0332567106398,[-0.29680729 -0.21539897],[ 0.26997492 -0.82905698],-1.1512,"[-0.16297001  1.73016095 -1.3946826   1.68068269  1.00234856 -1.66969715
  1.26136654  1.04932555 -0.47570052  0.21249446  0.        ]","[[ -1.51689543   0.81455419   0.1137162   -0.1935521 ]
 [  2.54085063  10.16495663   0.           0.        ]]",[ 0.65655112 -0.04947996]
12,-0.0488812248387,[-0.29680729 -0.21539897],[-0.18981807 -1.14644384],-1.26388,"[-0.05801922  1.51367235 -1.38409463  2.09621209  1.00234746 -1.66969371
  1.36792406  0.99330642 -0.29379415  0.44546764  0.        ]","[[-1.44051287  1.01386011  0.1137162  -0.1935521 ]
 [ 5.08898463  9.76696604  0.          0.        ]]",[ 0.79251733 -1.12265206]
13,-0.0842457518051,[-0.29680729 -0.21539897],[-0.69411355 -1.28545702],-1.37345,"[ 0.12087223  1.32664744 -1.34521772  2.33877462  1.00234637 -1.66969027
  1.49492035  0.40862919 -0.12751012  0.73552297  0.        ]","[[-1.30826277  1.16752164  0.1137162  -0.1935521 ]
 [ 8.12587901  5.61302074  0.          0.        ]]",[-1.21578149 -1.21865995]
14,-0.111702369611,[-0.29680729 -0.21539897],[-0.77726412 -1.13561141],-1.54848,"[ 0.2794186   1.23510766 -1.2872291   2.42655626  1.00234528 -1.66968683
  1.32277159 -0.16421105 -0.03241856  0.95737175  0.        ]","[[-1.1870463   1.23894774  0.1137162  -0.1935521 ]
 [ 4.00937219  1.54317286  0.          0.        ]]",[-0.66537785 -1.50351739]
15,-0.119674944648,[-0.29680729 -0.21539897],[-0.63686448 -0.72736728],-1.63316,"[  3.46471657e-01   1.24698882e+00  -1.25537721e+00   2.41619663e+00
   1.00234418e+00  -1.66968338e+00   1.20938775e+00  -7.25744156e-01
   2.02552558e-03   1.01879674e+00   0.00000000e+00]","[[-1.1340619   1.22978299  0.1137162  -0.1935521 ]
 [ 1.29808773 -2.44634292  0.          0.        ]]",[-1.0104392   0.41859609]
16,-0.114072408397,[-0.29680729 -0.21539897],[-0.4633643  -0.76013696],-1.66539,"[ 0.32890345  1.28791434 -1.26416875  2.37817756  1.00234309 -1.66967994
  1.04281976 -0.48549659 -0.00490278  0.96899161  0.        ]","[[-1.14806369  1.19798183  0.1137162  -0.1935521 ]
 [-2.68498916 -0.73946428  0.          0.        ]]",[-0.15283023  1.19541742]
17,-0.106675478286,[-0.29680729 -0.21539897],[-0.47479728 -1.09004533],-1.52656,"[ 0.25338228  1.25566692 -1.29837103  2.40842357  1.002342   -1.6696765
  1.01970831  0.07389989 -0.04583053  0.91547726  0.        ]","[[-1.20730815  1.22306832  0.1137162  -0.1935521 ]
 [-3.23762117  3.23486486  0.          0.        ]]",[-0.65980698 -1.1958305 ]
