timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-0.52656287  0.34857172],"[ 1.19919837  1.74424953  0.0674874  -0.17325536  1.60481034 -0.52994501
  1.33724445 -0.10758042  0.01194653  0.45625256  0.        ]","[[-0.02959602 -0.05702742  0.18593886 -0.06088198]
 [-0.00048287  0.00354086  0.          0.        ]]",-0.0538548672177,[-1.0535509   0.66018238],-3.90847,[-0.0045079  -0.48605341]
1,[-0.6495716   0.46813083],"[ 1.19648852  1.74579467  0.00851501 -0.12886985  1.60480821 -0.52994476
  1.22970811  0.25524757  0.00961253  0.41685125  0.        ]","[[-0.06930629 -0.03071425  0.18593886 -0.06088198]
 [-3.95736526  2.61905515  0.          0.        ]]",-0.0488715989039,[-1.04600669 -0.50963897],-3.82102,[-0.0045079  -0.48605341]
2,[-0.37225175  0.89804107],"[ 1.17565106  1.74642408 -0.16547041 -0.07547249  1.60480609 -0.52994451
  1.12434833 -0.0316712  -0.0104466   0.26374207  0.        ]","[[ -1.87350662e-01   9.14907618e-04   1.85938859e-01  -6.08819832e-02]
 [ -7.83416695e+00   5.50748029e-01   0.00000000e+00   0.00000000e+00]]",-0.0299124183322,[-1.68095061  1.13484166],-3.92275,[-0.0045079  -0.48605341]
3,[-0.41585541  1.35044658],"[ 1.10023064  1.74463942 -0.4430785   0.01000789  1.60480397 -0.52994426
  1.02100912  0.51629952 -0.07706231  0.01712871  0.        ]","[[ -0.38218522   0.0515631    0.18593886  -0.06088198]
 [-11.6366259    4.50089661   0.           0.        ]]",-0.0162940482164,[ 1.36327715  1.24832263],-4.37394,[-0.0045079  -0.48605341]
4,[-0.72120053  1.50549424],"[ 0.97942269  1.72465442 -0.69460174  0.22593366  1.60480185 -0.52994401
  1.13472995  1.05298804 -0.15522073 -0.15184274  0.        ]","[[-0.57293321  0.18039814  0.18593886 -0.06088198]
 [-7.45209924  8.36971848  0.          0.        ]]",-0.0354124153751,[-1.38049175  2.67663158],-4.06914,[-0.0045079  -0.48605341]
5,[-1.39028978  1.80539334],"[ 0.81986168  1.64779743 -0.91314181  0.5584741   1.60479972 -0.52994376
  1.03118328  1.57946496 -0.23088543 -0.24495231  0.        ]","[[ -0.76020268   0.38587158   0.18593886  -0.06088198]
 [-11.26219205  12.16493714   0.           0.        ]]",-0.0495023773342,[-0.29682883  2.3346244 ],-4.16898,[-0.0045079  -0.48605341]
6,[-2.16921616  1.6865977 ],"[ 0.57117178  1.45939346 -1.135736    0.96684912  1.6047976  -0.52994351
  1.00527953  2.09533718 -0.34489467 -0.31925507  0.        ]","[[ -0.99500945   0.66648255   0.18593886  -0.06088198]
 [-12.21532355  15.88372739   0.           0.        ]]",-0.0645751958416,[-1.72011732  1.98676134],-3.69189,[-0.0045079  -0.48605341]
7,[-2.9523468   1.43572378],"[ 0.2199064   1.10629648 -1.31160401  1.36240733  1.60479548 -0.52994326
  0.90427499  2.60105883 -0.506941   -0.3495356   0.        ]","[[ -1.27660406   1.02073636   0.18593886  -0.06088198]
 [-15.93188198  19.52937372   0.           0.        ]]",-0.0804910321245,[-2.90824759  1.75787905],-3.04251,[-0.0045079  -0.48605341]
8,[-3.62817192  0.8559112 ],"[-0.26440441  0.57057279 -1.37272223  1.59858261  1.60479336 -0.529943
  0.80524485  3.09663385 -0.74061293 -0.32389391  0.        ]","[[ -1.63180048   1.4471701    0.18593886  -0.06088198]
 [-19.5757944   23.10191724   0.           0.        ]]",-0.102643643691,[-2.44226658  0.50732784],-2.91621,[-0.0045079  -0.48605341]
9,[-3.85012984  0.02441288],"[-0.82776648 -0.05971411 -1.20166235  1.50679039  1.60479123 -0.52994275
  0.70815429  3.3116382  -1.02022021 -0.20085633  0.        ]","[[ -2.0591589    1.92476178   0.18593886  -0.06088198]
 [-23.1483409   24.65193164   0.           0.        ]]",-0.130829153374,[-5.81832821  0.71883731],-1.78546,[-0.0045079  -0.48605341]
10,[-3.77494192 -0.89101964],"[-1.33135778 -0.62051583 -0.70877693  1.01092696  1.60478911 -0.5299425
  0.61296291  3.63847791 -1.27387247  0.05432037  0.        ]","[[ -2.55726868   2.44144164   0.18593886  -0.06088198]
 [-26.65100692  27.00817834   0.           0.        ]]",-0.16023630482,[-1.60236332 -1.7095123 ],-3.54064,[-0.0045079  -0.48605341]
11,[-2.96733069 -1.31334901],"[-1.56013309 -0.90793618  0.08643014  0.26685901  1.60478699 -0.52994225
  0.51966269  3.01480793 -1.39835578  0.38521381  0.        ]","[[ -3.12473525   2.93649538   0.18593886  -0.06088198]
 [-30.08408746  22.51235287   0.           0.        ]]",-0.182010300435,[-2.66726756 -0.58087666],-4.05497,[-0.0045079  -0.48605341]
12,[-2.24840164 -1.11911726],"[-1.30459936 -0.93604471  0.97377431 -0.07951094  1.60478487 -0.529942
  0.42821574  0.03959617 -1.39269182  0.51226748  0.        ]","[[ -3.76018035   3.14306623   0.18593886  -0.06088198]
 [-33.44897567   1.06460859   0.           0.        ]]",-0.185741219816,[-3.69617063 -2.00351062],-4.05537,[-0.0045079  -0.48605341]
13,[-2.52664137 -0.75838679],"[-0.52189052 -0.9352077   1.55219589 -0.01735092  1.60478274 -0.52994175
  0.33860427 -0.65855526 -1.46399782  0.46997846  0.        ]","[[ -4.46224368   3.10624491   0.18593886  -0.06088198]
 [-36.7463262   -3.96823495   0.           0.        ]]",-0.193882809016,[-2.07268819 -2.01548484],-4.29684,[-0.0045079  -0.48605341]
14,[-2.83329034 -0.84475017],"[ 0.50211742 -0.92024229  1.40398192  0.18140715  1.60478062 -0.5299415
  0.25077378 -1.19702611 -1.58740655  0.55226368  0.        ]","[[ -5.22959681   2.98793485   0.18593886  -0.06088198]
 [-39.97814431  -7.84997593   0.           0.        ]]",-0.213946809639,[-2.42753374 -1.40973412],-4.50283,[-0.0045079  -0.48605341]
15,[-3.05791759 -0.76953155],"[ 1.16585801 -0.8552605   0.43925708  0.5001208   1.6047785  -0.52994125
  0.16470499 -1.72500677 -1.53591129  0.80742906  0.        ]","[[ -6.06093742   2.79274997   0.18593886  -0.06088198]
 [-43.14513844 -11.65610636   0.           0.        ]]",-0.219968183154,[-3.26142676 -0.97054478],-4.11067,[-0.0045079  -0.48605341]
16,[-2.83949494  0.28261757],"[ 0.89992851 -0.68777889 -0.81398224  0.90163402  1.60477638 -0.529941
  0.08039444 -2.22664478 -1.12032862  0.86202833  0.        ]","[[ -6.95497111   2.52334908   0.18593886  -0.06088198]
 [-46.24743664 -15.27235727   0.           0.        ]]",-0.173122878255,[-2.30122894  0.20677294],-3.46747,[-0.0045079  -0.48605341]
17,[-2.2581718   2.10797215],"[-0.25809695 -0.41533086 -1.37312132  1.25863848  1.60477425 -0.52994074
 -0.00218375 -2.07206965 -0.85962495  0.27426256  0.        ]","[[ -7.91040925   2.22908658   0.18593886  -0.06088198]
 [-49.28599067 -14.15808142   0.           0.        ]]",-0.103566690991,[-1.22736752  1.99989047],-3.14306,[-0.0045079  -0.48605341]
18,[-2.19317579  2.78004241],"[-1.39219796 -0.13874511 -0.59979667  1.46637954  1.60477213 -0.52994049
 -0.08312077 -1.48522685 -1.45866179 -0.28607916  0.        ]","[[ -8.92600842   1.98837432   0.18593886  -0.06088198]
 [-52.2641558   -9.92764163   0.           0.        ]]",-0.194120654252,[-2.70982508  2.23306852],-3.32147,[-0.0045079  -0.48605341]
