timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-3.49477172 -0.7880559 ],"[ 1.20427971  1.80248674  0.07326422 -1.03076815 -1.23465081 -1.38216039
  1.18132544 -0.35546194  2.27086895  1.20517977  0.        ]","[[ -1.76858428e-02  -8.71059588e-02  -1.42903604e-01  -1.55848588e-01]
 [  1.40740476e-03   1.10032102e-04   0.00000000e+00   0.00000000e+00]]",-0.380041799869,[-3.68870068  0.33043468],-0.24846,[ 0.01282161 -0.29111379]
1,[-3.54500914 -0.80330849],"[ 1.20223027  1.80383027  0.01425521 -0.99500945 -1.23464699 -1.38215546
  1.05919794 -0.17151747  2.26739721  1.15213986  0.        ]","[[-0.05735362 -0.0739609  -0.1429036  -0.15584859]
 [-3.95500984  1.31002619  0.          0.        ]]",-0.377063330137,[-2.92978171 -1.80893696],-0.407976,[ 0.01282161 -0.29111379]
2,[-3.45509386 -0.5812434 ],"[ 1.18340417  1.8023979  -0.16011122 -1.0324684  -1.23464317 -1.38215054
  0.93954968 -0.73096919  2.2378594   0.95173808  0.        ]","[[-0.17534397 -0.08773323 -0.1429036  -0.15584859]
 [-7.83112776 -2.67398408  0.          0.        ]]",-0.364517979791,[-3.54650261 -0.47800193],0.327266,[ 0.01282161 -0.29111379]
3,[-3.3525846  -0.27844903],"[ 1.11138667  1.79103788 -0.43888737 -1.22720131 -1.23463935 -1.38214561
  0.8222412  -0.98909984  2.121814    0.59826239  0.        ]","[[ -0.37009621  -0.15965654  -0.1429036   -0.15584859]
 [-11.63145981  -4.51221524   0.           0.        ]]",-0.337205111599,[-2.64275204 -0.33910395],0.382657,[ 0.01282161 -0.29111379]
4,[-3.13073897  0.23577695],"[ 0.93227792  1.76348685 -0.78959194 -1.50140057 -1.23463554 -1.38214068
  0.7072422  -1.16487778  1.84248331  0.17821847  0.        ]","[[ -0.64010436  -0.26246061  -0.1429036   -0.15584859]
 [-15.35698377  -5.76399862   0.           0.        ]]",-0.291429754733,[-2.65011225  0.29709403],0.933582,[ 0.01282161 -0.29111379]
5,[-2.84703636  0.82856452],"[ 0.59093252  1.72311297 -1.14000858 -1.76687221 -1.23463172 -1.38213575
  0.59448326 -0.9834094   1.35989997 -0.16589571  0.        ]","[[ -0.98389514  -0.36477526  -0.1429036   -0.15584859]
 [-19.00994559  -4.47173243   0.           0.        ]]",-0.225209187044,[-3.26828049  1.76780477],1.12592,[ 0.01282161 -0.29111379]
6,[-2.57045984  1.34978104],"[ 0.06314231  1.69941892 -1.36747307 -1.89006123 -1.2346279  -1.38213083
  0.48392512 -0.41466436  0.73469425 -0.28001293  0.        ]","[[ -1.40003047  -0.41357366  -0.1429036   -0.15584859]
 [-22.59161445  -0.42155685   0.           0.        ]]",-0.142325520255,[-2.32693274  2.69539864],0.105448,[ 0.01282161 -0.29111379]
7,[-2.31632018  1.68522203],"[-0.59820515  1.71497686 -1.31527589 -1.81105037 -1.23462408 -1.3821259
  0.37556406  0.14285625  0.08619396 -0.07865433  0.        ]","[[ -1.88708519  -0.38217036  -0.1429036   -0.15584859]
 [-26.10210945   3.54868816   0.           0.        ]]",-0.0472817499038,[ 0.4247029   0.99600752],-1.24895,[ 0.01282161 -0.29111379]
8,[-2.1613481   1.66771543],"[-1.17237483  1.76011637 -0.92004912 -1.52734643 -1.23462027 -1.38212097
  0.44332691  0.68680338 -0.39454839  0.38371174  0.        ]","[[ -2.38710141  -0.27233089  -0.1429036   -0.15584859]
 [-23.90681621   7.42227585   0.           0.        ]]",-0.0455348998958,[-1.4736303   3.18042972],-1.17278,[ 0.01282161 -0.29111379]
9,[-2.219414    1.25020349],"[-1.50564942  1.8025708  -0.25628663 -1.02666408 -1.23461645 -1.38211605
  0.33577716  1.22244984 -0.64335325  0.99095906  0.        ]","[[ -2.90019562  -0.08561268  -0.1429036   -0.15584859]
 [-27.39102252  11.23676784   0.           0.        ]]",-0.130950599042,[-2.38028081  1.06283421],-0.455708,[ 0.01282161 -0.29111379]
