timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-4.07470703 -1.1963675 ],"[ 1.22269875  1.78693012  0.04530809 -0.59291681 -1.20874905 -0.95247336
  1.31576286 -0.28860303  2.28623809  0.83687686  0.        ]","[[-0.04020608 -0.02174021 -0.13951984 -0.10843244]
 [-0.00051508  0.00178888  0.          0.        ]]",-0.362610816413,[-2.70632415 -0.64604777],0.250679,[ 0.01663962 -0.38996774]
1,[-3.99743128 -1.05603051],"[ 1.21941579  1.78577985 -0.01339546 -0.65037968 -1.20874685 -0.95247201
  1.20126765 -0.63624575  2.27977943  0.75301058  0.        ]","[[-0.07989681 -0.04735542 -0.13951984 -0.10843244]
 [-3.95539475 -2.55479478  0.          0.        ]]",-0.358890979492,[-5.23901901 -2.41516883],2.61928,[ 0.01663962 -0.38996774]
2,[-3.80077434 -0.53037483],"[ 1.19692498  1.77498549 -0.18646031 -0.85214558 -1.20874465 -0.95247067
  1.08905147 -1.16758348  2.23136363  0.49673937  0.        ]","[[-0.19789527 -0.13765646 -0.13951984 -0.10843244]
 [-7.83156623 -6.46228751  0.          0.        ]]",-0.345455799072,[-3.21219532 -0.59809066],1.78224,[ 0.01663962 -0.38996774]
3,[-3.56221056 -0.01437595],"[ 1.11898323  1.73342887 -0.46212932 -1.18463559 -1.20874245 -0.95246933
  0.97903067 -1.47199862  2.06151462  0.10620529  0.        ]","[[ -0.39265605  -0.28936401  -0.13951984  -0.10843244]
 [-11.63191598  -8.70099386   0.           0.        ]]",-0.317305987009,[-5.07154185 -0.77783817],3.53259,[ 0.01663962 -0.38996774]
4,[-3.17616606  0.79198056],"[ 0.93228852  1.63342171 -0.80676679 -1.60557241 -1.20874025 -0.95246798
  0.87117755 -1.86714443  1.67764856 -0.30572151  0.        ]","[[ -0.66267181  -0.49254078  -0.13951984  -0.10843244]
 [-15.3573983  -11.60695993   0.           0.        ]]",-0.26820426603,[-2.91977278 -0.04719006],3.49093,[ 0.01663962 -0.38996774]
5,[-2.8829217   1.43089139],"[ 0.58311306  1.46247068 -1.14717435 -2.03137411 -1.20873804 -0.95246664
  0.76540152 -1.86102509  1.06334029 -0.53929049  0.        ]","[[ -1.00647743  -0.72422963  -0.13951984  -0.10843244]
 [-19.01113997 -11.56200312   0.           0.        ]]",-0.194844523186,[-4.01791009  1.11235135],3.69496,[ 0.01663962 -0.38996774]
6,[-2.83076429  1.62389362],"[ 0.04974867  1.2839589  -1.36068872 -2.32102318 -1.20873584 -0.9524653
  0.66166771 -1.29113171  0.37770296 -0.42711943  0.        ]","[[ -1.42265202  -0.91342081  -0.13951984  -0.10843244]
 [-22.59434397  -7.37098438   0.           0.        ]]",-0.104732936733,[-4.72660075  1.41621568],3.01644,[ 0.01663962 -0.38996774]
7,[-2.94182777  1.60279918],"[-0.6115585   1.17094012 -1.29259462 -2.45638824 -1.20873364 -0.95246395
  0.55999939 -0.73243674 -0.18077052  0.03163695  0.        ]","[[ -1.90977553  -1.01961791  -0.13951984  -0.10843244]
 [-26.10620487  -3.26230488   0.           0.        ]]",-0.00913230270388,[-1.95694433  1.84667153],0.421783,[ 0.01663962 -0.38996774]
8,[-3.14125896  1.21489751],"[-1.22872606  1.14336074 -0.82127669 -2.48497421 -1.20873144 -0.95246261
  0.46036415 -0.18470754 -0.46132939  0.74650681  0.        ]","[[ -2.46643203  -1.04445058  -0.13951984  -0.10843244]
 [-29.5478409    0.76573521   0.           0.        ]]",-0.0949967830228,[-3.16866971  0.32148525],-0.0208831,[ 0.01663962 -0.38996774]
9,[-3.30805373  0.75843674],"[-1.52915888  1.17440107  0.0302732  -2.45265398 -1.20872924 -0.95246126
  0.36273949 -0.01305084 -0.33298842  1.5638901   0.        ]","[[ -3.0912236   -1.01647126  -0.13951984  -0.10843244]
 [-32.92002822   2.02811031   0.           0.        ]]",-0.195236553976,[-1.69080693  0.84919131],-1.63859,[ 0.01663962 -0.38996774]
