timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-0.77460849 -1.1771158 ],"[ 1.18759884  1.72324232 -0.00400134  0.07763484  0.82005563  0.18039413
  1.33179725 -0.08606914  0.64263532 -0.11849498  0.        ]","[[ -8.35673265e-02   5.62518852e-02   9.52501191e-02   2.07441901e-02]
 [ -1.02181234e-03   1.35304473e-05   0.00000000e+00   0.00000000e+00]]",-0.118778380018,[-2.16478759 -0.57690855],-3.96225,[ 0.00304219 -0.48711306]
1,[-0.57410932 -0.96776783],"[ 1.18193912  1.72462632 -0.06284298  0.04031704  0.82005518  0.18039407
  1.22522781 -0.40667853  0.63697171 -0.19586246  0.        ]","[[-0.12326917  0.03334825  0.09525012  0.02074419]
 [-3.95599621 -2.28277458  0.          0.        ]]",-0.121385780658,[-0.08764341 -0.09534999],-4.82562,[ 0.00304219 -0.48711306]
2,[-0.35352862 -0.81838769],"[ 1.16348085  1.72521018 -0.1830823  -0.03957355  0.82005473  0.18039401
  1.21799656 -0.45334155  0.61215567 -0.35518995  0.        ]","[[-0.20508131 -0.01564081  0.09525012  0.02074419]
 [-4.22432596 -2.61502353  0.          0.        ]]",-0.127854481677,[-0.68572172 -1.08069947],-4.02985,[ 0.00304219 -0.48711306]
3,[ 0.12111339 -0.30251047],"[ 1.12407738  1.71762385 -0.34260973 -0.18847566  0.82005428  0.18039394
  1.14719426 -1.0020359   0.54329728 -0.58248314  0.        ]","[[-0.31593104 -0.10713936  0.09525012  0.02074419]
 [-6.85191392 -6.52181231  0.          0.        ]]",-0.139371500803,[ 1.15260277 -0.38592393],-4.43503,[ 0.00304219 -0.48711306]
4,[ 0.48208126  0.0205226 ],"[ 1.07692173  1.68281035 -0.47622018 -0.42015472  0.82005383  0.18039388
  1.25745057 -1.19873552  0.42442171 -0.8082017   0.        ]","[[-0.41191422 -0.25162772  0.09525012  0.02074419]
 [-2.76003318 -7.92234919  0.          0.        ]]",-0.153026451959,[ 0.41005207 -0.14593842],-3.05929,[ 0.00304219 -0.48711306]
5,[ 0.66571808  0.2145513 ],"[ 1.05477944  1.6110275  -0.52817205 -0.67063432  0.82005337  0.18039382
  1.30263065 -1.25795157  0.30681174 -0.94713479  0.        ]","[[-0.45029134 -0.41430515  0.09525012  0.02074419]
 [-1.08326297 -8.34398387  0.          0.        ]]",-0.162079969425,[ 1.75015304  0.8783991 ],-3.17312,[ 0.00304219 -0.48711306]
6,[ 0.49968061 -0.21509609],"[ 1.06552545  1.52982114 -0.50361088 -0.8591147   0.82005292  0.18039376
  1.40976737 -0.74646549  0.24384898 -0.9887228   0.        ]","[[-0.43206358 -0.54464507  0.09525012  0.02074419]
 [ 2.89285703 -4.70212961  0.          0.        ]]",-0.1640440617,[-0.64934812 -0.39388037],-2.00793,[ 0.00304219 -0.48711306]
7,[ 0.54655898  0.04827859],"[ 1.08311967  1.44699333 -0.46066385 -1.00552827  0.82005247  0.1803937
  1.33901623 -0.95230111  0.20248174 -1.00010507  0.        ]","[[-0.40055032 -0.65339223  0.09525012  0.02074419]
 [ 0.26717869 -6.16771386  0.          0.        ]]",-0.163583043017,[-0.30757401 -0.15753298],-1.84388,[ 0.00304219 -0.48711306]
8,[ 0.59409904  0.21912983],"[ 1.07936395  1.33297641 -0.47014246 -1.16317661  0.82005202  0.18039364
  1.30608502 -1.02269898  0.10723169 -1.0508489   0.        ]","[[-0.40746824 -0.78177565  0.09525012  0.02074419]
 [-0.95492514 -6.66896199  0.          0.        ]]",-0.166738713829,[ 0.19022824  1.13991497],-2.32118,[ 0.00304219 -0.48711306]
9,[ 0.42865923 -0.2307575 ],"[ 1.07305889  1.24110085 -0.48566227 -1.26499761  0.82005157  0.18039358
  1.32683533 -0.4480792   0.02885702 -1.08470989  0.        ]","[[-0.4188402  -0.87410479  0.09525012  0.02074419]
 [-0.18479202 -2.57758562  0.          0.        ]]",-0.169248453007,[ 0.6336998  -0.65290987],-2.03254,[ 0.00304219 -0.48711306]
