timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-3.2296629   0.12953615],"[ 1.17939716  1.71221548  0.0824883  -0.06759664  0.69025367 -1.45677137
  1.31459976 -0.06880257  0.74350778  1.20837664  0.        ]","[[-0.03123092 -0.06378569  0.08043949 -0.16806724]
 [ 0.0027767  -0.00155443  0.          0.        ]]",-0.201290611544,[-3.20312609 -0.18524955],-4.33951,[ 0.01296565 -0.55373871]
1,[-3.17386866  0.29364187],"[ 1.17660188  1.71153269  0.02332812 -0.07919456  0.69025338 -1.45677007
  1.20941136 -0.17323816  0.73784503  1.14441585  0.        ]","[[-0.07086362 -0.0711606   0.08043949 -0.16806724]
 [-3.95287727 -0.73350155  0.          0.        ]]",-0.193863233785,[-4.94050351  1.4769772 ],-4.41201,[ 0.01296565 -0.55373871]
2,[-3.75853944  0.27557492],"[ 1.15550143  1.71355146 -0.15143574 -0.03951368  0.69025308 -1.45676877
  1.10625533  0.3940113   0.71390877  0.99160124  0.        ]","[[-0.18884271 -0.04594188  0.08043949 -0.16806724]
 [-7.83210829  3.24212009  0.          0.        ]]",-0.17569782383,[-4.38113137 -0.6016464 ],-4.04647,[ 0.01296565 -0.55373871]
3,[-3.36412549  1.02917564],"[ 1.07962754  1.71497264 -0.4302819   0.02399991  0.69025279 -1.45676746
  1.00520597  0.04515699  0.63940278  0.74664326  0.        ]","[[ -3.83611495e-01  -5.63067311e-03   8.04394861e-02  -1.68067242e-01]
 [ -1.16321218e+01   7.97142851e-01   0.00000000e+00   0.00000000e+00]]",-0.14461780268,[-4.09238528  1.34952469],-4.65776,[ 0.01296565 -0.55373871]
4,[-3.92465496  1.40260446],"[ 0.89520585  1.71328823 -0.77978162  0.11148932  0.6902525  -1.45676616
  0.90608929  0.60807123  0.46834628  0.43633337  0.        ]","[[ -0.65365142   0.04989617   0.08043949  -0.16806724]
 [-15.35945911   4.74237935   0.           0.        ]]",-0.100091307222,[-4.3286457   1.88136309],-4.70805,[ 0.01296565 -0.55373871]
5,[-4.51376104  1.70500875],"[ 0.5476966   1.69199056 -1.12660605  0.32055569  0.69025221 -1.45676486
  0.80893149  1.15981664  0.18861934  0.14973529  0.        ]","[[ -0.99749875   0.18354271   0.08043949  -0.16806724]
 [-19.01313496   8.60934124   0.           0.        ]]",-0.0495001696933,[-5.25097494  2.31291717],-4.25245,[ 0.01296565 -0.55373871]
6,[-5.18406343  1.72063947],"[ 0.01433203  1.61020134 -1.34718381  0.6376049   0.69025192 -1.45676356
  0.7136873   1.70057442 -0.20515836 -0.05094495  0.        ]","[[ -1.41369704   0.39375654   0.08043949  -0.16806724]
 [-22.59485029  12.39930357   0.           0.        ]]",-0.0254732758544,[-5.04424984  2.28234683],-3.85623,[ 0.01296565 -0.55373871]
7,[-5.90905142  1.26200485],"[-0.64972713  1.41126821 -1.28492276  1.02277074  0.69025163 -1.45676226
  0.62030774  2.2304983  -0.67878636 -0.08948659  0.        ]","[[ -1.90082529   0.67900878   0.08043949  -0.16806724]
 [-26.10644666  16.11335102   0.           0.        ]]",-0.0809581260138,[-6.4550319   1.02327107],-3.00727,[ 0.01296565 -0.55373871]
8,[-6.34223032  0.15672989],"[-1.27287751  1.04145548 -0.81547463  1.39044024  0.69025133 -1.45676095
  0.52874228  2.7497277  -1.13942392  0.09369354  0.        ]","[[ -2.45750015   1.03779102   0.08043949  -0.16806724]
 [-29.54982365  19.75246982   0.           0.        ]]",-0.141434780558,[-4.84106744 -0.37726823],-3.42697,[ 0.01296565 -0.55373871]
9,[-5.41297436 -0.16602661],"[-1.58140033  0.55963489  0.04067873  1.58972416  0.69025104 -1.45675965
  0.43898858  2.48033407 -1.4848573   0.49166158  0.        ]","[[ -3.08235908   1.41389988   0.08043949  -0.16806724]
 [-32.92506928  17.86442944   0.           0.        ]]",-0.198117027,[-4.32060993 -0.15709679],-2.49804,[ 0.01296565 -0.55373871]
