timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-1.53624761  0.55937535],"[ 1.17407939  1.74079678  0.11036971 -0.81910528 -1.43892204  1.4192523
  1.0155367  -0.3507344   2.37815914 -1.2214172   0.        ]","[[ 0.00941524 -0.03661744 -0.16642206  0.16790883]
 [ 0.00269031  0.00179756  0.          0.        ]]",-0.412971819017,[-1.20014858  1.10916567],0.253457,[-0.02717388 -0.22791071]
1,[-1.62065697  0.47408274],"[ 1.17350697  1.74162038  0.05093748 -0.7143549  -1.4389138   1.41924432
  0.8776357   0.21772069  2.37784671 -1.2519016   0.        ]","[[ -3.02374394e-02   3.16143662e-03  -1.66422059e-01   1.67908834e-01]
 [ -3.95477570e+00   3.96288419e+00   0.00000000e+00   0.00000000e+00]]",-0.414575682978,[-3.00072216  0.31917941],0.416542,[-0.02717388 -0.22791071]
2,[-1.62544322  0.56571782],"[ 1.15905915  1.73602321 -0.12514694 -0.4746084  -1.43890555  1.41923634
  0.74250004  0.38804584  2.36971271 -1.36535129  0.        ]","[[-0.1482433   0.09432733 -0.16642206  0.16790883]
 [-7.83290064  5.14974006  0.          0.        ]]",-0.419905683114,[-3.09263605  0.13022164],-0.0290015,[-0.02717388 -0.22791071]
3,[-1.58940196  0.75591207],"[ 1.09406681  1.71616107 -0.40793309 -0.19558477 -1.43889731  1.41922836
  0.61004613  0.44761182  2.33042377 -1.58503392  0.        ]","[[ -0.3430395    0.2014869   -0.16642206   0.16790883]
 [-11.63407696   5.56481074   0.           0.        ]]",-0.42853521556,[-1.66214992 -0.20975668],-1.0212,[-0.02717388 -0.22791071]
4,[-1.47930145  1.08560514],"[ 0.92385738  1.68416849 -0.76627563  0.06410795 -1.43888907  1.41922037
  0.48022671  0.31278195  2.21599511 -1.90862911  0.        ]","[[ -0.61310067   0.30335713  -0.16642206   0.16790883]
 [-15.35965647   4.62530421   0.           0.        ]]",-0.437790197845,[-1.67077495  0.93532341],-1.5382,[-0.02717388 -0.22791071]
5,[-1.42072225  1.30278897],"[ 0.59152748  1.62598906 -1.12908147  0.38033565 -1.43888082  1.41921239
  0.35290834  0.83125964  1.98221588 -2.26215736  0.        ]","[[ -0.95695304   0.4321126   -0.16642206   0.16790883]
 [-19.01346499   8.23813218   0.           0.        ]]",-0.441345335077,[-1.60895438  1.30857187],-2.1656,[-0.02717388 -0.22791071]
6,[-1.30823553  1.53400397],"[ 0.06983843  1.49646177 -1.37355199  0.83957826 -1.43887258  1.41920441
  0.22808939  1.37613723  1.62353253 -2.53400592  0.        ]","[[ -1.37316138   0.63497123  -0.16642206   0.16790883]
 [-22.59554663  12.03494893   0.           0.        ]]",-0.432558123826,[-0.66726362  0.96492584],-2.68727,[-0.02717388 -0.22791071]
7,[-1.17446113  1.65822458],"[-0.57481603  1.25424181 -1.34586862  1.35931479 -1.43886433  1.41919643
  0.15158531  1.89009983  1.18722427 -2.63176885  0.        ]","[[ -1.84709934   0.91160573  -0.16642206   0.16790883]
 [-24.79107329  15.61641332   0.           0.        ]]",-0.407617827618,[-0.96809773  2.15480748],-1.69175,[-0.02717388 -0.22791071]
8,[-1.09639072  1.55421257],"[-1.1910803   0.86795427 -0.9419729   1.7853707  -1.43885609  1.41918845
  0.03508132  2.41368674  0.75929144 -2.50306102  0.        ]","[[ -2.3764645    1.26054443  -0.16642206   0.16790883]
 [-28.13452863  19.2650604    0.           0.        ]]",-0.365005062149,[-2.09934938  1.58105532],-0.43235,[-0.02717388 -0.22791071]
9,[-1.101457    1.17492747],"[-1.55462846  0.34483309 -0.15477966  1.89491556 -1.43884785  1.41918046
 -0.08356343  2.92668144  0.45132194 -2.15108895  0.        ]","[[ -2.9733152    1.68171727  -0.16642206   0.16790883]
 [-31.53941975  22.84008133   0.           0.        ]]",-0.306536925328,[-0.89248007  0.58306177],0.0992903,[-0.02717388 -0.22791071]
10,[-1.06595635  0.80818248],"[-1.41122231 -0.21174339  0.8040393   1.47121801 -1.4388396   1.41917248
 -0.18505478  3.19244591  0.38559814 -1.68635545  0.        ]","[[ -3.63332622   2.15710508  -0.16642206   0.16790883]
 [-34.45204044  24.69247579   0.           0.        ]]",-0.246685225934,[-2.2964809   1.46991037],1.3074,[-0.02717388 -0.22791071]
11,[-1.1772269   0.45854467],"[-0.68027664 -0.64508053  1.5007034   0.43676842 -1.43883136  1.4191645
 -0.29935972  3.68988798  0.6069257  -1.32720675  0.        ]","[[ -4.35528176   2.68573886  -0.16642206   0.16790883]
 [-37.73238802  28.15956825   0.           0.        ]]",-0.219745958797,[-2.01111724  0.93650184],0.64997,[-0.02717388 -0.22791071]
12,[-0.98432517  0.37051219],"[ 0.37260665 -0.77185559  1.45893552 -0.85695711 -1.43882312  1.41915652
 -0.41135794  1.19326797  0.87007288 -1.26211856  0.        ]","[[ -5.14217763   3.19258787  -0.16642206   0.16790883]
 [-40.94654025  10.76166955   0.           0.        ]]",-0.236376207709,[-1.49340548  2.08709412],-0.422119,[-0.02717388 -0.22791071]
13,[-0.93873131  0.39051202],"[ 1.11657173 -0.76948005  0.52559181 -0.93281557 -1.43881488  1.41914854
 -0.52109669 -0.84455396  0.87946455 -1.29730794  0.        ]","[[ -5.99270797   3.22145376  -0.16642206   0.16790883]
 [-44.09585478  -3.43911837   0.           0.        ]]",-0.240675454594,[-0.49604504  0.03290926],1.1378,[-0.02717388 -0.22791071]
14,[-1.00605774  0.53620011],"[ 0.93227268 -0.77347122 -0.75308526 -0.7100369  -1.43880663  1.41914056
 -0.55911729 -0.97064459  0.86894835 -1.15858326  0.        ]","[[ -6.88557348   3.13678519  -0.16642206   0.16790883]
 [-45.18700656  -4.31781777   0.           0.        ]]",-0.226499748439,[-1.2069446   0.38106615],1.19467,[-0.02717388 -0.22791071]
15,[-1.1541934   0.71874624],"[-0.15335389 -0.76993213 -1.40186456 -0.52489686 -1.43879839  1.41913258
 -0.66590476 -0.74193095  0.97899163 -1.12849013  0.        ]","[[ -7.82006214   3.06642113  -0.16642206   0.16790883]
 [-48.25163344  -2.72401952   0.           0.        ]]",-0.235254406563,[ 0.57147331  0.9246948 ],-0.0830039,[-0.02717388 -0.22791071]
16,[-1.14636803  0.77909815],"[-1.27530425 -0.76563453 -0.83689603 -0.42892961 -1.43879015  1.41912459
 -0.5537701  -0.51655269  1.02757948 -1.23500385  0.        ]","[[ -8.75280753   3.02982301  -0.16642206   0.16790883]
 [-45.03364724  -1.15345905   0.           0.        ]]",-0.249779241934,[-1.75915227  1.31698662],-0.0225977,[-0.02717388 -0.22791071]
17,[-1.03568959  0.67601937],"[-1.52802582 -0.76333973  0.48088678 -0.38891294 -1.43878191  1.41911661
 -0.66066561 -0.41918606  0.96026642 -1.32758206  0.        ]","[[ -9.68425982   3.01452075  -0.16642206   0.16790883]
 [-48.10136682  -0.47495814   0.           0.        ]]",-0.251438994105,[-1.15656493  0.19467154],0.121403,[-0.02717388 -0.22791071]
18,[-0.86302626  0.59279871],"[-0.63102903 -0.76217022  1.51958519 -0.37030447 -1.43877366  1.41910863
 -0.76544578 -0.3872701   0.84687171 -1.30709576  0.        ]","[[-10.6764576    3.0073951   -0.16642206   0.16790883]
 [-51.1083917   -0.2525553    0.           0.        ]]",-0.238538446692,[-0.54299854  0.82679589],0.183456,[-0.02717388 -0.22791071]
19,[-0.86786067  0.51265162],"[ 0.70038238 -0.76166868  1.22866537 -0.36264275 -1.43876542  1.41910065
 -0.8051017  -0.36183722  0.80469637 -1.18158917  0.        ]","[[-11.7100444    3.00445944  -0.16642206   0.16790883]
 [-52.24649911  -0.07533006   0.           0.        ]]",-0.222313130046,[-1.5130192  -0.38035782],0.532387,[-0.02717388 -0.22791071]
20,[-0.9885664   0.51796824],"[ 1.14163138 -0.7586372  -0.22786486 -0.31932819 -1.43875718  1.41909267
 -0.90702301 -0.57801836  0.89045823 -1.06388539  0.        ]","[[-12.78432207   2.98783851  -0.16642206   0.16790883]
 [-55.17150046  -1.5818089    0.           0.        ]]",-0.2201779456,[-1.18054836  0.24664061],0.724862,[-0.02717388 -0.22791071]
21,[-1.20509636  0.69056827],"[ 0.10079048 -0.75419711 -1.36638548 -0.26334427 -1.43874894  1.41908469
 -1.00692097 -0.43372766  1.04110017 -1.11033403  0.        ]","[[-13.91651706   2.96629161  -0.16642206   0.16790883]
 [-58.03845519  -0.57632011   0.           0.        ]]",-0.240452688225,[-1.48033724  0.22879004],0.253209,[-0.02717388 -0.22791071]
22,[-1.16056156  0.84462804],"[-1.33209665 -0.75367597 -0.75319294 -0.25724907 -1.4387407   1.41907671
 -1.10484317 -0.30249516  1.04752954 -1.29284692  0.        ]","[[-15.10548245   2.9639411   -0.16642206   0.16790883]
 [-60.84873313   0.33817318   0.           0.        ]]",-0.25705124081,[-0.92061722  1.71462084],-0.289673,[-0.02717388 -0.22791071]
