timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-0.29903656  0.5807873 ],"[ 1.09336148  1.48675578  0.07833644 -0.55088759  1.22455524  0.35604805
  0.57610104 -0.28659699  0.18993846 -0.26954924  0.        ]","[[ 0.0120343  -0.00880079  0.1405665   0.04231163]
 [-0.00251485 -0.00102973  0.          0.        ]]",-0.0805027626146,[ 0.22996951  0.58029038],-0.368343,[-0.02563443 -0.13056608]
1,[-0.30972558  0.5709368 ],"[ 1.09314241  1.48665646  0.09216246 -0.50094057  1.22454026  0.35604609
  0.63416439  0.03866361  0.18938699 -0.23693272  0.        ]","[[ 0.02110315  0.01422896  0.1405665   0.04231163]
 [ 0.90637609  2.2963486   0.          0.        ]]",-0.0782775176028,[-1.26076212 -0.20678467],-0.148414,[-0.02563443 -0.13056608]
2,[-0.30395252  0.577788  ],"[ 1.09343762  1.48514505  0.05901544 -0.42015502  1.22452528  0.35604412
  0.38030219 -0.08347757  0.18904439 -0.24032299  0.        ]","[[ -6.36338174e-04   5.15001861e-02   1.40566501e-01   4.23116258e-02]
 [ -3.06709658e+00   1.43364375e+00   0.00000000e+00   0.00000000e+00]]",-0.0784470192833,[-1.22457713  0.56733826],-0.257408,[-0.02563443 -0.13056608]
3,[-0.30490553  0.57831562],"[ 1.08638469  1.48036236 -0.09386554 -0.31001144  1.2245103   0.35604216
  0.13138474  0.23076507  0.1866048  -0.35408408  0.        ]","[[-0.10106882  0.10244254  0.1405665   0.04231163]
 [-6.96317959  3.65318551  0.          0.        ]]",-0.0864884257871,[ 0.66226925  1.34875255],-0.791821,[-0.02563443 -0.13056608]
4,[-0.31525683  0.56925344],"[ 1.06232507  1.4588635  -0.26187721 -0.07016201  1.22449532  0.3560402
  0.30746743  0.78096882  0.17504699 -0.43480259  0.        ]","[[-0.21267992  0.21449751  0.1405665   0.04231163]
 [-4.20709429  7.53936596  0.          0.        ]]",-0.0922518648857,[-2.00267753  1.99489218],-0.419525,[-0.02563443 -0.13056608]
5,[-0.32872486  0.56010407],"[ 1.01638405  1.38909073 -0.44233105  0.31980248  1.22448034  0.35603823
  0.05994482  1.32062166  0.15130839 -0.46842526  0.        ]","[[ -0.33569283   0.40352948   0.1405665    0.04231163]
 [ -8.08131499  11.351099     0.           0.        ]]",-0.0929579368526,[-0.5096661   1.48002347],-0.560847,[-0.02563443 -0.13056608]
6,[-0.34449467  0.54964203],"[ 0.91376495  1.22547211 -0.69232231  0.8116168   1.22446536  0.35603627
 -0.05875721  1.84943483  0.09527114 -0.52129561  0.        ]","[[ -0.51596007   0.66802975   0.1405665    0.04231163]
 [ -9.93923525  15.0864415    0.           0.        ]]",-0.0930804689483,[-1.65953711 -0.0811212 ],-0.333526,[-0.02563443 -0.13056608]
7,[-0.33330309  0.56201804],"[ 0.72083233  0.96489606 -0.98214868  1.24921834  1.22445038  0.35603431
 -0.29898445  1.76174229 -0.00518762 -0.61410833  0.        ]","[[ -0.75246881   0.96354757   0.1405665    0.04231163]
 [-13.69926155  14.46730297   0.           0.        ]]",-0.0963031783566,[-1.65801507  0.62475269],-0.254937,[-0.02563443 -0.13056608]
8,[-0.34540224  0.55533016],"[ 0.38394384  0.62591933 -1.27276159  1.54263446  1.22443541  0.35603234
 -0.53456704  2.07137206 -0.16708563 -0.75403592  0.        ]","[[ -1.06344875   1.27484165   0.1405665    0.04231163]
 [-17.38660162  16.65467606   0.           0.        ]]",-0.107764491048,[-0.6537843   0.70121849],-0.357738,[-0.02563443 -0.13056608]
9,[-0.36817652  0.53879166],"[-0.09790892  0.19661564 -1.45051045  1.63276972  1.22442043  0.35603038
 -0.67800952  2.41755363 -0.39671313 -0.84977601  0.        ]","[[ -1.4337066    1.6324755    0.1405665    0.04231163]
 [-19.63180013  19.10045649   0.           0.        ]]",-0.121161927022,[ 0.40463571  2.13254253],-0.271787,[-0.02563443 -0.13056608]
