timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-3.0225153   1.91281569],"[ 1.13833579  1.68681359  0.27807463 -0.01500671  1.72547489 -1.49990475
  1.25956095 -0.04558388 -0.09645511  1.38540215  0.        ]","[[ 0.08581194 -0.07805067  0.1989394  -0.17256544]
 [-0.00424501  0.00450585  0.          0.        ]]",-0.182303486634,[-3.83437533  2.36005949],-7.8179,[-0.1655793  -0.65873998]
1,[-3.21367264  1.99029613],"[ 1.14196673  1.69009409  0.21814893  0.04354931  1.7254735  -1.49990376
  1.15803033  0.54165266 -0.09462799  1.35855493  0.        ]","[[ 0.04602192 -0.03821818  0.1989394  -0.17256544]
 [-3.96157443  3.9655382   0.          0.        ]]",-0.1783625753,[-2.31513711  1.32136781],-8.01773,[-0.1655793  -0.65873998]
2,[-3.44419169  1.73817647],"[ 1.13983042  1.68658729  0.0399278   0.21757324  1.7254721  -1.49990277
  1.05850868  1.11725772 -0.09570235  1.2786701   0.        ]","[[-0.07212903  0.08004785  0.1989394  -0.17256544]
 [-7.84060413  7.84811568  0.          0.        ]]",-0.166581749472,[-3.01635775  1.92358313],-7.88551,[-0.1655793  -0.65873998]
3,[-3.89863205  1.61302471],"[ 1.09430132  1.63776638 -0.24967096  0.49998256  1.72547071 -1.49990178
  0.96095417  1.68144916 -0.11861796  1.14885966  0.        ]","[[ -0.26709109   0.27519328   0.1989394   -0.17256544]
 [-11.64296389  11.65371158   0.           0.        ]]",-0.147257221608,[-3.76978632  1.08422223],-7.62419,[-0.1655793  -0.65873998]
4,[-4.69909191  1.41205871],"[ 0.94815104  1.48516768 -0.62390684  0.86413238  1.72546932 -1.49990079
  0.86532236  2.23442042 -0.19218072  0.98111449  0.        ]","[[ -0.53734797   0.54569188   0.1989394   -0.17256544]
 [-15.37038516  15.38363596   0.           0.        ]]",-0.122336276808,[-4.42804025  1.56260272],-7.23392,[-0.1655793  -0.65873998]
5,[-5.64647913  1.0194025 ],"[ 0.6391326   1.1655346  -1.01602934  1.24420386  1.72546792 -1.4998998
  0.77156608  2.77633991 -0.3477228   0.8053699   0.        ]","[[ -0.88141916   0.89004188   0.1989394   -0.17256544]
 [-19.02470637  19.03903163   0.           0.        ]]",-0.0996262322344,[-4.22145367  2.1381631 ],-6.63433,[-0.1655793  -0.65873998]
6,[-6.55203342  0.3160795 ],"[ 0.13129335  0.64308727 -1.30484451  1.52142373  1.72546653 -1.4998988
  0.67963813  3.30736708 -0.60334133  0.6759795   0.        ]","[[ -1.29786121   1.30676346   0.1989394   -0.17256544]
 [-22.6077664   22.62098206   0.           0.        ]]",-0.0990422096481,[-6.87964492  0.48557213],-5.2841,[-0.1655793  -0.65873998]
7,[-6.6465168  -0.61269492],"[-0.53712397 -0.01315259 -1.32613655  1.54216807  1.72546513 -1.49989781
  0.58950793  3.52571712 -0.93980445  0.651377    0.        ]","[[ -1.78526127   1.77396297   0.1989394   -0.17256544]
 [-26.12075697  24.09386954   0.           0.        ]]",-0.132548644523,[-6.49541776 -0.13472479],-4.9754,[-0.1655793  -0.65873998]
8,[-5.75574493 -1.59030616],"[-1.20825235 -0.61306877 -0.93341408  1.24962715  1.72546374 -1.49989682
  0.50114291  3.37550065 -1.28113951  0.76419026  0.        ]","[[ -2.34223194   2.24567535   0.1989394   -0.17256544]
 [-29.56494695  23.08067898   0.           0.        ]]",-0.182983476274,[-6.02747995 -1.58992408],-5.34456,[-0.1655793  -0.65873998]
9,[-4.26127481 -2.32453823],"[-1.60690742 -0.98578015 -0.11288797  0.77807671  1.72546234 -1.49989583
  0.41452733  2.72034866 -1.51350945  0.98086218  0.        ]","[[ -2.96740413   2.6629492    0.1989394   -0.17256544]
 [-32.94095003  18.66153592   0.           0.        ]]",-0.228030357176,[-3.82969182 -2.18372636],-7.17366,[-0.1655793  -0.65873998]
