timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-2.57670736 -3.18378949],"[ 1.11505185  1.67659495  0.04320225  0.1297557  -0.18606418  0.47299147
  1.22533217 -0.04365247  1.42367018 -0.29570145  0.        ]","[[-0.07841565  0.00523838 -0.02135889  0.05500607]
 [ 0.00170386 -0.00287371  0.          0.        ]]",-0.241398294771,[-2.58485468 -3.20177847],-9.69387,[-0.20565264 -0.75991714]
1,[-1.60066509 -2.83861184],"[ 1.10965263  1.67574921 -0.01678564  0.07311764 -0.18606415  0.47299138
  1.12607155 -0.6433241   1.41411385 -0.37925013  0.        ]","[[-0.11805697 -0.03453092 -0.02135889  0.05500607]
 [-3.95267567 -3.96087011  0.          0.        ]]",-0.244110102679,[-1.37748041 -2.22245126],-10.1655,[-0.20565264 -0.75991714]
2,[-0.56098032 -1.87773287],"[ 1.08082476  1.65974254 -0.19323852 -0.09433287 -0.18606412  0.47299128
  1.02877213 -1.231126    1.35140698 -0.6214182   0.        ]","[[-0.23600177 -0.15267417 -0.02135889  0.05500607]
 [-7.82892665 -7.84052508  0.          0.        ]]",-0.250969378643,[ 0.38962243 -2.14645484],-10.3527,[-0.20565264 -0.75991714]
3,[ 0.43331963 -0.51821864],"[ 1.02253503  1.58984237 -0.39544062 -0.36300265 -0.18606409  0.47299119
  1.07137809 -1.80760991  1.18750115 -0.91552137  0.        ]","[[ -0.37554951  -0.34766114  -0.02135889   0.05500607]
 [ -6.13155307 -11.64548356   0.           0.        ]]",-0.256527301445,[ 1.00015075 -0.76272398],-9.03324,[-0.20565264 -0.75991714]
4,[ 1.06202579  0.80105817],"[ 0.97664765  1.41622722 -0.50905661 -0.69203876 -0.18606406  0.47299109
  1.17373651 -2.23046367  0.9607052  -1.12045416  0.        ]","[[ -0.4572663   -0.60857363  -0.02135889   0.05500607]
 [ -2.05372651 -14.43644861   0.           0.        ]]",-0.255316537939,[ 1.59917259  1.06802183],-7.144,[-0.20565264 -0.75991714]
5,[ 0.7714783   0.68295383],"[ 0.97603854  1.17832381 -0.51040969 -0.95226407 -0.18606403  0.472991
  1.27401849 -1.58744729  0.78505443 -1.18788211  0.        ]","[[ -0.45825827  -0.85472064  -0.02135889   0.05500607]
 [  1.94138126 -10.19236781   0.           0.        ]]",-0.248234561035,[ 0.31361078  0.65184057],-5.46989,[-0.20565264 -0.75991714]
6,[ 0.37671709  0.59842694],"[ 1.00567154  0.9721342  -0.44017626 -1.09932884 -0.18606399  0.4729909
  1.30417665 -1.1658778   0.70599682 -1.17495084  0.        ]","[[-0.40737644 -1.03065064 -0.02135889  0.05500607]
 [ 3.14286128 -7.40989433  0.          0.        ]]",-0.240402067348,[-0.24508496 -0.33227752],-4.76122,[-0.20565264 -0.75991714]
7,[ 0.27500921  1.19729698],"[ 1.03278968  0.76454395 -0.36606787 -1.20038818 -0.18606396  0.4729908
  1.27827875 -1.34294212  0.63760713 -1.14884854  0.        ]","[[-0.35487031 -1.19057416 -0.02135889  0.05500607]
 [ 2.11114894 -8.5785725   0.          0.        ]]",-0.231929973761,[ 0.94044202  0.85674356],-5.5232,[-0.20565264 -0.75991714]
8,[-0.36566594  0.78675842],"[ 1.06685807  0.57720743 -0.25169324 -1.25979221 -0.18606393  0.47299071
  1.37062103 -0.80336048  0.61121596 -1.09893061  0.        ]","[[-0.27573777 -1.32641344 -0.02135889  0.05500607]
 [ 5.78995625 -5.01718359  0.          0.        ]]",-0.22351343434,[-0.39381863  1.12881742],-5.58889,[-0.20565264 -0.75991714]
9,[-0.96431017  0.1022611 ],"[ 1.09768503  0.4927428  -0.10503184 -1.27787027 -0.1860639   0.47299061
  1.32860621 -0.18832852  0.6568798  -1.03538627  0.        ]","[[-0.1767321  -1.38602783 -0.02135889  0.05500607]
 [ 4.11617139 -0.95780034  0.          0.        ]]",-0.218863684369,[-1.55711168 -0.50067036],-4.82814,[-0.20565264 -0.75991714]
10,[-0.90902025  0.53971201],"[ 1.10669412  0.43717346 -0.04223254 -1.28697681 -0.18606387  0.47299052
  1.22723832 -0.48568296  0.66369364 -1.00801217  0.        ]","[[-0.13492622 -1.42487527 -0.02135889  0.05500607]
 [ 0.07784169 -2.92042339  0.          0.        ]]",-0.215976724899,[-2.07779619  1.22919305],-5.44474,[-0.20565264 -0.75991714]
11,[-1.06872463 -0.23841423],"[ 1.09856232  0.41117934 -0.09959069 -1.29049261 -0.18606384  0.47299042
  1.12784367  0.12311198  0.61649294 -1.03228711  0.        ]","[[-0.17309861 -1.44296771 -0.02135889  0.05500607]
 [-3.88188029  1.09779296  0.          0.        ]]",-0.2153251971,[ 0.46606936 -0.81596816],-6.17245,[-0.20565264 -0.75991714]
12,[-0.60722935  0.45975953],"[ 1.08228399  0.39580274 -0.18650937 -1.29235113 -0.1860638   0.47299033
  1.17608423 -0.36974231  0.55560533 -1.06614534  0.        ]","[[-0.23145351 -1.45364996 -0.02135889  0.05500607]
 [-1.96002764 -2.15518259  0.          0.        ]]",-0.215224257009,[-1.07710373 -0.21202783],-5.00302,[-0.20565264 -0.75991714]
13,[-0.25066406  0.70491302],"[ 1.05313312  0.32202335 -0.30153184 -1.29900672 -0.18606377  0.47299023
  1.0777215  -0.49035119  0.44333892 -1.0994123   0.        ]","[[-0.30997034 -1.5047408  -0.02135889  0.05500607]
 [-5.87864151 -2.9512352   0.          0.        ]]",-0.212288319093,[-0.91714823  0.46848124],-5.36107,[-0.20565264 -0.75991714]
