timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-6.58917236 -4.62751961],"[ 1.12060933  1.66379416  0.16001021  0.24679352 -1.73448724  1.33517006
  1.2277255  -0.04325349  2.66739134 -0.78810032  0.        ]","[[-0.00244308  0.08784652 -0.19993268  0.15417958]
 [ 0.00341379  0.00249584  0.          0.        ]]",-0.434457015214,[-7.08390016 -3.64091108],-6.97492,[-0.19842665 -0.74786574]
1,[-5.58807707 -4.40510702],"[ 1.11938556  1.6676924   0.09980526  0.19033508 -1.73448608  1.33516944
  1.12839802 -0.64260555  2.66954684 -0.87179537  0.        ]","[[-0.0420506   0.04818351 -0.19993268  0.15417958]
 [-3.95100093 -3.9556111   0.          0.        ]]",-0.43913673506,[-5.5863215  -4.57603698],-7.47026,[-0.19842665 -0.74786574]
2,[-4.25251007 -3.53757787],"[ 1.10288513  1.6658421  -0.07846336  0.02201911 -1.73448493  1.33516883
  1.03103432 -1.23009504  2.64121777 -1.11937357  0.        ]","[[-0.15996188 -0.06985569 -0.19993268  0.15417958]
 [-7.82723666 -7.83537992  0.          0.        ]]",-0.450258648294,[-4.54332928 -3.66447488],-7.48185,[-0.19842665 -0.74786574]
3,[-2.556355   -2.17630291],"[ 1.03420755  1.61897726 -0.36426437 -0.25170625 -1.73448377  1.33516821
  0.93558964 -1.80594836  2.48501475 -1.50005493  0.        ]","[[ -0.35463066  -0.26471945  -0.19993268   0.15417958]
 [-11.62707453 -11.63830919   0.           0.        ]]",-0.459118173727,[-2.02230989 -1.55618585],-8.09102,[-0.19842665 -0.74786574]
4,[-0.52753782 -0.44552526],"[ 0.85848463  1.46731341 -0.72536819 -0.60571165 -1.73448262  1.33516759
  0.84201    -2.3703751   2.08043123 -1.90138134  0.        ]","[[ -0.62454977  -0.53488508  -0.19993268   0.15417958]
 [-15.35266367 -15.36578773   0.           0.        ]]",-0.451574079027,[ 0.07266696 -0.00419906],-7.41561,[-0.19842665 -0.74786574]
5,[ 0.33054885  0.54514599],"[ 0.56696092  1.18905054 -1.05122019 -0.94022278 -1.73448146  1.33516697
  0.85680936 -2.32676178  1.48150517 -2.09003054  0.        ]","[[ -0.92569049  -0.83931154  -0.19993268   0.15417958]
 [-14.76346099 -15.07778256   0.           0.        ]]",-0.417151244693,[ 0.44821164  0.9891651 ],-5.67944,[-0.19842665 -0.74786574]
6,[-0.23583323  0.60884452],"[ 0.23484545  0.88076016 -1.25360075 -1.14907862 -1.73448031  1.33516636
  0.90861192 -1.68846986  0.95430993 -2.00733234  0.        ]","[[ -1.20026904  -1.0985741   -0.19993268   0.15417958]
 [-12.70108324 -10.86251803   0.           0.        ]]",-0.367592074746,[ 0.88693045  0.36194472],-5.00459,[-0.19842665 -0.74786574]
7,[-0.71069884  0.93145961],"[-0.05466919  0.610695   -1.33874125 -1.25296506 -1.73447915  1.33516574
  1.00303418 -1.43896171  0.62199237 -1.80186833  0.        ]","[[-1.41657538 -1.2992919  -0.19993268  0.15417958]
 [-8.94192551 -9.21477375  0.          0.        ]]",-0.319849941807,[-1.61725866  1.64136732],-4.231,[-0.19842665 -0.74786574]
8,[-2.13363528  0.64007622],"[-0.35478944  0.40851831 -1.35381189 -1.29341667 -1.73447799  1.33516512
  0.90803549 -0.81156335  0.40533275 -1.55627614  0.        ]","[[ -1.63336117  -1.44201637  -0.19993268   0.15417958]
 [-12.72400771  -5.07144252   0.           0.        ]]",-0.27441027562,[-1.73811478  0.74124958],-4.73353,[-0.19842665 -0.74786574]
9,[-3.5470562   0.55057454],"[-0.74963292  0.30633668 -1.26238008 -1.30284673 -1.73447684  1.33516451
  0.8149293  -0.35167833  0.23944081 -1.25606014  0.        ]","[[ -1.92503271  -1.51297392  -0.19993268   0.15417958]
 [-16.43074797  -2.03436687   0.           0.        ]]",-0.224037427891,[-2.63460552  1.01060004],-5.85913,[-0.19842665 -0.74786574]
