timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-2.368963   -2.49360013],"[ 1.21333993  1.76820393  0.07893695 -0.24958947 -1.11106492  0.8151545
  1.33585823 -0.16958059  2.21459289 -0.63893782  0.        ]","[[-0.02009077 -0.0108445  -0.12797325  0.09412577]
 [-0.00306105  0.00022551  0.          0.        ]]",-0.352256058895,[-1.0279399  -0.92322644],-1.86484,[ 0.02853976 -0.43123886]
1,[-2.03453374 -2.28992534],"[ 1.21114972  1.76679107  0.0200331  -0.31736208 -1.11106371  0.81515383
  1.22586416 -0.6682753   2.20941227 -0.73022932  0.        ]","[[-0.05982763 -0.04750238 -0.12797325  0.09412577]
 [-3.95746539 -3.65384048  0.          0.        ]]",-0.355240785369,[-2.47867079 -2.14047071],-0.4257,[ 0.02853976 -0.43123886]
2,[-1.57007122 -1.75819194],"[ 1.191861    1.75153036 -0.1537577  -0.5234261  -1.11106249  0.81515317
  1.11804685 -1.19858634  2.1605928  -0.99899077  0.        ]","[[-0.17786729 -0.15956601 -0.12797325  0.09412577]
 [-7.83362263 -7.53957328  0.          0.        ]]",-0.361939883626,[-2.28652279 -1.33255626],0.180293,[ 0.02853976 -0.43123886]
3,[-0.9708147  -0.85744852],"[ 1.11896839  1.68900579 -0.43144366 -0.86130056 -1.11106127  0.8151525
  1.01235241 -1.71839102  1.97513584 -1.40518735  0.        ]","[[ -0.37266371  -0.34857221  -0.12797325   0.09412577]
 [-11.63346818 -11.34833811   0.           0.        ]]",-0.365407872762,[-2.34464033 -0.95499903],1.49339,[ 0.02853976 -0.43123886]
4,[-0.27248955  0.32094249],"[ 0.93848826  1.52964418 -0.78049847 -1.29098206 -1.11106005  0.81515184
  0.9087195  -2.20355971  1.54485851 -1.81495499  0.        ]","[[ -0.64271212  -0.61120793  -0.12797325   0.09412577]
 [-15.3592052  -14.90334161   0.           0.        ]]",-0.354365915187,[-1.25514213  0.07164346],2.46186,[ 0.02853976 -0.43123886]
5,[-0.02785909  1.06438363],"[ 0.59526323  1.26596835 -1.12880542 -1.68238741 -1.11105884  0.81515117
  0.80705877 -2.12428519  0.88852744 -1.9879604   0.        ]","[[ -0.98656439  -0.90344794  -0.12797325   0.09412577]
 [-19.01404491 -14.32251751   0.           0.        ]]",-0.318746203405,[-0.794792    0.89476026],2.72095,[ 0.02853976 -0.43123886]
6,[-0.26649529  1.28745055],"[ 0.076345    0.98684217 -1.35192976 -1.91896379 -1.11105762  0.81515051
  0.72995124 -1.60174603  0.22873907 -1.78308551  0.        ]","[[ -1.39465921  -1.15148381  -0.12797325   0.09412577]
 [-21.78616183 -10.49374395   0.           0.        ]]",-0.260034923461,[-1.1289066   1.86130142],1.84187,[ 0.02853976 -0.43123886]
7,[-0.85155743  1.08032644],"[-0.56616358  0.7779473  -1.31079589 -2.02110883 -1.1110564   0.81514984
  0.63179372 -1.03257505 -0.22956707 -1.27084863  0.        ]","[[ -1.86579008  -1.31951608  -0.12797325   0.09412577]
 [-25.31506199  -6.32326954   0.           0.        ]]",-0.185325744929,[-1.24188686  1.52272957],0.738516,[ 0.02853976 -0.43123886]
8,[-1.70758986  0.64114636],"[-1.18835775  0.66780184 -0.88593704 -2.05381656 -1.11105519  0.81514918
  0.53560043 -0.47457475 -0.37974795 -0.58946904  0.        ]","[[ -2.40679089  -1.40496021  -0.12797325   0.09412577]
 [-28.77334746  -2.23464031   0.           0.        ]]",-0.0983496747168,[-1.53596023  1.38559275],-0.526098,[ 0.02853976 -0.43123886]
9,[-2.48001242 -0.0041583 ],"[-1.53334288  0.66198106 -0.07671089 -2.0551596  -1.11105397  0.81514851
  0.44133798  0.07249019 -0.16899964  0.08880872  0.        ]","[[ -3.01626121  -1.40943586  -0.12797325   0.09412577]
 [-32.16221787   1.7738632    0.           0.        ]]",-0.00260009595522,[-3.34438395  0.00336245],-0.497125,[ 0.02853976 -0.43123886]
10,[-2.81488085 -0.39819437],"[-1.33991879  0.70777824  0.88577486 -2.04352449 -1.11105275  0.81514784
  0.34897976  0.07027591  0.41468786  0.55110921  0.        ]","[[ -3.69282043  -1.37412296  -0.12797325   0.09412577]
 [-35.4826292    1.75763875   0.           0.        ]]",-0.101621943271,[-2.64234778 -0.94313913],-0.341131,[ 0.02853976 -0.43123886]
11,[-2.88524318 -0.70558715],"[-0.54270721  0.70441445  1.53571265 -2.04445334 -1.11105153  0.81514718
  0.25845686 -0.4432413   1.23874485  0.48161125  0.        ]","[[ -4.43512366  -1.37672416  -0.12797325   0.09412577]
 [-38.73705906  -2.00504877   0.           0.        ]]",-0.205299891285,[-2.75904888  0.38752128],0.129993,[ 0.02853976 -0.43123886]
12,[-3.04172087 -1.29786682],"[ 0.53120733  0.67300218  1.38920632 -2.05255868 -1.11105032  0.81514651
  0.16968247 -0.22737209  1.819073   -0.24700806  0.        ]","[[ -5.24188768  -1.40095694  -0.12797325   0.09412577]
 [-41.92862724  -0.42331556   0.           0.        ]]",-0.285265216494,[-2.82352372 -2.10067104],2.25797,[ 0.02853976 -0.43123886]
13,[-2.06567097 -0.779145  ],"[ 1.19342431  0.61038156  0.36171536 -2.06545989 -1.1110491   0.81514585
  0.08268081 -0.76542403  1.65693157 -1.251479    0.        ]","[[ -6.11183984  -1.44898122  -0.12797325   0.09412577]
 [-45.05646355  -4.36577506   0.           0.        ]]",-0.316197664088,[-1.26555285 -1.02433489],3.05038,[ 0.02853976 -0.43123886]
14,[-0.94020689  0.50471705],"[ 0.83366186  0.44460146 -0.91396346 -2.07914416 -1.11104788  0.81514518
 -0.00265485 -1.29265762  0.71790509 -1.69546466  0.        ]","[[ -7.04374694  -1.5750595   -0.12797325   0.09412577]
 [-48.12440449  -8.2289728    0.           0.        ]]",-0.272414423932,[-1.53824327  0.89287033],3.00442,[ 0.02853976 -0.43123886]
