timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-0.96614873  1.0990262 ],"[ 1.14457687  1.69309775  0.17432524  0.08118103  1.70276201  0.2938047
  1.26126268 -0.04717891 -0.07451299 -0.06253821  0.        ]","[[ 0.01750032 -0.0114141   0.19633195  0.03398816]
 [ 0.00059327 -0.00425067  0.          0.        ]]",-0.0343937015592,[-3.12657392  0.81816306],-7.36728,[-0.13962686 -0.64686394]
1,[-1.10958648  1.65006256],"[ 1.14444736  1.69287576  0.11444265  0.1290659   1.70276063  0.29380464
  1.15956994  0.432593   -0.07456398 -0.09485473  0.        ]","[[-0.02219107  0.02102103  0.19633195  0.03398816]
 [-3.95655254  3.23695612  0.          0.        ]]",-0.0388109197701,[-1.80450618  1.94918221],-7.5951,[-0.13962686 -0.64686394]
2,[-1.3622967   2.68356872],"[ 1.1311851   1.68216218 -0.06298437  0.28189854  1.70275926  0.29380457
  1.05988182  1.00943582 -0.0813316  -0.18521171  0.        ]","[[-0.14024271  0.12486006  0.19633195  0.03398816]
 [-7.83569653  7.13394853  0.          0.        ]]",-0.0512486865863,[-0.64169841  2.03164403],-7.71644,[-0.13962686 -0.64686394]
3,[-1.85690594  3.50844789],"[ 1.07406547  1.62745753 -0.3279679   0.54259705  1.70275789  0.29380451
  0.99858936  1.57476087 -0.11009242 -0.30406405  0.        ]","[[ -0.32088648   0.30585842   0.19633195   0.03398816]
 [-10.22075282  10.95313491   0.           0.        ]]",-0.0677237728364,[-1.88452057  3.05196059],-7.25034,[-0.13962686 -0.64686394]
4,[-2.60402203  3.84623384],"[ 0.93095747  1.47499121 -0.65734309  0.88538712  1.70275652  0.29380444
  0.90207841  2.12893236 -0.18207193 -0.44126783  0.        ]","[[ -0.56298112   0.56248507   0.19633195   0.03398816]
 [-13.97626858  14.69698091   0.           0.        ]]",-0.087430181941,[-2.47898967  4.42633266],-6.47478,[-0.13962686 -0.64686394]
5,[-3.37884498  3.53698301],"[ 0.64264597  1.1647799  -1.01444138  1.24831276  1.70275515  0.29380437
  0.80746226  2.67203963 -0.32733763 -0.59112299  0.        ]","[[ -0.87944569   0.89323947   0.19633195   0.03398816]
 [-17.65805428  18.36609659   0.           0.        ]]",-0.111812896758,[-4.25307836  2.94941852],-5.57599,[-0.13962686 -0.64686394]
6,[-4.18854237  2.76313567],"[ 0.1713289   0.66038558 -1.29261394  1.51930221  1.70275378  0.29380431
  0.71469386  3.2042456  -0.5649176  -0.70570608  0.        ]","[[ -1.26882401   1.29663809   0.19633195   0.03398816]
 [-21.26794047  21.96159066   0.           0.        ]]",-0.138510571522,[-3.05860295  3.43882765],-5.2143,[-0.13962686 -0.64686394]
7,[-4.87916183  1.29253423],"[-0.45995997 -0.00498659 -1.34187636  1.54488548  1.70275241  0.29380424
  0.62373191  3.72573768 -0.88320268 -0.71763082  0.        ]","[[ -1.72969482   1.77122066   0.19633195   0.03398816]
 [-24.80753369  25.48473822   0.           0.        ]]",-0.163952019368,[-6.74308577  1.95386263],-3.50822,[-0.13962686 -0.64686394]
8,[-5.12834978 -0.38947213],"[-1.12251913 -0.6829474  -1.0158652   1.18355982  1.70275104  0.29380418
  0.53455057  4.23678377 -1.2173676  -0.56113491  0.        ]","[[ -2.26066365   2.31555723   0.19633195   0.03398816]
 [-28.27783907  28.93735908   0.           0.        ]]",-0.183262847901,[-6.41228965 -0.68247663],-4.04773,[-0.13962686 -0.64686394]
9,[-4.29174614 -1.03564608],"[-1.57180738 -1.08403804 -0.27084813  0.50628724  1.70274967  0.29380411
  0.4471436   3.7516722  -1.44248071 -0.26636773  0.        ]","[[ -2.86034769   2.86142093   0.19633195   0.03398816]
 [-31.67909879  25.66012517   0.           0.        ]]",-0.192531034512,[-4.77200869 -1.22319338],-5.46821,[-0.13962686 -0.64686394]
10,[-3.55199146 -0.28990656],"[-1.52441306 -1.1355491   0.71566453 -0.00876473  1.7027483   0.29380404
  0.36147977  0.58127299 -1.45154785 -0.03993154  0.        ]","[[ -3.52737479e+00   3.21398947e+00   1.96331950e-01   3.39881582e-02]
 [ -3.50125285e+01   4.24151141e+00   0.00000000e+00   0.00000000e+00]]",-0.185859573403,[-3.63974572  0.01544585],-6.62652,[-0.13962686 -0.64686394]
11,[-3.97593832 -0.0424896 ],"[-0.8458571  -1.13771068  1.50521797  0.02902475  1.70274693  0.29380398
  0.27753414 -0.62581844 -1.47413424 -0.122311    0.        ]","[[ -4.26040095e+00   3.18834777e+00   1.96331950e-01   3.39881582e-02]
 [ -3.82790985e+01  -3.91336910e+00   0.00000000e+00   0.00000000e+00]]",-0.191251395932,[-3.39078136 -0.45626869],-7.72229,[-0.13962686 -0.64686394]
12,[-4.2231555  -0.60026211],"[ 0.22878462 -1.13756756  1.5674585   0.17014071  1.70274556  0.29380391
  0.19525846 -0.88179068 -1.59826815 -0.12956976  0.        ]","[[ -5.05810576e+00   3.09273084e+00   1.96331950e-01   3.39881582e-02]
 [ -4.14806855e+01  -5.64267071e+00   0.00000000e+00   0.00000000e+00]]",-0.208884547911,[-3.72684565 -0.53969049],-8.25238,[-0.13962686 -0.64686394]
13,[-4.01485777 -0.95277351],"[ 1.05401914 -1.11585531  0.68505457  0.36531842  1.70274419  0.29380385
  0.11461946 -1.18172302 -1.64248787  0.02750317  0.        ]","[[ -5.91920389e+00   2.95954900e+00   1.96331950e-01   3.39881582e-02]
 [ -4.46185849e+01  -7.66895991e+00   0.00000000e+00   0.00000000e+00]]",-0.211858932773,[-1.32789406 -0.34000408],-8.79113,[-0.13962686 -0.64686394]
14,[-3.43755913 -0.23256399],"[ 0.93371328 -1.05463899 -0.65256945  0.60072056  1.70274282  0.29380378
  0.03559525 -1.35889983 -1.42129871  0.14869679  0.        ]","[[ -6.84243012e+00   2.79416309e+00   1.96331950e-01   3.39881582e-02]
 [ -4.76936480e+01  -8.86593796e+00   0.00000000e+00   0.00000000e+00]]",-0.179368160174,[-4.66285759 -0.08253256],-6.73313,[-0.13962686 -0.64686394]
15,[-2.69235921  1.13994694],"[-0.20270806 -0.94759591 -1.36031607  0.8396954   1.70274145  0.29380371
 -0.04184058 -1.38195995 -1.15331307 -0.10178473  0.        ]","[[ -7.82653756e+00   2.61528488e+00   1.96331950e-01   3.39881582e-02]
 [ -5.07069024e+01  -9.02173334e+00   0.00000000e+00   0.00000000e+00]]",-0.145826607778,[-2.68197978  1.15053464],-5.80219,[-0.13962686 -0.64686394]
16,[-3.11162639  1.40744507],"[-1.41866297 -0.83723256 -0.64645473  1.00939425  1.70274008  0.29380365
 -0.11773701 -0.77041572 -1.37005644 -0.5185246   0.        ]","[[ -8.87030640e+00   2.47630612e+00   1.96331950e-01   3.39881582e-02]
 [ -5.36602545e+01  -4.89025784e+00   0.00000000e+00   0.00000000e+00]]",-0.198379583967,[-0.69338038  1.45114872],-6.34705,[-0.13962686 -0.64686394]
17,[-3.79416561  1.36786675],"[-1.43221244 -0.78544423  0.91796373  1.07429379  1.70273871  0.29380358
 -0.16096131 -0.17121133 -1.90358806 -0.44266131  0.        ]","[[ -9.96038535e+00   2.41911877e+00   1.96331950e-01   3.39881582e-02]
 [ -5.53422389e+01  -8.42146839e-01   0.00000000e+00   0.00000000e+00]]",-0.263483301756,[-4.29260432  1.50744616],-6.26544,[-0.13962686 -0.64686394]
18,[-4.20235157  1.3410455 ],"[-0.10187154 -0.80666459  1.64913373  1.04860703  1.70273734  0.29380352
 -0.23455681  0.41600119 -2.02028218  0.07603317  0.        ]","[[ -1.10959616e+01   2.44208017e+00   1.96331950e-01   3.39881582e-02]
 [ -5.82060547e+01   3.12494956e+00   0.00000000e+00   0.00000000e+00]]",-0.265446839759,[-3.5903982   0.67007614],-7.91015,[-0.13962686 -0.64686394]
19,[-4.43462992  1.08249581],"[ 1.09155037 -0.88293689  0.56215493  0.9451558   1.70273597  0.29380345
 -0.30672086  0.79818036 -1.59408845  0.35111093  0.        ]","[[ -1.22882562e+01   2.53048425e+00   1.96331950e-01   3.39881582e-02]
 [ -6.10141693e+01   5.70688038e+00   0.00000000e+00   0.00000000e+00]]",-0.206241901484,[-7.03395169  0.97912226],-6.48034,[-0.13962686 -0.64686394]
20,[-3.80500865  0.75895345],"[ 0.54274275 -0.99248469 -1.09649314  0.75254484  1.7027346   0.29380339
 -0.37747311  1.35403135 -1.25349441  0.10024385  0.        ]","[[ -1.35361622e+01   2.68229695e+00   1.96331950e-01   3.39881582e-02]
 [ -6.37673465e+01   9.46210798e+00   0.00000000e+00   0.00000000e+00]]",-0.155503509783,[-5.88702398 -0.7816419 ],-5.21537,[-0.13962686 -0.64686394]
21,[-3.46251082  0.11679296],"[-1.13480269 -1.074715   -1.00469629  0.53864668  1.70273323  0.29380332
 -0.44681974  0.86717513 -1.34222375 -0.19676704  0.        ]","[[ -1.48385856e+01   2.83853495e+00   1.96331950e-01   3.39881582e-02]
 [ -6.64658274e+01   6.17300265e+00   0.00000000e+00   0.00000000e+00]]",-0.175709993203,[-3.75990021  0.16679391],-5.35634,[-0.13962686 -0.64686394]
22,[-3.64267135  0.08407815],"[-1.46550537 -1.1178081   0.85330382  0.35399008  1.70273186  0.29380325
 -0.5147742   0.94613149 -1.55046116 -0.21970301  0.        ]","[[ -1.61944339e+01   2.96734339e+00   1.96331950e-01   3.39881582e-02]
 [ -6.91101357e+01   6.70641924e+00   0.00000000e+00   0.00000000e+00]]",-0.205312722629,[-3.452247    0.68551747],-6.41861,[-0.13962686 -0.64686394]
23,[-4.05008793  0.07799756],"[ 0.20021261 -1.13194935  1.57828232  0.24778068  1.70273049  0.29380319
 -0.58137672  0.08246373 -1.63192567 -0.1165981   0.        ]","[[ -1.76026411e+01   3.03998657e+00   1.96331950e-01   3.39881582e-02]
 [ -7.17018366e+01   8.71645708e-01   0.00000000e+00   0.00000000e+00]]",-0.21325327588,[-3.68198839 -0.83128122],-8.6314,[-0.13962686 -0.64686394]
24,[-3.94500947 -0.07535887],"[ 1.11359346 -1.12934974 -0.17044861  0.27232078  1.70272912  0.29380312
 -0.64664907 -0.41451574 -1.58349974  0.02034145  0.        ]","[[ -1.90621623e+01   3.02326388e+00   1.96331950e-01   3.39881582e-02]
 [ -7.42417776e+01  -2.48585221e+00   0.00000000e+00   0.00000000e+00]]",-0.203537182291,[-4.66039884  0.39216919],-7.44319,[-0.13962686 -0.64686394]
25,[-3.23418045  0.45454407],"[-0.44999673 -1.12292252 -1.34357441  0.32158552  1.70272775  0.29380306
 -0.71062121 -0.1778991  -1.41556283 -0.03746877  0.        ]","[[ -2.05719741e+01   2.98958722e+00   1.96331950e-01   3.39881582e-02]
 [ -7.67311246e+01  -8.87316442e-01   0.00000000e+00   0.00000000e+00]]",-0.18070971038,[-4.06073025 -0.07900221],-5.62039,[-0.13962686 -0.64686394]
26,[-3.65769029  0.6473555 ],"[-1.61269833 -1.11817098  0.35836367  0.35181888  1.70272638  0.29380299
 -0.77332982 -0.22224634 -1.50027495 -0.21384018  0.        ]","[[ -2.21310798e+01   2.96883624e+00   1.96331950e-01   3.39881582e-02]
 [ -7.91713051e+01  -1.18691803e+00   0.00000000e+00   0.00000000e+00]]",-0.198153590594,[-3.87366283  1.07478587],-6.02473,[-0.13962686 -0.64686394]
27,[-3.9933846   0.52368683],"[ 0.00263072 -1.12192577  1.63327286  0.32825953  1.70272501  0.29380292
 -0.83479762  0.36661265 -1.66809956 -0.11628946  0.        ]","[[ -2.37385038e+01   2.98501234e+00   1.96331950e-01   3.39881582e-02]
 [ -8.15632033e+01   2.79129780e+00   0.00000000e+00   0.00000000e+00]]",-0.218342245828,[-2.38592181  0.71784537],-8.76956,[-0.13962686 -0.64686394]
28,[-4.04705286  0.26246378],"[ 1.09802489 -1.12968937 -0.24077108  0.26929724  1.70272364  0.29380286
 -0.89505808  0.04054673 -1.57975924  0.01929658  0.        ]","[[ -2.53932956e+01   3.02532573e+00   1.96331950e-01   3.39881582e-02]
 [ -8.39081218e+01   5.88461194e-01   0.00000000e+00   0.00000000e+00]]",-0.203018900972,[-4.55171313 -0.18547553],-7.56163,[-0.13962686 -0.64686394]
29,[-3.30218673  0.56300521],"[-0.76873805 -1.12919423 -1.24702398  0.27365579  1.70272227  0.29380279
 -0.95411914 -0.13524523 -1.43083536 -0.05489927  0.        ]","[[ -2.70945174e+01   3.02235298e+00   1.96331950e-01   3.39881582e-02]
 [ -8.62063703e+01  -5.99154390e-01   0.00000000e+00   0.00000000e+00]]",-0.183282574509,[-2.35743851 -0.12207352],-6.10961,[-0.13962686 -0.64686394]
