timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-7.49846935 -4.02074385],"[ 1.11180397  1.66712007  0.29776533  0.15915126 -1.55514596  0.5435028
  1.22280032 -0.04321935  2.51694691 -0.10266101  0.        ]","[[ 0.0870412   0.02480404 -0.17915551  0.06290986]
 [ 0.00349949  0.00199216  0.          0.        ]]",-0.390349183061,[-7.8572009  -4.17002904],-4.39842,[-0.21919748 -0.78312087]
1,[-6.75517368 -3.79590869],"[ 1.11549935  1.66740487  0.23761361  0.10274543 -1.5551451   0.54350269
  1.12373433 -0.64423883  2.52316107 -0.18598789  0.        ]","[[ 0.04743544 -0.01486891 -0.17915551  0.06290986]
 [-3.95091425 -3.95610104  0.          0.        ]]",-0.392795166563,[-6.73888253 -3.4631745 ],-4.85168,[-0.21919748 -0.78312087]
2,[-5.79473352 -3.10634923],"[ 1.11361352  1.65477089  0.05823528 -0.06455074 -1.55514424  0.54350257
  1.026626   -1.23336212  2.50687411 -0.43372242  0.        ]","[[-0.07047439 -0.13291774 -0.17915551  0.06290986]
 [-7.82718694 -7.83585222  0.          0.        ]]",-0.39747391571,[-7.51308582 -2.74456858],-3.51373,[-0.21919748 -0.78312087]
3,[-4.15390682 -1.78162885],"[ 1.06852395  1.59033841 -0.23348516 -0.3338912  -1.55514338  0.54350246
  0.93142987 -1.8108157   2.36962928 -0.81874157  0.        ]","[[ -0.26514311  -0.32779071  -0.17915551   0.06290986]
 [-11.62713255 -11.63875635   0.           0.        ]]",-0.396585017627,[-3.88701867 -0.68707861],-5.1119,[-0.21919748 -0.78312087]
4,[-2.35555267 -0.33321932],"[ 0.92293111  1.42595233 -0.61079232 -0.66190739 -1.55514252  0.54350234
  0.83808244 -2.18866757  1.9955713  -1.22977843  0.        ]","[[ -0.53506932  -0.58553327  -0.17915551   0.06290986]
 [-15.35328508 -14.1271635    0.           0.        ]]",-0.378604109972,[-1.97396849 -0.9355073 ],-4.7881,[-0.21919748 -0.78312087]
5,[-0.5858044   1.44844222],"[ 0.61437359  1.11600022 -1.00669288 -0.99204311 -1.55514165  0.54350223
  0.74654677 -2.70834835  1.34906302 -1.45746552  0.        ]","[[ -0.87879113  -0.90241593  -0.17915551   0.06290986]
 [-19.00711909 -17.54961647   0.           0.        ]]",-0.331124702789,[-0.17027288  1.0877835 ],-4.04159,[-0.21919748 -0.78312087]
6,[-1.22392797  2.05969763],"[ 0.15027296  0.7289411  -1.28484913 -1.20653799 -1.55514079  0.54350211
  0.73898121 -2.05412009  0.67721068 -1.31876703  0.        ]","[[ -1.26196477  -1.21018008  -0.17915551   0.06290986]
 [-19.30910744 -13.24111378   0.           0.        ]]",-0.257827294456,[-0.64521301  0.97842838],-4.08437,[-0.21919748 -0.78312087]
7,[-2.86203194  2.23909736],"[-0.40941004  0.4157065  -1.34939005 -1.28460911 -1.55513993  0.543502
  0.68450499 -1.4256989   0.23287254 -0.92443388  0.        ]","[[ -1.66996591  -1.43347948  -0.17915551   0.06290986]
 [-21.48363488  -9.10255825   0.           0.        ]]",-0.176863214144,[-3.06199882  3.28357727],-5.60715,[-0.21919748 -0.78312087]
8,[-4.88214111  2.08907604],"[-1.01475077  0.2125715  -1.12084917 -1.29798579 -1.55513907  0.54350189
  0.59595232 -0.79663469  0.04931237 -0.40811225  0.        ]","[[ -2.13510529  -1.57396566  -0.17915551   0.06290986]
 [-25.01839759  -4.95976413   0.           0.        ]]",-0.0942170666368,[-4.48858723  1.9355453 ],-6.18827,[-0.21919748 -0.78312087]
9,[-5.74516201  1.69773722],"[-1.50938196  0.12785729 -0.52584659 -1.29529411 -1.55513821  0.54350177
  0.50917352 -0.17992254  0.14188742  0.124828    0.        ]","[[ -2.67022975  -1.63241234  -0.17915551   0.06290986]
 [-28.48235302  -0.89831535   0.           0.        ]]",-0.0468325120724,[-5.89173108  1.48664192],-6.54173,[-0.21919748 -0.78312087]
10,[-6.38017178  0.81477451],"[-1.64870031  0.15970047  0.36631012 -1.29687525 -1.55513735  0.54350166
  0.42413693  0.42470416  0.50743278  0.56044479  0.        ]","[[ -3.27393579  -1.61042887  -0.17915551   0.06290986]
 [-31.8767652    3.08354305   0.           0.        ]]",-0.114949355168,[-7.21665195  0.0589429 ],-5.70218,[-0.21919748 -0.78312087]
11,[-6.3667016   0.35913596],"[-1.23634248  0.25171393  1.26090353 -1.29758786 -1.55513648  0.54350154
  0.34081474  0.45170004  1.12006222  0.74918814  0.        ]","[[ -3.94484205  -1.54697591  -0.17915551   0.06290986]
 [-35.2027435    3.26132892   0.           0.        ]]",-0.206401944842,[-5.74135543  0.85509369],-5.78287,[-0.21919748 -0.78312087]
12,[-7.24499941 -1.30440712],"[-0.31463836  0.39430153  1.6870099  -1.28734704 -1.55513562  0.54350143
  0.25914408  0.95699962  1.79923184  0.52859961  0.        ]","[[ -4.68160795  -1.44836295  -0.17915551   0.06290986]
 [-38.46279806   6.58905455   0.           0.        ]]",-0.289830778061,[-7.58441338 -1.38830933],-4.03938,[-0.21919748 -0.78312087]
13,[-6.98102713 -1.9326179 ],"[ 0.69552562  0.52412788  1.2577554  -1.26578163 -1.55513476  0.54350132
  0.17912944  0.33708777  2.19786143 -0.15135309  0.        ]","[[ -5.48290821  -1.35754485  -0.17915551   0.06290986]
 [-41.65674884   2.50653562   0.           0.        ]]",-0.345701712093,[-9.21537144 -1.8458907 ],-1.07237,[-0.21919748 -0.78312087]
14,[-5.64483976 -1.07247257],"[ 1.11419336  0.53827237  0.06764523 -1.2627058  -1.5551339   0.5435012
  0.10066819 -0.270389    1.87965863 -0.99912718  0.        ]","[[ -6.34746454  -1.34755561  -0.17915551   0.06290986]
 [-44.78869312  -1.49409039   0.           0.        ]]",-0.345682297546,[-5.8531057  -0.05321384],-1.72744,[-0.21919748 -0.78312087]
15,[-4.39886236  0.20641235],"[ 0.4892004   0.49341975 -1.10797965 -1.27195963 -1.55513304  0.54350109
  0.0237178  -0.29640849  0.89822752 -1.29781078  0.        ]","[[ -7.27405679  -1.37915876  -0.17915551   0.06290986]
 [-47.86032793  -1.66544581   0.           0.        ]]",-0.271848357605,[-4.05736743  0.45365501],-3.35486,[-0.21919748 -0.78312087]
16,[-5.83885574  0.46161667],"[-0.82234743  0.47225038 -1.23221915 -1.27582594 -1.55513218  0.54350097
 -0.05171344 -0.01696928  0.04600787 -0.68026785  0.        ]","[[ -8.26147487  -1.39400562  -0.17915551   0.06290986]
 [-50.8713232    0.17484075   0.           0.        ]]",-0.13356911789,[-5.56997029  0.6727373 ],-5.47843,[-0.21919748 -0.78312087]
17,[-6.32757425  0.07299972],"[-1.65146768  0.51540238 -0.01116872 -1.26760418 -1.55513132  0.54350086
 -0.12563189  0.38885241  0.13241279  0.37011781  0.        ]","[[ -9.30850776  -1.36369588  -0.17915551   0.06290986]
 [-53.82193203   2.84743719   0.           0.        ]]",-0.0538623495487,[-5.55437545  0.64689739],-6.78914,[-0.21919748 -0.78312087]
18,[-6.69183636 -1.06970572],"[-1.03495208  0.63096165  1.43742488 -1.23889271 -1.55513045  0.54350075
 -0.19805663  0.77128487  1.17589179  0.86449328  0.        ]","[[-10.41395457  -1.28147944  -0.17915551   0.06290986]
 [-56.71291646   5.36600099   0.           0.        ]]",-0.22143313012,[-6.57900028 -1.26252   ],-5.08657,[-0.21919748 -0.78312087]
19,[-6.83184767 -2.13652444],"[ 0.49051358  0.72265307  1.43789649 -1.2088392  -1.55512959  0.54350063
 -0.26901511  0.15611543  2.19165384  0.1482943   0.        ]","[[-11.57662899  -1.21480907  -0.17915551   0.06290986]
 [-59.54537188   1.31471695   0.           0.        ]]",-0.34129344046,[-5.38557887 -2.21954889],-3.05391,[-0.21919748 -0.78312087]
20,[-5.48833799 -0.94626004],"[ 1.08079024  0.70420167 -0.1801935  -1.21542549 -1.55512873  0.54350052
 -0.33861602 -0.44668742  1.82846045 -1.11092461  0.        ]","[[-12.79540817  -1.22834786  -0.17915551   0.06290986]
 [-62.32363767  -2.65512529   0.           0.        ]]",-0.348578357588,[-5.60446664 -0.89760137],-1.38012,[-0.21919748 -0.78312087]
21,[-4.00094652  1.36280632],"[-0.17759412  0.58215959 -1.35335729 -1.25222729 -1.55512787  0.5435004
 -0.40689689 -0.97573961  0.38763192 -1.12820254  0.        ]","[[ -1.40692236e+01  -1.31641105e+00  -1.79155512e-01   6.29098640e-02]
 [ -6.50492117e+01  -6.13927339e+00   0.00000000e+00   0.00000000e+00]]",-0.213722766002,[-3.44737457  0.50426996],-4.35766,[-0.21919748 -0.78312087]
22,[-5.48689795  1.57652354],"[-1.59424457  0.43827452 -0.30030659 -1.28136607 -1.55512701  0.54350029
 -0.47387533 -0.65116397  0.06188264  0.20585324  0.        ]","[[ -1.53970345e+01  -1.41775299e+00  -1.79155512e-01   6.29098640e-02]
 [ -6.77227966e+01  -4.00173684e+00   0.00000000e+00   0.00000000e+00]]",-0.0350644006174,[-5.73518673  1.36618763],-6.88099,[-0.21919748 -0.78312087]
23,[-6.0184412   0.16800725],"[-0.93899064  0.38177823  1.50065482 -1.28879759 -1.55512615  0.54350017
 -0.53949466 -0.03469748  1.35597043  0.75541372  0.        ]","[[ -1.67777751e+01  -1.45705691e+00  -1.79155512e-01   6.29098640e-02]
 [ -7.03421300e+01   5.80876542e-02   0.00000000e+00   0.00000000e+00]]",-0.237954511458,[-6.43336037 -0.1151036 ],-5.02684,[-0.21919748 -0.78312087]
24,[-6.50477743 -1.52038741],"[ 0.84284807  0.37716816  1.0735604  -1.28930597 -1.55512528  0.54350006
 -0.60376669 -0.10064638  2.14371895 -0.37830425  0.        ]","[[ -1.82103582e+01  -1.46025545e+00  -1.79155512e-01   6.29098640e-02]
 [ -7.29076841e+01  -3.76227897e-01   0.00000000e+00   0.00000000e+00]]",-0.344703457337,[-7.74448592 -1.53785436],-1.37925,[-0.21919748 -0.78312087]
25,[-4.48979473  0.81496948],"[ 0.65084109  0.30935422 -0.97238859 -1.29510868 -1.55512442  0.54349995
 -0.66678691 -0.69708401  0.98911179 -1.24871058  0.        ]","[[ -1.96937469e+01  -1.50719295e+00  -1.79155512e-01   6.29098640e-02]
 [ -7.54232705e+01  -4.30414947e+00   0.00000000e+00   0.00000000e+00]]",-0.27360575618,[-4.83792761  0.58325744],-2.58834,[-0.21919748 -0.78312087]
26,[-6.13323593  1.21532249],"[-1.2746508   0.21978266 -0.88791285 -1.29798086 -1.55512356  0.54349983
 -0.72860508 -0.32953155  0.03394433 -0.17442599  0.        ]","[[ -2.12269732e+01  -1.56899238e+00  -1.79155512e-01   6.29098640e-02]
 [ -7.78908747e+01  -1.88358375e+00   0.00000000e+00   0.00000000e+00]]",-0.0611022461898,[-6.30747937  0.70798846],-6.22642,[-0.21919748 -0.78312087]
27,[-6.21153879  0.5887363 ],"[-1.22159815  0.20687817  1.27626637 -1.29794684 -1.5551227   0.54349972
 -0.78915759  0.10598624  1.15163946  0.73209094  0.        ]","[[ -2.28090454e+01  -1.57788963e+00  -1.79155512e-01   6.29098640e-02]
 [ -8.03079590e+01   9.84576908e-01   0.00000000e+00   0.00000000e+00]]",-0.209468003293,[-6.92891978  0.55896798],-5.32122,[-0.21919748 -0.78312087]
28,[-7.09765244 -1.94076753],"[ 0.7959835   0.26777374  1.13886266 -1.29711623 -1.55512184  0.5434996
 -0.84846459  0.44353609  2.10837529 -0.36032076  0.        ]","[[ -2.44389598e+01  -1.53589702e+00  -1.79155512e-01   6.29098640e-02]
 [ -8.26753272e+01   3.20755669e+00   0.00000000e+00   0.00000000e+00]]",-0.339109087137,[-8.30105423 -1.52455163],-1.76407,[-0.21919748 -0.78312087]
29,[-5.3932209   0.15023038],"[ 0.49832661  0.3026785  -1.10137214 -1.29550808 -1.55512098  0.54349949
 -0.90658444 -0.1626699   0.8407324  -1.22634891  0.        ]","[[ -2.61157387e+01  -1.51180421e+00  -1.79155512e-01   6.29098640e-02]
 [ -8.49953089e+01  -7.84692751e-01   0.00000000e+00   0.00000000e+00]]",-0.258224126511,[-6.29855893 -0.40859397],-2.21651,[-0.21919748 -0.78312087]
30,[-6.09563112  1.29419279],"[-1.53099338  0.25711232 -0.47725571 -1.29744154 -1.55512012  0.54349938
 -0.96361662 -0.40103673  0.0939038   0.12942126  0.        ]","[[ -2.78384843e+01  -1.54325124e+00  -1.79155512e-01   6.29098640e-02]
 [ -8.72718754e+01  -2.35448909e+00   0.00000000e+00   0.00000000e+00]]",-0.039906140343,[-5.45420406  0.5121311 ],-6.9268,[-0.21919748 -0.78312087]
31,[-6.19052315 -0.09616125],"[-0.60044437  0.21950051  1.64452589 -1.29797851 -1.55511925  0.54349926
 -1.01953254 -0.08084173  1.64323219  0.57219633  0.        ]","[[ -2.96063189e+01  -1.56918675e+00  -1.79155512e-01   6.29098640e-02]
 [ -8.95038852e+01  -2.45803519e-01   0.00000000e+00   0.00000000e+00]]",-0.269209296715,[-5.01860959  0.63809602],-5.53582,[-0.21919748 -0.78312087]
32,[-6.74252415 -1.43737459],"[ 1.11705927  0.2497251   0.16176462 -1.29762148 -1.55511839  0.54349915
 -1.07429854  0.30900892  1.77540104 -0.9673748   0.        ]","[[ -3.14183340e+01  -1.54834601e+00  -1.79155512e-01   6.29098640e-02]
 [ -9.16899958e+01   2.32160837e+00   0.00000000e+00   0.00000000e+00]]",-0.330358040898,[-5.85017546 -1.39519522],-1.87604,[-0.21919748 -0.78312087]
