timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-3.75578809 -2.99842596],"[ 1.11575878  1.67224183  0.12538238  0.03183378 -0.19857815 -0.04802649
  1.22100002 -0.04395486  1.43308992  0.12695489  0.        ]","[[-0.02560473 -0.0650057  -0.02276758 -0.00503255]
 [-0.00441074 -0.00321187  0.          0.        ]]",-0.232403991239,[-2.54995722 -2.71209979],-8.37249,[-0.19956042 -0.78999531]
1,[-2.65918255 -2.74732065],"[ 1.11324692  1.66733491  0.06491999 -0.0243917  -0.19857812 -0.04802648
  1.1220212  -0.64529577  1.42391206  0.04348378  0.        ]","[[-0.06536722 -0.10478171 -0.02276758 -0.00503255]
 [-3.95868192 -3.96120261  0.          0.        ]]",-0.231841026648,[-3.4560393  -2.65171455],-6.98376,[-0.19956042 -0.78999531]
2,[-1.29520535 -1.98752666],"[ 1.09290816  1.63931367 -0.11331234 -0.18967593 -0.19857808 -0.04802647
  1.02499696 -1.2347332   1.36237617 -0.19797691  0.        ]","[[ -1.83431401e-01  -2.22931519e-01  -2.27675827e-02  -5.03254619e-03]
 [ -7.83486841e+00  -7.84084728e+00   0.00000000e+00   0.00000000e+00]]",-0.229251707784,[-1.44851466 -2.0229821 ],-7.3043,[-0.19956042 -0.78999531]
3,[ 0.24707508 -0.54145503],"[ 1.0180144   1.5501229  -0.39781372 -0.45179878 -0.19857805 -0.04802646
  0.92988077 -1.81249304  1.15691165 -0.55343865  0.        ]","[[ -3.78253708e-01  -4.17903256e-01  -2.27675827e-02  -5.03254619e-03]
 [ -1.16348294e+01  -1.16436360e+01   0.00000000e+00   0.00000000e+00]]",-0.222087596414,[ 1.17045616 -0.54092422],-7.6447,[-0.19956042 -0.78999531]
4,[ 1.21696687  0.76182353],"[ 0.89737393  1.36086737 -0.65576045 -0.75699317 -0.19857802 -0.04802646
  1.03466089 -2.10307561  0.81003457 -0.83301592  0.        ]","[[ -5.68949969e-01  -6.69965913e-01  -2.27675827e-02  -5.03254619e-03]
 [ -7.44876176e+00  -1.35562457e+01   0.00000000e+00   0.00000000e+00]]",-0.20920664665,[ 2.40162639  0.75722403],-6.85355,[-0.19956042 -0.78999531]
5,[ 1.26833391  0.88805753],"[ 0.81003924  1.1153465  -0.78900645 -0.99465855 -0.19857798 -0.04802645
  1.1373332  -1.60695269  0.50556151 -0.93038568  0.        ]","[[ -6.76771486e-01  -9.08327625e-01  -2.27675827e-02  -5.03254619e-03]
 [ -3.34689961e+00  -1.02907976e+01   0.00000000e+00   0.00000000e+00]]",-0.194719150911,[ 1.23162267  0.43283259],-5.39429,[-0.19956042 -0.78999531]
6,[ 1.12353313  1.0080322 ],"[ 0.78652912  0.88704046 -0.82021667 -1.13712021 -0.19857795 -0.04802644
  1.2380046  -1.31578742  0.33190775 -0.92528137  0.        ]","[[ -7.03357479e-01  -1.09491561e+00  -2.27675827e-02  -5.03254619e-03]
 [  6.75027781e-01  -8.37436685e+00   0.00000000e+00   0.00000000e+00]]",-0.182580536997,[ 1.57637387  0.82674941],-5.81176,[-0.19956042 -0.78999531]
7,[ 0.6232059   0.57986867],"[ 0.83268674  0.70969854 -0.75726091 -1.21216738 -0.19857792 -0.04802643
  1.33669118 -0.79338792  0.29599028 -0.88262553  0.        ]","[[-0.65030031 -1.22790465 -0.02276758 -0.00503255]
 [ 4.61766432 -4.9359617   0.          0.        ]]",-0.17459597622,[ 0.73572838  0.22437465],-5.454,[-0.19956042 -0.78999531]
8,[ 0.0968011  0.5384146],"[ 0.925871    0.58623119 -0.6047449  -1.24921518 -0.19857788 -0.04802642
  1.40727444 -0.64363796  0.36608968 -0.8231026   0.        ]","[[ -5.29654596e-01  -1.31673494e+00  -2.27675827e-02  -5.03254619e-03]
 [  7.43755245e+00  -3.95031620e+00   0.00000000e+00   0.00000000e+00]]",-0.170779399299,[-0.58254392  0.93922676],-5.19722,[-0.19956042 -0.78999531]
9,[-0.72544718 -0.25897056],"[ 1.00354872  0.52835287 -0.4361664  -1.26264681 -0.19857785 -0.04802642
  1.34586965 -0.06662594  0.46709414 -0.76397209  0.        ]","[[-0.40551647 -1.35763579 -0.02276758 -0.00503255]
 [ 4.98440258 -0.15245357  0.          0.        ]]",-0.170412179667,[-0.52757549 -0.51721274],-5.15751,[-0.19956042 -0.78999531]
