timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-1.98191917 -2.82186413],"[ 1.19812559  1.74425027  0.06036168 -0.08512567 -0.92934759  1.29053141
  1.33746347 -0.10456734  2.06300288 -1.03402898  0.        ]","[[-0.0347372  -0.01017597 -0.10708255  0.14889418]
 [-0.00454544  0.0010439   0.          0.        ]]",-0.353804954002,[-2.17786986 -2.54562264],-3.7137,[-0.00621388 -0.48528096]
1,[-1.53136504 -2.44542646],"[  1.19512863e+00   1.74264752e+00   1.31264399e-03  -1.51722410e-01
  -9.29346962e-01   1.29053017e+00   1.23017168e+00  -6.54575767e-01
   2.05631647e+00  -1.12578389e+00   0.00000000e+00]","[[-0.07450228 -0.04986769 -0.10708255  0.14889418]
 [-3.958803   -3.95702997  0.          0.        ]]",-0.358776632978,[-2.35476496 -3.12154346],-3.08343,[-0.00621388 -0.48528096]
2,[-0.91448581 -1.81660414],"[ 1.17344564  1.72541925 -0.17261856 -0.34863528 -0.92934633  1.29052892
  1.12499964 -1.19369701  2.00180643 -1.39262438  0.        ]","[[-0.1925685  -0.16793489 -0.10708255  0.14889418]
 [-7.83494353 -7.8367598   0.          0.        ]]",-0.37113868992,[ 0.18621887 -1.29560573],-3.93212,[-0.00621388 -0.48528096]
3,[-0.22866163 -0.89350396],"[ 1.11980688  1.65686092 -0.38440141 -0.6638781  -0.9293457   1.29052767
  1.14922337 -1.72239284  1.84154549 -1.72984133  0.        ]","[[ -0.34030886  -0.36284412  -0.10708255   0.14889418]
 [ -6.94212847 -11.64147529   0.           0.        ]]",-0.381553874229,[ 1.46037719 -0.57990037],-3.03897,[-0.00621388 -0.48528096]
4,[ 0.24869245 -0.08146478],"[ 1.06862594  1.49711162 -0.51888353 -1.03853077 -0.92934508  1.29052642
  1.26029295 -2.00963383  1.60847101 -1.97297253  0.        ]","[[ -0.43807925  -0.61641389  -0.10708255   0.14889418]
 [ -2.8485519  -13.70859933   0.           0.        ]]",-0.381877870252,[ 0.24920118 -0.48221154],-0.153856,[-0.00621388 -0.48528096]
5,[ 0.56831455  0.68106961],"[ 1.04005018  1.22866191 -0.58082685 -1.39032262 -0.92934445  1.29052517
  1.28856379 -2.23728212  1.35124583 -2.09418756  0.        ]","[[ -0.48459521  -0.90702338  -0.10708255   0.14889418]
 [ -1.80656802 -15.34688168   0.           0.        ]]",-0.372215596426,[ 1.0186915   0.71894176],1.27438,[-0.00621388 -0.48528096]
6,[ 0.38424265  0.66577774],"[ 1.04255308  0.90985851 -0.57567738 -1.62169797 -0.92934382  1.29052392
  1.3968475  -1.79963837  1.14444625 -2.10104705  0.        ]","[[ -0.48068654  -1.18236202  -0.10708255   0.14889418]
 [  2.18434708 -12.19743933   0.           0.        ]]",-0.356754516615,[ 1.40590186 -0.62962496],1.98872,[-0.00621388 -0.48528096]
7,[ 0.37701118  1.21911061],"[ 1.09122326  0.56445807 -0.46403865 -1.7343003  -0.92934319  1.29052267
  1.50304861 -2.1126206   1.03043602 -2.01996749  0.        ]","[[ -0.39772844  -1.4489103   -0.10708255   0.14889418]
 [  6.09851804 -14.44981862   0.           0.        ]]",-0.338810203679,[-1.12404079  2.32719562],1.98588,[-0.00621388 -0.48528096]
8,[-0.16482052  0.88079315],"[ 1.13032089  0.2343542  -0.35114551 -1.73375775 -0.92934256  1.29052142
  1.39236601 -1.5225433   0.93125126 -1.91882061  0.        ]","[[ -0.31668562  -1.6953002   -0.10708255   0.14889418]
 [  2.01929743 -10.203387     0.           0.        ]]",-0.319670055001,[-0.53818818  0.90142158],1.87522,[-0.00621388 -0.48528096]
9,[-0.61780947  0.56371069],"[ 1.13808917  0.01613189 -0.32477119 -1.67630204 -0.92934193  1.29052017
  1.33346501 -0.99845724  0.83640761 -1.84811984  0.        ]","[[-0.29807996 -1.86152667 -0.10708255  0.14889418]
 [-0.15148663 -6.43184627  0.          0.        ]]",-0.304637033684,[-1.51185826  0.85606541],1.43185,[-0.00621388 -0.48528096]
