timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
14,[-7.62769222 -0.98525506],"[ 0.63382005  0.19484507 -1.03725242  1.58957465 -0.02262744 -1.19773738
  0.00965166  1.39048092  0.84835248  1.06066101  0.        ]","[[ -7.18602932e+00   1.64746866e+00  -2.26287136e-03  -1.37925361e-01]
 [ -4.88208088e+01   9.88436735e+00   0.00000000e+00   0.00000000e+00]]",-0.197477058353,[-6.02005556 -1.06971828],-4.48175,[-0.06765141 -0.60696161]
15,[-6.87161112 -0.36181563],"[-0.68317831 -0.01985234 -1.27487028  1.55327992 -0.02262743 -1.19773669
 -0.06844682  0.78223184  0.38452134  0.35951939  0.        ]","[[ -8.19248943e+00   1.80336216e+00  -2.26287136e-03  -1.37925361e-01]
 [ -5.18150523e+01   5.71867699e+00   0.00000000e+00   0.00000000e+00]]",-0.084705068375,[-5.51749139 -0.39418525],-3.47177,[-0.06765141 -0.60696161]
16,[-5.03825521 -0.41286248],"[-1.58855159 -0.15044207 -0.1067921   1.51235221 -0.02262743 -1.197736
 -0.14498709  0.53612342 -0.46720073  0.30907631  0.        ]","[[ -9.25823404e+00   1.90082614e+00  -2.26287136e-03  -1.37925361e-01]
 [ -5.47495548e+01   4.03316487e+00   0.00000000e+00   0.00000000e+00]]",-0.0503788472778,[-5.71737272 -0.63934367],-2.23368,[-0.06765141 -0.60696161]
17,[-3.41990662 -0.63156104],"[-1.02043297 -0.22146348  1.37068828  1.48360366 -0.02262742 -1.19773531
 -0.21999104  0.15299569 -0.96127272  1.01451933  0.        ]","[[ -1.03820786e+01   1.95516471e+00  -2.26287136e-03  -1.37925361e-01]
 [ -5.76251561e+01   1.40925343e+00   0.00000000e+00   0.00000000e+00]]",-0.171477082066,[-4.01705778 -1.09921815],-3.63812,[-0.06765141 -0.60696161]
18,[-3.89573312 -0.78158814],"[ 0.52025809 -0.20595902  1.40934025  1.4902875  -0.02262741 -1.19773461
 -0.29346922 -0.4312408  -0.52271875  1.81405475  0.        ]","[[ -1.15628499e+01   1.94320642e+00  -2.26287136e-03  -1.37925361e-01]
 [ -6.04422604e+01  -2.59198373e+00   0.00000000e+00   0.00000000e+00]]",-0.249032664183,[-5.66666367 -0.2402373 ],-3.73541,[-0.06765141 -0.60696161]
19,[-5.03351879 -0.71358001],"[ 1.12326067 -0.12576146 -0.20466309  1.52124034 -0.02262741 -1.19773392
 -0.36546563 -0.56488073  0.47156472  1.68301018  0.        ]","[[ -1.27993912e+01   1.88218655e+00  -2.26287136e-03  -1.37925361e-01]
 [ -6.32025552e+01  -3.50723900e+00   0.00000000e+00   0.00000000e+00]]",-0.242219426585,[-5.66968431 -0.69916265],-4.89142,[-0.06765141 -0.60696161]
20,[-5.51775932  1.85119963],"[-0.15905173  0.00541211 -1.35849951  1.55949575 -0.0226274  -1.19773323
 -0.43599898 -0.96146495  0.6264794   0.59603829  0.        ]","[[ -1.40905776e+01   1.78479368e+00  -2.26287136e-03  -1.37925361e-01]
 [ -6.59067578e+01  -6.22331099e+00   0.00000000e+00   0.00000000e+00]]",-0.131231819037,[-5.19681323  1.78836741],-3.88604,[-0.06765141 -0.60696161]
21,[-4.81876945  1.65875638],"[-1.55657266  0.12042011 -0.26230341  1.5811824  -0.0226274  -1.19773253
 -0.50516294 -0.36808824 -0.51565538  0.20714486  0.        ]","[[ -1.54353142e+01   1.70110418e+00  -2.26287136e-03  -1.37925361e-01]
 [ -6.85584592e+01  -2.15947863e+00   0.00000000e+00   0.00000000e+00]]",-0.0518440475254,[-5.28781896  2.47749212],-1.17314,[-0.06765141 -0.60696161]
22,[-3.62184238  0.18476799],"[-0.82082095  0.12489916  1.49758376  1.58180971 -0.02262739 -1.19773184
 -0.5730196   0.21329896 -1.0890922   1.29789884  0.        ]","[[ -1.68325819e+01   1.69786717e+00  -2.26287136e-03  -1.37925361e-01]
 [ -7.11600406e+01   1.82224188e+00   0.00000000e+00   0.00000000e+00]]",-0.214836354022,[-4.32739887  1.44149453],-2.48574,[-0.06765141 -0.60696161]
23,[-4.80459452 -1.11968064],"[ 0.94319959  0.02088548  0.95068862  1.56303952 -0.02262739 -1.19773115
 -0.63959531  0.78295949 -0.09239027  2.00022634  0.        ]","[[ -1.82813885e+01   1.77345840e+00  -2.26287136e-03  -1.37925361e-01]
 [ -7.37125120e+01   5.72365136e+00   0.00000000e+00   0.00000000e+00]]",-0.270823593837,[-4.67482054 -2.02392922],-5.03567,[-0.06765141 -0.60696161]
24,[-6.68111277 -0.32144845],"[ 0.60268834 -0.07855182 -1.06314343  1.53672075 -0.02262738 -1.19773045
 -0.70482821  0.18485319  0.73618059  1.13597352  0.        ]","[[ -1.97807358e+01   1.84683470e+00  -2.26287136e-03  -1.37925361e-01]
 [ -7.62135023e+01   1.62742940e+00   0.00000000e+00   0.00000000e+00]]",-0.193998462698,[-7.65639603 -0.30524873],-3.23414,[-0.06765141 -0.60696161]
25,[-5.77219296  0.91290599],"[ -1.31569019e+00  -1.05127089e-01  -7.80724777e-01   1.52824499e+00
  -2.26273771e-02  -1.19772976e+00  -7.68738277e-01   6.79571232e-05
  -6.87333162e-02   2.30297814e-01   0.00000000e+00]","[[ -2.13295915e+01   1.86668825e+00  -2.26287136e-03  -1.37925361e-01]
 [ -7.86637775e+01   3.61899862e-01   0.00000000e+00   0.00000000e+00]]",-0.0187280525975,[-4.0205624   1.15703615],-2.85324,[-0.06765141 -0.60696161]
26,[-3.91376972 -0.52301496],"[-1.04455022 -0.16690146  1.35183074  1.50610005 -0.02262737 -1.19772907
 -0.83142151  0.57337403 -0.98643223  1.0143793   0.        ]","[[ -2.29269752e+01   1.91332287e+00  -2.26287136e-03  -1.37925361e-01]
 [ -8.10670182e+01   4.28827338e+00   0.00000000e+00   0.00000000e+00]]",-0.173906717766,[-3.6079834  -1.11368585],-3.66581,[-0.06765141 -0.60696161]
27,[-4.38662195 -1.04956496],"[ 0.94866003 -0.22543733  0.94132904  1.48184066 -0.02262737 -1.19772837
 -0.89284363 -0.02113413 -0.17820014  1.89442929  0.        ]","[[ -2.45719472e+01   1.95823875e+00  -2.26287136e-03  -1.37925361e-01]
 [ -8.34219103e+01   2.16696034e-01   0.00000000e+00   0.00000000e+00]]",-0.255263978603,[-4.33604983 -1.41920782],-5.14513,[-0.06765141 -0.60696161]
28,[-6.16332912  0.49578583],"[ 0.36608248 -0.17896549 -1.21701997  1.5013642  -0.02262736 -1.19772768
 -0.95297987 -0.60409586  0.68867834  1.00401946  0.        ]","[[ -2.62635230e+01   1.92251792e+00  -2.26287136e-03  -1.37925361e-01]
 [ -8.57275044e+01  -3.77580417e+00   0.00000000e+00   0.00000000e+00]]",-0.175289320805,[-5.69724753  0.48255312],-4.4845,[-0.06765141 -0.60696161]
29,[-5.13478327  1.25053144],"[-1.55622014 -0.10503216 -0.2636662   1.5282716  -0.02262736 -1.19772699
 -1.01191918 -0.31868667 -0.40294355  0.26526579  0.        ]","[[ -2.80007433e+01   1.86661729e+00  -2.26287136e-03  -1.37925361e-01]
 [ -8.79872114e+01  -1.82113833e+00   0.00000000e+00   0.00000000e+00]]",-0.039222941649,[-5.64007549  1.47466133],-1.47448,[-0.06765141 -0.60696161]
30,[-3.83825469 -0.38185531],"[-0.30983271 -0.10948928  1.64173835  1.52678832 -0.02262735 -1.19772629
 -1.06975338  0.25995718 -0.90505939  1.50649391  0.        ]","[[ -2.97827299e+01   1.86995857e+00  -2.26287136e-03  -1.37925361e-01]
 [ -9.02045515e+01   2.14178789e+00   0.00000000e+00   0.00000000e+00]]",-0.22571919968,[-4.22015233 -0.57351611],-3.74258,[-0.06765141 -0.60696161]
31,[-5.62837887 -0.67404425],"[ 1.13505073 -0.13512435 -0.14546248  1.51791772 -0.02262734 -1.1977256
 -1.12644107 -0.08280108  0.44141525  1.70643787  0.        ]","[[ -3.16086300e+01   1.88924422e+00  -2.26287136e-03  -1.37925361e-01]
 [ -9.23779376e+01  -2.05641065e-01   0.00000000e+00   0.00000000e+00]]",-0.243810015839,[-4.86530332 -0.69064079],-5.24863,[-0.06765141 -0.60696161]
32,[-6.12640667  1.83535326],"[-0.87595588 -0.0926841  -1.18276411  1.53228189 -0.02262734 -1.19772491
 -1.18195414 -0.48673907  0.27597718  0.32823611  0.        ]","[[ -3.34775470e+01   1.85737829e+00  -2.26287136e-03  -1.37925361e-01]
 [ -9.45062926e+01  -2.97206829e+00   0.00000000e+00   0.00000000e+00]]",-0.0685648746724,[-5.50880713  1.00797349],-2.93748,[-0.06765141 -0.60696161]
33,[-3.98436093  0.28177363],"[-1.15655295 -0.06651267  1.25203814  1.54034547 -0.02262733 -1.19772422
 -1.2363995   0.09447604 -1.02397426  0.95660233  0.        ]","[[ -3.53886113e+01   1.83787806e+00  -2.26287136e-03  -1.37925361e-01]
 [ -9.65937151e+01   1.00846475e+00   0.00000000e+00   0.00000000e+00]]",-0.171708454338,[-4.58485132 -0.29057466],-2.80461,[-0.06765141 -0.60696161]
34,[-4.90656519 -0.56795949],"[ 1.07287041 -0.07730874  0.66883503  1.53708984 -0.02262733 -1.19772352
 -1.28978064 -0.08220968  0.05317612  1.93839497  0.        ]","[[ -3.73410216e+01   1.84590914e+00  -2.26287136e-03  -1.37925361e-01]
 [ -9.86403394e+01  -2.01591913e-01   0.00000000e+00   0.00000000e+00]]",-0.263458754177,[-3.98538521 -0.83641691],-5.3731,[-0.06765141 -0.60696161]
35,[-6.39867258  1.92253292],"[-0.31208581 -0.02652066 -1.35705113  1.55152356 -0.02262732 -1.19772283
 -1.34204838 -0.57124187  0.56389722  0.53236637  0.        ]","[[ -3.93339396e+01   1.80827712e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.00644280e+02  -3.55079691e+00   0.00000000e+00   0.00000000e+00]]",-0.118839710052,[-5.72076786  1.48950231],-3.2728,[-0.06765141 -0.60696161]
36,[-4.31858969  0.83134907],"[-1.42070539  0.01569062  0.89637085  1.5618546  -0.02262732 -1.19772214
 -1.39331052  0.01083124 -0.98789872  0.71497808  0.        ]","[[ -4.13665387e+01   1.77726144e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.02609670e+02   4.35609674e-01   0.00000000e+00   0.00000000e+00]]",-0.145284975064,[-4.44402682  2.22167538],-1.55308,[-0.06765141 -0.60696161]
37,[-5.1376996  -0.73419505],"[ 0.96071012 -0.04937381  0.92011644  1.54529974 -0.02262731 -1.19772144
 -1.44364675  0.58114592 -0.09861304  1.97140241  0.        ]","[[ -4.34380898e+01   1.82516462e+00  -2.26287136e-03  -1.37925361e-01]
 [ -1.04539565e+02   4.34148731e+00   0.00000000e+00   0.00000000e+00]]",-0.266603319885,[-4.59733878 -0.41429559],-4.49776,[-0.06765141 -0.60696161]
