timestep,avg_action_dist,obs,human_obs,original_rewards,actions,rewards,logstd_action_dist
0,[-6.29814243 -1.58493233],"[ 1.18895194  1.73192309  0.14094718 -0.10863837 -1.39922082 -0.72267501
  1.32831094 -0.08299697  2.4398671   0.68297669  0.        ]","[[ 0.01488305 -0.05985002 -0.16093808 -0.08299262]
 [-0.00244946  0.00171305  0.          0.        ]]",-0.379249746916,[-5.27215501 -1.41193018],-0.221848,[ 0.00521783 -0.50928617]
1,[-5.84570026 -1.1687367 ],"[ 1.18867796  1.72763301  0.08172711 -0.1727653  -1.3992195  -0.72267466
  1.22214857 -0.63967346  2.43456298  0.59240894  0.        ]","[[-0.02484059 -0.09952851 -0.16093808 -0.08299262]
 [-3.95675802 -3.95637497  0.          0.        ]]",-0.3760510887,[-5.0453517  -1.23017707],0.020299,[ 0.00521783 -0.50928617]
2,[-5.27796078 -0.56383389],"[ 1.1750355   1.70233995 -0.09351997 -0.36166953 -1.39921818 -0.72267431
  1.11808282 -1.18533039  2.38416539  0.32854692  0.        ]","[[-0.14286664 -0.21758272 -0.16093808 -0.08299262]
 [-7.83297791 -7.83611534  0.          0.        ]]",-0.364087005413,[-4.81031656 -1.35752037],0.468874,[ 0.00521783 -0.50928617]
3,[-4.36161327  0.37271595],"[ 1.11113667  1.6204946  -0.37514078 -0.66162334 -1.39921686 -0.72267396
  1.01606384 -1.72017659  2.19478964 -0.06527497  0.        ]","[[ -0.33765141  -0.41246077  -0.16093808  -0.08299262]
 [-11.63296554 -11.6389986    0.           0.        ]]",-0.336710195553,[-5.59556171  0.29865001],1.48931,[ 0.00521783 -0.50928617]
4,[-4.0339222   0.83855206],"[ 0.94188446  1.47288435 -0.73253657 -0.96827427 -1.39921554 -0.72267361
  0.91599355 -1.52120774  1.79703235 -0.44403602  0.        ]","[[ -0.60770807  -0.63104702  -0.16093808  -0.08299262]
 [-15.36037277 -10.22429919   0.           0.        ]]",-0.289620921818,[-2.69771215  1.41255704],0.293919,[ 0.00521783 -0.50928617]
5,[-4.22719049  1.10023856],"[ 0.60971394  1.32865541 -1.09535022 -1.16770799 -1.39921422 -0.72267326
  0.81787217 -0.93555958  1.24446518 -0.64903428  0.        ]","[[ -0.95158575  -0.79375411  -0.16093808  -0.08299262]
 [-19.01519011  -6.06021848   0.           0.        ]]",-0.226605283218,[-3.13000543  1.27106022],0.42504,[ 0.00521783 -0.50928617]
6,[-4.69545174  1.32111704],"[ 0.08664775  1.24799712 -1.3415539  -1.25512247 -1.3992129  -0.72267291
  0.72170161 -0.36144136  0.6348366  -0.6085311   0.        ]","[[ -1.36783124  -0.87400226  -0.16093808  -0.08299262]
 [-22.59734612  -1.97811523   0.           0.        ]]",-0.151403539059,[-4.26555085  1.41361766],-0.127027,[ 0.00521783 -0.50928617]
7,[-5.52677822  1.2689507 ],"[-0.57884986  1.24860853 -1.31234739 -1.25450899 -1.39921158 -0.72267256
  0.62744962  0.20138583  0.07160109 -0.29437225  0.        ]","[[ -1.85500316  -0.8734139   -0.16093808  -0.08299262]
 [-26.10804113   2.02370663   0.           0.        ]]",-0.0655870296256,[-7.2317721  0.8393935],-0.300521,[ 0.00521783 -0.50928617]
8,[-6.17689228  1.0856365 ],"[-1.22069152  1.32262756 -0.87538493 -1.17473736 -1.39921026 -0.72267221
  0.53508507  0.66370321 -0.31630738  0.28598991  0.        ]","[[ -2.41168352  -0.79995924  -0.16093808  -0.08299262]
 [-29.54843423   5.31088301   0.           0.        ]]",-0.0334675486064,[-6.32924596  1.56925372],-1.72456,[ 0.00521783 -0.50928617]
9,[-6.45271397  0.50318569],"[-1.56484533  1.45335567 -0.03765658 -0.99938843 -1.39920894 -0.72267186
  0.44455858  1.20635667 -0.37908565  1.04369148  0.        ]","[[ -3.03648475  -0.65502946  -0.16093808  -0.08299262]
 [-32.92036454   9.16926977   0.           0.        ]]",-0.133939161908,[-7.33586412  0.03354904],-1.26709,[ 0.00521783 -0.50928617]
10,[-6.21689224 -0.15516526],"[-1.34175282  1.58584081  0.94384283 -0.74899039 -1.39920762 -0.7226715
  0.35586451  1.20005913  0.01266704  1.78884871  0.        ]","[[ -3.72803866  -0.47209287  -0.16093808  -0.08299262]
 [-36.22404097   9.12449958   0.           0.        ]]",-0.235410526477,[-6.3546461  -0.19858335],-1.16863,[ 0.00521783 -0.50928617]
11,[-5.99748802 -0.73382276],"[-0.50294448  1.67399352  1.5713032  -0.48967694 -1.3992063  -0.72267115
  0.26892838  1.06455736  0.86976165  2.18867207  0.        ]","[[ -4.48500876  -0.29926843  -0.16093808  -0.08299262]
 [-39.46223822   8.16105841   0.           0.        ]]",-0.324930215866,[-6.93473742 -0.18954745],-0.456437,[ 0.00521783 -0.50928617]
12,[-6.43339252 -1.48454976],"[ 0.58079116  1.72005359  1.35453444 -0.24620251 -1.39920498 -0.7226708
  0.18370277  0.93666956  1.88142232  1.88167417  0.        ]","[[ -5.3061035   -0.14516919  -0.16093808  -0.08299262]
 [-42.63672222   7.25175296   0.           0.        ]]",-0.381790514172,[-6.59896111 -1.35625077],0.0701838,[ 0.00521783 -0.50928617]
13,[-6.98894405 -1.67656684],"[ 1.18311927  1.73317478  0.25741769 -0.0785645  -1.39920367 -0.72267045
  0.1001869   0.35986037  2.43663075  0.81497269  0.        ]","[[ -6.19004899e+00  -4.12818372e-02  -1.60938081e-01  -8.29926248e-02]
 [ -4.57475218e+01   3.15051831e+00   0.00000000e+00   0.00000000e+00]]",-0.383102760729,[-5.01342532 -1.71190611],-0.644721,[ 0.00521783 -0.50928617]
14,[-6.33826351 -0.17058113],"[ 0.71711059  1.73409411 -1.00370549 -0.0418223  -1.39920235 -0.7226701
  0.0183181  -0.20560191  1.92786738 -0.4321972   0.        ]","[[ -7.13559532e+00  -1.86106732e-02  -1.60938081e-01  -8.29926248e-02]
 [ -4.87969712e+01  -8.70037743e-01   0.00000000e+00   0.00000000e+00]]",-0.307263709631,[-5.24494102 -0.10294439],-1.58317,[ 0.00521783 -0.50928617]
15,[-5.81490612  1.57423413],"[-0.58328787  1.73324573 -1.31093853 -0.07634841 -1.39920103 -0.72266975
 -0.06196989 -0.26030012  0.52643284 -0.72259096  0.        ]","[[ -8.14153996e+00  -3.99139693e-02  -1.60938081e-01  -8.29926248e-02]
 [ -5.17875386e+01  -1.25895402e+00   0.00000000e+00   0.00000000e+00]]",-0.152150245588,[-6.22671197  0.95706416],-2.39888,[ 0.00521783 -0.50928617]
16,[-5.97873402  1.35099471],"[-1.53976643  1.73383711 -0.20377681 -0.05510421 -1.39919971 -0.7226694
 -0.14071292  0.27641103 -0.4657742   0.40350915  0.        ]","[[ -9.20671875e+00  -2.68043686e-02  -1.60938081e-01  -8.29926248e-02]
 [ -5.47205594e+01   2.55717337e+00   0.00000000e+00   0.00000000e+00]]",-0.0602750155361,[-5.06587745  1.26894465],-2.46015,[ 0.00521783 -0.50928617]
17,[-5.72099113  0.36422226],"[-1.04435468  1.73158032  1.29143857  0.0913569  -1.39919839 -0.72266905
 -0.21790076  0.82631054  0.02782632  1.85651631  0.        ]","[[-10.32997628   0.06357057  -0.16093808  -0.08299262]
 [-57.5956527    6.467074     0.           0.        ]]",-0.245049387789,[-6.31023037  0.39948659],-0.663345,[ 0.00521783 -0.50928617]
18,[-6.32006073 -0.91650349],"[ 0.4879061   1.70520058  1.41659894  0.32237577 -1.39919707 -0.7226687
 -0.29354806  1.03064048  1.54886042  2.07972222  0.        ]","[[-11.51015925   0.20749279  -0.16093808  -0.08299262]
 [-60.41336442   7.91990614   0.           0.        ]]",-0.367171058025,[-6.36659772 -0.40549425],-0.300147,[ 0.00521783 -0.50928617]
19,[-7.72877026 -1.07578838],"[ 1.16685507  1.65285731 -0.14780694  0.54155567 -1.39919575 -0.72266835
 -0.36768064  0.78227245  2.41853617  0.71170024  0.        ]","[[-12.74613077   0.34817714  -0.16093808  -0.08299262]
 [-63.17465607   6.15396189   0.           0.        ]]",-0.377142367591,[-7.5395639  -0.17201633],-0.588109,[ 0.00521783 -0.50928617]
20,[-7.74255276  0.67589796],"[-0.05330983  1.59129748 -1.36465209  0.71274014 -1.39919443 -0.722668
 -0.4403645   0.66847713  1.4531527  -0.66852835  0.        ]","[[-14.03678687   0.46314265  -0.16093808  -0.08299262]
 [-65.88198638   5.34485633   0.           0.        ]]",-0.254480673852,[-10.26791757   1.13982878],0.45155,[ 0.00521783 -0.50928617]
21,[-7.27870941  0.48640871],"[-1.49934647  1.49054032 -0.35996823  0.91537725 -1.39919311 -0.72266765
 -0.51167974  1.20922319 -0.14657346 -0.15491527  0.        ]","[[-15.3810759    0.60862166  -0.16093808  -0.08299262]
 [-68.53833918   9.18967619   0.           0.        ]]",-0.037669014443,[-6.13258101  0.04257234],-1.299,[ 0.00521783 -0.50928617]
22,[-5.67065144 -0.28325546],"[-0.85462376  1.3301695   1.42659545  1.14259388 -1.39919179 -0.7226673
 -0.58158487  1.20554821 -0.10332226  1.55054565  0.        ]","[[-16.77796603   0.79215992  -0.16093808  -0.08299262]
 [-71.14216925   9.16355307   0.           0.        ]]",-0.201009212603,[-5.4808658   0.38366502],0.0545654,[ 0.00521783 -0.50928617]
23,[-6.69726944 -1.35343719],"[ 0.92959961  1.12310037  0.98882122  1.34273304 -1.39919047 -0.72266695
 -0.65015238  1.39132069  1.50848137  1.91071283  0.        ]","[[-18.22643194   0.98869089  -0.16093808  -0.08299262]
 [-73.69617682  10.48444236   0.           0.        ]]",-0.345832112676,[-7.08287681 -0.93620685],0.0349388,[ 0.00521783 -0.50928617]
24,[-8.43998623 -1.09856725],"[ 0.6924367   0.92022452 -1.02645103  1.47415864 -1.39918915 -0.7226666
 -0.71733096  0.83784184  2.15854849  0.37812778  0.        ]","[[-19.7254634    1.158901    -0.16093808  -0.08299262]
 [-76.19845129   6.54909744   0.           0.        ]]",-0.332645591195,[-6.94021023 -1.20304325],-2.05836,[ 0.00521783 -0.50928617]
25,[-7.40459919  0.52466905],"[-1.23237884  0.80657198 -0.86109573  1.52634249 -1.39918783 -0.72266624
 -0.78313556  0.25938417  0.74108624 -0.48811673  0.        ]","[[-21.27402852   1.24862043  -0.16093808  -0.08299262]
 [-78.64954941   2.4361458    0.           0.        ]]",-0.153156459173,[-6.60383025  0.53130454],-0.125713,[ 0.00521783 -0.50928617]
