timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.399791842595,[ 4.74985548  1.60597139],-6.02999,"[[ 0.00722316 -0.00651636 -0.14073843  0.19268001]
 [ 0.00137842  0.00481821  0.          0.        ]]","[ 0.93810626  1.24551895 -0.47907959  1.17542031 -1.21352167  1.66405971
 -0.01176081  0.28158211  2.97768638 -2.72272414  0.        ]",[ 4.32079077  1.95703804],[-0.8203811  -0.64842713]
1,-0.393443859023,[ 4.40528623  1.53960977],-5.86866,"[[ 0.04692552  0.03329144 -0.14073843  0.19268001]
 [ 3.95569689  3.96277616  0.          0.        ]]","[ 0.93628051  1.24485061 -0.41338847  1.27824914 -1.21352095  1.66405819
  0.61693433  0.92424321  2.97270756 -2.54209727  0.        ]",[ 4.13347864  1.65690911],[-0.8203811  -0.64842713]
2,-0.372099576383,[ 4.1967108   0.66031425],-5.5234,"[[ 0.16493014  0.15147243 -0.14073843  0.19268001]
 [ 7.83188733  7.8423935   0.          0.        ]]","[ 0.91510172  1.23119988 -0.21926257  1.58209599 -1.21352023  1.66405668
  1.23320748  1.55418314  2.90416062 -2.01387949  0.        ]",[ 3.71570349  0.72590935],[-0.8203811  -0.64842713]
3,-0.330704564433,[ 2.64357942  0.17473017],-4.67093,"[[  0.35969719   0.33297992  -0.14073843   0.19268001]
 [ 11.63224453  10.30014963   0.           0.        ]]","[ 0.82945557  1.17673239  0.09161559  2.03671327 -1.2135195   1.66405517
  1.83742267  1.95325151  2.63515241 -1.23447424  0.        ]",[ 2.69428468 -0.48136398],[-0.8203811  -0.64842713]
4,-0.266086610492,[ 1.01643129 -1.84640085],-3.29118,"[[  0.62973012   0.54386178  -0.14073843   0.19268001]
 [ 15.35875358  10.78637567   0.           0.        ]]","[ 0.61236681  1.06479058  0.48381622  2.52909165 -1.21351878  1.66405365
  2.42989432  2.0321984   2.04304526 -0.453877    0.        ]",[ 0.5795294  -1.82071149],[-0.8203811  -0.64842713]
5,-0.183755325549,[-1.24130875 -2.44501809],-2.00716,"[[  0.97357507   0.71769913  -0.14073843   0.19268001]
 [ 19.01354963   6.61120768   0.           0.        ]]","[ 0.19482468  0.93651265  0.87773638  2.89132105 -1.21351805  1.66405214
  3.01096041  1.35426832  1.1760184  -0.00494734  0.        ]",[-1.69793928 -2.06125164],[-0.8203811  -0.64842713]
6,-0.109148242528,[-1.22775889 -1.49552172],-1.76745,"[[  1.31039702   0.80888735  -0.14073843   0.19268001]
 [ 14.68293291   2.52129077   0.           0.        ]]","[-0.32299448  0.85756709  1.1084617   3.06148222 -1.21351733  1.66405062
  2.32243652  0.69018141  0.37083095 -0.02486149  0.        ]",[-1.85972977 -1.32929659],[-0.8203811  -0.64842713]
7,-0.0642559427587,[-1.62151864 -1.08742066],-1.76336,"[[  1.56145944   0.81909254  -0.14073843   0.19268001]
 [ 10.43738146  -1.4873625    0.           0.        ]]","[-0.74442604  0.84827193  1.16419374  3.07957697 -1.21351661  1.66404911
  1.64743989  0.03928957 -0.13747742 -0.23299789  0.        ]",[-1.64611542 -0.50341773],[-0.8203811  -0.64842713]
8,-0.0464480331162,[-0.74629948  1.0015445 ],-1.85937,"[[ 1.72845117  0.74992379 -0.14073843  0.19268001]
 [ 6.27566467 -5.41637688  0.          0.        ]]","[-1.02694191  0.90947688  1.14373649  2.95312302 -1.21351588  1.6640476
  0.98577332 -0.59867112 -0.39277933 -0.36638154  0.        ]",[ -1.25775123e+00  -3.90350819e-04],[-0.8203811  -0.64842713]
9,-0.0409254215959,[-1.01442521 -1.29085147],-1.99258,"[[ 1.82308029  0.68240953 -0.14073843  0.19268001]
 [ 3.19752052 -1.34858938  0.          0.        ]]","[-1.18423948  0.96499194  1.11186574  2.82156826 -1.21351516  1.66404608
  0.49638291  0.06182268 -0.51213769 -0.42749544  0.        ]",[-1.10061276 -0.27387223],[-0.8203811  -0.64842713]
10,-0.0390870446023,[-0.35401199 -0.00564922],-1.99891,"[[ 1.84671539  0.61599148 -0.14073843  0.19268001]
 [-0.82059862 -5.28010706  0.          0.        ]]","[-1.22298865  1.0152843   1.10165257  2.68490297 -1.21351443  1.66404457
 -0.14245287 -0.57654474 -0.50575653 -0.38334321  0.        ]",[-0.23373196  0.30582201],[-0.8203811  -0.64842713]
11,-0.0438070619962,[ 0.46812124  0.38322987],-1.9928,"[[ 1.81641505  0.51121861 -0.14073843  0.19268001]
 [-2.20481836 -5.1974556   0.          0.        ]]","[-1.17326662  1.08537311  1.11458294  2.45618587 -1.21351371  1.66404306
 -0.36252822 -0.56312429 -0.36536832 -0.21717953  0.        ]",[ 0.37377563  0.42343533],[-0.8203811  -0.64842713]
12,-0.0532965835244,[ 0.88857952 -0.24723653],-1.97997,"[[ 1.79133195  0.42351983 -0.14073843  0.19268001]
 [-0.30982012 -3.57781964  0.          0.        ]]","[-1.13181706  1.13485536  1.12417208  2.25397432 -1.21351298  1.66404154
 -0.06124463 -0.30014092 -0.23671981 -0.09524854  0.        ]",[ 0.28365105  0.21432054],[-0.8203811  -0.64842713]
13,-0.0547905401201,[-0.40635132  0.37636181],-1.80442,"[[ 1.82046993  0.34283878 -0.14073843  0.19268001]
 [ 3.21187698 -4.48725563  0.          0.        ]]","[-1.17994215  1.17263308  1.11293645  2.06069947 -1.21351226  1.66404003
  0.49866589 -0.44780763 -0.21744515 -0.05816819  0.        ]",[-0.29988837  0.28226316],[-0.8203811  -0.64842713]
14,-0.0526324594214,[ 0.34747393  0.19353373],-1.90558,"[[ 1.86793535  0.2689433  -0.14073843  0.19268001]
 [ 1.54023666 -2.90755582  0.          0.        ]]","[-1.25755656  1.20050383  1.09172305  1.87869116 -1.21351154  1.66403851
  0.23289356 -0.19130869 -0.24053499 -0.05377707  0.        ]",[-0.12659886  0.12875852],[-0.8203811  -0.64842713]
15,-0.0490665407498,[-0.60469433 -0.21334128],-1.82315,"[[ 1.91222282  0.21905322 -0.14073843  0.19268001]
 [ 2.88403482 -2.08419632  0.          0.        ]]","[-1.32896762  1.21560064  1.06871367  1.75362862 -1.21351081  1.664037
  0.44654248 -0.05761818 -0.28025551 -0.06885255  0.        ]",[-0.54020274 -0.01539642],[-0.8203811  -0.64842713]
16,-0.047551163176,[-0.06502159  0.35716809],-1.88695,"[[ 1.9453334   0.16931712 -0.14073843  0.19268001]
 [ 0.43517914 -2.8867402   0.          0.        ]]","[-1.38163529  1.22762193  1.04951012  1.62756148 -1.21351009  1.66403549
  0.05720141 -0.18792879 -0.29695334 -0.07173538  0.        ]",[-0.00861809  0.25534528],[-0.8203811  -0.64842713]
17,-0.0503248424011,[-0.43412787  0.10216754],-1.86431,"[[ 1.95136419  0.12634628 -0.14073843  0.19268001]
 [ 0.16878829 -1.41524781  0.          0.        ]]","[-1.39115577  1.23554971  1.04582948  1.51776406 -1.21350936  1.66403397
  0.01484819  0.05100041 -0.26504675 -0.04589448  0.        ]",[ 0.01122151  0.05953673],[-0.8203811  -0.64842713]
18,-0.0551730517978,[ 1.1161067   0.44920509],-2.05359,"[[ 1.93747399  0.10238804 -0.14073843  0.19268001]
 [-1.55207775 -0.98202286  0.          0.        ]]","[-1.36919099  1.23897399  1.05422092  1.45627248 -1.21350864  1.66403246
 -0.2587506   0.12134402 -0.21143646 -0.01093468  0.        ]",[ 0.46170992  0.08522779],[-0.8203811  -0.64842713]
19,-0.0536461006333,[-0.56516767  0.13614699],-1.86713,"[[ 1.94642404  0.10077307 -0.14073843  0.19268001]
 [ 2.43381407  0.81454357  0.          0.        ]]","[-1.38335598  1.2391784   1.04884714  1.45212062 -1.21350791  1.66403095
  0.3749626   0.41305619 -0.2281311  -0.02074285  0.        ]",[-0.52292383 -0.37231573],[-0.8203811  -0.64842713]
20,-0.0469652231164,[ 0.15616955 -0.45342781],-1.9715,"[[ 1.97218347  0.12231984 -0.14073843  0.19268001]
 [ 0.14973382  1.33838509  0.          0.        ]]","[-1.42384394  1.23617298  1.03269485  1.50743862 -1.21350719  1.66402943
  0.01181869  0.49811331 -0.30317723 -0.07013938  0.        ]",[-0.26295334 -0.39215592],[-0.8203811  -0.64842713]
21,-0.0446511130708,[-0.1801935   0.07751244],-1.9207,"[[ 1.98135398  0.13080559 -0.14073843  0.19268001]
 [ 0.76526517 -0.48373694  0.          0.        ]]","[-1.43815231  1.23483038  1.0266996   1.52918495 -1.21350647  1.66402792
  0.10968147  0.20225134 -0.33030606 -0.08930588  0.        ]",[-0.31190705 -0.11936505],[-0.8203811  -0.64842713]
22,-0.0438515174502,[-0.03213573 -0.37720094],-1.94101,"[[ 1.98935419  0.12430917 -0.14073843  0.19268001]
 [ 0.03718035 -0.16696167  0.          0.        ]]","[-1.45058803  1.23586493  1.02136512  1.51253661 -1.21350574  1.6640264
 -0.00607615  0.25368678 -0.33973762 -0.09510318  0.        ]",[-0.2076329  -0.13833097],[-0.8203811  -0.64842713]
23,-0.0455042413388,[-0.45202139  0.16888678],-1.87791,"[[ 1.98882072  0.10601822 -0.14073843  0.19268001]
 [-0.09010472 -1.65716707  0.          0.        ]]","[-1.449759    1.23849719  1.02172331  1.46559442 -1.21350502  1.66402489
 -0.0263131   0.01171877 -0.31997721 -0.07982196  0.        ]",[-0.02703184  0.13359258],[-0.8203811  -0.64842713]
24,-0.0514097363147,[ 0.23172552  1.07837787],-1.97756,"[[ 1.9690928   0.07992052 -0.14073843  0.19268001]
 [-1.87673708 -0.95494579  0.          0.        ]]","[-1.41900447  1.24153151  1.03468433  1.398463   -1.21350429  1.66402338
 -0.31036839  0.12574002 -0.25274917 -0.03424795  0.        ]",[ 0.44846976  0.11813381],[-0.8203811  -0.64842713]
25,-0.0546481541808,[-0.83793096 -1.11750586],-1.8911,"[[ 1.94111233  0.10073541 -0.14073843  0.19268001]
 [-0.92447541  3.02317818  0.          0.        ]]","[-1.37494847  1.2391786   1.0520479   1.45201704 -1.21350357  1.66402186
 -0.15896893  0.77167697 -0.21716024 -0.01418137  0.        ]",[ 0.0460874 -0.5859291],[-0.8203811  -0.64842713]
26,-0.0626022750415,[ 1.63219873  0.17851649],-2.1239,"[[ 1.8895639   0.12088341 -0.14073843  0.19268001]
 [-4.21940168 -0.99499281  0.          0.        ]]","[-1.2925508   1.23638672  1.08086507  1.50374813 -1.21350284  1.66402035
 -0.68282686  0.1192371  -0.1314206   0.03213876  0.        ]",[ 1.14609039  0.19288796],[-0.8203811  -0.64842713]
27,-0.072687753123,[-0.13940909 -0.80262497],-1.84245,"[[ 1.84570104  0.10825751 -0.14073843  0.19268001]
 [-0.18033339 -0.27000641  0.          0.        ]]","[-1.22131589  1.23819418  1.10209985  1.47134206 -1.21350212  1.66401884
 -0.04065794  0.23695481 -0.02464066  0.08576508  0.        ]",[ 0.52494621 -0.07500601],[-0.8203811  -0.64842713]
28,-0.0784829228871,[ 0.83188981  0.24728884],-1.8994,"[[ 1.83660929  0.07102659 -0.14073843  0.19268001]
 [-0.7270244  -3.44251309  0.          0.        ]]","[-1.20643445  1.2423686   1.10611865  1.37554673 -1.2135014   1.66401732
 -0.12757599 -0.2781727   0.03620217  0.11471858  0.        ]",[ 0.99594831  0.51187986],[-0.8203811  -0.64842713]
29,-0.0809239190023,[-0.26611003  0.69309398],-1.80643,"[[ 1.85522716  0.0126715  -0.14073843  0.19268001]
 [ 2.57780764 -2.39647797  0.          0.        ]]","[-1.23686517  1.24542587  1.09774598  1.22493899 -1.21350067  1.66401581
  0.3978573  -0.10832538  0.06173445  0.12692367  0.        ]",[ 0.33465993  0.27173847],[-0.8203811  -0.64842713]
