timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.330852963802,[-1.48636333 -1.78716709],-2.98197,"[[-0.09921021 -0.0373113  -0.10732314 -0.12351147]
 [-0.00459369  0.00072998  0.          0.        ]]","[ 0.98455185  1.56417322 -0.73469175  0.92381065 -0.92957013 -1.0912572
  0.06698095  0.31578983  2.26230978  1.11621666  0.        ]",[-1.67214572 -2.56062412],[-0.47722468 -0.44316512]
1,-0.32539898607,[-0.7271529  -2.19904431],-2.80852,"[[-0.13897627 -0.07700924 -0.10732314 -0.12351147]
 [-3.95885473 -3.95733791  0.          0.        ]]","[ 0.97698649  1.5613614  -0.80124274  0.81632315 -0.9295692  -1.09125592
 -0.40460578 -0.26411102  2.24416648  0.97876682  0.        ]",[-1.10085988 -2.26230383],[-0.47722468 -0.44316512]
2,-0.308216081335,[-1.0101226  -2.28239141],-2.59301,"[[-0.24621419 -0.19508675 -0.10732314 -0.12351147]
 [-6.75565591 -7.83748104  0.          0.        ]]","[ 0.94413637  1.54153372 -0.97857805  0.49921377 -0.92956827 -1.09125464
 -0.73815311 -0.83259471  2.1533431   0.60704875  0.        ]",[-0.31298158 -1.89501536],[-0.47722468 -0.44316512]
3,-0.274538705746,[-0.08524932 -1.23288112],-2.39988,"[[ -0.41966573  -0.38999199  -0.10732314  -0.12351147]
 [-10.57688391 -11.64035724   0.           0.        ]]","[ 0.85348452  1.47202043 -1.25454967 -0.00615328 -0.92956734 -1.09125336
 -1.19387328 -1.38975658  1.88859262  0.06985573  0.        ]",[ 0.49703199 -1.49872327],[-0.47722468 -0.44316512]
4,-0.222068142105,[ 0.96786538 -0.55454688],-2.18618,"[[ -0.63248324  -0.66021204  -0.10732314  -0.12351147]
 [-10.70461213 -15.3692007    0.           0.        ]]","[ 0.68270231  1.30474078 -1.56418733 -0.63838169 -0.92956641 -1.09125208
 -1.20910462 -1.93606882  1.3786299  -0.41766348  0.        ]",[ 1.04508519 -1.13959074],[-0.47722468 -0.44316512]
5,-0.162303618168,[ 2.57373861  0.82896764],-1.96664,"[[ -0.80604153  -0.98658476  -0.10732314  -0.12351147]
 [ -6.66468756 -17.261749     0.           0.        ]]","[ 0.49984968  1.00954749 -1.78399385 -1.23741013 -0.92956549 -1.0912508
 -0.72730066 -2.21334086  0.78284061 -0.57731152  0.        ]",[ 1.377617   -0.70037442],[-0.47722468 -0.44316512]
6,-0.11425980553,[ 1.81318379 -0.38052823],-1.38186,"[[ -0.89833878  -1.29546779  -0.10732314  -0.12351147]
 [ -2.57838031 -13.63860705   0.           0.        ]]","[ 0.3886513   0.6631267  -1.88637599 -1.58508396 -0.92956456 -1.09124952
 -0.23996542 -1.68250859  0.35808102 -0.44695801  0.        ]",[ 1.17452157 -0.26553699],[-0.47722468 -0.44316512]
7,-0.0841852509063,[ 1.13841824  0.02302233],-1.18599,"[[ -0.90969716  -1.58065672  -0.10732314  -0.12351147]
 [  1.42931248 -14.87612095   0.           0.        ]]","[ 0.37436006  0.31417366 -1.89821221 -1.687102   -0.92956363 -1.09124824
  0.23799419 -1.86381289  0.13909466 -0.20647336  0.        ]",[ 0.72005206  0.18989971],[-0.47722468 -0.44316512]
8,-0.0738376885888,[ 0.69412038  0.06962502],-1.16235,"[[ -0.84169157  -1.87431502  -0.10732314  -0.12351147]
 [  5.35833767 -14.49093078   0.           0.        ]]","[ 0.45796685 -0.04381685 -1.82480466 -1.56325733 -0.9295627  -1.09124696
  0.70657166 -1.80737443  0.07139879  0.07420534  0.        ]",[ 0.05129673  0.42138949],[-0.47722468 -0.44316512]
9,-0.0825360979586,[-0.58072164  0.98664718],-1.22505,"[[ -0.70802379  -2.15848988  -0.10732314  -0.12351147]
 [  7.99974951 -13.92838495   0.           0.        ]]","[ 0.60758644 -0.36036678 -1.66393029 -1.2321777  -0.92956177 -1.09124568
  1.02158708 -1.7249521   0.10460585  0.34895469  0.        ]",[-0.502496    0.48536476],[-0.47722468 -0.44316512]
