timestep,original_rewards,actions,rewards,human_obs,obs,avg_action_dist,logstd_action_dist
0,-0.36481716681,[ 1.25442163 -1.94194691],-4.17666,"[[-0.0427587   0.0308928  -0.15319966  0.02976966]
 [-0.00406905  0.00489232  0.          0.        ]]","[ 0.94025047  1.33020607 -0.61114449  1.24822818 -1.32778661  0.2470109
  0.00892146  0.28990781  2.97450989 -0.44495255  0.        ]",[ 1.61244321 -1.64643919],[-0.71935934 -0.55829805]
1,-0.364545545252,[ 1.12385957 -0.97515981],-4.21165,"[[ -3.13332724e-03  -8.75361041e-03  -1.53199658e-01   2.97696581e-02]
 [  3.95342432e+00  -3.95632674e+00   0.00000000e+00   0.00000000e+00]]","[ 0.94179032  1.33074903 -0.54438445  1.14434654 -1.32778551  0.24701082
  0.58948416 -0.32864234  2.97543623 -0.39248983  0.        ]",[ 1.05660963 -1.64411485],[-0.71935934 -0.55829805]
2,-0.363059471533,[ 0.25723029 -2.54664402],-3.87314,"[[ 0.11485592 -0.12585033 -0.15319966  0.02976966]
 [ 7.83258592 -7.74072104  0.          0.        ]]","[ 0.93063433  1.3209902  -0.34595894  0.83836202 -1.32778442  0.24701074
  1.15855515 -0.91958081  2.96866666 -0.23510119  0.        ]",[ 0.42051148 -1.89852107],[-0.71935934 -0.55829805]
3,-0.359274622685,[ 0.48655713 -3.05521612],-3.72535,"[[  0.28017813  -0.31885778  -0.15319966   0.02976966]
 [  8.69675908 -11.5473241    0.           0.        ]]","[ 0.8757271   1.26830102 -0.07306485  0.3458001  -1.32778332  0.24701066
  1.28532805 -1.51398625  2.9345365  -0.06075934  0.        ]",[ 0.14436461 -2.1050384 ],[-0.71935934 -0.55829805]
4,-0.351558602667,[-0.57469363 -1.78410451],-3.66942,"[[  0.47171489  -0.5872434   -0.15319966   0.02976966]
 [ 10.45108929 -15.27876543   0.           0.        ]]","[ 0.75675395  1.1230908   0.2267346  -0.28465977 -1.32778223  0.24701059
  1.54268612 -2.09665296  2.85558491  0.0633532   0.        ]",[-0.25225624 -2.3401978 ],[-0.71935934 -0.55829805]
5,-0.338362622189,[ 0.39016213 -2.43153512],-3.50355,"[[  0.65586374  -0.92950062  -0.15319966   0.02976966]
 [  7.97190654 -18.93480293   0.           0.        ]]","[ 0.59024832  0.83268248  0.48868441 -0.93258966 -1.32778113  0.24701051
  1.17899019 -2.66754159  2.71989582  0.0434705   0.        ]",[ 0.01083322 -2.53652787],[-0.71935934 -0.55829805]
6,-0.31664540485,[ 0.53430329 -2.23030647],-3.26829,"[[  0.82921613  -1.34416448  -0.15319966   0.02976966]
 [  9.35867156 -22.51958988   0.           0.        ]]","[ 0.39189061  0.36956914  0.70366174 -1.38621935 -1.32778004  0.24701043
  1.38242682 -3.22729879  2.49477466 -0.11157702  0.        ]",[-0.48003674 -2.72520733],[-0.71935934 -0.55829805]
7,-0.282168541388,[-0.45628311 -1.98001402],-2.7776,"[[  1.03574971  -1.82981013  -0.15319966   0.02976966]
 [ 11.28826109 -26.03320284   0.           0.        ]]","[ 0.11134606 -0.22655867  0.91069193 -1.36581565 -1.32777894  0.24701035
  1.66549482 -3.77593437  2.13271818 -0.27059559  0.        ]",[-1.15248895 -2.72726297],[-0.71935934 -0.55829805]
8,-0.233796905219,[-1.40770604 -1.41327651],-2.17842,"[[  1.24114861  -2.38502475  -0.15319966   0.02976966]
 [  9.25816029 -29.47686467   0.           0.        ]]","[-0.20410038 -0.81059157  1.05548073 -0.63151206 -1.32777785  0.24701027
  1.36767898 -4.31363686  1.61645242 -0.44402819  0.        ]",[-1.39101243 -2.33725405],[-0.71935934 -0.55829805]
9,-0.17095785524,[-1.47778327 -0.96060013],-1.64444,"[[  1.38474058  -3.00843357  -0.15319966   0.02976966]
 [  5.11507085 -27.07767109   0.           0.        ]]","[-0.43915519 -1.13783881  1.11713793  0.81937206 -1.32777676  0.24701019
  0.75988983 -3.93898539  0.94521406 -0.52439118  0.        ]",[-1.34363961 -1.66355109],[-0.71935934 -0.55829805]
10,-0.148767911191,[-0.81824363 -0.65815878],-1.88112,"[[ 1.44631593 -3.20567609 -0.15319966  0.02976966]
 [ 1.05569173  0.04281646  0.          0.        ]]","[-0.54221615 -1.14626861  1.13318287  1.33510288 -1.32777566  0.24701012
  0.16438118  0.29583752  0.71737493 -0.48468649  0.        ]",[-0.50380236 -0.9266541 ],[-0.71935934 -0.55829805]
11,-0.155560180862,[-0.38594371 -1.88709627],-1.97796,"[[ 1.43471779 -3.15151941 -0.15319966  0.02976966]
 [-2.20471659  3.72048239  0.          0.        ]]","[-0.52273084 -1.14875161  1.13064278  1.19329811 -1.32777457  0.24701004
 -0.3139189   0.87009918  0.78658222 -0.4997114   0.        ]",[ 0.00324945 -1.00177264],[-0.71935934 -0.55829805]
12,-0.162497148781,[ 0.05583984 -0.9529248 ],-2.0872,"[[ 1.3757294  -3.08513176 -0.15319966  0.02976966]
 [-3.6891845   2.70872024  0.          0.        ]]","[-0.42416258 -1.14683628  1.11425911  1.01940666 -1.32777347  0.24700996
 -0.53168942  0.71211368  0.85732305 -0.51462931  0.        ]",[ 0.17884347 -1.06897593],[-0.71935934 -0.55829805]
13,-0.166407654385,[ 0.02987707  0.1843809 ],-2.12816,"[[ 1.30489617 -3.04371424 -0.15319966  0.02976966]
 [-3.39511573  1.49419146  0.          0.        ]]","[-0.30734159 -1.14287708  1.08699254  0.91120169 -1.32777238  0.24700988
 -0.48854948  0.52246656  0.89587381 -0.52962207  0.        ]",[ 0.16344139 -1.12127256],[-0.71935934 -0.55829805]
14,-0.169801260216,[-0.3567082 -0.6589618],-2.0806,"[[ 1.23885542 -3.00680202 -0.15319966  0.02976966]
 [-3.20957713  2.1946954   0.          0.        ]]","[-0.20042434 -1.13756468  1.05422109  0.81513155 -1.32777128  0.2470098
 -0.46133088  0.631849    0.92830622 -0.54767129  0.        ]",[ 0.23619592 -1.17950749],[-0.71935934 -0.55829805]
15,-0.1708809459,[ 0.98387171 -1.17802076],-2.23777,"[[ 1.1611301  -2.9895237  -0.15319966  0.02976966]
 [-4.5584604  -0.45802013  0.          0.        ]]","[-0.07770875 -1.13450195  1.00676527  0.77031855 -1.32777019  0.24700972
 -0.65921125  0.21763106  0.93619774 -0.56513699  0.        ]",[ 0.32283098 -1.17638242],[-0.71935934 -0.55829805]
16,-0.167411700338,[ 0.36904644 -1.21486288],-2.10461,"[[ 1.10994971 -3.01434839 -0.15319966  0.02976966]
 [-0.5727929  -0.51893946  0.          0.        ]]","[  9.16693926e-04  -1.13878542e+00   9.70399496e-01   8.34736608e-01
  -1.32776909e+00   2.47009647e-01  -7.45152550e-02   2.08118522e-01
   9.00129583e-01  -5.60778145e-01   0.00000000e+00]",[-0.12376538 -1.20717096],[-0.71935934 -0.55829805]
17,-0.167450952578,[ 0.08787608 -1.9287146 ],-2.04462,"[[ 1.11326835 -3.01540748 -0.15319966  0.02976966]
 [ 0.89973985  0.18883797  0.          0.        ]]","[-0.0041239  -1.13895057  0.97287786  0.83748928 -1.327768    0.24700957
  0.14150479  0.31863695  0.90062501 -0.56041306  0.        ]",[-0.25181201 -1.22619331],[-0.71935934 -0.55829805]
18,-0.16821165005,[ 0.54420016 -1.16849298],-2.12727,"[[ 1.13457532 -3.01099822 -0.15319966  0.02976966]
 [ 1.22985581  0.2093229   0.          0.        ]]","[-0.03668047 -1.13824987  0.98839515  0.82602945 -1.3277669   0.24700949
  0.18993265  0.32183554  0.90880464 -0.56008754  0.        ]",[-0.29597676 -1.2324754 ],[-0.71935934 -0.55829805]
19,-0.169102369215,[-0.37067273 -0.93187169],-2.01991,"[[ 1.18054639 -3.00760805 -0.15319966  0.02976966]
 [ 3.36015174  0.12856389  0.          0.        ]]","[-0.10801065 -1.13769467  1.01950436  0.81722266 -1.32776581  0.24700941
  0.50244637  0.30922502  0.91923321 -0.55560313  0.        ]",[-0.54422826 -1.24708593],[-0.71935934 -0.55829805]
20,-0.169864134775,[-0.90526282 -1.56665566],-1.96613,"[[ 1.23235707 -3.00563657 -0.15319966  0.02976966]
 [ 1.82602897  0.07131118  0.          0.        ]]","[-0.19002648 -1.137365    1.0506149   0.81210296 -1.32776471  0.24700933
  0.27739078  0.30028498  0.92870894 -0.54896081  0.        ]",[-0.41195148 -1.22419357],[-0.71935934 -0.55829805]
21,-0.16997193355,[-0.55078945 -0.96603936],-2.03937,"[[ 1.23255352 -3.00467978 -0.15319966  0.02976966]
 [-1.79431962  0.03010582  0.          0.        ]]","[-0.1903404  -1.13720288  1.05072413  0.80961859 -1.32776362  0.24700926
 -0.25371369  0.29385071  0.92980405 -0.54921177  0.        ]",[-0.02962075 -1.19037962],[-0.71935934 -0.55829805]
22,-0.169414792071,[ 0.76829755 -1.24079677],-2.19626,"[[ 1.17514349 -3.00424269 -0.15319966  0.02976966]
 [-3.93953404  0.01500149  0.          0.        ]]","[-0.09955356 -1.13712802  1.01601572  0.80848353 -1.32776253  0.24700918
 -0.56841616  0.29149209  0.92214673 -0.55758915  0.        ]",[ 0.2581301  -1.16865921],[-0.71935934 -0.55829805]
23,-0.168902460623,[-0.56967766 -0.20396072],-2.02857,"[[ 1.12765579 -3.00406816 -0.15319966  0.02976966]
 [-0.81963317  0.00448495  0.          0.        ]]","[-0.02607089 -1.1370976   0.98342822  0.80803009 -1.32776143  0.2470091
 -0.11072696  0.28984985  0.91533619 -0.56403058  0.        ]",[-0.08272547 -1.22119319],[-0.71935934 -0.55829805]
24,-0.168540584544,[-0.93717381 -1.86956272],-1.94998,"[[ 1.08879561 -3.00317283 -0.15319966  0.02976966]
 [-3.05892363  0.0596007   0.          0.        ]]","[ 0.03285018 -1.13694415  0.9542036   0.80570576 -1.32776034  0.24700902
 -0.4392306   0.29845602  0.91034808 -0.56933795  0.        ]",[ 0.20539808 -1.19250357],[-0.71935934 -0.55829805]
25,-0.167347644642,[ 1.45005327 -1.03915648],-2.28029,"[[ 0.99099559 -3.00295521 -0.15319966  0.02976966]
 [-6.70891327 -0.0150553   0.          0.        ]]","[ 0.17569508 -1.13690611  0.87078363  0.80514053 -1.32775924  0.24700894
 -0.97468347  0.28679847  0.89516167 -0.58060781  0.        ]",[ 0.66988164 -1.13219476],[-0.71935934 -0.55829805]
26,-0.166038198274,[ 1.2995755  -1.23651245],-2.21909,"[[ 0.89787471 -3.00334237 -0.15319966  0.02976966]
 [-2.61681154 -0.01915088  0.          0.        ]]","[ 0.30347974 -1.13697158  0.77881848  0.80614501 -1.32775815  0.24700886
 -0.37437206  0.28615885  0.87927272 -0.58903367  0.        ]",[ 0.24224862 -1.19458926],[-0.71935934 -0.55829805]
27,-0.165833445043,[-0.33435386 -1.60323009],-1.97906,"[[ 0.88578308 -3.00365689 -0.15319966  0.02976966]
 [ 1.39428179 -0.01206321  0.          0.        ]]","[ 0.31942375 -1.13702448  0.76602077  0.80696097 -1.32775705  0.24700879
  0.21405537  0.2872655   0.87691046 -0.58977974  0.        ]",[-0.21781987 -1.25317955],[-0.71935934 -0.55829805]
