timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.37469482 -0.38602751],-3.26018,"[[-0.02845728  0.07583622  0.03815619  0.1131958 ]
 [-0.00333993  0.00252699  0.          0.        ]]","[ 1.22333997  2.54240225 -0.01597081  1.2101464   0.32817456  0.97696767
  0.08892834  0.39042727  1.16814234 -0.87516882  0.        ]",[ 2.51266026 -0.3957755 ],[ 2.60690219 -0.17777493],-0.204346728059
1,[-0.37469482 -0.38602751],-3.21,"[[ 0.01116987  0.06880821  0.03815619  0.1131958 ]
 [ 3.95288112 -0.70297214  0.          0.        ]]","[ 1.22381254  2.54317033  0.04226845  1.18193409  0.32817448  0.97696725
  0.15976765  0.29390302  1.16663735 -0.81155817  0.        ]",[ 2.45648694 -0.41349748],[ 1.30587   -0.2694813],-0.200192614947
2,[-0.37469482 -0.38602751],-3.16467,"[[ 0.12913765  0.0441673   0.03815619  0.1131958 ]
 [ 7.83098137 -1.75760083  0.          0.        ]]","[ 1.21239255  2.54528165  0.21513445  1.08292174  0.3281744   0.97696683
  0.22920813  0.14961197  1.15016175 -0.62639527  0.        ]",[ 2.20870948 -0.50320888],[ 2.94027566 -0.88968448],-0.187889149307
3,[-0.37469482 -0.38602751],-2.89709,"[[  0.32390726  -0.02599576   0.03815619   0.1131958 ]
 [ 11.63331779  -5.2470661    0.           0.        ]]","[ 1.1520444   2.54624666  0.49365883  0.80060513  0.32817432  0.97696641
  0.297292   -0.32780585  1.09143635 -0.3540672   0.        ]",[ 1.61010432 -0.65844351],[ 2.67525453 -0.15103415],-0.169079823377
4,[-0.37469482 -0.38602751],-2.47813,"[[  0.59395773  -0.13590912   0.03815619   0.1131958 ]
 [ 15.35933649  -5.74259228   0.           0.        ]]","[ 0.98724515  2.53273324  0.84843533  0.35990629  0.32817424  0.97696599
  0.36400934 -0.39560212  0.94844814 -0.0123673   0.        ]",[ 0.4051246  -1.35364377],[-0.13586419 -1.10109764],-0.143636655118
5,[-0.37469482 -0.38602751],-2.22102,"[[  0.89271992  -0.28934309   0.03815619   0.1131958 ]
 [ 14.5196914   -9.58796982   0.           0.        ]]","[ 0.70890738  2.48353904  1.17052731 -0.24312233  0.32817416  0.97696557
  0.34897471 -0.92171466  0.72929598  0.28884865  0.        ]",[-0.61740649 -1.73005044],[-0.14630843 -1.69822386],-0.118294847878
6,[-0.37469482 -0.38602751],-1.87998,"[[  1.17444205  -0.51891944   0.03815619   0.1131958 ]
 [ 13.65540564 -13.35708408   0.           0.        ]]","[ 0.37557243  2.34655705  1.38173222 -1.09080419  0.32817408  0.97696515
  0.33349888 -1.43739251  0.51581443  0.44923586  0.        ]",[-1.03714383 -1.7542665 ],[-1.19620237 -2.04466098],-0.0990354722957
7,[-0.37469482 -0.38602751],-1.8046,"[[  1.40516269  -0.82311721   0.03815619   0.1131958 ]
 [  9.43058977 -17.0504381    0.           0.        ]]","[ 0.06995267  2.06002915  1.47556456 -2.04597357  0.328174    0.97696473
  0.25784998 -1.94270388  0.38048471  0.44757361  0.        ]",[-0.77775121 -1.46442199],[-1.02143002 -1.38225058],-0.0838920256473
8,[-0.37469482 -0.38602751],-1.99304,"[[  1.55221424  -1.20045223   0.03815619   0.1131958 ]
 [  5.28806095 -20.67107788   0.           0.        ]]","[-0.13219463  1.57644174  1.49542574 -2.84661897  0.32817392  0.97696431
  0.1836745  -2.43806472  0.35524107  0.26850913  0.        ]",[-0.40693557 -1.41294205],[-0.09116453 -2.11013147],-0.0713704599102
9,[-0.37469482 -0.38602751],-2.16432,"[[  1.65330319  -1.6494934    0.03815619   0.1131958 ]
 [  4.82219537 -24.22121719   0.           0.        ]]","[-0.27174515  0.90649439  1.49067842 -3.10701843  0.32817384  0.97696388
  0.17533274 -2.92377696  0.32914322 -0.05053823  0.        ]",[-0.07128283 -1.27365935],[ 0.04838043 -1.0867478 ],-0.0649396460485
