timestep,logstd_action_dist,rewards,human_obs,obs,avg_action_dist,actions,original_rewards
0,[-0.23524445 -0.30142999],-3.12949,"[[  8.09538766e-02  -5.94080214e-02  -1.37700070e-01  -1.85429294e-01]
 [  1.82044047e-04  -1.30972786e-03   0.00000000e+00   0.00000000e+00]]","[ 1.17806569  2.34999435  0.14851932  0.62638629 -1.19533856 -1.59464429
 -0.03473147  0.3758929   2.44149731  1.67362862  0.        ]",[-3.7192595 -2.2542491],[-3.49761108 -1.03638351],-0.398774592622
1,[-0.23524445 -0.30142999],-3.03063,"[[ 0.04128234 -0.09914636 -0.13770007 -0.18542929]
 [-3.95417848 -3.95933787  0.          0.        ]]","[ 1.18140407  2.34542425  0.08970602  0.48565132 -1.19533656 -1.5946404
 -0.13300228 -0.16756712  2.44212007  1.56896956  0.        ]",[-3.6178329  -2.12044549],[-4.79885937 -2.54022711],-0.392772877251
2,[-0.23524445 -0.30142999],-2.95895,"[[-0.07669262 -0.21725924 -0.13770007 -0.18542929]
 [-7.83044915 -7.83901959  0.          0.        ]]","[ 1.17852438  2.31846789 -0.08540211  0.07148647 -1.19533457 -1.59463651
 -0.22933244 -0.70026948  2.40623623  1.26125533  0.        ]",[-3.38458419 -1.93915534],[-3.01435697 -1.44918097],-0.372455355514
3,[-0.23524445 -0.30142999],-2.66219,"[[ -0.27142732  -0.4121948   -0.13770007  -0.18542929]
 [-11.63048635 -11.64184544   0.           0.        ]]","[ 1.13210317  2.23116283 -0.36983574 -0.58604309 -1.19533257 -1.59463262
 -0.32376809 -1.22241788  2.22946844  0.79302626  0.        ]",[-3.00268602 -1.72042787],[-0.9193022 -0.6052933],-0.331533654588
4,[-0.23524445 -0.30142999],-1.97643,"[[ -0.53822018  -0.66675035  -0.13770007  -0.18542929]
 [-15.0376543  -13.8064538    0.           0.        ]]","[ 0.98767004  2.04220255 -0.73301271 -1.35991913 -1.19533057 -1.59462873
 -0.40844039 -1.51962786  1.80273396  0.3170297   0.        ]",[-2.48206139 -1.45533085],[-2.8880177  -2.33045971],-0.264788942427
5,[-0.23524445 -0.30142999],-1.21999,"[[ -0.87569357  -0.97984468  -0.13770007  -0.18542929]
 [-18.6978999  -17.49062474   0.           0.        ]]","[ 0.68691612  1.71085052 -1.11234599 -2.11304378 -1.19532857 -1.59462484
 -0.49940195 -2.02547859  1.10627619  0.08281637  0.        ]",[-1.91320157 -1.11265242],[-1.15894934 -0.73472091],-0.17087816385
6,[-0.23524445 -0.30142999],-0.609008,"[[ -1.28567443  -1.35534662  -0.13770007  -0.18542929]
 [-22.28869432 -20.05094143   0.           0.        ]]","[ 0.19173567  1.2133371  -1.39700033 -2.63342357 -1.19532657 -1.59462094
 -0.58863749 -2.37701315  0.33825158  0.36012035  0.        ]",[-1.43177819 -0.98650241],[-0.69028151 -1.5612613 ],-0.0784283939095
7,[-0.23524445 -0.30142999],-0.593471,"[[ -1.75448697  -1.7920831   -0.13770007  -0.18542929]
 [-24.58534479 -23.61080222   0.           0.        ]]","[-0.44784491  0.58555624 -1.43197632 -2.62891652 -1.19532457 -1.59461705
 -0.64571175 -2.8657817  -0.04751844  1.13377012  0.        ]",[-1.34980702 -1.07795846],[-1.07094425 -0.8464492 ],-0.131730618638
8,[-0.23524445 -0.30142999],-1.09559,"[[ -2.28109814  -2.29320703  -0.13770007  -0.18542929]
 [-28.06432078 -26.49204339   0.           0.        ]]","[-1.09496479 -0.05445037 -1.09774835 -1.8280832  -1.19532257 -1.59461316
 -0.7321683  -3.26136246  0.24765952  1.86071482  0.        ]",[-1.56041026 -1.00177848],[-1.93417024 -0.32287144],-0.225963588762
9,[-0.23524445 -0.30142999],-1.52879,"[[ -2.8765927   -2.83058976  -0.13770007  -0.18542929]
 [-31.47320585 -27.24396911   0.           0.        ]]","[-1.5265057  -0.4758454  -0.3606213  -0.2498908  -1.19532057 -1.59460927
 -0.81688285 -3.36457588  0.82327615  1.86556436  0.        ]",[-1.72544861 -0.67861938],[-0.91827868 -0.58397366],-0.256582500081
